B00173IY02,[0.5702],[5],"[[nice, light, clamping, pressure]]","[[nice light clamping pressure, 0.5702, 5]]"
B00Q5W0Z98,"[0.0, 0.3321]","[2, 5]","[[cheap, bulky], [nicebr, work, edge]]","[[cheap bulky, 0.0, 2], [nicebr work edge, 0.3321, 5]]"
B00Q67E5JI,[0.0],[1],"[[product, crack]]","[[product crack, 0.0, 1]]"
B00Q7Y9APO,[0.9861],[5],"[[hello, purchase, gameboy, inspire, case, come, week, time, get, went, open, baggy, come, prying, tool, look, guitar, pick, think, awesome, order, phone, case, dont, come, phone, case, come, piece, piece, border, case, phone, border, phone, case, feel, sort, rubberize, gellike, coating, bottom, piece, case, port, phone, case, show, motorola, logo, love, notice, portlike, open, underneath, volume, button, im, assume, use, pry, tool, remove, case, buy, case, motorola, x, nd, gen, fit, colour, slim, fit, thing, thought, design, d, isnt, gameboy, design, case, compliment, phone, thank]]","[[hello purchase gameboy inspire case come week time get went open baggy come prying tool look guitar pick think awesome order phone case dont come phone case come piece piece border case phone border phone case feel sort rubberize gellike coating bottom piece case port phone case show motorola logo love notice portlike open underneath volume button im assume use pry tool remove case buy case motorola x nd gen fit colour slim fit thing thought design d isnt gameboy design case compliment phone thank, 0.9861, 5]]"
B00QA4167G,[0.7906],[5],"[[work, great, build, quality]]","[[work great build quality, 0.7906, 5]]"
B00QEXEFRQ,[0.4754],[5],"[[wife, pick, like]]","[[wife pick like, 0.4754, 5]]"
B00QLPXL1S,[0.8126],[5],"[[perfect, use, charge, lg, bluetooth, headset, perfect, size, run, desktop, port, earphone, lot, clutter]]","[[perfect use charge lg bluetooth headset perfect size run desktop port earphone lot clutter, 0.8126, 5]]"
B00QMSCNNQ,[0.877],[5],"[[work, advertise, run, radio, encounter, ir, headphone, use, pay, installation, offer, hardwiring, charge, eliminate, screen, instal, van, block, vision, window, course, kid, love, remote, work, picture]]","[[work advertise run radio encounter ir headphone use pay installation offer hardwiring charge eliminate screen instal van block vision window course kid love remote work picture, 0.877, 5]]"
B00QN43Y6E,[0.9509],[5],"[[case, meet, expectation, corner, soft, rubber, piece, put, add, bulk, size, phone, feel, investment, protect, arrive, service]]","[[case meet expectation corner soft rubber piece put add bulk size phone feel investment protect arrive service, 0.9509, 5]]"
B00QQKECJ8,[0.2596],[5],"[[phantom, glass, ive, want, saw, video, linus, linus, tech, tip, check, youtube, screen, protector, good, plus, dont, feel, thing, left, side, edge, doesnt, glue, phone, overlook, slight, detail, ]]","[[phantom glass ive want saw video linus linus tech tip check youtube screen protector good plus dont feel thing left side edge doesnt glue phone overlook slight detail , 0.2596, 5]]"
B00QUHX37O,[0.7964],[5],"[[cover, need, fit, purse, take, place, wallet, cover, phone, im, run, quick, errand, dont, need, purse]]","[[cover need fit purse take place wallet cover phone im run quick errand dont need purse, 0.7964, 5]]"
B00QX0CX7O,[0.0],[3],"[[doesnt, volume, button]]","[[doesnt volume button, 0.0, 3]]"
B00RODXXK0,[0.7057],[5],"[[screen, protector, fit, go, problem, use, removal, tape, leave, screen, protector]]","[[screen protector fit go problem use removal tape leave screen protector, 0.7057, 5]]"
B00RUTU9Q4,[0.7902],[4],"[[make, look, think, instruction]]","[[make look think instruction, 0.7902, 4]]"
B00S0BBFTQ,"[-0.3612, 0.6249]","[1, 5]","[[fit, great, add, weight], [broke, fall, get, pay]]","[[fit great add weight, -0.3612, 1], [broke fall get pay, 0.6249, 5]]"
B00S5REB0U,[0.8439],[5],"[[surprise, made, case, mime, month, ive, get, say, beat, far]]","[[surprise made case mime month ive get say beat far, 0.8439, 5]]"
B00SIBSWEE,[0.9538],[5],"[[case, buy, upgrade, phone, wont, order, place, great, quality, fit, phone, im, recommend, guy, everyone, look, case]]","[[case buy upgrade phone wont order place great quality fit phone im recommend guy everyone look case, 0.9538, 5]]"
B00SS3N4NG,[0.9312],[5],"[[fit, great, case, look, phone, drop, time, case, protect]]","[[fit great case look phone drop time case protect, 0.9312, 5]]"
B00SVG8VSS,"[0.0, 0.8531]","[5, 5]","[[goggles, frill, version, compare, cardboard, goggles, guess, quality, lens, frame, cardboard, problem, use, lack, visor, block, issue, feel, carsick, carsickness, regret, lack, headband, arm, get, tire, hold, apparatus, period, feel, use, feel, hold, face, turn, rely, headband, hold, cardboard, face], [o, funall, kid, blast, find, vr, clip]]","[[goggles frill version compare cardboard goggles guess quality lens frame cardboard problem use lack visor block issue feel carsick carsickness regret lack headband arm get tire hold apparatus period feel use feel hold face turn rely headband hold cardboard face, 0.0, 5], [o funall kid blast find vr clip, 0.8531, 5]]"
B00SW06DTM,"[0.8316, 0.0]","[5, 5]","[[excellent, quality, work], [work, iphone]]","[[excellent quality work, 0.8316, 5], [work iphone, 0.0, 5]]"
B00T52JTCE,"[0.7783, 0.6369]","[3, 5]","[[medium, bit, bulky, drop, time, tab, give, hold, lot, card, part], [cover, hold, card, wallet, cover]]","[[medium bit bulky drop time tab give hold lot card part, 0.7783, 3], [cover hold card wallet cover, 0.6369, 5]]"
B00TJEW8MQ,"[-0.4215, 0.3612, 0.924]","[1, 2, 4]","[[nice, look, case, shield, phone, chip, front, drop, doesnt, front, glassbr, front, cover, glass, sheet, edge, show, color, phone, underneath, feature, case], [fit, border, camera, come, warp, piece, charging, port], [broke]]","[[nice look case shield phone chip front drop doesnt front glassbr front cover glass sheet edge show color phone underneath feature case, -0.4215, 1], [fit border camera come warp piece charging port, 0.3612, 2], [broke, 0.924, 4]]"
B00TKH0BF8,[0.0],[5],"[[go, go, duty, belt]]","[[go go duty belt, 0.0, 5]]"
B00TNZPV70,[-0.7278],[1],"[[didnt, make, took, forever, arrive, didnt, stick, controller, lit, didnt, shine, waste, money, throw, recommend, anyone]]","[[didnt make took forever arrive didnt stick controller lit didnt shine waste money throw recommend anyone, -0.7278, 1]]"
B00TT2RZOE,"[0.1361, 0.765, -0.2481, -0.8125]","[1, 5, 1, 1]","[[take, awhile, get, purchase, didnt, work, weak, charge, phone, drain, batterybr, happy], [charger, work, take, usb, cord, put, adapter, charge, phone, recommend, plug, adapter, good], [charger, come, htc, phone], [listen, review, item, work, attempt, dont, waste, time, money, please]]","[[take awhile get purchase didnt work weak charge phone drain batterybr happy, 0.1361, 1], [charger work take usb cord put adapter charge phone recommend plug adapter good, 0.765, 5], [charger come htc phone, -0.2481, 1], [listen review item work attempt dont waste time money please, -0.8125, 1]]"
B00U31HSHO,[0.7845],[5],"[[phone, thing, make, life]]","[[phone thing make life, 0.7845, 5]]"
B00U67SPGI,[0.8402],[5],"[[case, amaze, fit]]","[[case amaze fit, 0.8402, 5]]"
B00UIF2GW2,"[0.9831, 0.9217]","[4, 2]","[[idea, design, subpar, issue, mount, approx, square, fact, strength, give, mass, iphone, mind, superglue, solve, issue, issue, bikephone, mount, doesnt, tighten, allow, nearuniversal, position, tighten, left, phone, kind, floppy, apply, drop, super, glue, lock, place], [review, mount, people, say, rattle, lot, rid, worry, fall, say, hasnt, happen, mount, stuck, iphone, rid, handle, bar, seem, work, fine, lock, device, mount, hold, little, slop, nothing, ride, mile, day, pave, bike, trail, road, track, stuff, gravel, road, etc, point, ride, worry, phone, go, fall, instruction, apply, work, suppose, mount, hasnt, move, mounting, position, mile, use, give, star, lock, place, say, concern, purchase, recommend, mount, system, friend]]","[[idea design subpar issue mount approx square fact strength give mass iphone mind superglue solve issue issue bikephone mount doesnt tighten allow nearuniversal position tighten left phone kind floppy apply drop super glue lock place, 0.9831, 4], [review mount people say rattle lot rid worry fall say hasnt happen mount stuck iphone rid handle bar seem work fine lock device mount hold little slop nothing ride mile day pave bike trail road track stuff gravel road etc point ride worry phone go fall instruction apply work suppose mount hasnt move mounting position mile use give star lock place say concern purchase recommend mount system friend, 0.9217, 2]]"
B00UKHB0QQ,[0.0],[5],"[[get, phone]]","[[get phone, 0.0, 5]]"
B00UNNM1LA,[0.3252],[1],"[[doesnt, work, waste, money]]","[[doesnt work waste money, 0.3252, 1]]"
B00V2LSUGC,[-0.25],[1],"[[case, poor, condition, black, front, half, case, scratch, front, case]]","[[case poor condition black front half case scratch front case, -0.25, 1]]"
B00V5FZM84,"[0.6249, 0.0, 0.6124, 0.6115, -0.6143, 0.6115]","[5, 5, 3, 5, 2, 5]","[[expect], [make, guess, thats, expect, case, offer, optimal, room, flash, camera, use, flash, rhinestone, block, picture, case, crack, side, result, put, phone], [rhinestone, start, come, nd, day, price], [], [im, happy, purchase]]","[[expect, 0.6249, 5], [make guess thats expect case offer optimal room flash camera use flash rhinestone block picture case crack side result put phone, 0.0, 5], [rhinestone start come nd day price, 0.6124, 3], [, 0.6115, 5], [im happy purchase, -0.6143, 2], [, 0.6115, 5]]"
B00VUG09WC,[-0.805],[1],"[[work, right, put, phone, try, charge, case, charger, wouldnt, port, disappoint, buy]]","[[work right put phone try charge case charger wouldnt port disappoint buy, -0.805, 1]]"
B00VUSVM8U,"[-0.5423, 0.6249]","[5, 5]","[[camera, work], [pop, die, cut, bit, metal, license, plate, instal, factory, camera, say]]","[[camera work, -0.5423, 5], [pop die cut bit metal license plate instal factory camera say, 0.6249, 5]]"
B00VY35YR6,"[0.0757, 0.4215, 0.743, 0.4404, 0.6369, 0.2975, 0.1494]","[3, 1, 2, 4, 5, 2, 2]","[[scratch, case, week, scratch], [protection], [excellent, case, come, apart, seem, back, black, perimeteri, put, case, m, phone, take, notice, today, come, apart], [scratch, anything, resistant, matter, drop, phone, twice, end, side, phone, crack], [case, fit, fine, scratch, resistant, case, day, cover, scratch, use, place, phone, desk, table, anything, seem, scratch, week, cover, make, phone, look, toss, order, case], [case, phone, get, couple, dent, case, didnt, protect, switch, spigen, layer, amaze]]","[[scratch case week scratch, 0.0757, 3], [protection, 0.4215, 1], [excellent case come apart seem back black perimeteri put case m phone take notice today come apart, 0.743, 2], [scratch anything resistant matter drop phone twice end side phone crack, 0.4404, 4], [case fit fine scratch resistant case day cover scratch use place phone desk table anything seem scratch week cover make phone look toss order case, 0.6369, 5], [case phone get couple dent case didnt protect switch spigen layer amaze, 0.2975, 2], [, 0.1494, 2]]"
B00VZVEM3E,[0.0],[5],[[keeper]],"[[keeper, 0.0, 5]]"
B00W5VRKP0,[0.0],[5],"[[describe, deliver, say]]","[[describe deliver say, 0.0, 5]]"
B00W6V6VS6,[0.5789],[4],"[[know, outlet, charge, phone, satnd, break, receive, work]]","[[know outlet charge phone satnd break receive work, 0.5789, 4]]"
B00WA2DZ08,[0.7506],[5],"[[case, price, protects, phone]]","[[case price protects phone, 0.7506, 5]]"
B00WAXEJEI,[-0.4215],[1],"[[broke, week]]","[[broke week, -0.4215, 1]]"
B00WF1P5FM,[0.8126],[5],"[[cd, vehiclemounted, devicei]]","[[cd vehiclemounted devicei, 0.8126, 5]]"
B00WJK1RY2,[0.6862],[4],"[[purple, glitter, pinker, look, picture, review, say, case, difficult, take, problem, pop, case, lip, protect, front, screen, touch, ground, purchase, theyre, fun]]","[[purple glitter pinker look picture review say case difficult take problem pop case lip protect front screen touch ground purchase theyre fun, 0.6862, 4]]"
B00WNH8Z7S,[0.4019],[4],"[[wish, pocket, pen, receive]]","[[wish pocket pen receive, 0.4019, 4]]"
B00WV4GWKU,[0.6369],[5],"[[charger, get, phone]]","[[charger get phone, 0.6369, 5]]"
B00WX95QFA,[0.6249],[5],"[[buy, ]]","[[buy , 0.6249, 5]]"
B00XIEEK5G,"[-0.4215, 0.8966, 0.3553, 0.4404, 0.6249, 0.659]","[1, 5, 5, 4, 5, 5]","[[aduro, shell, holster, combo, case, samsung, phone, work], [iii], [quality, product, dont, care, belt, piece], [broke, day], [product, keep, phone, pocket, hipold, school, way, product, get, case, get], [product]]","[[aduro shell holster combo case samsung phone work, -0.4215, 1], [iii, 0.8966, 5], [quality product dont care belt piece, 0.3553, 5], [broke day, 0.4404, 4], [product keep phone pocket hipold school way product get case get, 0.6249, 5], [product, 0.659, 5]]"
B00XLMJP1Y,[0.0],[3],"[[take, charge, get, job, done]]","[[take charge get job done, 0.0, 3]]"
B00XWE3AMQ,[0.0],[5],"[[fit, phone, allows, hold, card, look, stylish]]","[[fit phone allows hold card look stylish, 0.0, 5]]"
B00XZO6K4I,[0.4404],[5],[[stuff]],"[[stuff, 0.4404, 5]]"
B00Y2F8SUS,[0.9022],[5],"[[fit, quality, true, color]]","[[fit quality true color, 0.9022, 5]]"
B00YA9Y27O,[0.8519],[5],"[[fitment, love, case]]","[[fitment love case, 0.8519, 5]]"
B00YBFQI6A,[0.0],[3],[[flimsy]],"[[flimsy, 0.0, 3]]"
B00YR74DPA,"[0.3818, 0.926, 0.9269]","[4, 5, 5]","[[purchase, type, return, fit, issue, model, need, well, expect, glad, save, thanks], [advertise, help, daughter, vlogging], [item, thank, use, ipad, adapter, daughter, us, phone, adapter, work, get, thank]]","[[purchase type return fit issue model need well expect glad save thanks, 0.3818, 4], [advertise help daughter vlogging, 0.926, 5], [item thank use ipad adapter daughter us phone adapter work get thank, 0.9269, 5]]"
B00YTOFU1C,"[0.0, 0.9513]","[1, 5]","[[excellent, screen, protector, instal, include, alcohol, wipe, dry, cloth, clean, screen, application, fit, excellent, lg, leon, glance, cant, tell, instal, use, screen, protector, use, think, im, switch, glass, screen, protector, plastic, one, scratch, replacing, protector, resistant, look, quick, wipe, microfiber, cloth, protector, make, change, screen, sensitivity, action, include, lg, knock, cod, work, werent, installedbr, br, feature, protector, glass, screen, protector, cover, entire, glass, surface, phone, exception, earpiece, course, oval, glass, proximity, sensor, camera, mean, lot, discreet, ie, phone, protector, instal, lot, protector, edge, earpiece, sensor, leave, part, upper, expose, protector, worth, extra, buck], [re, tu, end, w, case, see, refund]]","[[excellent screen protector instal include alcohol wipe dry cloth clean screen application fit excellent lg leon glance cant tell instal use screen protector use think im switch glass screen protector plastic one scratch replacing protector resistant look quick wipe microfiber cloth protector make change screen sensitivity action include lg knock cod work werent installedbr br feature protector glass screen protector cover entire glass surface phone exception earpiece course oval glass proximity sensor camera mean lot discreet ie phone protector instal lot protector edge earpiece sensor leave part upper expose protector worth extra buck, 0.0, 1], [re tu end w case see refund, 0.9513, 5]]"
B00YUP14GK,[0.3404],[2],"[[sound, quality, microphone, qaulity, comfort, battery, star, use, iphone, bluetooth, button, wont, pick, call, end, call, blue, tooth, connect, phone, delay, pick, call, well, phone, happy, iphone]]","[[sound quality microphone qaulity comfort battery star use iphone bluetooth button wont pick call end call blue tooth connect phone delay pick call well phone happy iphone, 0.3404, 2]]"
B00ZC2E48K,[0.8807],[5],"[[casemy, friend, love, itwill, buy]]","[[casemy friend love itwill buy, 0.8807, 5]]"
B00ZEY13RG,[0.34],[4],"[[purchase, newisdom, lg, g, wireless, charge, stand, news, work, news, work, otterbox, commuter, case, phone, yes, take, charge, yes, heat, charge, work]]","[[purchase newisdom lg g wireless charge stand news work news work otterbox commuter case phone yes take charge yes heat charge work, 0.34, 4]]"
B00ZHD3CYG,[-0.4019],[2],"[[look, idea, case, fit, bumper, part, stay, attach, corner, keep, pop, broke, buy, otter, box]]","[[look idea case fit bumper part stay attach corner keep pop broke buy otter box, -0.4019, 2]]"
B00ZHI1US6,[0.5859],[5],"[[amaze, case]]","[[amaze case, 0.5859, 5]]"
B00ZIECEW0,[0.6908],[5],"[[niece, love, case, put, yoru, important, card, phone, place]]","[[niece love case put yoru important card phone place, 0.6908, 5]]"
B00ZR7YFBG,[0.0],[3],"[[print, sticker, case, wasnt, center]]","[[print sticker case wasnt center, 0.0, 3]]"
B00ZVI6PL4,[0.4108],[4],"[[fit, great, seems, water, resistant, builtin, screen, protector, doesnt, fit, screen, look, screen, turn, tell]]","[[fit great seems water resistant builtin screen protector doesnt fit screen look screen turn tell, 0.4108, 4]]"
B00ZYL4ZKQ,"[0.5859, 0.4215]","[5, 5]","[[greatholds, everything, need, protects, phone, case, fit, pocket], [nice]]","[[greatholds everything need protects phone case fit pocket, 0.5859, 5], [nice, 0.4215, 5]]"
B00ZYVKVVS,[0.6249],[5],"[[work, great, lgg]]","[[work great lgg, 0.6249, 5]]"
B0100VRO16,[0.1999],[2],"[[view, phone, case, arrive, expect, nice, case, seems, miss, piece, rubber, material, look, rip, torn, daughter, phone, use, didnt, cost, send, want, share, experience]]","[[view phone case arrive expect nice case seems miss piece rubber material look rip torn daughter phone use didnt cost send want share experience, 0.1999, 2]]"
B01104B0SU,[0.4404],[1],"[[case, crack, time, phone, drop, news, phone, didnt, break]]","[[case crack time phone drop news phone didnt break, 0.4404, 1]]"
B0113ISNRE,"[0.4265, 0.0, 0.6249, 0.7317, -0.2235, -0.6705, 0.8481, 0.5583, 0.0, -0.4404, 0.8496, 0.0, 0.5994, 0.0, -0.1695, 0.7269, 0.5221, 0.3612, 0.7096, 0.0]","[1, 5, 5, 5, 1, 2, 5, 5, 1, 1, 5, 1, 5, 2, 1, 5, 5, 5, 5, 1]","[[cable, come, work, didnt, expect, think, work, junk, buy, apple, brand], [love, thick, defininilty, buy], [receive, ft, cable, test, iphone, air, charge, device, beat, stick, day, week], [doesnt, trademark, show, picture, dont, know, quality], [work, great], [doesnt, work, ipad, air, advise, purchase, product, try, charging, brick, thing, get, message, ipad, charge], [cord], [perfect, value], [work, ipad, air, state, item, buy, number, star, review, im, start, think, fake, customer, yes, try, style, charge, brick, wall, socket, brief, moment, say, charge, charger, total, waste, time, money], [describe, fast, couldnt, finish, charge, charger, hour, give, sport, alert, multiple, time, doesnt, brand, name, dont, know, receive, genuine], [everyone, need, use, phone, apple, reject, message, deliver, super, quick], [adapter, work, ipadbr, message, read, device, description, product, indicate, work, ipad, iphone], [buyer, beware, item, mfi, certifiedbr, br, cable, apple, mfi, certify, work, ipad, air, iphone, br, br, worth, spending, time, money], [cord, ft, cord, price, work, fine, buy], [change, life, longer, tie, wall, think, need, gave, friend, think, stop, charge, battery, cant, attest, right, im, happy, camper], [order, cord, husband, son, cord, im, bed, anyway, come, time, seem, sturdy, test, cord, work, fine, go, bed, morning, husband, work, cord, stop, charge, sometime, night, phone, dead, cord, work, fine, contact, seller, cord, go, replace, ask, send, cord, defect, issue, reply, tell, worry, send, defect, send, replacement, week, cord, hassle, send, anything, cord, work, think, apple, bunch, great, customer, service, recommend, cord, seller], [day, broke, im, go, suck, didnt, spend, repurchase, amazon, certify], [iphone, use, cord, time, say, cord, recommend, cord, iphone, plus, air, thing, wont, work, im, look, cord, phone], [cable, work, advertise], [price, quality]]","[[cable come work didnt expect think work junk buy apple brand, 0.4265, 1], [love thick defininilty buy, 0.0, 5], [receive ft cable test iphone air charge device beat stick day week, 0.6249, 5], [doesnt trademark show picture dont know quality, 0.7317, 5], [work great, -0.2235, 1], [doesnt work ipad air advise purchase product try charging brick thing get message ipad charge, -0.6705, 2], [cord, 0.8481, 5], [perfect value, 0.5583, 5], [work ipad air state item buy number star review im start think fake customer yes try style charge brick wall socket brief moment say charge charger total waste time money, 0.0, 1], [describe fast couldnt finish charge charger hour give sport alert multiple time doesnt brand name dont know receive genuine, -0.4404, 1], [everyone need use phone apple reject message deliver super quick, 0.8496, 5], [adapter work ipadbr message read device description product indicate work ipad iphone, 0.0, 1], [buyer beware item mfi certifiedbr br cable apple mfi certify work ipad air iphone br br worth spending time money, 0.5994, 5], [cord ft cord price work fine buy, 0.0, 2], [change life longer tie wall think need gave friend think stop charge battery cant attest right im happy camper, -0.1695, 1], [order cord husband son cord im bed anyway come time seem sturdy test cord work fine go bed morning husband work cord stop charge sometime night phone dead cord work fine contact seller cord go replace ask send cord defect issue reply tell worry send defect send replacement week cord hassle send anything cord work think apple bunch great customer service recommend cord seller, 0.7269, 5], [day broke im go suck didnt spend repurchase amazon certify, 0.5221, 5], [iphone use cord time say cord recommend cord iphone plus air thing wont work im look cord phone, 0.3612, 5], [cable work advertise, 0.7096, 5], [price quality, 0.0, 1]]"
B0117SQLJW,[0.1452],[3],"[[glass, isnt, made, smudgesfingerprint, wipe, glass, cover, entire, width, phone, overall, okay, kind, want, buy]]","[[glass isnt made smudgesfingerprint wipe glass cover entire width phone overall okay kind want buy, 0.1452, 3]]"
B011IILTAW,[0.2838],[5],"[[get, dont, carry, anything]]","[[get dont carry anything, 0.2838, 5]]"
B0126F86YS,[0.3612],[4],"[[doesnt, offer, protection, id]]","[[doesnt offer protection id, 0.3612, 4]]"
B012OHL3QQ,[0.8146],[1],"[[arrive, manner, shape, wall, charger, didnt, work, battery, original, battery, last, day, use, product, refurbish, everything, work, scratch, part, phone, time, get, charger, battery, pay, got, phone]]","[[arrive manner shape wall charger didnt work battery original battery last day use product refurbish everything work scratch part phone time get charger battery pay got phone, 0.8146, 1]]"
