B0002BG6QY,[0.0],[3],"[[work, polk, db, speaker]]","[[work polk db speaker, 0.0, 3]]"
B00ZF6Q8ZA,[0.8707],[5],"[[nice, case, great, value]]","[[nice case great value, 0.8707, 5]]"
B00ZGCXBVW,"[0.4144, 0.7717]","[2, 5]","[[come, anticipate, love, texture, snug, fit, phone], [case, cover, rim, phone, look, pop]]","[[come anticipate love texture snug fit phone, 0.4144, 2], [case cover rim phone look pop, 0.7717, 5]]"
B00ZP5CISC,[0.8387],[5],"[[couldnt, ask, anything, color, perfect, fit, thank, delivery]]","[[couldnt ask anything color perfect fit thank delivery, 0.8387, 5]]"
B00ZZ1E2C6,"[-0.8716, 0.7964, -0.7229, 0.6595, 0.9231]","[1, 4, 2, 4, 5]","[[give, rating, take, say, tear, factor, band, black, portion, band, start, rub, couple, week, shame, longer], [band, great, price, fit, look, space, gray, watch], [difficult, instruction, write, english, tiny, screw, minuscule, screwdriver, instruction, remove, band, section, order, adjust, size, figure, day, band, come, apart, wrist, twice, throw, go, wrist, band], [band, price, screw, band, work], [product, good, well, customer, service, contact, email, product, ship, arrives, package, screw, hold, clasp, piece, attache, watch, send, bracket, lack, well, word, band, fit, sport, product, use, class, sport, apple, watch, work]]","[[give rating take say tear factor band black portion band start rub couple week shame longer, -0.8716, 1], [band great price fit look space gray watch, 0.7964, 4], [difficult instruction write english tiny screw minuscule screwdriver instruction remove band section order adjust size figure day band come apart wrist twice throw go wrist band, -0.7229, 2], [band price screw band work, 0.6595, 4], [product good well customer service contact email product ship arrives package screw hold clasp piece attache watch send bracket lack well word band fit sport product use class sport apple watch work, 0.9231, 5]]"
B0100WH0AK,[0.9509],[5],"[[unit, buy, like, buy, refurbish, one, car, refurbs, recommend, value]]","[[unit buy like buy refurbish one car refurbs recommend value, 0.9509, 5]]"
B0106ZN8XY,[0.9583],[5],"[[get, phone, case, say, impress, art, work, beautiful, color, feel, phone, super, safe]]","[[get phone case say impress art work beautiful color feel phone super safe, 0.9583, 5]]"
B010CVIA12,[-0.6818],[1],"[[print, look, nothing, picture, quality]]","[[print look nothing picture quality, -0.6818, 1]]"
B010EXZVJC,[-0.7704],[3],"[[expect, open, package, clear, rugged, screen, protector, ruin, spiderwebbed, crack, flaw, packaging, product, feel, temper, glass, felt, flimsy]]","[[expect open package clear rugged screen protector ruin spiderwebbed crack flaw packaging product feel temper glass felt flimsy, -0.7704, 3]]"
B010K1ULYI,[0.6369],[3],"[[stain, use, love, case]]","[[stain use love case, 0.6369, 3]]"
B0111WOV9G,[0.5719],[4],[[excellent]],"[[excellent, 0.5719, 4]]"
B011NCQ2Y6,[-0.1531],[4],"[[case, thing, trouble, temper, glass, screen, protectorit, tab, take, stick, screen, couldnt, see, side, tab, end, crack, screen, protector, pull, tab, side, dont, consider, glassits, thick, item, sleek, compact, love, cover, phone, go, vacation, come, handy, carry, purse]]","[[case thing trouble temper glass screen protectorit tab take stick screen couldnt see side tab end crack screen protector pull tab side dont consider glassits thick item sleek compact love cover phone go vacation come handy carry purse, -0.1531, 4]]"
B011TVBIF4,"[0.8519, 0.6249]","[5, 5]","[[awesome, service, love, case]]","[[awesome service love case, 0.8519, 5], [, 0.6249, 5]]"
B011XFS43U,[0.3326],[4],"[[case, dont, care, screen, protector, easy, put, u, make, sure, get, bubble]]","[[case dont care screen protector easy put u make sure get bubble, 0.3326, 4]]"
B0129E5O50,[-0.6705],[1],"[[garbage, dont, buy, put, side, broke, volume, go, came, defect, lot, money, plastic, cheap, make, china]]","[[garbage dont buy put side broke volume go came defect lot money plastic cheap make china, -0.6705, 1]]"
B012XZ6LFC,"[0.9702, 0.2263]","[4, 1]","[[case, look, nice, doesnt, work, rightthe, quick, circle, time, doesnt, pop], [alternative, wireless, charge, sticker, price, install, quick, circle, interface, wireless, charge, start, work, snap, replacement, panel, nothing, configure, case, nice, texture, give, grip, appear, legit, lg, productbr, wish, magnet, wireless, charger, bit, stronger, pain, align, phone, like, bit, drop, protection, back, plate, shape, preclude, use, standard, g, casebr, overall, good, product, price, duracell, powermat, buy, wireless, charge, set]]","[[case look nice doesnt work rightthe quick circle time doesnt pop, 0.9702, 4], [alternative wireless charge sticker price install quick circle interface wireless charge start work snap replacement panel nothing configure case nice texture give grip appear legit lg productbr wish magnet wireless charger bit stronger pain align phone like bit drop protection back plate shape preclude use standard g casebr overall good product price duracell powermat buy wireless charge set, 0.2263, 1]]"
B0131EE9JO,[0.5267],[3],"[[ok, look, ok]]","[[ok look ok, 0.5267, 3]]"
B013HNO1SS,[0.6542],[4],"[[sturdy, thing, arrive, ten, buck, doesnt, make, phone, either, case, star]]","[[sturdy thing arrive ten buck doesnt make phone either case star, 0.6542, 4]]"
B013I04PSG,[0.872],[5],"[[take, driver, license, picture, everything, fit, stay, close]]","[[take driver license picture everything fit stay close, 0.872, 5]]"
