B0009A0CSQ,[0.4404],[4],[[sale]],"[[sale, 0.4404, 4]]"
B00MXWFUQC,"[0.9882, 0.4215, 0.9567, -0.1531, 0.0, -0.3089, 0.3804, 0.6249, -0.2263, 0.3612, 0.0129, 0.8126, 0.0, -0.4215, 0.8519, 0.743, 0.6398, -0.4767, 0.945, 0.6908, 0.9442, 0.9849, 0.9677, 0.7945, 0.3803, 0.7783, 0.8975, 0.2732, 0.8431, 0.6249, 0.7906, 0.7717, 0.6249, 0.6249, 0.5483, -0.0772, 0.8204, 0.6115, 0.9212, 0.4404, 0.0, -0.6705, 0.0, 0.6249, 0.1139, 0.8399, 0.6249, 0.6369, 0.5719, 0.1531, -0.1531, 0.2732, 0.7783, 0.9455, 0.0, 0.0, 0.4497, 0.8999, 0.9233, 0.6486, 0.9721, 0.6369, -0.1428, 0.7783, 0.0, 0.5719]","[4, 4, 5, 2, 5, 5, 5, 4, 1, 5, 2, 5, 1, 1, 5, 5, 5, 5, 5, 4, 5, 4, 5, 4, 4, 5, 5, 4, 4, 5, 5, 4, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 4, 5, 1, 5, 5, 5, 5, 4, 3, 4, 5, 5, 5, 2, 4, 5, 5, 5, 5, 5, 4, 5, 4, 5]","[[worksbr, come, gluelike, substance, suction, cup, bet, mess, dash, leave, whilebr, windshield, work, greatbr, clamp, hold, phone, pull, phone, adjust, clamp, dont, want], [release, button, placement, knock, product, something, hope, get, use], [productbr, downside, grip, phone, compare, brand, pressure, button], [nice, design, make, adjusts, fit, phone, note, depend, thickness, phonephone, case, need, remove, case, phone, order, use, holder, power, input, insert, base, phone, there, slot, power, cord, insert, access, phonecase, thick, easy, deal], [work, great, place, place, havent, move, hold, cell, great, learn, lock, cell, phone, get, align], [awesome, tool, use, motorcycle, windshield, hold, awkward, shape, phone, come, use, charger, connect], [awesome], [cant, keep, dash, keep, fall], [bring, cause, work, wheel, car, company, vehicle, buck, cant, beat, bat], [nice, product], [sturdy, hold, note, edge, fallen, mount, windshield], [work, expectation], [product, work, advertise, dashboard, week, navigation], [work, variety, phone, size, mount, seems, far, happy, purchase, make, drive], [work, advertise], [thing, week, work, complaining, doesnt, hold, phone, tighten, grib, knob, thats, order, couple, gift], [love, order, husband, truck, order, car, wasnt, phone, love, open, accommodate, phone, angle, u, say, love], [work, glass], [cell, phone, holder, car, position, place, car, move, didnt, notice, suction, cup, sticky, backing, move, place, car, phone, mount, stick, stay, place, phone, mount, backing, aspect, side, press, button, get, move, wider, fit, samsung, iphone, c, car, phone, mount, price, work, recommend, car, mount, family, friend], [item, work, wife, love, itbr, installbr, thank], [job, nothing, use, day], [mount, motorcycle, gas, tank, use, hold, garmin, work, flip, way, refuel, mount, seem, quality, jaw, ratchet, close, press, button, release, buy], [buysturdy, stay, dashboard], [product], [work, perfect], [product, ], [fall, dash], [love], [product, hold, phone], [get, phone, holder, stay, dashboard, return, way, design, didnt, work], [work, thing, suck, mount, product, need, littlebit, adjustment], [stable, less, vibration, iottie, mount, use, design, believe, reduces, amount, wiggle, go, bump, bit, vibration, drive, highway, pothole, note, case, well, phone, attachment, different, picture, protrusion, hold, bottom, phone, benefit, allow, adjustment, placement, interference, charge, plug, headphone, port, spen, removal, samsung, note, phone, side, clasp, range, fit, phone, case, touch, placement, mount, require, hand, place, phone, mount, satisfy, product, price, use, comment, longterm, durability], [hold, phone, suction, hold, car, look, something, ok, company, contact, review, ask, send, unit, try, exact, design, work, happy, stick, put, stay, love, thanks, quick, replacement], [broke, time, try, install, followup, service], [work, great, device, suction, cup, bit, make, difficult, position, flush, surface, dash, go, windshield, work, want], [suction, stay, attach, dash, board, unit, fall, phone, holder], [buy, wife, love, live, city, cell, phone, use, hand, say, life, saver, couldnt, happier, toyota, camry, suction, center, console, shifter], [work, huawei, ], [get, week, start, use, work], [quality, mount, dash, board, car, grip], [review, holder, sorry, people, buy, thought, replacement, awesome, hold, obstruction, issue, happy], [problem, fall, window], [okay, cheap, dash, week, saturn, wagon, spot, mount, stuck, week, imagine, release, time, clean, re, attach, happens, add, comment, cant, reattachbr, neanderthal, reason, plastic, grabber, break, people, comment, force, hold, use, hand, button, left, applying, side, pressure, see, note, case, doesnt, move], [describe, position, satisfy], [convenient, im, use, lot], [work, need, package], [family, own, phone, holder, price, break, week, get, replacement, turn, look, try, recommend], [month, work, install, use], [buy, use, car, mount, iphone, pay, sample, sponsor, product, review, product, review, itembr, br, packaging, sturdy, package, item, wrap, came, card, product, company, informationbr, br, setup, set, car, mount, part, head, phone, hold, body, mount, standssticks, surface, connect, part, slight, trouble, connect, make, sure, hear, click, sound, connect, piece, connection, confirmationbr, br, usage, use, car, mount, look, feel, maneuverability, car, mount, screen, block, correct, position, feel, landscape, portrait, phone, place, car, mount, sturdy, shake, wobblebr, br, use, item, put, undo, click, piece, voila, donebr, br, setback, ive, encounter, setback, use, product, product, price, fluctuate, buy, week, half, get, difference, thanks, amazon, price, policy, day, get, differentiate, price, difference, lossbr, br, use, car, mount, phone, bottom, bar, sits, open, middle, charge, go, block, headphone, jack, youre, need, use, headphone, jack, car, call, aux, cable, become, luckily, find, makeshift, solution, problem, connect, whatever, want, headphone, jack, place, car, mount, thanks, claw, car, mount, side, stay, place, movementbr, br, happy, car, mount, recommend, friend, question, comment, feel, post], [keep, fall, return], [matter, make, stick, dashboard, windshield, disappoint, want, work, update, contact, company, post, review, offer, send, took, mount, stuck, dashboard, week, see, customer, service], [purchase, replacement, sh, broke, move, vehicle, windshield, use, iphone, work], [adhesion, windshield, different, angel, display], [excellent], [issue, performs, expect], [deal, moneytill, teeth, broke, wont, poem, close, get, pay, wont, order, since, month], [star], [buy, love, id, love, know, thing, throw, cell, phone, holder, total, garbage, suction, wind, shield, crazy, fall, month, snug, anything, multiple, way, adjust, arm, towards, leave, phone, sit, ledge, bottom, ratchet, side, brace, phone, plug, car, charger, flip, ledge, way, use, side, brace, fit, snug, phone, fall, thing, rubber, part, foam, part, melt, heat, melt, glue, one, perfection, want, buy, keep, hand, case, thing, break, line, cant, thing, car], [work, great, suction, cup, hold, place, adjust, note, case], [car, holder, sturdy, easy, install, rotate, angle, want, make, talk, drivingbr, cant, order, price], [stick, buy, son, husband, stay, place], [broke], [jell, pack, stick], [cool], [exceed, expectation, product], [work]]","[[worksbr come gluelike substance suction cup bet mess dash leave whilebr windshield work greatbr clamp hold phone pull phone adjust clamp dont want, 0.9882, 4], [release button placement knock product something hope get use, 0.4215, 4], [productbr downside grip phone compare brand pressure button, 0.9567, 5], [nice design make adjusts fit phone note depend thickness phonephone case need remove case phone order use holder power input insert base phone there slot power cord insert access phonecase thick easy deal, -0.1531, 2], [work great place place havent move hold cell great learn lock cell phone get align, 0.0, 5], [awesome tool use motorcycle windshield hold awkward shape phone come use charger connect, -0.3089, 5], [awesome, 0.3804, 5], [cant keep dash keep fall, 0.6249, 4], [bring cause work wheel car company vehicle buck cant beat bat, -0.2263, 1], [nice product, 0.3612, 5], [sturdy hold note edge fallen mount windshield, 0.0129, 2], [work expectation, 0.8126, 5], [product work advertise dashboard week navigation, 0.0, 1], [work variety phone size mount seems far happy purchase make drive, -0.4215, 1], [work advertise, 0.8519, 5], [thing week work complaining doesnt hold phone tighten grib knob thats order couple gift, 0.743, 5], [love order husband truck order car wasnt phone love open accommodate phone angle u say love, 0.6398, 5], [work glass, -0.4767, 5], [cell phone holder car position place car move didnt notice suction cup sticky backing move place car phone mount stick stay place phone mount backing aspect side press button get move wider fit samsung iphone c car phone mount price work recommend car mount family friend, 0.945, 5], [item work wife love itbr installbr thank, 0.6908, 4], [job nothing use day, 0.9442, 5], [mount motorcycle gas tank use hold garmin work flip way refuel mount seem quality jaw ratchet close press button release buy, 0.9849, 4], [buysturdy stay dashboard, 0.9677, 5], [product, 0.7945, 4], [work perfect, 0.3803, 4], [product , 0.7783, 5], [fall dash, 0.8975, 5], [love, 0.2732, 4], [product hold phone, 0.8431, 4], [get phone holder stay dashboard return way design didnt work, 0.6249, 5], [work thing suck mount product need littlebit adjustment, 0.7906, 5], [stable less vibration iottie mount use design believe reduces amount wiggle go bump bit vibration drive highway pothole note case well phone attachment different picture protrusion hold bottom phone benefit allow adjustment placement interference charge plug headphone port spen removal samsung note phone side clasp range fit phone case touch placement mount require hand place phone mount satisfy product price use comment longterm durability, 0.7717, 4], [hold phone suction hold car look something ok company contact review ask send unit try exact design work happy stick put stay love thanks quick replacement, 0.6249, 5], [broke time try install followup service, 0.6249, 5], [work great device suction cup bit make difficult position flush surface dash go windshield work want, 0.5483, 5], [suction stay attach dash board unit fall phone holder, -0.0772, 4], [buy wife love live city cell phone use hand say life saver couldnt happier toyota camry suction center console shifter, 0.8204, 5], [work huawei , 0.6115, 5], [get week start use work, 0.9212, 5], [quality mount dash board car grip, 0.4404, 5], [review holder sorry people buy thought replacement awesome hold obstruction issue happy, 0.0, 5], [problem fall window, -0.6705, 5], [okay cheap dash week saturn wagon spot mount stuck week imagine release time clean re attach happens add comment cant reattachbr neanderthal reason plastic grabber break people comment force hold use hand button left applying side pressure see note case doesnt move, 0.0, 4], [describe position satisfy, 0.6249, 5], [convenient im use lot, 0.1139, 1], [work need package, 0.8399, 5], [family own phone holder price break week get replacement turn look try recommend, 0.6249, 5], [month work install use, 0.6369, 5], [buy use car mount iphone pay sample sponsor product review product review itembr br packaging sturdy package item wrap came card product company informationbr br setup set car mount part head phone hold body mount standssticks surface connect part slight trouble connect make sure hear click sound connect piece connection confirmationbr br usage use car mount look feel maneuverability car mount screen block correct position feel landscape portrait phone place car mount sturdy shake wobblebr br use item put undo click piece voila donebr br setback ive encounter setback use product product price fluctuate buy week half get difference thanks amazon price policy day get differentiate price difference lossbr br use car mount phone bottom bar sits open middle charge go block headphone jack youre need use headphone jack car call aux cable become luckily find makeshift solution problem connect whatever want headphone jack place car mount thanks claw car mount side stay place movementbr br happy car mount recommend friend question comment feel post, 0.5719, 5], [keep fall return, 0.1531, 4], [matter make stick dashboard windshield disappoint want work update contact company post review offer send took mount stuck dashboard week see customer service, -0.1531, 3], [purchase replacement sh broke move vehicle windshield use iphone work, 0.2732, 4], [adhesion windshield different angel display, 0.7783, 5], [excellent, 0.9455, 5], [issue performs expect, 0.0, 5], [deal moneytill teeth broke wont poem close get pay wont order since month, 0.0, 2], [star, 0.4497, 4], [buy love id love know thing throw cell phone holder total garbage suction wind shield crazy fall month snug anything multiple way adjust arm towards leave phone sit ledge bottom ratchet side brace phone plug car charger flip ledge way use side brace fit snug phone fall thing rubber part foam part melt heat melt glue one perfection want buy keep hand case thing break line cant thing car, 0.8999, 5], [work great suction cup hold place adjust note case, 0.9233, 5], [car holder sturdy easy install rotate angle want make talk drivingbr cant order price, 0.6486, 5], [stick buy son husband stay place, 0.9721, 5], [broke, 0.6369, 5], [jell pack stick, -0.1428, 4], [cool, 0.7783, 5], [exceed expectation product, 0.0, 4], [work, 0.5719, 5]]"
B00MYZW8SQ,"[0.8689, 0.7964, 0.2382]","[5, 5, 3]","[[case, ultra, thin, offer, protection, supcase, drop, phone, multiple, time, scratch, crack, screen], [perfect, case, need, grip, design, seem, case, guess, update, drop], [look, good, unlevel, side]]","[[case ultra thin offer protection supcase drop phone multiple time scratch crack screen, 0.8689, 5], [perfect case need grip design seem case guess update drop, 0.7964, 5], [look good unlevel side, 0.2382, 3]]"
B00N39OFH4,"[0.0, 0.4391]","[5, 5]","[[expect, make, screen, see], [quality, screen, protector, price]]","[[expect make screen see, 0.0, 5], [quality screen protector price, 0.4391, 5]]"
B00NEDHOAY,[0.7755],[5],"[[neat, way, fit, garmin, wasting, space]]","[[neat way fit garmin wasting space, 0.7755, 5]]"
B00NKVR8HY,"[0.8481, -0.4767, 0.8357]","[5, 1, 5]","[[seller, great, product], [fit, perfect, phone, screen, queda, perfecto, y, protege, bien, la, pantalla, del, cel], [receive, screen, protector, iphone, couldnt]]","[[seller great product, 0.8481, 5], [fit perfect phone screen queda perfecto y protege bien la pantalla del cel, -0.4767, 1], [receive screen protector iphone couldnt, 0.8357, 5]]"
B00NSF0ZH2,[-0.1695],[4],"[[year, stop, work, worth, today, discover, battery, creddeal, recharge, plug, rubber, light, beeb]]","[[year stop work worth today discover battery creddeal recharge plug rubber light beeb, -0.1695, 4]]"
B00NUPUS9K,"[0.8159, -0.3071]","[3, 2]","[[love, design, broke, put], [open, glance, alright, quality, case, price, expect, cross, finger, odor, hop, go, use]]","[[love design broke put, 0.8159, 3], [open glance alright quality case price expect cross finger odor hop go use, -0.3071, 2]]"
B00NUR462I,[-0.1629],[3],"[[yes, texttype, letter, side, swipe, top, bottom, screen, use, case]]","[[yes texttype letter side swipe top bottom screen use case, -0.1629, 3]]"
B00NZSSC22,"[0.2382, 0.3384, 0.6369]","[3, 5, 5]","[[work], [break, easy, glass]]","[[work, 0.2382, 3], [break easy glass, 0.3384, 5], [, 0.6369, 5]]"
B00O3H6032,"[0.0, -0.5719]","[5, 5]","[[fine, type, need, get, one, need, galaxy, phone, tablet], []]","[[fine type need get one need galaxy phone tablet, 0.0, 5], [, -0.5719, 5]]"
B00O4BPFVA,"[0.7717, 0.5859]","[5, 4]","[[amaze, yada, yada, yada], [fit, phone, bulky]]","[[amaze yada yada yada, 0.7717, 5], [fit phone bulky, 0.5859, 4]]"
B00O4EXYNI,[0.6369],[5],"[[change, life, love]]","[[change life love, 0.6369, 5]]"
B00O983MMW,[0.6249],[5],"[[awesome, crystalclear, thicker, protector]]","[[awesome crystalclear thicker protector, 0.6249, 5]]"
B00OGLOHFS,[0.0],[4],[[look]],"[[look, 0.0, 4]]"
B00OHWXZUY,"[-0.0644, 0.0, 0.0, 0.8641, 0.9313, 0.765, -0.7629, 0.9349, 0.3182, 0.0, 0.2716, 0.3384, 0.3612, 0.3818]","[5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 5]","[[product, check, size, buy, others, see, bit, weighty, capacity, greatbr, instruction, flashlight, feature, press, power, button, second, thing, turn], [work, charge, iphone, kindleat, time], [use, perform, expect], [power, fan, pad, stuff], [receive, item, evening, decide, charge, overnight, use, turn, follow, morning, smell, burn, fume, come, battery, pack, sure, battery, pack, something, burn, wait, minute, try, time, worse, see, plume, smoking, emiited, device, point, think, catch, fire, leave, cool, downbr, br, receive, model, base, review, device, malfunction, fashion], [unit, compact, recharge, phone, time], [use, couple, time, love, feel, build, quality], [thank], [product], [review, feedbacksbr, br, delivery, qualitybr, receive, time, starsbr, packaging, quality, starsbr, customer, support, starsbr, payment, relate, issue, give, call, customer, care, support, person, address, issue, patiencebr, br, product, build, qualitybr, body, charger, quality, starsbr, surface, charger, give, rubber, type, feel, starsbr, usb, cable, charger, good, quality, starsbr, pouch, carry, charger, quality, starsbr, weight, gm, starsbr, carry, pocket, buyer, look, option, charger, carry, pocket, dont, go, bit, heavier, bigger, carry, inside, pocketsbr, br, usagebr, charge, charger, night, think, take, hr, charge, discharge, state, use, charger, charging, starsbr, lead, intensity, want, use, torch, starsbr, charge, smartphones, mah, battery, statistic, belowbr, charge, mah, phone, use, usb, output, led, charger, blue, power, button, press, take, hr, min, charge, phone, discharge, statebr, charge, mah, phone, use, usb, output, led, leds, charger, blue, power, button, press, take, hr, min, charge, phone, discharge, statebr, charge, mah, phone, use, usb, output, led, leds, charger, blue, power, button, press, take, hr, min, charge, phone, discharge, statebr, charge, mah, phone, use, usb, output, take, hr, charge, charge, die, press, power, button, led, blinkingbr, br, put, charger, recharge, hop, get, consistent, charge, amount, didnt, led, turn, status, led, blink, led, inconsistency, get, idea, status, charge, hold, improve, made, consistent, predictablebr, br, think, behaviour, see, variety, charger, predict, charge, amount, battery, require, circuitry, increase, cost, guessingbr, br, look, experience, meet, expectation, go, expect, number, time, change, smartphone], [recommend], [charger, didnt, get, instruction, booklet, mine, function, intuitive, question, charging, unit, answer, manufacturer, recommend, product, good, quality], [product, seller], [power, bank, capacity, lose, instruction, came, bank, anyone, help, copy, instruction, regard, charge, bank, please, thanks]]","[[product check size buy others see bit weighty capacity greatbr instruction flashlight feature press power button second thing turn, -0.0644, 5], [work charge iphone kindleat time, 0.0, 5], [use perform expect, 0.0, 5], [power fan pad stuff, 0.8641, 5], [receive item evening decide charge overnight use turn follow morning smell burn fume come battery pack sure battery pack something burn wait minute try time worse see plume smoking emiited device point think catch fire leave cool downbr br receive model base review device malfunction fashion, 0.9313, 5], [unit compact recharge phone time, 0.765, 5], [use couple time love feel build quality, -0.7629, 1], [thank, 0.9349, 5], [product, 0.3182, 5], [review feedbacksbr br delivery qualitybr receive time starsbr packaging quality starsbr customer support starsbr payment relate issue give call customer care support person address issue patiencebr br product build qualitybr body charger quality starsbr surface charger give rubber type feel starsbr usb cable charger good quality starsbr pouch carry charger quality starsbr weight gm starsbr carry pocket buyer look option charger carry pocket dont go bit heavier bigger carry inside pocketsbr br usagebr charge charger night think take hr charge discharge state use charger charging starsbr lead intensity want use torch starsbr charge smartphones mah battery statistic belowbr charge mah phone use usb output led charger blue power button press take hr min charge phone discharge statebr charge mah phone use usb output led leds charger blue power button press take hr min charge phone discharge statebr charge mah phone use usb output led leds charger blue power button press take hr min charge phone discharge statebr charge mah phone use usb output take hr charge charge die press power button led blinkingbr br put charger recharge hop get consistent charge amount didnt led turn status led blink led inconsistency get idea status charge hold improve made consistent predictablebr br think behaviour see variety charger predict charge amount battery require circuitry increase cost guessingbr br look experience meet expectation go expect number time change smartphone, 0.0, 5], [recommend, 0.2716, 5], [charger didnt get instruction booklet mine function intuitive question charging unit answer manufacturer recommend product good quality, 0.3384, 5], [product seller, 0.3612, 5], [power bank capacity lose instruction came bank anyone help copy instruction regard charge bank please thanks, 0.3818, 5]]"
B00OJVH2FW,[-0.4767],[1],"[[deliver, break]]","[[deliver break, -0.4767, 1]]"
B00OL6WXEU,[-0.6486],[3],"[[device, dont, hold, charge, expect, hour]]","[[device dont hold charge expect hour, -0.6486, 3]]"
B00OPW1C7O,[0.4588],[5],[[case]],"[[case, 0.4588, 5]]"
B00OUIXQ36,[0.4215],[4],"[[nice, brand]]","[[nice brand, 0.4215, 4]]"
B00OUNKVKM,[0.7962],[5],"[[nice, issue, use, flash, happy]]","[[nice issue use flash happy, 0.7962, 5]]"
B00OZ3WFK6,"[0.6579, 0.807, 0.0]","[4, 5, 5]","[[look, great, quality], [pink, iphone, c, look, thing, dont, sound, come, listen], [case]]","[[look great quality, 0.6579, 4], [pink iphone c look thing dont sound come listen, 0.807, 5], [case, 0.0, 5]]"
B00P1EAAEG,"[0.5719, 0.7845]","[5, 5]","[[wish, color, option], [perfect]]","[[wish color option, 0.5719, 5], [perfect, 0.7845, 5]]"
B00P2B0LTW,"[0.6124, 0.0]","[5, 5]","[[want], [simple, tpu, case, fit]]","[[want, 0.6124, 5], [simple tpu case fit, 0.0, 5]]"
B00P3PIZB8,[-0.4215],[2],"[[card, holder, broke]]","[[card holder broke, -0.4215, 2]]"
B00P6QRZ1A,[0.1027],[1],"[[band, month, wore, time, velcro, longer, hold, band, arm, start, use, duck, tape, find, velcro, sew, otherwise, work, alright, short, time, use, disappoint]]","[[band month wore time velcro longer hold band arm start use duck tape find velcro sew otherwise work alright short time use disappoint, 0.1027, 1]]"
B00P6TYL8C,[0.8524],[5],"[[nice, thanks]]","[[nice thanks, 0.8524, 5]]"
B00PEQL2R0,[0.3716],[3],"[[product, great, work, hdmi, port, rest]]","[[product great work hdmi port rest, 0.3716, 3]]"
B00PHZ5FHQ,[0.7845],[5],"[[quality, color]]","[[quality color, 0.7845, 5]]"
B00PJAEBMO,"[-0.34, 0.0, 0.4215, 0.3612, 0.7506]","[1, 5, 5, 4, 5]","[[nice, jaime, ], [work, expect], [work, feel, cheap], [arrive, promise], [quality, nice, price, fit, moto, x]]","[[nice jaime , -0.34, 1], [work expect, 0.0, 5], [work feel cheap, 0.4215, 5], [arrive promise, 0.3612, 4], [quality nice price fit moto x, 0.7506, 5]]"
B00PJVTONO,[0.9578],[5],"[[color, wish, wallet, style, love, case, ulak, great, brand, cell, phone, ipad, coverscases]]","[[color wish wallet style love case ulak great brand cell phone ipad coverscases, 0.9578, 5]]"
B00PRAQYJ4,"[0.9542, 0.8402]","[4, 5]","[[come], [cover, super, cute, star, fit, pocket, decoration, give, rhinestone]]","[[come, 0.9542, 4], [cover super cute star fit pocket decoration give rhinestone, 0.8402, 5]]"
B00PRQWCQC,[0.51],[3],"[[case, fit, galaxy, note, doesnt, cover, edge, expect, bottom, edge, phone, expose]]","[[case fit galaxy note doesnt cover edge expect bottom edge phone expose, 0.51, 3]]"
B00PV27PLE,[0.7687],[5],"[[product, fit, perfect, question, business, wydan, magnet, please, instruction, wont, go]]","[[product fit perfect question business wydan magnet please instruction wont go, 0.7687, 5]]"
B00PVN1DC0,"[-0.0516, 0.8689, -0.5423, 0.5859, 0.765, 0.5859]","[4, 5, 2, 5, 4, 5]","[[arrive, describe, kit, change, watch, battery, thing, work, complaint, price], [set, tool, watch], [amaze, product, dont, know], [grandfather, love, wish, find, product, sooner, prefer, buy, amazon, v, sit], [quality, price, cant, ask, use, set, plastic, finish, quality, dollar, store, buy], [tool, set, take, screw, watch, use, tool, set, lok, im, keep, finger, cross, time, use, tool]]","[[arrive describe kit change watch battery thing work complaint price, -0.0516, 4], [set tool watch, 0.8689, 5], [amaze product dont know, -0.5423, 2], [grandfather love wish find product sooner prefer buy amazon v sit, 0.5859, 5], [quality price cant ask use set plastic finish quality dollar store buy, 0.765, 4], [tool set take screw watch use tool set lok im keep finger cross time use tool, 0.5859, 5]]"
B00Q47X9HE,[0.8254],[5],"[[lookdesign, sturdy, phone, drop, alot, fade, lose, gem]]","[[lookdesign sturdy phone drop alot fade lose gem, 0.8254, 5]]"
B00QAQS3QQ,[0.8519],[5],"[[bundle, arrive, time, love, starry, night, case]]","[[bundle arrive time love starry night case, 0.8519, 5]]"
B00QAXX0ZS,[0.6249],[5],"[[work, great]]","[[work great, 0.6249, 5]]"
B00QJP7FLM,[0.4215],[4],[[nice]],"[[nice, 0.4215, 4]]"
B00QM323I6,[-0.643],[2],"[[need, monitor, provides, ability, see, maintain, crisp, follow, focus, short, depth, field, avoid, yes, work, need, resolution, thats, pay, quality, unit, battery, clip, work, connection, design, tends, make, monitor, mounting]]","[[need monitor provides ability see maintain crisp follow focus short depth field avoid yes work need resolution thats pay quality unit battery clip work connection design tends make monitor mounting, -0.643, 2]]"
B00QQ3LN8S,[0.0],[5],"[[al, ud, excelent]]","[[al ud excelent, 0.0, 5]]"
B00QTXZ5GG,[-0.6486],[1],"[[dead, month, use, get, touch, anyone, warranty]]","[[dead month use get touch anyone warranty, -0.6486, 1]]"
B00QU8YH2S,"[0.0, 0.3612, 0.8834, 0.9552, 0.6124]","[1, 5, 5, 5, 5]","[[met, expectation, excellent, quality, perfect, fit, prompt, shipping, excellent, value, recommend, look, antiglare, screen, protector], [shield, perfect, ease, application, screen, finger, print, honest, ad], [arrive, describe, fit, lg, recommend, anyone, cell], [sticker, come, leaf, blur, spot, screen], [custom, fit, dont, need, trim]]","[[met expectation excellent quality perfect fit prompt shipping excellent value recommend look antiglare screen protector, 0.0, 1], [shield perfect ease application screen finger print honest ad, 0.3612, 5], [arrive describe fit lg recommend anyone cell, 0.8834, 5], [sticker come leaf blur spot screen, 0.9552, 5], [custom fit dont need trim, 0.6124, 5]]"
B00R06SN10,[0.0],[1],"[[get, use]]","[[get use, 0.0, 1]]"
B00R2MEH94,[-0.6195],[2],"[[assume, everyone, write, pro, con, receive, headphone, paid, review, bottom, line, buy, headphone, latencyskipping, issue, headphone, listen, lp, begin, track, track, skip, repeat, note, annoy, headphone, device, preforms, lag, watch, video, movie, movie, watching, kung, fu, annoy, skipping, lag, issue, headphone, pair, sound, wear, purchase, plan, anything, wearing, stay, head, head]]","[[assume everyone write pro con receive headphone paid review bottom line buy headphone latencyskipping issue headphone listen lp begin track track skip repeat note annoy headphone device preforms lag watch video movie movie watching kung fu annoy skipping lag issue headphone pair sound wear purchase plan anything wearing stay head head, -0.6195, 2]]"
B00R3K336S,[0.5719],[5],[[excellent]],"[[excellent, 0.5719, 5]]"
B00R5WGT2E,[0.1001],[4],"[[work, adjust, setting]]","[[work adjust setting, 0.1001, 4]]"
B00RCJJWYM,[0.5719],[5],[[perfect]],"[[perfect, 0.5719, 5]]"
B00RPDXR3W,[0.9846],[5],"[[protect, face, case, love, use, dont, use, purse, convenient, keep, card, phone, anyways, time, people, ask, buy, card, pay, design, overall, wish, well, coverage]]","[[protect face case love use dont use purse convenient keep card phone anyways time people ask buy card pay design overall wish well coverage, 0.9846, 5]]"
B00RVC28O6,"[0.5719, 0.9656, -0.5757, 0.9484, 0.6124]","[5, 5, 5, 4, 5]","[[perfect, case], [ok, receive, case, let, review, love, fit, snug, phone, feel, hand, button, press, problembr, screen, protector, come, rainbow, effect, compare, model, come, screen, protector, dont, experience, record, wish, cover, home, button, ear, piece, dust, wouldnt, get, stick, therebr, conclusion, rate, rainbow, effect, screen, bother, everything, case, nice, soi, give], [case, close, call, save, phone, time, build, screen, protector, case, look, job], [case, price, hate, spending, money, case, otterbox, case, make, prefer, case, bit], [excellent, case, screen, protector, receptive, click, noise, volume, power, button, tab, work, speaker, issue, charge, headphone, door, issue, film, home, button, vibrate, sketch, deep, front, camera, earpiece, sensor, issue, nice, grip, case, issue, camera, flash, recommend, case, buy, fr, screen, issue, muffle, sound]]","[[perfect case, 0.5719, 5], [ok receive case let review love fit snug phone feel hand button press problembr screen protector come rainbow effect compare model come screen protector dont experience record wish cover home button ear piece dust wouldnt get stick therebr conclusion rate rainbow effect screen bother everything case nice soi give, 0.9656, 5], [case close call save phone time build screen protector case look job, -0.5757, 5], [case price hate spending money case otterbox case make prefer case bit, 0.9484, 4], [excellent case screen protector receptive click noise volume power button tab work speaker issue charge headphone door issue film home button vibrate sketch deep front camera earpiece sensor issue nice grip case issue camera flash recommend case buy fr screen issue muffle sound, 0.6124, 5]]"
B00RYCQM3Q,"[0.0, 0.8781, 0.0]","[1, 2, 2]","[[area, power, button, tore], [look, coming, pack, fit, part, make, material, take, color, thing, become, dirty, look, bruise, design, need, figure, material, white, part, hold, well], [slim]]","[[area power button tore, 0.0, 1], [look coming pack fit part make material take color thing become dirty look bruise design need figure material white part hold well, 0.8781, 2], [slim, 0.0, 2]]"
B00S3T4UBA,[0.6369],[5],"[[case, arrive, schedule]]","[[case arrive schedule, 0.6369, 5]]"
B00SFIMTR6,[0.7717],[5],"[[case, thank]]","[[case thank, 0.7717, 5]]"
B00SKOFPPI,[0.4854],[3],"[[transaction, fine, quality, product, well, way, open, require, material, way, cinch, end, product, end, use, tape, look, bit, trashyi, use, product, point]]","[[transaction fine quality product well way open require material way cinch end product end use tape look bit trashyi use product point, 0.4854, 3]]"
B00SKPA5M0,[0.0],[2],"[[buy, fosman, cable, lead, charge, indicator, decide, buy, pair, lesser, quality, shorter, length, wire, thin, wont]]","[[buy fosman cable lead charge indicator decide buy pair lesser quality shorter length wire thin wont, 0.0, 2]]"
B00SZZTYX6,[0.7897],[4],"[[design, downside, cover, thin, feel, nothing, wish, cover, bit, thicker, protect, iphone]]","[[design downside cover thin feel nothing wish cover bit thicker protect iphone, 0.7897, 4]]"
