B0007WRQ8A,"[0.6124, 0.6808]","[5, 5]","[[yes, thank], [antenna, fit, sr, toyota, pickup, thank]]","[[yes thank, 0.6124, 5], [antenna fit sr toyota pickup thank, 0.6808, 5]]"
B00W4OJIF8,"[0.6249, 0.2896, -0.8402, 0.0, 0.0]","[5, 1, 1, 1, 1]","[[buy, expectation, break, week, leave, feedback, dont, waste, money], [buy, cord, air, transfer, recharge, devicebr, work, smaller, power, usage, device, iphones, ipod, etc], [awesome, product, kid, seat, charge, use, phone], [broke, less, week, get, disappoint], [didnt, work, charge, ipad, return, refund]]","[[buy expectation break week leave feedback dont waste money, 0.6249, 5], [buy cord air transfer recharge devicebr work smaller power usage device iphones ipod etc, 0.2896, 1], [awesome product kid seat charge use phone, -0.8402, 1], [broke less week get disappoint, 0.0, 1], [didnt work charge ipad return refund, 0.0, 1]]"
B00W51KQME,[0.8126],[4],"[[fit, phone, cute]]","[[fit phone cute, 0.8126, 4]]"
B00W5UA0VM,[-0.5423],[2],[[material]],"[[material, -0.5423, 2]]"
B00WFMMJGE,[-0.0115],[5],"[[nice, tightfitting, bulky, case, afford, protection, leave, plenty, room, screen, protector, recommend, glass, case, lip, top, lift, screen, surface, lay, facedown, grippy, allows, pull, phone, pocket, glassslick, eitherbr, br, buy, dark, blue, grey]]","[[nice tightfitting bulky case afford protection leave plenty room screen protector recommend glass case lip top lift screen surface lay facedown grippy allows pull phone pocket glassslick eitherbr br buy dark blue grey, -0.0115, 5]]"
B00WKQCZGO,[0.6808],[4],"[[slim, phone, case, wish, come, screen, protecter]]","[[slim phone case wish come screen protecter, 0.6808, 4]]"
B00WM85LGG,[0.112],[1],"[[get, today, disappoint, look, cheap, dont, know, say, premium, think, meaning, premium, im, review, person, say, cant, stand, receive, start, bz, cant, rate, start]]","[[get today disappoint look cheap dont know say premium think meaning premium im review person say cant stand receive start bz cant rate start, 0.112, 1]]"
B00WO481G0,[0.807],[5],"[[use, decent, price, work]]","[[use decent price work, 0.807, 5]]"
B00WPGDWVG,[-0.5574],[1],"[[make, didnt, day, junk]]","[[make didnt day junk, -0.5574, 1]]"
B00WTBJ22K,[0.923],[5],"[[skin, time, im, happy, skinomi, peel, fairness, face, skin, attempt, protect, im, watch, money, skin, seem, hold, fine]]","[[skin time im happy skinomi peel fairness face skin attempt protect im watch money skin seem hold fine, 0.923, 5]]"
B00WU871OS,[-0.2878],[1],"[[cord, junk, stop, work, day, cord, week]]","[[cord junk stop work day cord week, -0.2878, 1]]"
B00XAZE9FE,[-0.4459],[4],"[[problem, complaint, kickstand, extend, time, work, phone, case, time, day, time, tell, clip, hold]]","[[problem complaint kickstand extend time work phone case time day time tell clip hold, -0.4459, 4]]"
B00XH9PMKO,[-0.3003],[3],"[[money, clip, middle, section, stay, close, clip, work, middle, close, money, worth, return, rig, something, keep, close]]","[[money clip middle section stay close clip work middle close money worth return rig something keep close, -0.3003, 3]]"
B00XHOSRJW,"[0.7906, 0.4404, 0.8979]","[5, 5, 5]","[[install, instruction, include], [part, install], [replacement, cover, direct, fit, easy, replace, look, cover, purchase, againbr, br, gripe, shipping, take, day, suppose]]","[[install instruction include, 0.7906, 5], [part install, 0.4404, 5], [replacement cover direct fit easy replace look cover purchase againbr br gripe shipping take day suppose, 0.8979, 5]]"
B00XJSC4ZO,[0.4404],[5],"[[state, thanks, star, way]]","[[state thanks star way, 0.4404, 5]]"
B00XN8Q58C,[-0.4767],[1],"[[poor, quality, prompt, delivery]]","[[poor quality prompt delivery, -0.4767, 1]]"
B00XSP49Z6,"[0.6597, 0.9349, 0.8519, 0.6249, -0.5994, 0.8591, 0.6115, 0.0, 0.7684, 0.0, 0.8934]","[4, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5]","[[work, well, come, life, case, lose, follow, customer, service, wellbr, recommend], [work, case, iphone, br, make, pay, company, shipping, fast, package, thank], [work], [use, headset, life, case], [work, company, great, order], [work, great], [buy, son, happy], [problem, product], [adapter, wire, come, life, case, c, broke, try, buy, buy, purchase, case, find, werent, sell, fact, life, didnt, seem, sell, mention, lot, adapter, work, spare, case, anything, happen, price, ], [work, suppose, quality], [excellent, fit, iphone, happy]]","[[work well come life case lose follow customer service wellbr recommend, 0.6597, 4], [work case iphone br make pay company shipping fast package thank, 0.9349, 5], [work, 0.8519, 5], [use headset life case, 0.6249, 5], [work company great order, -0.5994, 5], [work great, 0.8591, 5], [buy son happy, 0.6115, 5], [problem product, 0.0, 5], [adapter wire come life case c broke try buy buy purchase case find werent sell fact life didnt seem sell mention lot adapter work spare case anything happen price , 0.7684, 3], [work suppose quality, 0.0, 5], [excellent fit iphone happy, 0.8934, 5]]"
B00XUVB4V0,[0.707],[5],[[lot]],"[[lot, 0.707, 5]]"
B00XXPTR4O,[-0.2755],[1],"[[doesnt, fit, iphone]]","[[doesnt fit iphone, -0.2755, 1]]"
B00Y07ESNY,[0.0],[4],"[[sturdy, pouch]]","[[sturdy pouch, 0.0, 4]]"
B00Y0JQ7CC,[0.1779],[1],[[quality]],"[[quality, 0.1779, 1]]"
B00Y1LK982,[-0.4019],[3],"[[case, solid, im, upset, design, fade, star, merica, go, thing, showing, stripe, make, look, weird]]","[[case solid im upset design fade star merica go thing showing stripe make look weird, -0.4019, 3]]"
B00Y790UE6,[0.6249],[1],"[[idea, havent, get, work, time]]","[[idea havent get work time, 0.6249, 1]]"
B00Y9OL4R6,"[0.9953, 0.6369, 0.9201, 0.0, 0.9575, 0.8957, 0.8555, 0.7096, 0.6249, 0.9595, -0.5499, 0.9851, 0.5994, 0.9657]","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 2, 5, 5, 5]","[[gonna, nd, review, case, ok, im, disappoint, picture, u, stand, u, watch, movie], [admit, cell, phone, case, junkie, dozen, tech, drawer, iphone, saw, dreem, case, intrigue, wait, day, use, write, opinion, say, case, dream, folio, make, variety, card, cash, magnet, work, feel, secure, carry, case, ice, cake, part, case, remove, phone, folio, case, phone, front, lip, protects, glass, screen, integrate, magnet, hold, phone, iswivel, vent, mount, instal, car, hit, jackpotbr, br, forget, mention, surprise, get, receive, dreem, fibonacci, case, packaging, elegant, receive, apple, product, detail, think, attention, detail, packaging, product, make, goto, product], [perfect, case, phone, come, wallet, case, ease, use, phone, case, want, keep, use, wallet, stand, work, go, use, wallet, form, function, combine, way], [super, nice, quality, versatility, unique, didnt, realize, convenient, use, picture, show, piece, cycle, carry, id, money, etc, keep, phone, safe, sweat, ride, car, remove, case, use, hand, holder, bit, heavy, component, hand, awkward, red, find, handbag], [wallet, case, make, go, order, black], [excellent, quality, love, case, case, fit, factory, belt, clip, love], [fibonacci, love, bit, bit, bigger, pink, whats, love], [posting, review, lack, satisfaction, case, exceed, expectation, packaging, color, slight, issue, product, folk, dreem, went, make, thing, happier, unique, ability, remove, phone, back, sell, havent, see, anything, come, handy, want, make, take, call, recommend, productcompany, someone, search, wallet, case, smartphone, thank, dreemmarsha], [look], [work, describe], [sturdy, versatile, flimsy, magnet, keep, phone, place, sure, phone, wont, fall, case, issue, phone, wallet, feel, leather, red, swear, case, generation, iphones], [awesome, product, arrive], [case, buy, casesbr, versatile, make, materialsbr, doesnt, feel, cheap, casesbr, great, productbr, wish, give, star]]","[[gonna nd review case ok im disappoint picture u stand u watch movie, 0.9953, 5], [admit cell phone case junkie dozen tech drawer iphone saw dreem case intrigue wait day use write opinion say case dream folio make variety card cash magnet work feel secure carry case ice cake part case remove phone folio case phone front lip protects glass screen integrate magnet hold phone iswivel vent mount instal car hit jackpotbr br forget mention surprise get receive dreem fibonacci case packaging elegant receive apple product detail think attention detail packaging product make goto product, 0.6369, 5], [perfect case phone come wallet case ease use phone case want keep use wallet stand work go use wallet form function combine way, 0.9201, 5], [super nice quality versatility unique didnt realize convenient use picture show piece cycle carry id money etc keep phone safe sweat ride car remove case use hand holder bit heavy component hand awkward red find handbag, 0.0, 5], [wallet case make go order black, 0.9575, 5], [excellent quality love case case fit factory belt clip love, 0.8957, 5], [fibonacci love bit bit bigger pink whats love, 0.8555, 5], [posting review lack satisfaction case exceed expectation packaging color slight issue product folk dreem went make thing happier unique ability remove phone back sell havent see anything come handy want make take call recommend productcompany someone search wallet case smartphone thank dreemmarsha, 0.7096, 5], [look, 0.6249, 5], [work describe, 0.9595, 5], [sturdy versatile flimsy magnet keep phone place sure phone wont fall case issue phone wallet feel leather red swear case generation iphones, -0.5499, 2], [awesome product arrive, 0.9851, 5], [case buy casesbr versatile make materialsbr doesnt feel cheap casesbr great productbr wish give star, 0.5994, 5], [, 0.9657, 5]]"
B00YB4IM7O,[0.7792],[4],"[[im, please, case, im, disappoint, quality, material, use, case, material, one, nice, supple, make, manages, incorporate, bulk, trifolds, look, poorer, quality, havent, purchase, confirmbr, br, minor, downsides, there, give, doesnt, sit, difficulty, access, side, power, button, case, snap, closure, give, bit, peace, mind, closure, work]]","[[im please case im disappoint quality material use case material one nice supple make manages incorporate bulk trifolds look poorer quality havent purchase confirmbr br minor downsides there give doesnt sit difficulty access side power button case snap closure give bit peace mind closure work, 0.7792, 4]]"
B00YE1JZPM,[0.4215],[5],"[[nice, case, describe]]","[[nice case describe, 0.4215, 5]]"
B00YE1KJR0,[0.6249],[5],"[[article, add, bulk, phone, keep, design, aesthetic]]","[[article add bulk phone keep design aesthetic, 0.6249, 5]]"
B00YE3QN46,[0.84],[3],"[[zoom, hard, keep, nifty, tripod, aware, go, problem, problem, run, twist, lens, unscrew, zoom, awkward, use, love, ability, pull, phone, take, picture, video, im, grandfather, sixbr, br, fisheye, lens, cool, take, quality, picture, video, see, carry, attachment, device, pocket]]","[[zoom hard keep nifty tripod aware go problem problem run twist lens unscrew zoom awkward use love ability pull phone take picture video im grandfather sixbr br fisheye lens cool take quality picture video see carry attachment device pocket, 0.84, 3]]"
B00YSMDOSQ,"[0.807, 0.6369, 0.4019, 0.7943, 0.0, 0.0333]","[5, 5, 2, 5, 5, 5]","[[buy, lose, fact, lose, see, miss, work, fitbit, brand], [save, day, family, vacation, use, hr, heart, monitor, heart, condition, monitor, check, time, day, leave, factory, charger, set, gone, week, search, online, everything, take, found, ship, hotel, work, factory, version, im, relieve, cord, im, think, buying, rd, bedroom, bathroom, charge, bathsshowers, purse, thanks, save, vacation], [order, product, replacement, lost, arrive, day, using, week, pinkpurple, color, make, find, differentiate, power, cord, work, far], [expect, receive], [quick, delivery, love, color], [order, cable, receive, tho, order, mark, pay, twice]]","[[buy lose fact lose see miss work fitbit brand, 0.807, 5], [save day family vacation use hr heart monitor heart condition monitor check time day leave factory charger set gone week search online everything take found ship hotel work factory version im relieve cord im think buying rd bedroom bathroom charge bathsshowers purse thanks save vacation, 0.6369, 5], [order product replacement lost arrive day using week pinkpurple color make find differentiate power cord work far, 0.4019, 2], [expect receive, 0.7943, 5], [quick delivery love color, 0.0, 5], [order cable receive tho order mark pay twice, 0.0333, 5]]"
B00YT67IZG,"[0.9834, 0.8313, 0.8225, 0.8878]","[4, 5, 4, 4]","[[love, band, style], [enjoy, band, love, style, feel, time, eye, catcher, purchase, item, hop, create, something, product, black, base, color], [known, well, review, seem, buy, love, band, think, super, cute, broke, week, see, photo, disappoint, watch, band, ive, purchase, qualitybr, br, update, customer, service, amaze, sent, replacement, super, nice, people, seem, dedicate, fix, problem, im, wait, replacement, im, confident, theyll, thing], [quality, cute, design, get, compliment]]","[[love band style, 0.9834, 4], [enjoy band love style feel time eye catcher purchase item hop create something product black base color, 0.8313, 5], [known well review seem buy love band think super cute broke week see photo disappoint watch band ive purchase qualitybr br update customer service amaze sent replacement super nice people seem dedicate fix problem im wait replacement im confident theyll thing, 0.8225, 4], [quality cute design get compliment, 0.8878, 4]]"
B00YU76J4U,"[0.9659, -0.3412]","[5, 1]","[[r, good, day, hear], [lg, model, amaze, sound, great, sound]]","[[r good day hear, 0.9659, 5], [lg model amaze sound great sound, -0.3412, 1]]"
B00ZC2BEO2,[-0.7033],[3],"[[need, case, kickstand, fit, bill, light, weight, love, sparkle, case, kick, stand, work, stand, phone, horizontal, button, maybe, cover, surrounding, side, button, crack, danger, hurt, weaken, structure, case, dont, know, take, picture, flash, affect, picture, get, pink, picture, tint, pink, take, flash]]","[[need case kickstand fit bill light weight love sparkle case kick stand work stand phone horizontal button maybe cover surrounding side button crack danger hurt weaken structure case dont know take picture flash affect picture get pink picture tint pink take flash, -0.7033, 3]]"
B00ZCK6TNA,"[0.6597, 0.0, 0.0, 0.5574, -0.4754, -0.4068, 0.0, 0.0, 0.0, -0.8807, -0.4767]","[5, 1, 2, 5, 2, 1, 1, 2, 5, 2, 1]","[[dose, work], [doesnt, work, lg, g], [thank, dealing, good], [get, pay, guess, charge, phone, something, plug, want, charge, phone, smart, watch, time, plug, come, wont, get, worse, use, night, anyway, reason, consistent, provide, power, device, start, charging, time, keep, charging, ding, go, night, ding, annoying, lack, charge, deal, breaker, reason, light, front, police, light, bedroom, thing, moon, buy, thing, desk, something, youre, scar, get, steal, something], [work, week, return, packaging, trash, get, stay, work, turn, second], [tablet, cover, charge, question, answer, indicate, case, charge], [fake, dont, buy], [work, expect], [videoidbadbccbbd, order, item, use, wireless, charger, nexus, galaxy, edge, galaxy, note, br, br, item, thinner, expect, like, design, look, devicebr, br, setup, wireless, charge, pad, detect, nexus, place, case, attach, try, note, result, attempt, note, start, detect, phone, begin, charge, charge, second, cut, go, red, shown, video, accompany, review, phone, charge, timebr, br, try, use, pad, plug, pc, wall, adapter, result, front, usb, port, receive, power, pas, power, connect, device, slot, make, usb, force, br, recommend, use, product, anyone, wireless, charge, suppose, make, thing, difficult], [work, convenient], [cant, charge, sec, amp, usb]]","[[dose work, 0.6597, 5], [doesnt work lg g, 0.0, 1], [thank dealing good, 0.0, 2], [get pay guess charge phone something plug want charge phone smart watch time plug come wont get worse use night anyway reason consistent provide power device start charging time keep charging ding go night ding annoying lack charge deal breaker reason light front police light bedroom thing moon buy thing desk something youre scar get steal something, 0.5574, 5], [work week return packaging trash get stay work turn second, -0.4754, 2], [tablet cover charge question answer indicate case charge, -0.4068, 1], [fake dont buy, 0.0, 1], [work expect, 0.0, 2], [videoidbadbccbbd order item use wireless charger nexus galaxy edge galaxy note br br item thinner expect like design look devicebr br setup wireless charge pad detect nexus place case attach try note result attempt note start detect phone begin charge charge second cut go red shown video accompany review phone charge timebr br try use pad plug pc wall adapter result front usb port receive power pas power connect device slot make usb force br recommend use product anyone wireless charge suppose make thing difficult, 0.0, 5], [work convenient, -0.8807, 2], [cant charge sec amp usb, -0.4767, 1]]"
B00ZE8FZZS,[0.6808],[5],"[[work, champ]]","[[work champ, 0.6808, 5]]"
B00ZOX5LW0,"[0.867, 0.7684]","[4, 5]","[[ear, sound, stay, put, run], [need, lightweight, inexpensive, noise, cancel, headphone, air, travel, stoon, qy, headphone, lightweight, use, standard, usb, charger, use, bluetooth, technology, dont, get, tangle, wire, leave, ipod, noise, cancel, property, adequate, size, headphone, price, block, airplane, noise, music, high, end, headphone, bose, want, noise, cancel, ear, bud, office, gym, work, ipod, earbudsbr, reason, give, star, instruction, difficult, start, process, piece, paper, multiple, language, fold, x, stuck, box, instruction, diagram, someone]]","[[ear sound stay put run, 0.867, 4], [need lightweight inexpensive noise cancel headphone air travel stoon qy headphone lightweight use standard usb charger use bluetooth technology dont get tangle wire leave ipod noise cancel property adequate size headphone price block airplane noise music high end headphone bose want noise cancel ear bud office gym work ipod earbudsbr reason give star instruction difficult start process piece paper multiple language fold x stuck box instruction diagram someone, 0.7684, 5]]"
B0100JYTDO,[0.9287],[3],"[[rate, star, case, super, fit, phone, disadvantage, dont, know, way, put, case, truth, cant, remove, mean, seem, stuck]]","[[rate star case super fit phone disadvantage dont know way put case truth cant remove mean seem stuck, 0.9287, 3]]"
B0100VRYXE,[0.4854],[5],"[[case, want, coolest, kid, block, get, bit, thicker, case, fit, job]]","[[case want coolest kid block get bit thicker case fit job, 0.4854, 5]]"
B010BJISGC,"[0.3818, 0.9455]","[5, 2]","[[case, arrive, function, advertise, phone, fit, bulging, close, depend, card, stick, side, stay, close, popping, buy], [pro, leather, feel, look, carry, hold, card, money, limit, amount, way, limit, stuff, bringbr, con, case, hold, phonebr, plastic, case, make, phone, come, corner, take, phone, make, put, bottom, cause, problem, side, button, werent, cover, prevent, press, button, hold, phone, press, button, cause, phone, reason, choose, return, case, everything, crazy, try, adjust, case, wont, sit, flush, phone, press, button, hope, make, frame, well, reconsider]]","[[case arrive function advertise phone fit bulging close depend card stick side stay close popping buy, 0.3818, 5], [pro leather feel look carry hold card money limit amount way limit stuff bringbr con case hold phonebr plastic case make phone come corner take phone make put bottom cause problem side button werent cover prevent press button hold phone press button cause phone reason choose return case everything crazy try adjust case wont sit flush phone press button hope make frame well reconsider, 0.9455, 2]]"
B010EGCQ9M,[0.8932],[5],"[[fit, perfect, function, please]]","[[fit perfect function please, 0.8932, 5]]"
B010MWG3HO,"[0.8519, 0.9169, -0.3182, -0.5267, 0.9646, 0.7711, 0.9663, -0.9009, 0.9022, 0.6369, 0.9774, 0.1406, 0.5477]","[5, 5, 2, 2, 4, 4, 5, 3, 5, 3, 5, 4, 5]","[[spigen, thanks, delivery, youre, guy, awesome, phone, look, case], [ship, print, thats, im, go, say], [case, say, fit, perfect, phone, come, cause, slight, movement, type, phone, annoy, clicking, type, press, front, screen, doesnt, seem, anyone, problem, get, unit, guess, ymmv, buyer, beware], [get, case, note, like, edge, slim, add, bulk, phone, great, button, placement, hole, line, fine, flush, button, nice, take, day, get, use, con, blackblue, note, see, finger, print, put, zagg, glass, ive, notice, halo, area, side, area, softer, come, button, push, put, case, thing, say, youre, ocd, phone, look, perfect, bother, include, photo, look, thing, volume, side], [case, save, note, everything, work, clearance, give, headphone, port, isnt, highend, headphone, plug, fit, case, take, exacto, knife, open, bit], [dont, know, expect, spigen, slim, armour, love, take, get, use], [case, fit, phone], [case, look, work, addition, case, doesnt, make, phone, bulky, seem, offer, fair, protection, havent, drop, phone, button, press, case, stylus, charge, port, headset, jack, accessbr, br, beauty, phone, see, casebr, br, beat, price], [phone, feel, loose, case], [add, bulk, provide, protection, note, look, case, perfect, tight, fit, excellent, cut, out, port, accessing, headphone, charge, jack, button, flush, case, slight, lip, place, phone, face, screen, touch, surface, lay, phone, back, camera, touch, surface, solid, case, feel, build, make, china, cheap, case, cant, ask, price], [look, show, fingerprint, day, case, start, look, yellow, fail, spigen, grip, smudge, mark], [cover, look, fit, feel, hand, make, excellent, button, cut, position, feel, give, lot, protection, phone, help, lot, wireless, charge, fit, cover, give, issue, wireless, charger, start, blink, meaning, stop, charching], [case, protect, show, note, perfect, fit]]","[[spigen thanks delivery youre guy awesome phone look case, 0.8519, 5], [ship print thats im go say, 0.9169, 5], [case say fit perfect phone come cause slight movement type phone annoy clicking type press front screen doesnt seem anyone problem get unit guess ymmv buyer beware, -0.3182, 2], [get case note like edge slim add bulk phone great button placement hole line fine flush button nice take day get use con blackblue note see finger print put zagg glass ive notice halo area side area softer come button push put case thing say youre ocd phone look perfect bother include photo look thing volume side, -0.5267, 2], [case save note everything work clearance give headphone port isnt highend headphone plug fit case take exacto knife open bit, 0.9646, 4], [dont know expect spigen slim armour love take get use, 0.7711, 4], [case fit phone, 0.9663, 5], [case look work addition case doesnt make phone bulky seem offer fair protection havent drop phone button press case stylus charge port headset jack accessbr br beauty phone see casebr br beat price, -0.9009, 3], [phone feel loose case, 0.9022, 5], [add bulk provide protection note look case perfect tight fit excellent cut out port accessing headphone charge jack button flush case slight lip place phone face screen touch surface lay phone back camera touch surface solid case feel build make china cheap case cant ask price, 0.6369, 3], [look show fingerprint day case start look yellow fail spigen grip smudge mark, 0.9774, 5], [cover look fit feel hand make excellent button cut position feel give lot protection phone help lot wireless charge fit cover give issue wireless charger start blink meaning stop charching, 0.1406, 4], [case protect show note perfect fit, 0.5477, 5]]"
B010MWHTZY,[0.9477],[4],"[[cover, edge, bit, loose, attach, bumper, difficulty, create, case, edge, display, bother, slot, usb, port, need, insert, usb, cable, yes, go, micro, usb, flash, drive, connect, removing, casebr, quality, product, good, doesnt, look, cheap, great, finish, tactile, button, feel, screen, doesnt, touch, ground, phone, keep, case, true, descent, buy, usb, port, go]]","[[cover edge bit loose attach bumper difficulty create case edge display bother slot usb port need insert usb cable yes go micro usb flash drive connect removing casebr quality product good doesnt look cheap great finish tactile button feel screen doesnt touch ground phone keep case true descent buy usb port go, 0.9477, 4]]"
B010NQMRNI,[0.2023],[5],"[[work, fine, form, quick, shipping]]","[[work fine form quick shipping, 0.2023, 5]]"
B010QY3074,[0.0572],[1],"[[wait, day, doesnt, fit, son, phone, dont, waste, time, piece, crp]]","[[wait day doesnt fit son phone dont waste time piece crp, 0.0572, 1]]"
B010V8WFXK,"[0.4927, 0.4927, 0.4939, 0.9186, 0.0]","[5, 4, 5, 5, 1]","[[didnt, work, package, others], [please], [describe, perfect, length], [buy, multipack, lightning, cable, wife, stepdaughter, charge, iphones, cable, seem, misplace, one, hand], [product, price]]","[[didnt work package others, 0.4927, 5], [please, 0.4927, 4], [describe perfect length, 0.4939, 5], [buy multipack lightning cable wife stepdaughter charge iphones cable seem misplace one hand, 0.9186, 5], [product price, 0.0, 1]]"
B01137WN08,[0.6705],[4],"[[look, great, keep, clean, color]]","[[look great keep clean color, 0.6705, 4]]"
B011AR7WK2,[0.648],[3],"[[tge, color, n, case, wrinkle, bent, package, screen, protector, didnt, fit, screen, way, cant, use]]","[[tge color n case wrinkle bent package screen protector didnt fit screen way cant use, 0.648, 3]]"
B011I4XMXS,"[-0.9741, 0.8126]","[2, 5]","[[hop, dashcam, hide, windshield, record, car, move, save, grief, provide, law, enforcement, evidence, time, arisebr, br, something, dashcam, number, reasonsbr, br, battery, life, surprise, last, longer, hour, single, charge, minute, car, ride, store, take, battery, bar, mean, dashcam, need, plug, car, charger, rate, battery, depletion, greater, rate, charge, result, recording, loop, second, camera, plug, inbr, advertising, point, camera, motion, detector, im, work, camera, record, car, move, length, loop, segment, seem, charge, highway, bump, road, make, aggravate, menu, button, double, so, button, record, record, make, hit, so, button, try, reconfigure, setting, record, loop, longer, battery, power, conserve, hit, so, second, clip, lap, result, try, rework, setting, bring, pointbr, arent, instruction, okay, thats, get, sheet, help, example, system, setting, section, video, offon, mean, recording, want, turn, screen, camera, rollingbr, br, problem, resetting, problem, depend, camera, catch, accidentbr, problem, resetting, problem, depend, camera, catch, accident], [excellent, product, everything, need, case, situationsim, happy, ]]","[[hop dashcam hide windshield record car move save grief provide law enforcement evidence time arisebr br something dashcam number reasonsbr br battery life surprise last longer hour single charge minute car ride store take battery bar mean dashcam need plug car charger rate battery depletion greater rate charge result recording loop second camera plug inbr advertising point camera motion detector im work camera record car move length loop segment seem charge highway bump road make aggravate menu button double so button record record make hit so button try reconfigure setting record loop longer battery power conserve hit so second clip lap result try rework setting bring pointbr arent instruction okay thats get sheet help example system setting section video offon mean recording want turn screen camera rollingbr br problem resetting problem depend camera catch accidentbr problem resetting problem depend camera catch accident, -0.9741, 2], [excellent product everything need case situationsim happy , 0.8126, 5]]"
B011JI1CWQ,[0.4215],[5],"[[nice, product]]","[[nice product, 0.4215, 5]]"
B011MP3BB6,[0.9537],[3],"[[nice, wristlet, case, fatal, flaw, flaw, deal, breaker, phone, charger, wont, plug, phone, case, take, phone, case, charger, fit, fine, case, love, wristlet, design, card, slot, case, type, im, hop, case, come, phone, go, work, take, phone, case, time, charge, phone]]","[[nice wristlet case fatal flaw flaw deal breaker phone charger wont plug phone case take phone case charger fit fine case love wristlet design card slot case type im hop case come phone go work take phone case time charge phone, 0.9537, 3]]"
B011NHT87Y,[0.8016],[5],"[[case, weight, make, quality, tell, thing, make, way, kudos, designer]]","[[case weight make quality tell thing make way kudos designer, 0.8016, 5]]"
B011ULNGTE,[0.2263],[5],"[[worth, price]]","[[worth price, 0.2263, 5]]"
B0126JVSJO,[0.2263],[4],"[[nice, case, camera, clash, flash, picture, blur]]","[[nice case camera clash flash picture blur, 0.2263, 4]]"
B012H61CNS,[0.6369],[5],[[want]],"[[want, 0.6369, 5]]"
B0132J5QCC,[0.7906],[4],"[[nice, style, fit, ipad, mini]]","[[nice style fit ipad mini, 0.7906, 4]]"
B01330T5OU,[0.306],[3],"[[case, come, way, schedule, approve, look, piece, aluminium, say, disappoint, otherwise, case]]","[[case come way schedule approve look piece aluminium say disappoint otherwise case, 0.306, 3]]"
B013WDREXW,[0.7627],[3],"[[product, adhere, phone, screen, edge, loose, bottom, icon, need, press, didnt, dont, work, others, attach, love]]","[[product adhere phone screen edge loose bottom icon need press didnt dont work others attach love, 0.7627, 3]]"
