B00005UK9X,[0.6249],[5],"[[mount, keep, gps, dash, slide]]","[[mount keep gps dash slide, 0.6249, 5]]"
B00XVLY434,"[0.6249, 0.6486, 0.6249, 0.6249, 0.8852, 0.7269, 0.7964, 0.8074, 0.4215, -0.8058, -0.4417, -0.3612, 0.9563, 0.9432, 0.4215, 0.9393, 0.6249, 0.9524, 0.9615, 0.9652, 0.4927, 0.8173]","[5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 1, 4, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5]","[[work, great, install, take, time, watch, video], [instal, bought, lg, g, perfect, fit, leave, screen, left, uncoveredbr, sure, miss, mark, return], [cover, screen], [drop, phone, thought, crack, screen, take, screen, protector, protector, crack, save, screen], [arrive, shipping, instruction, go, appear, provide, protection, screen, use, responds, protector], [apply, clear, thickness, firm, finger, touch, screen, register, place, stay, bubble, week, bubble, appear, leave, side, purchase, wife, week, bubble, appear, left, corner, screen, want, replacement, contact, seller, sent, replacement, however, week, bubble, appear, place, wife, week, receive, replacement, air, appear, left, side, screen, air, bubble, appear, screen, protector, however, clearcrisp, look], [piece, junk, stick, brand, phone, fail, week, dont, buy, cheapo, kind, smart, buy, z, brand, waste, money], [install, difficult, somebody], [kid, use, phone, niece, drop, phone, stair, phone, screen, fine, scratch, temper, glass, apply, fit, bubble, anything], [seems, quality, screen, test, lol, thick, thou, know, purchase, got, step, use, case, surround, entire, phone, lg, g, supcase, body, rugged, holster, purchase, time, close, instal, case, work, purchase, recommend, product, freind, co, workersbr, br, installation, easy, think, go, issue, air, bubble, get, work, self, day], [work, drop, phone, couple, time, protect], [attach, work], [gotta, say, super, put, feel, better, lg, give, phone, cost, dont, miss, beat, clarity, swipe], [come, time, expect, fair, pricing, say, package, ], [glass, temper, screen, protector, way, go, learn, way, screen, protector, hinge, method, quick, youtube, search, bring, example, protector, drop, phone, face, wooden, floor, result, crack, glass, screen, protect, product, price], [easiest, install, weve, use, seems], [awesome, look, glare, loss, contrast, color, installation, try], [item], [work, great], [believe, quality, item, price, penny, love, presentation, thumb], [product, service, use, brand, screen, protector, year, phone, put, bubble, spot, wish, spectre, x, tabtop]]","[[work great install take time watch video, 0.6249, 5], [instal bought lg g perfect fit leave screen left uncoveredbr sure miss mark return, 0.6486, 5], [cover screen, 0.6249, 5], [drop phone thought crack screen take screen protector protector crack save screen, 0.6249, 5], [arrive shipping instruction go appear provide protection screen use responds protector, 0.8852, 5], [apply clear thickness firm finger touch screen register place stay bubble week bubble appear leave side purchase wife week bubble appear left corner screen want replacement contact seller sent replacement however week bubble appear place wife week receive replacement air appear left side screen air bubble appear screen protector however clearcrisp look, 0.7269, 5], [piece junk stick brand phone fail week dont buy cheapo kind smart buy z brand waste money, 0.7964, 5], [install difficult somebody, 0.8074, 5], [kid use phone niece drop phone stair phone screen fine scratch temper glass apply fit bubble anything, 0.4215, 5], [seems quality screen test lol thick thou know purchase got step use case surround entire phone lg g supcase body rugged holster purchase time close instal case work purchase recommend product freind co workersbr br installation easy think go issue air bubble get work self day, -0.8058, 1], [work drop phone couple time protect, -0.4417, 1], [attach work, -0.3612, 4], [gotta say super put feel better lg give phone cost dont miss beat clarity swipe, 0.9563, 5], [come time expect fair pricing say package , 0.9432, 5], [glass temper screen protector way go learn way screen protector hinge method quick youtube search bring example protector drop phone face wooden floor result crack glass screen protect product price, 0.4215, 5], [easiest install weve use seems, 0.9393, 3], [awesome look glare loss contrast color installation try, 0.6249, 5], [item, 0.9524, 5], [work great, 0.9615, 5], [believe quality item price penny love presentation thumb, 0.9652, 5], [product service use brand screen protector year phone put bubble spot wish spectre x tabtop, 0.4927, 5], [, 0.8173, 5]]"
B00Y1I322A,[0.1779],[5],"[[come, time, scratch, anything, need, instruction]]","[[come time scratch anything need instruction, 0.1779, 5]]"
B00Y2SVMLC,[0.8255],[1],"[[wish, read, review, buy, strength, reduce, return, drill, bottom, fit, headphone, jack]]","[[wish read review buy strength reduce return drill bottom fit headphone jack, 0.8255, 1]]"
B00Y4M04VU,[0.6249],[5],"[[buy, work]]","[[buy work, 0.6249, 5]]"
B00Y9N32UE,[0.0],[5],[[]],"[[, 0.0, 5]]"
B00YAJV0DS,[0.7351],[5],"[[fit, look]]","[[fit look, 0.7351, 5]]"
B00YD4L27O,[0.7906],[5],"[[product, install]]","[[product install, 0.7906, 5]]"
B00YFCFGTE,[0.9122],[5],"[[day, take, google, nexus, case, ride, case, advertise, water, allow, operate, phone, case, take, work, put, spacers, fit, phone, thats, do, installation, direction, confuse, didnt, understand, handtightening, screw, mount, secure, case, ride, lose, case, time, street, took, damage, problem, phone, took, damage, figure, purpose, screw, work, rest, tripbr, br, today, forget, secure, screw, lose, phone, middle, street, get, run, suv, case, dead, phone, fine, think, thats, recommendation]]","[[day take google nexus case ride case advertise water allow operate phone case take work put spacers fit phone thats do installation direction confuse didnt understand handtightening screw mount secure case ride lose case time street took damage problem phone took damage figure purpose screw work rest tripbr br today forget secure screw lose phone middle street get run suv case dead phone fine think thats recommendation, 0.9122, 5]]"
B00YGN7P1E,[0.8071],[5],"[[fix, cell, phone, help, utube, save, alot, money, couldnt, believe]]","[[fix cell phone help utube save alot money couldnt believe, 0.8071, 5]]"
B00Z095EJS,[0.5719],[4],[[perfect]],"[[perfect, 0.5719, 4]]"
B00Z5WD5F0,[0.1368],[1],"[[case, work, wouldnt, recommend, yes, fit, card, push, lock, button, phone, turn, lock, button, break, phone, youre, look, wallet, case, wouldnt, get]]","[[case work wouldnt recommend yes fit card push lock button phone turn lock button break phone youre look wallet case wouldnt get, 0.1368, 1]]"
B00ZF4YW6E,"[0.9372, 0.883, 0.8072]","[5, 4, 5]","[[neat, fixit, pack, youll, need, fine, tweezer, ifixit, tiny, finger, glass, cover, adhesive, layer, put, strip, bezel, adhesive, rim, place, catch, quick, youtube, vid, minute, fix, part, get, crack, point, part, get, lens, recess, phone, keep, kit, hand], [please, product, come, instruction, plenty, utube, video, shipping, fast, camera, look, brand, replacement, recommend, product, seller], [find, video, youtube, galaxy, camera, lens, replacement, easy, install, potato, quality, photo, knock, star, come, lens, screen, protector]]","[[neat fixit pack youll need fine tweezer ifixit tiny finger glass cover adhesive layer put strip bezel adhesive rim place catch quick youtube vid minute fix part get crack point part get lens recess phone keep kit hand, 0.9372, 5], [please product come instruction plenty utube video shipping fast camera look brand replacement recommend product seller, 0.883, 4], [find video youtube galaxy camera lens replacement easy install potato quality photo knock star come lens screen protector, 0.8072, 5]]"
B00ZFERT00,[0.489],[5],"[[look, nice, protects, fall, drawback, drawing, butterfly, start, time]]","[[look nice protects fall drawback drawing butterfly start time, 0.489, 5]]"
B00ZFR2W7M,[0.8519],[5],"[[purchase, use, coocheer, power, storage, unit, love, length, plug, work, case, iphone, work]]","[[purchase use coocheer power storage unit love length plug work case iphone work, 0.8519, 5]]"
B00ZJAEJ6C,[0.6249],[5],"[[work, great]]","[[work great, 0.6249, 5]]"
B00ZKKP7SU,"[0.4754, -0.7013, 0.4072]","[4, 2, 3]","[[get, card, kinda, stink, need], [case, rat, star, hold, card], [see, picture, get, impression, decent, casebr, get, case, doesnt, fit, flush, offer, protection, side, screen, card, compartment, thats, execute, additionbr, br, opinion, advise, anyone, buy, give, price, cheap, item]]","[[get card kinda stink need, 0.4754, 4], [case rat star hold card, -0.7013, 2], [see picture get impression decent casebr get case doesnt fit flush offer protection side screen card compartment thats execute additionbr br opinion advise anyone buy give price cheap item, 0.4072, 3]]"
B00ZNR2FQC,[0.0],[5],"[[picture, want, deliver]]","[[picture want deliver, 0.0, 5]]"
B010C0S8UG,[0.8337],[4],"[[wish, slot, credit, card, wont, shut, put, need, card]]","[[wish slot credit card wont shut put need card, 0.8337, 4]]"
B010CHXDVS,[0.6249],[5],"[[package, arrive, time, great, give, star]]","[[package arrive time great give star, 0.6249, 5]]"
B010GS1DGK,[0.6369],[5],[[case]],"[[case, 0.6369, 5]]"
B010NTDGMQ,"[0.8647, 0.6124]","[4, 5]","[[phone, bill, unlimited, textsbr, br, work, describe, deal], [coolpad, arise, arrive, today, lightweight, phone, seem, operate, havet, want, comment, customer, service, receive, buy, phone, patrick, csr, let, tell, work, help, make, decision, buy, phone, way, engage, question, phone, feature, decide, buy, phone, help, day, money, guarantee, im, satisfy, figure, phone, come, upgrade, rating, star, know, work, phone, thats]]","[[phone bill unlimited textsbr br work describe deal, 0.8647, 4], [coolpad arise arrive today lightweight phone seem operate havet want comment customer service receive buy phone patrick csr let tell work help make decision buy phone way engage question phone feature decide buy phone help day money guarantee im satisfy figure phone come upgrade rating star know work phone thats, 0.6124, 5]]"
B010P3RMCK,[0.765],[5],"[[prefect, fit, look, awesome]]","[[prefect fit look awesome, 0.765, 5]]"
B0112V94YS,[0.9901],[4],"[[update, want, post, update, review, thing, happen, week, got, like, end, order, color, break, near, charge, port, crack, use, day, time, case, want, rethink, design, use, heavier, plastic, phone, lot, case, cheap, tell, feel, arent, make, tpu, cover, see, logo, tpu, isnt, cheap, thin, bumper, part, fit, phone, volume, power, button, protect, charge, port, headphone, jack, wish, lock, switch, open, larger, jam, pinky, flip, otherwise, love, case, continue, use, receive, exchange, honest, review]]","[[update want post update review thing happen week got like end order color break near charge port crack use day time case want rethink design use heavier plastic phone lot case cheap tell feel arent make tpu cover see logo tpu isnt cheap thin bumper part fit phone volume power button protect charge port headphone jack wish lock switch open larger jam pinky flip otherwise love case continue use receive exchange honest review, 0.9901, 4]]"
B01157L02I,[-0.2755],[2],"[[click, picture]]","[[click picture, -0.2755, 2]]"
B0117JWO42,[0.6124],[5],"[[gotbit, girl, friend, want, seems, decent, quality, hope, make, drop, test]]","[[gotbit girl friend want seems decent quality hope make drop test, 0.6124, 5]]"
B0119F4T9W,[0.9246],[5],"[[awesome, case, love, color, buy]]","[[awesome case love color buy, 0.9246, 5]]"
B011ACQ2Y4,[0.7351],[5],"[[delivery, perfect, fit]]","[[delivery perfect fit, 0.7351, 5]]"
B011B011F0,[0.7564],[5],"[[unit, receive, minute, use, sent, day, recommend, widget, phone, show, rate, lg, g, chargingdischarging, milliamps, hundred, milliamps, charger, screen, range, milliamps, data, bluetooth, mind, use, charging, car, charger, friend, charge, phone, charge, qualcomm, quick, charge, slot, phone, charge, rate, meaning, amperage, take, charge, speed, devote]]","[[unit receive minute use sent day recommend widget phone show rate lg g chargingdischarging milliamps hundred milliamps charger screen range milliamps data bluetooth mind use charging car charger friend charge phone charge qualcomm quick charge slot phone charge rate meaning amperage take charge speed devote, 0.7564, 5]]"
B011HXQB88,[0.8519],[5],"[[awesome, love]]","[[awesome love, 0.8519, 5]]"
B011KGBAQU,[0.0],[1],"[[water, come]]","[[water come, 0.0, 1]]"
B011L3OSNY,[0.4497],[5],"[[cant, go, price]]","[[cant go price, 0.4497, 5]]"
B011YL0J18,[0.1531],[4],"[[legit, charge, fine, dont, know, thought, metal, heh]]","[[legit charge fine dont know thought metal heh, 0.1531, 4]]"
B013WCTSPK,[0.979],[5],"[[case, isnt, review, milanese, loop, band, blackbr, br, havent, handle, genuine, apple, milanese, loop, band, ive, want, design, black, color, combination, doesnt, seem, time, look, thing, band, arrive, opinion, retail, packaging, doesnt, match, describes, leather, strap, pure, steel, bucklebr, br, anyway, whats, band, comparison, closeup, shot, genuine, milanese, loop, band, albeit, silver, band, mesh, appearance, band, connection, point, match, watch, work, closure, pull, open, band, loop, wouldnt, say, im, afraid, watch, fall, offbr, br, ive, read, genuine, apple, milanese, loop, band, tends, loosen, day, point, come, day, use, notice, slightbr, br, seem, alternative, product, closure, band, design]]","[[case isnt review milanese loop band blackbr br havent handle genuine apple milanese loop band ive want design black color combination doesnt seem time look thing band arrive opinion retail packaging doesnt match describes leather strap pure steel bucklebr br anyway whats band comparison closeup shot genuine milanese loop band albeit silver band mesh appearance band connection point match watch work closure pull open band loop wouldnt say im afraid watch fall offbr br ive read genuine apple milanese loop band tends loosen day point come day use notice slightbr br seem alternative product closure band design, 0.979, 5]]"
