B0007L8A7M,[0.8481],[5],"[[quality, great, sound, price]]","[[quality great sound price, 0.8481, 5]]"
B00QN1TCDQ,"[0.8932, 0.878, 0.7405, 0.8858, -0.4585, 0.802, -0.706, 0.4404, 0.4404, 0.4927, 0.6249, 0.3716, 0.7906, -0.4215, 0.9442, 0.8885, 0.2382, 0.8653, 0.8591, 0.6808, 0.0927, 0.4215, -0.3832, 0.6369, 0.9153, 0.7717, 0.8536, 0.4854, -0.0531, 0.7717, 0.6597, 0.9051, 0.4404, 0.4404, 0.2263, 0.0, 0.7003, 0.4927, 0.2561, 0.4404, 0.0, 0.2057, 0.3612, 0.4404, 0.872, 0.4404, 0.9495, 0.8402, -0.7652, 0.34, 0.4215, 0.4404, 0.4927, 0.6808, 0.3612, 0.4404, 0.4019, 0.9157, 0.6249, -0.296, 0.807, 0.9287, 0.8173, 0.8346, 0.6997, 0.8268, 0.9589, -0.0258, 0.4877, 0.3182, 0.4404]","[5, 5, 5, 5, 2, 4, 1, 5, 5, 4, 5, 2, 5, 1, 5, 5, 4, 5, 5, 5, 2, 5, 5, 5, 5, 5, 5, 2, 4, 5, 5, 5, 5, 5, 1, 1, 5, 5, 1, 5, 5, 1, 5, 4, 5, 5, 5, 5, 1, 2, 4, 5, 4, 5, 1, 4, 4, 5, 5, 1, 4, 5, 4, 5, 5, 5, 5, 5, 4, 5, 5]","[[product, describe], [put, onworks, bubble, anythingits], [product], [awesome, come, instruction, fun, watch, see, bottom, push, air, air, bubble], [fill, screen, protect, side, br, day, anything, happen, glass, latch], [soon, put, phone, week, start, come, cornersi, dont, know, piece], [iphones, beginning, time, use, screen, protector, purchase, iphone, get, screen, protector, amazing, review, use, month, drop, phone, screen, cover, shatter, phone, wallet, case, know, suppose, work, magic, screen, go, break, anyway, didnt, red, protector], [work, champ], [happy], [protector, good, day, shatter, impact, drop, replace, bummer, kind, screen, protector, phone], [product, thank], [get, phone, friend, cover, love, glass, protect, screen, company, offer, lifetime, warranty], [look, reduction, clarity, easy, put], [package, look, ok, glass, feel, serve, purpose], [disappoint, durability, drop, iphone, twice, past, month, own, phone, duty, spigen, case, absorb, impact, screen, protector, crack, time, drop, pocket, floorbr, br, expect, wouldnt, recommend], [apply, expect], [install, offer, protection, spend, deal, money], [product, day, work, bubble, mark, leave, screen, feel, protects, scratch, drop, case, fit, problem, product, install, look, instruction, describe, ok, video, give, example, follow], [drop, iphone, work, work, warehouse, floor, afraid, pick, phone, saw, screen, shatter, remove, maxboost, glass, protect, realize, screen, protector, phone, great, product, iphone, life, saver], [awesome, product, thin, put, doesnt, get, way, case, recommend, friend], [temper, glass, screen, price, amaze], [install, phone, work, thank], [camera, hole], [perfect, protection, air, bubble], [install, product, cant, beat, time, precise, durability, issue, place, phone, pocket, key, key, scratch, screen, protector, glass, area], [use, screen, protector, crack, quality, waste, money, try, use, money, buy, time, phone, damage, ever, use], [crack, screen], [buy, broke, minute, chip, day, brand], [nice, efficient], [wifey, like], [appear], [screen, protector, work, please, purchase], [save, phone], [time, buy, product, protect, screen, drop, cement, ground, protector, crack, phone, job, protect, phone, concern, screen, protector, doesnt, cover, whole, screen, dont, let, deter, buy, experience, job, buy, case, cover, expose, edge, phone], [instruction, easy, edge, screen, protector, start, shatter, day, use, phone, bit, eyesore], [deliver, promise, fit, install, bubble, havent, put, protection, part, test], [], [nice, glass, bit, bigger, glass, seem, attract, fingerprint, install], [finger, print], [screen, protector, perfect, fit, follow, intrustions, tool, provide, make, installation, ], [amaze, amount, thickness, protection, slim, time, bring, thing, clean, screen, get, perfect, area, air, hole, etc, buy], [protector, break, month], [wish, cover, phone, screen], [screen, protector, buy], [install, work, purchase, son, drop, phone, facedown, protector, protector, shatter, phone, unharmed], [rd, screen, protector, dollar, rip, armorsomething, dude, att, store, upsold, work, fine, drop, buck, get, chip, metal, object, pocket, dug, protector, sat, combo, there, apply, perfect, fit, touch, screen, spot, cost, wayyyyy, less, protector, none, mean, pay, buck, pop, do], [make, installation, video, explain], [product, nicer, expect, arrive], [describe, great, price, amazon, v, retail, store, purchase], [price, quality, found, glass, screen, protector, buy, recommend, product, come, clean, wipe, tape, take, lint, apply, screen, protector], [purchase, slider, case, maxboost, wife, love, case, figure, id, give, screen, protector, try, screen, protector, come, package, wet, dry, pad, clean, screen, installation, maxboost, include, guide, sticker, use, help, align, screen, protector, screen, application, quick, easy, bubble, halo, effect, screen, protector, look, screen, protector, benefit, temper, glass, screen, protector, happy, purchase], [goodbr, seems, come, everything, install, itbr, install, alsobr, cant, complainbr, cheaper, go, box, store], [installation, instruction, perfect, install, issue], [case, come, super, quick, quality, price], [screen, protector, iphone, couple, month, havent, single, issue, switch, phone, magpul, field, case, mophie, charge, case, drop, phone, time, case, there, damage, screen, protector, recommend, screen, protector], [excellent, product, arrive, go, fit, iphone, perfect], [screen, protector, go, process, feel, screen, protect], [apply], [buy, time, put, need], [work, advertise], [chip, day, get, didnt, drop, phone], [follow, simple, instruction, protector, instal, use, tab, hold, place, screen, protector, doesnt, screen, bubble, contend, took, minute, put, recommend, sign, awesome, lifetime, warranty, hope, dont, need, use, ti], [cool], [product, im, impress, installation, process], [want, give, temper, glass, screen, protector, less, competitor, put, protect, screen, drop, order, arrive, break, customer, service, zerohassle, sent, away, recommend], [screen, protector, good, job, phone, screen], [super, put, work, year, ]]","[[product describe, 0.8932, 5], [put onworks bubble anythingits, 0.878, 5], [product, 0.7405, 5], [awesome come instruction fun watch see bottom push air air bubble, 0.8858, 5], [fill screen protect side br day anything happen glass latch, -0.4585, 2], [soon put phone week start come cornersi dont know piece, 0.802, 4], [iphones beginning time use screen protector purchase iphone get screen protector amazing review use month drop phone screen cover shatter phone wallet case know suppose work magic screen go break anyway didnt red protector, -0.706, 1], [work champ, 0.4404, 5], [happy, 0.4404, 5], [protector good day shatter impact drop replace bummer kind screen protector phone, 0.4927, 4], [product thank, 0.6249, 5], [get phone friend cover love glass protect screen company offer lifetime warranty, 0.3716, 2], [look reduction clarity easy put, 0.7906, 5], [package look ok glass feel serve purpose, -0.4215, 1], [disappoint durability drop iphone twice past month own phone duty spigen case absorb impact screen protector crack time drop pocket floorbr br expect wouldnt recommend, 0.9442, 5], [apply expect, 0.8885, 5], [install offer protection spend deal money, 0.2382, 4], [product day work bubble mark leave screen feel protects scratch drop case fit problem product install look instruction describe ok video give example follow, 0.8653, 5], [drop iphone work work warehouse floor afraid pick phone saw screen shatter remove maxboost glass protect realize screen protector phone great product iphone life saver, 0.8591, 5], [awesome product thin put doesnt get way case recommend friend, 0.6808, 5], [temper glass screen price amaze, 0.0927, 2], [install phone work thank, 0.4215, 5], [camera hole, -0.3832, 5], [perfect protection air bubble, 0.6369, 5], [install product cant beat time precise durability issue place phone pocket key key scratch screen protector glass area, 0.9153, 5], [use screen protector crack quality waste money try use money buy time phone damage ever use, 0.7717, 5], [crack screen, 0.8536, 5], [buy broke minute chip day brand, 0.4854, 2], [nice efficient, -0.0531, 4], [wifey like, 0.7717, 5], [appear, 0.6597, 5], [screen protector work please purchase, 0.9051, 5], [save phone, 0.4404, 5], [time buy product protect screen drop cement ground protector crack phone job protect phone concern screen protector doesnt cover whole screen dont let deter buy experience job buy case cover expose edge phone, 0.4404, 5], [instruction easy edge screen protector start shatter day use phone bit eyesore, 0.2263, 1], [deliver promise fit install bubble havent put protection part test, 0.0, 1], [, 0.7003, 5], [nice glass bit bigger glass seem attract fingerprint install, 0.4927, 5], [finger print, 0.2561, 1], [screen protector perfect fit follow intrustions tool provide make installation , 0.4404, 5], [amaze amount thickness protection slim time bring thing clean screen get perfect area air hole etc buy, 0.0, 5], [protector break month, 0.2057, 1], [wish cover phone screen, 0.3612, 5], [screen protector buy, 0.4404, 4], [install work purchase son drop phone facedown protector protector shatter phone unharmed, 0.872, 5], [rd screen protector dollar rip armorsomething dude att store upsold work fine drop buck get chip metal object pocket dug protector sat combo there apply perfect fit touch screen spot cost wayyyyy less protector none mean pay buck pop do, 0.4404, 5], [make installation video explain, 0.9495, 5], [product nicer expect arrive, 0.8402, 5], [describe great price amazon v retail store purchase, -0.7652, 1], [price quality found glass screen protector buy recommend product come clean wipe tape take lint apply screen protector, 0.34, 2], [purchase slider case maxboost wife love case figure id give screen protector try screen protector come package wet dry pad clean screen installation maxboost include guide sticker use help align screen protector screen application quick easy bubble halo effect screen protector look screen protector benefit temper glass screen protector happy purchase, 0.4215, 4], [goodbr seems come everything install itbr install alsobr cant complainbr cheaper go box store, 0.4404, 5], [installation instruction perfect install issue, 0.4927, 4], [case come super quick quality price, 0.6808, 5], [screen protector iphone couple month havent single issue switch phone magpul field case mophie charge case drop phone time case there damage screen protector recommend screen protector, 0.3612, 1], [excellent product arrive go fit iphone perfect, 0.4404, 4], [screen protector go process feel screen protect, 0.4019, 4], [apply, 0.9157, 5], [buy time put need, 0.6249, 5], [work advertise, -0.296, 1], [chip day get didnt drop phone, 0.807, 4], [follow simple instruction protector instal use tab hold place screen protector doesnt screen bubble contend took minute put recommend sign awesome lifetime warranty hope dont need use ti, 0.9287, 5], [cool, 0.8173, 4], [product im impress installation process, 0.8346, 5], [want give temper glass screen protector less competitor put protect screen drop order arrive break customer service zerohassle sent away recommend, 0.6997, 5], [screen protector good job phone screen, 0.8268, 5], [super put work year , 0.9589, 5], [, -0.0258, 5], [, 0.4877, 4], [, 0.3182, 5], [, 0.4404, 5]]"
B00QWDMWQ4,[-0.6708],[1],"[[disappoint, phone, case, wait, doesnt, fit, phone]]","[[disappoint phone case wait doesnt fit phone, -0.6708, 1]]"
B00R1IPXSI,"[0.5555, 0.6249]","[4, 5]","[[give, husband, go, schlitterbahnworked, awesome, phone, dry], [item, come, handy, beach, vacation, fit, cell, phone, point, cash, felt, safer, use, phone, beach, pool, case, picture, take, phone, case, well, quality, expect, reason, give, star, point, strap, come, undone, sure, manage, get, put, wear, neck]]","[[give husband go schlitterbahnworked awesome phone dry, 0.5555, 4], [item come handy beach vacation fit cell phone point cash felt safer use phone beach pool case picture take phone case well quality expect reason give star point strap come undone sure manage get put wear neck, 0.6249, 5]]"
B00R6LIZVM,[0.5859],[4],"[[product, receive, expect, condition, time, thank, product, work, nikon, cool, pix, camera]]","[[product receive expect condition time thank product work nikon cool pix camera, 0.5859, 4]]"
B00RAY9V18,[0.2732],[5],"[[work, quality, find, discount, store]]","[[work quality find discount store, 0.2732, 5]]"
B00RE0KUOK,"[-0.7389, 0.9688, 0.8885, 0.891]","[2, 4, 5, 2]","[[sound, cancel, noise, broke, leave, ear, bud, go, bass, sound, awesome, work, im, come, sound], [set, bluetooth, earbuds, say, impress, sound, wire, headphone, well, nce, clear, lot, bass], [earbuds, work, use, bluetooth, audio, remember, experience, depend, device, connect, application, usingbr, br, audio, quality, expect, bluetooth, midrange, earbuds, use, size, silicone, ear, gel, bud, part, go, leak, pressure, cause, bass, suffer, press, bit, bassbr, ear, wing, look, strange, orient, get, wing, sit, inside, fold, ear, run, falling, try, size, use, mirror, ensure, rotate, way, ear, shape, bud, gel, go, need, wing, youre, light, activitybr, br, microphone, im, tell, heard, fine, music, playing, room, moderate, volume, phone, naturallybr, br, q, pair, device, switch, soundstream, im, listen, music, phone, start, laptop, audio, switch, laptop, pause, laptop, audio, switch, phone, want, apps, youtube, dont, seem, earbuds, switch, nd, device, depends, app, codedbr, br, button, work, wellbr, activate, voice, command, phone, press, time, work, android, anywaybr, short, press, outer, button, volume, press, skip, track, short, press, middle, button, playpause, hold, power, toggle, doubletap, redial, use, phone, single, tap, phone, call, hangup, think, hold, tap, switch, call, havent, use, thatbr, br, review, complain, wireless, range, relate, device, environment, listen, music, earbuds, room, ft, wall, get, skip, distortion, phone, laptop, give, resultsbr, br, people, complain, cap, charge, port, nail, cut, supershort, cap, stay, close, fine, trouble, itbr, br, ive, use, day, week, month, get, hour, call, im, drop, agebr, br, problem, connection, message, loud, laptop, phone, earbuds, say, twice, power, remember, keep, message, hear, earbuds, waistlevel, power, onoff, message, loud, sad, fix, turn, make, thesebr, br, problem, bluetooth, earbuds, listen, use, time, windows, laptop, use, phone, audio, profile, name, handsfreeheadset, sound, quality, headphonesstereo, profile, problem, older, bluetooth, headset, laptopbr, br, better, expect], [headphone, prefer, rubber, piece, hold, ear, stop, work, month, get, replacement, pair]]","[[sound cancel noise broke leave ear bud go bass sound awesome work im come sound, -0.7389, 2], [set bluetooth earbuds say impress sound wire headphone well nce clear lot bass, 0.9688, 4], [earbuds work use bluetooth audio remember experience depend device connect application usingbr br audio quality expect bluetooth midrange earbuds use size silicone ear gel bud part go leak pressure cause bass suffer press bit bassbr ear wing look strange orient get wing sit inside fold ear run falling try size use mirror ensure rotate way ear shape bud gel go need wing youre light activitybr br microphone im tell heard fine music playing room moderate volume phone naturallybr br q pair device switch soundstream im listen music phone start laptop audio switch laptop pause laptop audio switch phone want apps youtube dont seem earbuds switch nd device depends app codedbr br button work wellbr activate voice command phone press time work android anywaybr short press outer button volume press skip track short press middle button playpause hold power toggle doubletap redial use phone single tap phone call hangup think hold tap switch call havent use thatbr br review complain wireless range relate device environment listen music earbuds room ft wall get skip distortion phone laptop give resultsbr br people complain cap charge port nail cut supershort cap stay close fine trouble itbr br ive use day week month get hour call im drop agebr br problem connection message loud laptop phone earbuds say twice power remember keep message hear earbuds waistlevel power onoff message loud sad fix turn make thesebr br problem bluetooth earbuds listen use time windows laptop use phone audio profile name handsfreeheadset sound quality headphonesstereo profile problem older bluetooth headset laptopbr br better expect, 0.8885, 5], [headphone prefer rubber piece hold ear stop work month get replacement pair, 0.891, 2]]"
B00RGIK7P2,"[-0.25, -0.2732, 0.0, 0.0, 0.6083, 0.5106]","[5, 2, 4, 5, 4, 5]","[[work, great, galaxy, note, otter, defender, case, issue], [work], [work, last, matter, adapter, plug, alternate, bluered, flash, lead, wont, charge], [use, galaxy, flip, phone, charge, case], [purchase, suppose, ring, charge, rav, handle, thick, case, go, purchase, rav, work, thicker, case, mine, happens, leather, post, picture, show, charge, cell, sit, leather, case], [experience, wireless, charger, say, im, impress, unit, work, case, galaxy, edge, trouble, placement, drop, phone, start, charge, warn, wireless, charging, slow, seem, comparison, use, make, sure, use, amp, usb, adapter, thoughbr, br, reason, give, star, provide, consider, need, plug, wall, adapter, doesnt, leave, room, desk, placement]]","[[work great galaxy note otter defender case issue, -0.25, 5], [work, -0.2732, 2], [work last matter adapter plug alternate bluered flash lead wont charge, 0.0, 4], [use galaxy flip phone charge case, 0.0, 5], [purchase suppose ring charge rav handle thick case go purchase rav work thicker case mine happens leather post picture show charge cell sit leather case, 0.6083, 4], [experience wireless charger say im impress unit work case galaxy edge trouble placement drop phone start charge warn wireless charging slow seem comparison use make sure use amp usb adapter thoughbr br reason give star provide consider need plug wall adapter doesnt leave room desk placement, 0.5106, 5]]"
B00RHFCRL6,[0.5719],[5],"[[excellent, product, fit, tight, way, tablet]]","[[excellent product fit tight way tablet, 0.5719, 5]]"
B00S1KOE3K,[0.7964],[5],"[[make, phone, look, classy]]","[[make phone look classy, 0.7964, 5]]"
B00S5VQBO0,[0.7893],[5],"[[hold, credit, card, look]]","[[hold credit card look, 0.7893, 5]]"
B00S6SNNBQ,[0.1629],[4],"[[headset, price, couple, issue, pair, iphone, pair, fail, time, reason, use, phone, drive, switch, speakerphone, happen, order, take, incoming, call, distract, pull, issue, find, ear, ear, side, contribute, problem, headset, sat, didnt, insert, cost, twice, break, warranty, expire, replace, hop, find, way, wear]]","[[headset price couple issue pair iphone pair fail time reason use phone drive switch speakerphone happen order take incoming call distract pull issue find ear ear side contribute problem headset sat didnt insert cost twice break warranty expire replace hop find way wear, 0.1629, 4]]"
B00S8NDXB4,[-0.4767],[1],"[[size, tall]]","[[size tall, -0.4767, 1]]"
B00S97QSB6,[0.4019],[4],"[[snap, color, nice, doesnt, cover, front, edge, phone, id, wee, bit, blurry, work, well, broken, case]]","[[snap color nice doesnt cover front edge phone id wee bit blurry work well broken case, 0.4019, 4]]"
B00SC1C05W,[0.8674],[5],"[[happy, case, suggest, manufacturer, make, kick, stand, middle, better, support, cell, fall, place]]","[[happy case suggest manufacturer make kick stand middle better support cell fall place, 0.8674, 5]]"
B00SHH9OJG,[0.9062],[5],"[[amaze, case, fit, glove, agree, others, place, phone, edge, side, click, craftsmanship, superiorand, mean, superior]]","[[amaze case fit glove agree others place phone edge side click craftsmanship superiorand mean superior, 0.9062, 5]]"
B00SI0E0TG,[0.0],[3],"[[room, seat]]","[[room seat, 0.0, 3]]"
B00SNP6XDW,[0.5719],[5],"[[buy, husband, love]]","[[buy husband love, 0.5719, 5]]"
B00SRTYI54,[0.8409],[5],"[[product, get, lumia, brand, charger, acx, uk, market, america, include, bulky, everything, plug, decide, order, come, lumia, package, north, america, acu, confirm, oem, nokia, charger, see, attach, photo, work]]","[[product get lumia brand charger acx uk market america include bulky everything plug decide order come lumia package north america acu confirm oem nokia charger see attach photo work, 0.8409, 5]]"
B00T1OGS6Q,[0.6395],[5],"[[lovebr, br, update, month, love, phone, go, go, room, room, inside, get, handle, lot, case, handle, look, loose, stitch, pocket, magnet, clutch, take, picture, time, bother, picture, taker, biggie, longer, carry, purse, cause, id, credit, card, need, impress, case, buy]]","[[lovebr br update month love phone go go room room inside get handle lot case handle look loose stitch pocket magnet clutch take picture time bother picture taker biggie longer carry purse cause id credit card need impress case buy, 0.6395, 5]]"
B00TADCB14,[0.8934],[5],"[[expectation, travel, sound, perfect]]","[[expectation travel sound perfect, 0.8934, 5]]"
B00TCFWSM2,[0.4404],[5],[[come]],"[[come, 0.4404, 5]]"
B00TJE2P4M,[0.4588],[5],[[money]],"[[money, 0.4588, 5]]"
B00TTFLCTK,[0.926],[5],"[[case, fit, look]]","[[case fit look, 0.926, 5]]"
B00TTWP9V0,"[0.0449, 0.6369, 0.7906, 0.7184, 0.6369, -0.5596, 0.8519]","[3, 5, 3, 5, 5, 3, 5]","[[buy, case, piece, didnt, together, tight, felt, flimsy, didnt, offer, protection, phone], [case, color, part, get, color, brown, clean, get, stain, wouldnt, want, keep, buying, case, switch, type], [case], [case, super, cute, nice, fit, like, lot, box, scuff, stain, go, switch, case], [gold, algae, creates, combination, thin, bulk, spoil, form, factor, iphone, blend, shape, phone], [look, phone, protection]]","[[buy case piece didnt together tight felt flimsy didnt offer protection phone, 0.0449, 3], [case color part get color brown clean get stain wouldnt want keep buying case switch type, 0.6369, 5], [case, 0.7906, 3], [case super cute nice fit like lot box scuff stain go switch case, 0.7184, 5], [gold algae creates combination thin bulk spoil form factor iphone blend shape phone, 0.6369, 5], [look phone protection, -0.5596, 3], [, 0.8519, 5]]"
B00U0QEKCI,[-0.7508],[1],"[[dont, trust, scam]]","[[dont trust scam, -0.7508, 1]]"
B00U2B9IEG,[0.875],[5],"[[diving, wish, wrist, strap, attach, well, way]]","[[diving wish wrist strap attach well way, 0.875, 5]]"
B00U8RLEDM,"[0.6249, 0.4404, 0.4404, 0.8807, 0.6249, 0.0, 0.7906, 0.4404]","[5, 5, 5, 5, 5, 4, 5, 5]","[[work], [awesome], [website, show, put], [work], [install, instruction], [put, look], [thanks, product]]","[[work, 0.6249, 5], [awesome, 0.4404, 5], [website show put, 0.4404, 5], [work, 0.8807, 5], [install instruction, 0.6249, 5], [put look, 0.0, 4], [thanks product, 0.7906, 5], [, 0.4404, 5]]"
B00UBOL9Z0,[0.872],[4],"[[flashlight, headlamps, leave, battery, come, week, dead, nice, name, brand, battery, somewhere, light, drain, charge, zero, course, find, day, amazon, return, policy, update, contact, seller, sent, arrive, week, use, week, past, month, bright, everything, want, light, get, use, old, leave, battery, company, work, customer, service, want, youd, want, there, problem]]","[[flashlight headlamps leave battery come week dead nice name brand battery somewhere light drain charge zero course find day amazon return policy update contact seller sent arrive week use week past month bright everything want light get use old leave battery company work customer service want youd want there problem, 0.872, 4]]"
B00UHGYXXC,[0.2732],[5],[[work]],"[[work, 0.2732, 5]]"
B00UJC00OA,[0.7841],[5],"[[ring, quality, ok, lot]]","[[ring quality ok lot, 0.7841, 5]]"
B00UVM5LYW,"[-0.2263, 0.6249, 0.0129, 0.7717, 0.9062, 0.0, 0.6249, 0.0, -0.5927, 0.8689, 0.7003, 0.6897, 0.0]","[1, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 2, 5]","[[month, fit, device, love, cable, buy], [genuine, samsung, product, stop, work, use], [buy, cable, receive, description, case, pass, cable, charge, fine, length], [work, great], [cable, duty, longer, come, cat, chew, came, phone, think, charge, price, insane, item], [advertise], [cable, appear, ok, fail, course, month, wire, seems, break], [charge, work], [samsung, usb, oem, cable, length, say, plug, tight, buy], [expect, recieve, time], [product, fast, ship], [quality, fit, love], [quality, well, got, box, phone]]","[[month fit device love cable buy, -0.2263, 1], [genuine samsung product stop work use, 0.6249, 5], [buy cable receive description case pass cable charge fine length, 0.0129, 5], [work great, 0.7717, 5], [cable duty longer come cat chew came phone think charge price insane item, 0.9062, 5], [advertise, 0.0, 5], [cable appear ok fail course month wire seems break, 0.6249, 5], [charge work, 0.0, 5], [samsung usb oem cable length say plug tight buy, -0.5927, 1], [expect recieve time, 0.8689, 5], [product fast ship, 0.7003, 5], [quality fit love, 0.6897, 2], [quality well got box phone, 0.0, 5]]"
B00UXLIJZ4,"[0.0, 0.0]","[1, 5]","[[charger, doesnt, work], [item, state, ship]]","[[charger doesnt work, 0.0, 1], [item state ship, 0.0, 5]]"
B00UYR1PJO,"[0.6249, 0.2023]","[5, 5]","[[mr, shield, phone], [work, fine]]","[[mr shield phone, 0.6249, 5], [work fine, 0.2023, 5]]"
B00V5XPXRQ,[-0.0423],[5],"[[item, function, realize, day, window, return, try, use, time, function]]","[[item function realize day window return try use time function, -0.0423, 5]]"
B00VFX1TVA,"[-0.0609, 0.9287]","[2, 5]","[[look, cool, buy, cheap, week, use, kickstand, broke, wont, get, model], [kickstand, work, use, protect, phone, edge, make, hold, purchase, case, phone, family, protection, otter, box, life, need, kind, protection, invest, money, everyday, protection]]","[[look cool buy cheap week use kickstand broke wont get model, -0.0609, 2], [kickstand work use protect phone edge make hold purchase case phone family protection otter box life need kind protection invest money everyday protection, 0.9287, 5]]"
B00VG5WKT2,"[0.6249, 0.7227]","[5, 5]","[[product], [buy, husband, phone, job, drop, phone, side, scrap, scratch, dent, screen, perfect, condition]]","[[product, 0.6249, 5], [buy husband phone job drop phone side scrap scratch dent screen perfect condition, 0.7227, 5]]"
B00VHHEDP8,[0.0808],[4],"[[purchase, case, year, daughter, tends, bit, electronics, case, perfect, come, clip, phone, case, doesnt, im, sure, throw, order, uselesshence, star]]","[[purchase case year daughter tends bit electronics case perfect come clip phone case doesnt im sure throw order uselesshence star, 0.0808, 4]]"
B00VLX7DE6,"[-0.9326, -0.7641]","[1, 3]","[[expect, hour, charge, fidelity, gym, mow, yard, dont, need, sound], [headphone, nice, look, fit, functionality, phone, identify, connect, headphone, problem, use, connectivity, keep, cut, shutting, music, try, hold, phone, closer, headset, think, distance, cause, connectivity, issue, wasnt, well, recommend]]","[[expect hour charge fidelity gym mow yard dont need sound, -0.9326, 1], [headphone nice look fit functionality phone identify connect headphone problem use connectivity keep cut shutting music try hold phone closer headset think distance cause connectivity issue wasnt well recommend, -0.7641, 3]]"
B00VN259L4,[0.0],[5],[[d]],"[[d, 0.0, 5]]"
B00VQ7HQNA,[0.6249],[5],"[[work, great]]","[[work great, 0.6249, 5]]"
B00VQ8RK62,[0.0],[5],[[want]],"[[want, 0.0, 5]]"
B00VSNQYEE,[0.25],[1],"[[start, work, fine, charge, phone, ipad, ipad, stop, charge, night, phone, say, cord, work, nothing, get, month, use, bright, side, cheap, fast, delivery]]","[[start work fine charge phone ipad ipad stop charge night phone say cord work nothing get month use bright side cheap fast delivery, 0.25, 1]]"
B00VW5AKBG,[-0.5915],[2],"[[ok, great, doesnt]]","[[ok great doesnt, -0.5915, 2]]"
B00VWWN408,"[0.0, -0.8268, -0.4215]","[5, 3, 1]","[[tell, isnt, solar, charger, battery, charge, plug, im, scammed, money, cant, believe, stuff, people, make, fool, set, sun, week, nothing, review, say, star, fake, btw], [im, confuse, work, instruction, come, lose, reading, im, sure, charge, sun, leave, day, get, seem, get, charge, sun, lighter, battery, purchase, deal, money, ill, keep, hike, backpack, event, get, lose, hike, need, charge, phone, thats, buy], [lightweight, source, power]]","[[tell isnt solar charger battery charge plug im scammed money cant believe stuff people make fool set sun week nothing review say star fake btw, 0.0, 5], [im confuse work instruction come lose reading im sure charge sun leave day get seem get charge sun lighter battery purchase deal money ill keep hike backpack event get lose hike need charge phone thats buy, -0.8268, 3], [lightweight source power, -0.4215, 1]]"
B00W43402K,[0.4404],[5],"[[work, greatbr, product]]","[[work greatbr product, 0.4404, 5]]"
B00W6638BY,[0.0],[1],[[junk]],"[[junk, 0.0, 1]]"
B00W8J7UQS,[0.6648],[2],"[[didnt, camera, top, button, serve, purpose, expect, quality, material, better, fit]]","[[didnt camera top button serve purpose expect quality material better fit, 0.6648, 2]]"
B00WA7ITT0,[-0.3026],[1],"[[love, get, case, start, get, discolor, dirty, hate, worth, money, look, case]]","[[love get case start get discolor dirty hate worth money look case, -0.3026, 1]]"
B00WIMGAVG,[0.3176],[3],"[[buy, day, wireless, charger, price, decent, think, buy, desk, work, charger, samsung, work, time, cord, get, charger, start, charge, screen, power, minute, annoy, samsung, wireless, charger, recommend, product, clear, case, get, pay]]","[[buy day wireless charger price decent think buy desk work charger samsung work time cord get charger start charge screen power minute annoy samsung wireless charger recommend product clear case get pay, 0.3176, 3]]"
B00WOFLZ5I,[0.0276],[5],"[[work, hardware, store, phone, go, lot, abuse, use, fre, cover, notice, screen, case, scratch, rub, stuff, apron, nothing, show, perfect, mixture, price]]","[[work hardware store phone go lot abuse use fre cover notice screen case scratch rub stuff apron nothing show perfect mixture price, 0.0276, 5]]"
B00WOVUL6Q,[0.0],[5],"[[describe, product, ship]]","[[describe product ship, 0.0, 5]]"
B00WR0QGAY,[0.4939],[3],"[[cheap, light, player, bluetooth, functionality, speaker, link, file, transfer, gb, build, memory, micro, sd, slot, expand, access, file, time]]","[[cheap light player bluetooth functionality speaker link file transfer gb build memory micro sd slot expand access file time, 0.4939, 3]]"
B00WU871IY,"[0.8126, -0.1027, 0.9449, -0.8257, -0.6801, -0.7717, 0.7906, -0.6808, -0.3818, 0.7527, 0.6249, -0.6808, 0.2732]","[1, 2, 5, 1, 1, 1, 3, 3, 1, 5, 5, 1, 1]","[[cable, strange, reason, charging, device, play, ok, product, love, convinence, use, phone, plug, bed], [stay, kink, arent], [buy], [charger, worker, guess, get, pay], [dont, day, break, waste, money], [post, cable, work, iphone, s, family, cable, fail, week, arrive], [star, poor, quality, work], [doesnt, deserve, star, product, buy, work, prong, break, cable, come, order, dont, waste, money], [come, timer, super, great, work, nice, room, car], [went, time, use, instant, hot, rest, work, dont, anything], [cord, work, day, say, iphone, havent, work, size, cute, wont, work, iphone, dont, good], [price, stop, work, week, use], [work, broke, broke, day]]","[[cable strange reason charging device play ok product love convinence use phone plug bed, 0.8126, 1], [stay kink arent, -0.1027, 2], [buy, 0.9449, 5], [charger worker guess get pay, -0.8257, 1], [dont day break waste money, -0.6801, 1], [post cable work iphone s family cable fail week arrive, -0.7717, 1], [star poor quality work, 0.7906, 3], [doesnt deserve star product buy work prong break cable come order dont waste money, -0.6808, 3], [come timer super great work nice room car, -0.3818, 1], [went time use instant hot rest work dont anything, 0.7527, 5], [cord work day say iphone havent work size cute wont work iphone dont good, 0.6249, 5], [price stop work week use, -0.6808, 1], [work broke broke day, 0.2732, 1]]"
B00WVU9DVY,[0.8442],[5],"[[case, love]]","[[case love, 0.8442, 5]]"
