9712974995,[0.6249],[4],"[[customer, service, charger, charge]]","[[customer service charger charge, 0.6249, 4]]"
B00QHD2UIE,"[0.6956, 0.6369, 0.6646, 0.9201, 0.9686, 0.9706]","[2, 5, 5, 5, 4, 5]","[[car, mount, work, awesome, place, metal, plate, inside, phone, case, phone, stick, road, disc, stickon, leave, bit, desire, term, glue, seems, glue, car, temperature, glue, become, gooey, stick, clean, oem, glue, bring, use, third, party, glue, stick, gps, product], [work, love], [saw, product, didnt, know, expect, think, magnet, strong, keep, phone, arrive, doubt, magnet, gone, compare, bulkyphone, holder, magnet, mount, simple, look, way, installation, battery, cover, add, magnet, include, inside, box, attach, mount, air, vent, mount, mount, phone, stay, doesnt, move, take, strength, pull, phone, mount, recommend, product, want, simple, car, mount], [product, prefect, bring, dad, iphone, stainless, steel, case, super, heavy, car, mount, hold, nothing, customer, service, told, package, ship, follow, sell, deserve, star, brought, friend, family], [nice, product, keep, hand, follow, map, gps, product, state, require, handsfree, device, law], [concept, nice, fell, apart, piece, quality, well, price, quality, money]]","[[car mount work awesome place metal plate inside phone case phone stick road disc stickon leave bit desire term glue seems glue car temperature glue become gooey stick clean oem glue bring use third party glue stick gps product, 0.6956, 2], [work love, 0.6369, 5], [saw product didnt know expect think magnet strong keep phone arrive doubt magnet gone compare bulkyphone holder magnet mount simple look way installation battery cover add magnet include inside box attach mount air vent mount mount phone stay doesnt move take strength pull phone mount recommend product want simple car mount, 0.6646, 5], [product prefect bring dad iphone stainless steel case super heavy car mount hold nothing customer service told package ship follow sell deserve star brought friend family, 0.9201, 5], [nice product keep hand follow map gps product state require handsfree device law, 0.9686, 4], [concept nice fell apart piece quality well price quality money, 0.9706, 5]]"
B00QL0G2L4,"[0.7906, 0.8122]","[5, 5]","[[nice, case, fit, iphone, spigen, slim, armor, case], [look, case, iphone, bike, rid, need, protection, bump, phone, fit, case, case, belkin, grip, case, cover, iphone, get, want]]","[[nice case fit iphone spigen slim armor case, 0.7906, 5], [look case iphone bike rid need protection bump phone fit case case belkin grip case cover iphone get want, 0.8122, 5]]"
B00QUYOQAA,[0.4404],[4],"[[product, price, day, black, rubber, rip, use]]","[[product price day black rubber rip use, 0.4404, 4]]"
B00QW0GOUM,[0.9382],[5],"[[awesome, fit, perfect, love, color]]","[[awesome fit perfect love color, 0.9382, 5]]"
B00R41V9QC,[0.4404],[1],"[[screen, protector, protect, nothing, spent, fix, screen]]","[[screen protector protect nothing spent fix screen, 0.4404, 1]]"
B00R6PAHUA,[0.6249],[5],[[awesome]],"[[awesome, 0.6249, 5]]"
B00R7L5RZI,[0.2617],[4],"[[take, case, want, plug, charger, cable, case, sturdy, inconvenient, whenever, plug, phone, design, cute, subtle, see, minnie, mouse]]","[[take case want plug charger cable case sturdy inconvenient whenever plug phone design cute subtle see minnie mouse, 0.2617, 4]]"
B00RCBM1XE,[0.6369],[5],"[[card, slot, put, transportation, card]]","[[card slot put transportation card, 0.6369, 5]]"
B00RHRETG0,[0.4397],[1],[[expect]],"[[expect, 0.4397, 1]]"
B00RJLAGJS,[-0.2755],[1],"[[fit, iphone, ]]","[[fit iphone , -0.2755, 1]]"
B00RJRSTN2,[0.9061],[5],"[[perfect, size, use, car, charge, iphone, ipad, air, go, feel, unlike, others, purchase, cord, tangle, feel, time, order, car, purchase]]","[[perfect size use car charge iphone ipad air go feel unlike others purchase cord tangle feel time order car purchase, 0.9061, 5]]"
B00ROVXIA2,"[0.7906, 0.6249, 0.6597, 0.7496, 0.4404, 0.2263, 0.743, -0.4215, 0.9022, 0.1601]","[5, 5, 3, 5, 5, 1, 4, 1, 5, 1]","[[protector, work, includes, instruction, application, nice, template, allow, perfect, installation, timebr, br, nature, iphones, curve, screen, edge, leaf, strip, protector, seat, edge, imagine, dirt, lint, start, get, stick, strip, protector, look, worse, worse, price], [actuall, phone, fell, tempured, glass, broke, phone, glass, didnt, proyect], [product, price, customer, service, recomend], [screen, protector, crack, day, put, didnt, drop, phone, drop, anything, crack, side, screen, protector, quality, buy, thats, cent], [product, apply], [wow, worthless, apply, screen, smoothing, bubble, crack], [product, buy, product, awesome, arrive, star], [awesome, price, quality], [thank]]","[[protector work includes instruction application nice template allow perfect installation timebr br nature iphones curve screen edge leaf strip protector seat edge imagine dirt lint start get stick strip protector look worse worse price, 0.7906, 5], [actuall phone fell tempured glass broke phone glass didnt proyect, 0.6249, 5], [product price customer service recomend, 0.6597, 3], [screen protector crack day put didnt drop phone drop anything crack side screen protector quality buy thats cent, 0.7496, 5], [product apply, 0.4404, 5], [wow worthless apply screen smoothing bubble crack, 0.2263, 1], [product buy product awesome arrive star, 0.743, 4], [awesome price quality, -0.4215, 1], [thank, 0.9022, 5], [, 0.1601, 1]]"
B00RUYPLOO,[0.9638],[5],"[[case, super, fast, shipping, faster, expect, get, case, iphone, fallen, protect, get, kid, play, game, love]]","[[case super fast shipping faster expect get case iphone fallen protect get kid play game love, 0.9638, 5]]"
B00RV61VK4,[0.886],[5],"[[excellent, fit, nice, tight, finish]]","[[excellent fit nice tight finish, 0.886, 5]]"
B00RXT820Q,"[0.4215, 0.6124, -0.2755, 0.765]","[4, 3, 1, 3]","[[fit, phone], [strap, top, band, bottom, stabilize, phone, better, run, jiggle, bit, hold, phone], [nice], [arm, band, work, silcone, shell, type, pocket, type]]","[[fit phone, 0.4215, 4], [strap top band bottom stabilize phone better run jiggle bit hold phone, 0.6124, 3], [nice, -0.2755, 1], [arm band work silcone shell type pocket type, 0.765, 3]]"
B00S22OP3Q,"[-0.3291, 0.7264, 0.8126, 0.5719, 0.8422]","[2, 5, 3, 4, 5]","[[set, instruction, print, read, ear, piece, im, fining, ear, sound, quality, good, cant, get, situate, stay, ear], [headphone, okay, use, run, claim, run, mile, day, headphone, fall, aggravate, try, ear, piece, size, make, stay, ear, buy, describe, intend, run, give, wife, doesnt, run, look, bluetooth, headphone, fall, run, suggestion], [fine, sound, battery, life], [connect, sound, quality], [sound, clarity, voice, clear, product]]","[[set instruction print read ear piece im fining ear sound quality good cant get situate stay ear, -0.3291, 2], [headphone okay use run claim run mile day headphone fall aggravate try ear piece size make stay ear buy describe intend run give wife doesnt run look bluetooth headphone fall run suggestion, 0.7264, 5], [fine sound battery life, 0.8126, 3], [connect sound quality, 0.5719, 4], [sound clarity voice clear product, 0.8422, 5]]"
B00SF56C04,[0.8143],[5],"[[boyfriend, crack, screen, order, replacement, screen, figure, kit, work, doesnt, pay, make, hassle, worth, shot, try, product, blown, result, product, everything, uou, need, replace, screen, simple, phone, look, brand, happy, bought, second, recommend, product]]","[[boyfriend crack screen order replacement screen figure kit work doesnt pay make hassle worth shot try product blown result product everything uou need replace screen simple phone look brand happy bought second recommend product, 0.8143, 5]]"
B00SIHQE70,"[0.4404, 0.7717]","[5, 5]","[[case, clip, holder, stronger], [protection, product]]","[[case clip holder stronger, 0.4404, 5], [protection product, 0.7717, 5]]"
B00SMIEHHY,"[0.9209, 0.7906]","[2, 5]","[[think, color, great, pocket, come, handy], [case, fit, card, total, thickness, note, phone, stack, cant, justify, trade, otherwise, nice, sturdy, case, fit, phone, glove, phone, try, take, case]]","[[think color great pocket come handy, 0.9209, 2], [case fit card total thickness note phone stack cant justify trade otherwise nice sturdy case fit phone glove phone try take case, 0.7906, 5]]"
B00ST06RLE,[0.8126],[5],"[[excellent, chargercar, start, happy, charger]]","[[excellent chargercar start happy charger, 0.8126, 5]]"
B00SV646HS,[0.7906],[5],[[work]],"[[work, 0.7906, 5]]"
B00SZYSMFS,[0.8579],[4],"[[case, fit, glove, slim, ]]","[[case fit glove slim , 0.8579, 4]]"
B00T3QBN3K,[0.0],[5],"[[excellt, price]]","[[excellt price, 0.0, 5]]"
B00T6QHMPU,[0.6597],[3],"[[fit, get, bubble]]","[[fit get bubble, 0.6597, 3]]"
B00TCT7DS2,[0.4754],[5],"[[satisfy, phone, case]]","[[satisfy phone case, 0.4754, 5]]"
B00TOZRRYY,[0.1506],[1],"[[case, case, thing, description, say, reason, bought, case, say, snow, water, test, case, water, damp, wet, want, case, say, water, dont, take, rethink]]","[[case case thing description say reason bought case say snow water test case water damp wet want case say water dont take rethink, 0.1506, 1]]"
B00TQYOEXK,[0.8074],[5],"[[tool, replace, lost, fire, recondition, thanks, deliver, promise]]","[[tool replace lost fire recondition thanks deliver promise, 0.8074, 5]]"
B00TSUW4I4,"[0.6283, 0.4404, 0.836, 0.8979, 0.7717, 0.8225]","[5, 5, 4, 5, 4, 5]","[[fit, phone, iv, drop, time, protects], [order, quality, come, day], [case, prefect, weight, good, protection, unlike, otterbox, google, pay, signal, work, thru, case, come, pink, girl], [fit, phone], [case, reason, give, star, cause, trash, get, screen, protector, take, apart, get, please], [otterbox, pay, drop, phone, plenty, time, didnt, break, damage, case]]","[[fit phone iv drop time protects, 0.6283, 5], [order quality come day, 0.4404, 5], [case prefect weight good protection unlike otterbox google pay signal work thru case come pink girl, 0.836, 4], [fit phone, 0.8979, 5], [case reason give star cause trash get screen protector take apart get please, 0.7717, 4], [otterbox pay drop phone plenty time didnt break damage case, 0.8225, 5]]"
B00TUK5FZ6,[-0.9746],[1],"[[use, product, samsung, galaxy, note, edge, product, flip, case, plastic, cell, phone, shell, inside, cell, phone, place, week, impress, went, force, take, phone, case, plastic, volume, broke, aggravate, today, notice, material, pleather, start, become, unsown, front, cover, dont, get, somebody, buy, product, longer, month, destroy, update, product, week, say, crap, get, week, material, think, sow, way, glue, start, fall, apart, corner, come, apart, expose, layer, cardboard, give, stiffness, case, disappoint, product, dont, think, make, case, poor, manner]]","[[use product samsung galaxy note edge product flip case plastic cell phone shell inside cell phone place week impress went force take phone case plastic volume broke aggravate today notice material pleather start become unsown front cover dont get somebody buy product longer month destroy update product week say crap get week material think sow way glue start fall apart corner come apart expose layer cardboard give stiffness case disappoint product dont think make case poor manner, -0.9746, 1]]"
B00TVTMO96,"[-0.296, 0.4404]","[2, 4]","[[instruction, protector, installation, file, brain, attempt, proceed, wipe, everything, include, sticky, side, know, start, get, lint, course, peel, cover, know, cover, glue], [make, screen, pop, install]]","[[instruction protector installation file brain attempt proceed wipe everything include sticky side know start get lint course peel cover know cover glue, -0.296, 2], [make screen pop install, 0.4404, 4]]"
B00TYTBFR0,"[0.8402, 0.4215, 0.7845, 0.5719, 0.6249]","[5, 5, 5, 5, 5]","[[save, phone, fall, toilet], [get, otter, box, day, order, convenience, prime, case, look, feel, look, nd, otter, box, defender, case, phone, case, work, save, couple, time, phone, drop], [case, amaze, love, ship, fast, day], [work, perfect]]","[[save phone fall toilet, 0.8402, 5], [get otter box day order convenience prime case look feel look nd otter box defender case phone case work save couple time phone drop, 0.4215, 5], [case amaze love ship fast day, 0.7845, 5], [work perfect, 0.5719, 5], [, 0.6249, 5]]"
B00U31TK4S,[-0.6124],[3],"[[want, yall, know, get, phone, cover, wasnt, ask, color, order, color, ask, time, im, afraid, mistake, make]]","[[want yall know get phone cover wasnt ask color order color ask time im afraid mistake make, -0.6124, 3]]"
B00U6DLSTS,"[0.0, -0.5423]","[1, 1]","[[apple, ear, pod, volume, work, mine], [apple, headphone, sound]]","[[apple ear pod volume work mine, 0.0, 1], [apple headphone sound, -0.5423, 1]]"
B00UBF0B4E,[0.6249],[5],"[[product, receive, describe]]","[[product receive describe, 0.6249, 5]]"
B00UBTZY1K,[0.9538],[1],"[[phone, stay, plus, look, fit, iphone, case, look, look, fit, phone, didnt]]","[[phone stay plus look fit iphone case look look fit phone didnt, 0.9538, 1]]"
B00UBWMLRC,[0.5719],[4],"[[excellent, condition]]","[[excellent condition, 0.5719, 4]]"
B00UKKH54Y,[0.0],[5],"[[work, month]]","[[work month, 0.0, 5]]"
B00UO0JAR0,[0.2732],[5],"[[need, look, doesnt, belt, clip, get, break, enter, car, month, love]]","[[need look doesnt belt clip get break enter car month love, 0.2732, 5]]"
B00URGXCWA,"[-0.7543, 0.2023, 0.8591, 0.2732, 0.911, -0.648, 0.886, 0.0, 0.0]","[1, 5, 2, 5, 2, 5, 2, 1, 1]","[[deal, excellent, cable, charging, apple, certify, transmit, video, primary, reason, buy], [use, work, fine, hook, phone, charger, car, wouldnt, buy, iphone, expectation, meet, work, dont, cost, end, work, ill, keep, update, pack, im, second, couple, week, use, working, week, glad, buy, pack, update, second, adaptor, week, hop, id, get, hop], [read, review, know, risk, piece, st, figure, try, pay, apple, waste, application, find, work, try, alot, different, thing, car, charger, radio, charge, iphone, cord, get, pay, dont, wast, money], [deliver, product], [work, data, say, description, main, complaint, see, people, upset, read, product, order, sound, product, fine, poor, review, one, get, star], [work], [work, fine], [stereo, device, use, work, home, playi, music, control, remote, charge, iphone, older, style, adapter, buy, extend, adapter, hope, plug, apple, smart, phone, device, try, slide, dock, adapter, realize, charge, iphone, play, music, allow, control, remote, assume, connector, match, pin, device, connection, hope, seller, advertise, fact, leave, description], [try, use, sony, stereo, iphone, version, plug, convert, iphone, work]]","[[deal excellent cable charging apple certify transmit video primary reason buy, -0.7543, 1], [use work fine hook phone charger car wouldnt buy iphone expectation meet work dont cost end work ill keep update pack im second couple week use working week glad buy pack update second adaptor week hop id get hop, 0.2023, 5], [read review know risk piece st figure try pay apple waste application find work try alot different thing car charger radio charge iphone cord get pay dont wast money, 0.8591, 2], [deliver product, 0.2732, 5], [work data say description main complaint see people upset read product order sound product fine poor review one get star, 0.911, 2], [work, -0.648, 5], [work fine, 0.886, 2], [stereo device use work home playi music control remote charge iphone older style adapter buy extend adapter hope plug apple smart phone device try slide dock adapter realize charge iphone play music allow control remote assume connector match pin device connection hope seller advertise fact leave description, 0.0, 1], [try use sony stereo iphone version plug convert iphone work, 0.0, 1]]"
B00URJYMNU,[-0.4973],[1],"[[fidf, fit, htc, dont, know, return, take, forever, get, didnt]]","[[fidf fit htc dont know return take forever get didnt, -0.4973, 1]]"
B00UZSHMLW,[0.8511],[5],"[[come, work, buy, get, shipping, img, ten, buck]]","[[come work buy get shipping img ten buck, 0.8511, 5]]"
B00V2TYVBC,"[0.5994, 0.4404]","[1, 3]","[[case, bit, slippery], [scratch, easy]]","[[case bit slippery, 0.5994, 1], [scratch easy, 0.4404, 3]]"
B00V3XIZVY,[0.6249],[4],"[[extra, great]]","[[extra great, 0.6249, 4]]"
B00V85B5KA,[0.6249],[1],"[[get, phone, case, great, difficulty, get, power, cord, different, iphone, cord, meaning, need, use, phone, battery, circumstance]]","[[get phone case great difficulty get power cord different iphone cord meaning need use phone battery circumstance, 0.6249, 1]]"
B00VA33QVQ,[0.0137],[2],"[[look, fade, quality, price, fine]]","[[look fade quality price fine, 0.0137, 2]]"
B00VC7C6I4,[0.8957],[5],"[[case, awesome, search, forever, try, find, perfect, wood, case, im, glad, stumble]]","[[case awesome search forever try find perfect wood case im glad stumble, 0.8957, 5]]"
B00VMTJPRM,[0.1383],[3],"[[sturdy, case, slippery, good, item, put]]","[[sturdy case slippery good item put, 0.1383, 3]]"
B00VRDJK8M,"[0.3818, 0.6249, -0.5106, -0.4404]","[5, 4, 5, 1]","[[awesome, qualcomm, ], [charger, charge, work, perfect], [charger, come, fry, charge, port, cell, phone], [issue, month, own, product, charge, device, brand, seem, quality, make]]","[[awesome qualcomm , 0.3818, 5], [charger charge work perfect, 0.6249, 4], [charger come fry charge port cell phone, -0.5106, 5], [issue month own product charge device brand seem quality make, -0.4404, 1]]"
B00VRKZ06Q,[0.9201],[5],"[[case, perfect, love, pink]]","[[case perfect love pink, 0.9201, 5]]"
B00VRSIQK0,[0.0],[5],[[]],"[[, 0.0, 5]]"
B00VRSIQNC,[0.6249],[4],[[buy]],"[[buy, 0.6249, 4]]"
B00VT35RQ4,"[0.0, -0.3412]","[5, 1]","[[sturdy, case, arrive], [case, protect, phone, phone, crack, case]]","[[sturdy case arrive, 0.0, 5], [case protect phone phone crack case, -0.3412, 1]]"
B00VVR3HXS,"[0.5106, 0.9632]","[5, 4]","[[id, case, star, fact, cost, pretty, protect, phone, id, expect, there, thing, improve, button, pressing, power, button, builtin, screen, protector, make, iffy, recommend, case, someone, moment, touch, screen, sign, distortion, go, leave, weird, look, part, title, review, point, case, perfect, example, nothing, nothing, less, pay, there, well, option, buck], [appears, solid, case, order, think, case, galaxy, button, sso, cant, use, case, ee]]","[[id case star fact cost pretty protect phone id expect there thing improve button pressing power button builtin screen protector make iffy recommend case someone moment touch screen sign distortion go leave weird look part title review point case perfect example nothing nothing less pay there well option buck, 0.5106, 5], [appears solid case order think case galaxy button sso cant use case ee, 0.9632, 4]]"
B00VWCD908,[0.6249],[5],[[awesome]],"[[awesome, 0.6249, 5]]"
B00W6XG01C,"[0.4854, 0.973]","[4, 4]","[[extra, accessory, nice, bonus, use, pen, wish, holder, slot], [product, ship, arrive, day, expect, time, trip, leave, need, phone, protect, love, look, design, fit, extra, come, case, awesome, price, give, star, leather, ad, state, expecting, genuine, leather, price, satisfy, product, advise, friend, purchase, acouint, thanks]]","[[extra accessory nice bonus use pen wish holder slot, 0.4854, 4], [product ship arrive day expect time trip leave need phone protect love look design fit extra come case awesome price give star leather ad state expecting genuine leather price satisfy product advise friend purchase acouint thanks, 0.973, 4]]"
B00WFYECHQ,[-0.5267],[5],"[[case, people, break, casesbr, take, kid, month, breakbr, hurt, flip, part, headphone, plugbr, rest, hold, tight]]","[[case people break casesbr take kid month breakbr hurt flip part headphone plugbr rest hold tight, -0.5267, 5]]"
B00WHK5CWM,"[0.7964, 0.8946, -0.0711, 0.2011]","[5, 5, 5, 2]","[[receive, setone, word, own, care, think, aboutafter, experience, online, shop, product, time, situation, need, hurry, couldnt, find, amazon, charger, fit, bill, decent, review, come, work, device, recommend, anyone], [work, thank], [work, come, note, couldnt, happier], [adapter, fit, galaxy, v, wall, adapter, work, money, suppose]]","[[receive setone word own care think aboutafter experience online shop product time situation need hurry couldnt find amazon charger fit bill decent review come work device recommend anyone, 0.7964, 5], [work thank, 0.8946, 5], [work come note couldnt happier, -0.0711, 5], [adapter fit galaxy v wall adapter work money suppose, 0.2011, 2]]"
B00WJOZ01Y,[0.4215],[5],"[[like, phone, time]]","[[like phone time, 0.4215, 5]]"
B00WNCSRJY,[-0.5994],[5],"[[problem, holster, end, broke, purchase, product, notify, seller, replace, holster, charge, recommend, purchase, product, holster, phone, attach, end, hoster, catch, end, desk, chair, etc, stand, seat, position, satisfy, product, purchase, experience, seller]]","[[problem holster end broke purchase product notify seller replace holster charge recommend purchase product holster phone attach end hoster catch end desk chair etc stand seat position satisfy product purchase experience seller, -0.5994, 5]]"
B00WTAL2HE,"[0.7351, 0.0]","[5, 5]","[[describe, purchase, vendor], [fit, perfect]]","[[describe purchase vendor, 0.7351, 5], [fit perfect, 0.0, 5]]"
B00X97QLDQ,[0.5719],[1],"[[perfect, replacement, wife, break, screen, replace, iphones, diy, project, quit, work, indtallation, customer, service, speak, warranty, joke]]","[[perfect replacement wife break screen replace iphones diy project quit work indtallation customer service speak warranty joke, 0.5719, 1]]"
B00XCQJJEC,[0.7096],[5],"[[pricing, work, fine]]","[[pricing work fine, 0.7096, 5]]"
B00XN4XI6I,"[0.7906, 0.8906]","[5, 5]","[[happy, purchase, watch, band, make, fit, apple, watch], [install, get, lot, complement]]","[[happy purchase watch band make fit apple watch, 0.7906, 5], [install get lot complement, 0.8906, 5]]"
B00XO9SUAG,[-0.4215],[1],"[[case, nice, stand, doesnt, hold, phone, week]]","[[case nice stand doesnt hold phone week, -0.4215, 1]]"
B00XPDHF4I,[0.8519],[5],[[love]],"[[love, 0.8519, 5]]"
B00XVAKUW4,[0.7845],[5],"[[get, lot, compliment]]","[[get lot compliment, 0.7845, 5]]"
B00XVCJ00K,[-0.4915],[1],"[[star, take, use, work, dont, waste, money]]","[[star take use work dont waste money, -0.4915, 1]]"
B00XWPJHJK,[-0.4964],[2],"[[didnt, protect, get, crack, screen, use, thick, plastic, anything]]","[[didnt protect get crack screen use thick plastic anything, -0.4964, 2]]"
B00Y0IRKI8,[0.742],[1],"[[lg, g, fit, work, thing, think, account, wright, get, visa, billbr, somebody, check, make, wright, whole, think, start, return]]","[[lg g fit work thing think account wright get visa billbr somebody check make wright whole think start return, 0.742, 1]]"
B00Y5RSZEC,[0.4215],[5],"[[nice, case]]","[[nice case, 0.4215, 5]]"
B00Y6EXW1K,[0.6444],[3],"[[fill, need, find, rubber, casebumpers, fit]]","[[fill need find rubber casebumpers fit, 0.6444, 3]]"
B00Y7MZ2LY,[0.6249],[4],[[work]],"[[work, 0.6249, 4]]"
B00YCWEBSY,"[0.8074, 0.0, 0.9944, 0.8503, 0.6908, 0.8993, 0.3182, 0.0, 0.765, 0.6557]","[5, 1, 5, 5, 4, 5, 5, 4, 5, 5]","[[son, break, headphone, port, allow, bluetooth, music, car, hie, computer, home, awesome], [work, im, go, return], [awesome, meet, exceeds, expectation], [ship, quality, product, work, expect, customer, sanctification, follow, vendor, show, care, customer, want, customer, feedback, think, thats, touch, yes, purchase], [town, need, help, get, get, modern, tv, bluetooth, help, provide, thanks, delivery], [work, great, hold, charge, time, recommend, anyone, want, sheet, range, bluetooth, receiver], [get, add, older, tuner, isnt, equip, bluetooth, tuner, great, didnt, want, throw, want, play, pandora, tune, phone, tuner, attach, speaker, use, mm, audio, cable, force, plug, phone, tuner, leave, sit, stereobr, br, bluetooth, receiver, want, work, easily, audio, quality, good, wire, gave, bonus, use, bluetooth, transmitter, wont, use, function, toggle, switch, side, transmit, mode, plug, mm, audio, cable, audioin, stereo, plug, microusb, power, hold, button, second, turn, pair, modebr, br, unit, come, mm, shown, use, longer, cord, plug, tuner, allow, position, flash, light, wouldnt, distract, cover, electrician, tape, point, pulse, second, pair, provide, usb, microusb, cord, power, dont, provide, ac, transformer, va, smart, phone, use, plug, wall, got, ton, lay, wire, itll, usebr, br, overall, device, work, ill, buy, car], [issue, connect, turbo, repeat, attempt, unit, connect, phone, work, discribed], [work, great, day, hope, time, tv, bluetooth, headphone, bed, disturb, husband], [nice, unit, want, bluetooth, stereo, eliminate, need, cable, smartphones, tablet, install]]","[[son break headphone port allow bluetooth music car hie computer home awesome, 0.8074, 5], [work im go return, 0.0, 1], [awesome meet exceeds expectation, 0.9944, 5], [ship quality product work expect customer sanctification follow vendor show care customer want customer feedback think thats touch yes purchase, 0.8503, 5], [town need help get get modern tv bluetooth help provide thanks delivery, 0.6908, 4], [work great hold charge time recommend anyone want sheet range bluetooth receiver, 0.8993, 5], [get add older tuner isnt equip bluetooth tuner great didnt want throw want play pandora tune phone tuner attach speaker use mm audio cable force plug phone tuner leave sit stereobr br bluetooth receiver want work easily audio quality good wire gave bonus use bluetooth transmitter wont use function toggle switch side transmit mode plug mm audio cable audioin stereo plug microusb power hold button second turn pair modebr br unit come mm shown use longer cord plug tuner allow position flash light wouldnt distract cover electrician tape point pulse second pair provide usb microusb cord power dont provide ac transformer va smart phone use plug wall got ton lay wire itll usebr br overall device work ill buy car, 0.3182, 5], [issue connect turbo repeat attempt unit connect phone work discribed, 0.0, 4], [work great day hope time tv bluetooth headphone bed disturb husband, 0.765, 5], [nice unit want bluetooth stereo eliminate need cable smartphones tablet install, 0.6557, 5]]"
B00YPSLPZC,"[0.765, 0.898, 0.4404]","[5, 5, 4]","[[seems, quality, product], [look, good, fit, perfect, look], [case]]","[[seems quality product, 0.765, 5], [look good fit perfect look, 0.898, 5], [case, 0.4404, 4]]"
B00ZB6R664,[-0.4939],[1],"[[phone, tight, case, pull, shell, bottom, phone, time, try, remove, ill, stick, case]]","[[phone tight case pull shell bottom phone time try remove ill stick case, -0.4939, 1]]"
B00ZBWAECQ,"[-0.6416, 0.8096, 0.8838]","[4, 5, 3]","[[unpack, cell, phone, holder, notice, picture, application, need, area, dash, board, mount, thisbr, br, side, appear, make, suction, cup, release, button, think, arm, hold, phonebr, br, bottom, line, dont, mind, holder, dash, great, holder, try, holder, find, zero, edge, size, advantage, plan, return, unit], [suction, item, windshield, fall, time, unit, remain, attachedbr, charge, nexus, appx, hour, dead, run, waze, battery, run, rate, plug, amp, cigarette, lighter, itll, run, day, hour, trip, phone, charge, startingbr, br, grip, adjuster, base, squeeze, phone, wont, fall, hit, bump, x, install, left, windshield, keep, driver, window, roll, spirit, drive, get, br, br, crank, move, try, something, phone, jab, phone, finger, comparison, garmin, gps, joint, knob, tighten, muchbr, br, great, value, id, buy], [get, qi, charge, replace, noncharging, mount, use, ton, pop, phone, plug, end, put, phone, use, mount, half, time, wouldnt, botherbr, br, clamp, fit, samsung, galaxy, clear, clamp, edge, button, hit, volume, button, wife, nokia, get, power, button, press, clamp, look, photo, go, surprisedbr, br, charge, speedits, speedcharging, get, usb, charger, sufficient, keep, gps, navigation, go, music, playing, maintain, charge, dont, something, powerhungry, go, charge, decent, clipbr, br, attach, car, use, vent, clip, mine, downside, passenger, cant, aim, vent, stuff, way, prefer, viewoccluding, suction, mount, option]]","[[unpack cell phone holder notice picture application need area dash board mount thisbr br side appear make suction cup release button think arm hold phonebr br bottom line dont mind holder dash great holder try holder find zero edge size advantage plan return unit, -0.6416, 4], [suction item windshield fall time unit remain attachedbr charge nexus appx hour dead run waze battery run rate plug amp cigarette lighter itll run day hour trip phone charge startingbr br grip adjuster base squeeze phone wont fall hit bump x install left windshield keep driver window roll spirit drive get br br crank move try something phone jab phone finger comparison garmin gps joint knob tighten muchbr br great value id buy, 0.8096, 5], [get qi charge replace noncharging mount use ton pop phone plug end put phone use mount half time wouldnt botherbr br clamp fit samsung galaxy clear clamp edge button hit volume button wife nokia get power button press clamp look photo go surprisedbr br charge speedits speedcharging get usb charger sufficient keep gps navigation go music playing maintain charge dont something powerhungry go charge decent clipbr br attach car use vent clip mine downside passenger cant aim vent stuff way prefer viewoccluding suction mount option, 0.8838, 3]]"
B00ZZFL9LE,[0.9294],[4],"[[beware, product, burgundy, color, show, photo, red, look, post, leather, feel, fit, watch]]","[[beware product burgundy color show photo red look post leather feel fit watch, 0.9294, 4]]"
B0100RFTQC,[0.5719],[5],[[order]],"[[order, 0.5719, 5]]"
B0101V0LGU,[0.9042],[5],"[[work, look, ]]","[[work look , 0.9042, 5]]"
B0105MC21C,[0.0],[2],"[[fill, card, slot, card, put, phone, wouldnt, close, magnet, rip, try, stretch]]","[[fill card slot card put phone wouldnt close magnet rip try stretch, 0.0, 2]]"
B010CVRK72,[0.7859],[5],"[[case, always, leave, wallet, catch, way, time, time, drivethru, explain, leave, wallet, home, need, cancel, order, window, soo, embarrass, research, every, cardwallet, case, look, option, something, concern, others, expose, stretch, etc, etc, hate, add, bulk, phone, think, dumbest, thing, buy, slimmest, smartest, phone, put, case, case, great, look, feel, slippery, rubbery, thick, protect, fit, id, card, sim, card, comfortablyi, purchase, go, case]]","[[case always leave wallet catch way time time drivethru explain leave wallet home need cancel order window soo embarrass research every cardwallet case look option something concern others expose stretch etc etc hate add bulk phone think dumbest thing buy slimmest smartest phone put case case great look feel slippery rubbery thick protect fit id card sim card comfortablyi purchase go case, 0.7859, 5]]"
B010MWH1UW,"[0.9678, 0.904]","[5, 5]","[[amaze, case, fit, glove, precision, work, charm, charger, access, camera, port, love, case, feel, snug, hand, wrap, edge, plus, perfection], [case, look, cool, great, kickstand]]","[[amaze case fit glove precision work charm charger access camera port love case feel snug hand wrap edge plus perfection, 0.9678, 5], [case look cool great kickstand, 0.904, 5]]"
B010OPFXXO,[0.9565],[5],"[[temper, glass, screen, saver, fit, apply]]","[[temper glass screen saver fit apply, 0.9565, 5]]"
B010RN8344,[0.9461],[5],"[[fit, get, transparent, premium, quality, material, textured, design, feel, hand]]","[[fit get transparent premium quality material textured design feel hand, 0.9461, 5]]"
B010WYQ6MY,[0.2617],[2],"[[band, ok, way, wrist, return, description, size, wrist, doubt, work]]","[[band ok way wrist return description size wrist doubt work, 0.2617, 2]]"
