B0002SYC5O,"[0.3612, 0.1531]","[5, 3]","[[get, time, expect, thank, product, describe], [ok, way, lot, extension]]","[[get time expect thank product describe, 0.3612, 5], [ok way lot extension, 0.1531, 3]]"
B00PXMTSLC,[-0.5727],[3],"[[fix, phone, product, instruction, iphone, phone, speaker, ear, plug, take, professional, glass, instal, fix, lose, privacy, hearing]]","[[fix phone product instruction iphone phone speaker ear plug take professional glass instal fix lose privacy hearing, -0.5727, 3]]"
B00Q3CNYSO,[0.8126],[5],"[[buy, part, friend, issue, camera, fix, work, well, camera]]","[[buy part friend issue camera fix work well camera, 0.8126, 5]]"
B00QE8ACPK,[-0.7346],[1],"[[broke, use, disappoint]]","[[broke use disappoint, -0.7346, 1]]"
B00QGKCLEG,"[0.6369, 0.7506, 0.6249, 0.5859, 0.0, 0.7003, 0.0, 0.0]","[5, 5, 5, 5, 5, 5, 3, 5]","[[product], [cheap, quality, cord, ask], [nonapple, charger], [work, product], [perfect, pair, lightning, connector, work, brand, half, cost], [cable, work, power, block], [amaze, replacement, standard, apple, lightning, cablebr, br, get, anker, cable, price, apple, cable, anker, month, warranty, cablebr, br, come, blackbr, br, summary, buy, apple, lightning], [lightning, plug, pull, apart, cable, week, cant, send, lot, junk, come, cable]]","[[product, 0.6369, 5], [cheap quality cord ask, 0.7506, 5], [nonapple charger, 0.6249, 5], [work product, 0.5859, 5], [perfect pair lightning connector work brand half cost, 0.0, 5], [cable work power block, 0.7003, 5], [amaze replacement standard apple lightning cablebr br get anker cable price apple cable anker month warranty cablebr br come blackbr br summary buy apple lightning, 0.0, 3], [lightning plug pull apart cable week cant send lot junk come cable, 0.0, 5]]"
B00QL5NTME,[0.0],[2],"[[expect, doesnt, phone, look, break, look, ]]","[[expect doesnt phone look break look , 0.0, 2]]"
B00QQ7WP3Q,[0.8957],[4],"[[look, cell, phone, case, replace, carry, bag, case, holder, magnet, keep, phone, place, great, choice, love, look]]","[[look cell phone case replace carry bag case holder magnet keep phone place great choice love look, 0.8957, 4]]"
B00QR09VZW,[0.8122],[5],"[[work, please]]","[[work please, 0.8122, 5]]"
B00QS0BIGQ,[-0.7519],[3],"[[add, size, weight, device, mind, work, whilehad, pocket, weekend, hit, anything, take, point, take, photo, glass, front, shatter, take, case, part, glass, part, front, piece, way, replace, itmoney, drain, order, case, take, week]]","[[add size weight device mind work whilehad pocket weekend hit anything take point take photo glass front shatter take case part glass part front piece way replace itmoney drain order case take week, -0.7519, 3]]"
B00R3ZSSO0,"[0.7906, 0.9728]","[5, 4]","[[case, great, price, need, buy, screen, protectorat], [case, feature, include, clear, folder, driver, license, dont, credit, card, seem, slip, insert, folder, tighter, credit, card, didnt, fall]]","[[case great price need buy screen protectorat, 0.7906, 5], [case feature include clear folder driver license dont credit card seem slip insert folder tighter credit card didnt fall, 0.9728, 4]]"
B00R41A70G,[0.8908],[5],"[[nice, product, quality, stand, lot, well, anticipate, lot, weight, make, seem, cheap, look, setupbr, br, youre, use, product, iphone, case, charge, difficult, cord, bent, make, iphone, sit, standbr, br, great, product, price]]","[[nice product quality stand lot well anticipate lot weight make seem cheap look setupbr br youre use product iphone case charge difficult cord bent make iphone sit standbr br great product price, 0.8908, 5]]"
B00R5K168I,[0.3182],[5],"[[ship, expect, quality, fair]]","[[ship expect quality fair, 0.3182, 5]]"
B00R6PZQZ6,[0.4404],[4],[[work]],"[[work, 0.4404, 4]]"
B00RUS4I3U,"[0.8548, 0.765]","[5, 5]","[[phone, case, look, color, phone, case, bulky, easy, remove, drop, couple, time, havent, piece, chip, corner, thicker, plastic, happy], [chose, quality, excellent]]","[[phone case look color phone case bulky easy remove drop couple time havent piece chip corner thicker plastic happy, 0.8548, 5], [chose quality excellent, 0.765, 5]]"
B00RVXPLHG,[0.9042],[5],"[[get, vivofit, camera, case, earbuds, battery, well, deal, see, store, everything, work, love, vivofit, take]]","[[get vivofit camera case earbuds battery well deal see store everything work love vivofit take, 0.9042, 5]]"
B00S1RRBM4,[0.4215],[5],[[nice]],"[[nice, 0.4215, 5]]"
B00SLWPGU8,[0.5719],[5],"[[excellent, price]]","[[excellent price, 0.5719, 5]]"
B00SMUQP4K,[0.5845],[5],"[[look, year, bought, compliment]]","[[look year bought compliment, 0.5845, 5]]"
B00SSXWM7U,[0.9797],[5],"[[case, iphone, plus, fit, corner, protection, phone, case, nice, sheen, finish, love, disney, tsum, tsum, print, print, disney, tsum, tsum, lover]]","[[case iphone plus fit corner protection phone case nice sheen finish love disney tsum tsum print print disney tsum tsum lover, 0.9797, 5]]"
B00T4AT9GS,[0.6887],[5],"[[thank, quality, fast, sheeping]]","[[thank quality fast sheeping, 0.6887, 5]]"
B00T552B8U,"[0.4215, 0.9072]","[4, 5]","[[nice, touch], [thing, sound, flight, dfw, gru, listen, movie, airline, provide, bose, noise, cancel, headphone, fa, need, gather, headphone, inventory, plug, symphonize, ear, bud, finish, movie, sound, better, bose, kid, listening, music, bud, awesome, told, others, buy, satisfy, recommend, get, pair]]","[[nice touch, 0.4215, 4], [thing sound flight dfw gru listen movie airline provide bose noise cancel headphone fa need gather headphone inventory plug symphonize ear bud finish movie sound better bose kid listening music bud awesome told others buy satisfy recommend get pair, 0.9072, 5]]"
B00T9WBHKC,"[-0.3384, -0.4767]","[1, 1]","[[request, refund, battery, life, never, receive, refund], [work, arrival, instruction, break]]","[[request refund battery life never receive refund, -0.3384, 1], [work arrival instruction break, -0.4767, 1]]"
B00TDJ9VVS,[-0.5429],[4],"[[headphonesi, give, star, hurt, ear, bit, wear]]","[[headphonesi give star hurt ear bit wear, -0.5429, 4]]"
B00TE837FO,[0.9313],[5],"[[im, flight, always, go, get, phone, run, charge, afraid, use, need, day, buy, onebr, br, battery, case, super, slim, bulky, pocket, seem, qualitybr, br, day, im, super, phone, medium, texting, reading, watch, movie, list, people, phone, become, part, usbr, br, day, twice, week, commute, work, hour, flight, use, phone, work, flight, day, phone, airplane, mode, check, medium, catch, news, reading, book, kindle, app, lot, drain, battery, day, hour, battery, life, go, strongbr, br, get, ask, case, look, br, happy]]","[[im flight always go get phone run charge afraid use need day buy onebr br battery case super slim bulky pocket seem qualitybr br day im super phone medium texting reading watch movie list people phone become part usbr br day twice week commute work hour flight use phone work flight day phone airplane mode check medium catch news reading book kindle app lot drain battery day hour battery life go strongbr br get ask case look br happy, 0.9313, 5]]"
B00TEUKJQ2,[0.7845],[3],"[[case, nice, image, protection, great]]","[[case nice image protection great, 0.7845, 3]]"
B00THSF11E,[0.6249],[5],"[[work, great, need, shipping]]","[[work great need shipping, 0.6249, 5]]"
B00TKXQDEU,[0.5777],[3],"[[kickstand, need, wont, break, easy]]","[[kickstand need wont break easy, 0.5777, 3]]"
B00TUEL1QY,[0.0754],[4],"[[please, product, criticism, close, strap, snap]]","[[please product criticism close strap snap, 0.0754, 4]]"
B00U0MDPBO,"[0.1027, 0.3291, 0.8316]","[4, 3, 5]","[[doesnt, feel, look, qualitythe, rubber, ok, plastic, look, feel, card, compartment, hold, card, bill, cut, rubber, backing, card, door, give, usability, search, something, quality], [replace, hold, driver, license, debit, card, excellent, quality, snap, place, protection, superb], [like, product, return, phone, different, model]]","[[doesnt feel look qualitythe rubber ok plastic look feel card compartment hold card bill cut rubber backing card door give usability search something quality, 0.1027, 4], [replace hold driver license debit card excellent quality snap place protection superb, 0.3291, 3], [like product return phone different model, 0.8316, 5]]"
B00UELCXIC,[0.1406],[4],"[[work, delivery]]","[[work delivery, 0.1406, 4]]"
B00UI8FXP6,"[0.4215, -0.296, -0.3612, 0.3182]","[5, 5, 3, 3]","[[quick, delivery, issue, product], [nice], [difficult, put, bubble]]","[[quick delivery issue product, 0.4215, 5], [nice, -0.296, 5], [difficult put bubble, -0.3612, 3], [, 0.3182, 3]]"
B00UJGHLMU,"[0.0, 0.0]","[5, 1]","[[cord, fray, connection, week, buy], [find, fit, headphone]]","[[cord fray connection week buy, 0.0, 5], [find fit headphone, 0.0, 1]]"
B00UJGS40I,[0.6369],[5],[[case]],"[[case, 0.6369, 5]]"
B00UYPSH74,[0.6249],[5],"[[work, great, mention]]","[[work great mention, 0.6249, 5]]"
B00UZQXAEW,[0.6249],[3],"[[work, great]]","[[work great, 0.6249, 3]]"
B00V2YPY7W,"[0.2732, 0.6213]","[5, 4]","[[fit, work]]","[[fit work, 0.2732, 5], [, 0.6213, 4]]"
B00V4BEGM2,[0.8268],[4],"[[device, great, wish, share, better, apps, garmin, app, kinda, lousy, use, data, vivofit, apps, use, purchase, consider]]","[[device great wish share better apps garmin app kinda lousy use data vivofit apps use purchase consider, 0.8268, 4]]"
B00VH7YS2G,[0.296],[4],[[ok]],"[[ok, 0.296, 4]]"
B00VR5W5U0,[0.6115],[5],"[[happy, purchase, want, receive, quick]]","[[happy purchase want receive quick, 0.6115, 5]]"
B00VUHNCRU,"[0.7003, 0.799, 0.7906, -0.274, 0.4927, 0.8074, 0.9987]","[5, 5, 5, 2, 5, 4, 5]","[[amaze, exept, plug, super, get], [try, beat, store, awesome, spend, set, head, phone, read, review, thought, take, chance, go, buy, pair, head, phone, let, tell, using, month, guess, thrill, arebr, sound, great, beat, price, bass, sound, awesome, battery, hold, charge, day, use, hour, time, connect, iphone, ipad, enjoy, happy, found, save, money, forget, beat, greatbr, turn, volume, beep, let, know, deal, quick, beep, volume, increment, deal, show, red, flash, indicate, search, bluetooth, red, show, charge, headphone, go, finish, chargingbr, hold, power, button, come, keep, hold, till, start, beep, flash, red, indicate, search, bluetooth, make, sure, blue, tooth, phone, setting, see, ausdom, hit, connect, beep, say, connect, go, enjoybr, hold, power, button, turn, red, turn, want, shut, headphonesbr, headphone, yes, love, beat, bass, sound, quality, better, apart, make, difference, pricebr, get, headphone, love, ebr, get, headphone, love], [sound, good, microphone, voice], [cheap, sound, produce, headphone, fit, never, fall, one, head], [headphone, last, time, sound, video], [excite, product, put, hand, get, frustrate, build, cushion, sound, okbr, headphone, put, pressure, ear, get, headache, problem, sound, ok, miss, bass, distortion, couldnt, p, say, couldnt, find, profile, plug, aux, cable, p, wont, work, micbr, return, unit]]","[[amaze exept plug super get, 0.7003, 5], [try beat store awesome spend set head phone read review thought take chance go buy pair head phone let tell using month guess thrill arebr sound great beat price bass sound awesome battery hold charge day use hour time connect iphone ipad enjoy happy found save money forget beat greatbr turn volume beep let know deal quick beep volume increment deal show red flash indicate search bluetooth red show charge headphone go finish chargingbr hold power button come keep hold till start beep flash red indicate search bluetooth make sure blue tooth phone setting see ausdom hit connect beep say connect go enjoybr hold power button turn red turn want shut headphonesbr headphone yes love beat bass sound quality better apart make difference pricebr get headphone love ebr get headphone love, 0.799, 5], [sound good microphone voice, 0.7906, 5], [cheap sound produce headphone fit never fall one head, -0.274, 2], [headphone last time sound video, 0.4927, 5], [excite product put hand get frustrate build cushion sound okbr headphone put pressure ear get headache problem sound ok miss bass distortion couldnt p say couldnt find profile plug aux cable p wont work micbr return unit, 0.8074, 4], [, 0.9987, 5]]"
B00VUT1A1I,"[0.8576, 0.8588, 0.9721]","[5, 4, 5]","[[love, keychain, purchase, whim, sit, set, cent, spend, love, see, product, cant, wait, purchase, ], [tiny, make, perfect, add, keychain, thing, fall], [arrive, look, picture, get, orange]]","[[love keychain purchase whim sit set cent spend love see product cant wait purchase , 0.8576, 5], [tiny make perfect add keychain thing fall, 0.8588, 4], [arrive look picture get orange, 0.9721, 5]]"
B00VV97OKI,[-0.2778],[1],"[[edit, dec, thank, change, review, star, retract, offer, stainless, version, time, ill, keep, star, rating, receive, product, rust, advertise, water, sport, kevin, marty, need, email, waste, time, edit, dec, edit, review, stainless, version, rust, use, day, boat, trip, rinse, towel, dry, air, dry, thing, rust, contact, customer, support, didnt, hear, anything]]","[[edit dec thank change review star retract offer stainless version time ill keep star rating receive product rust advertise water sport kevin marty need email waste time edit dec edit review stainless version rust use day boat trip rinse towel dry air dry thing rust contact customer support didnt hear anything, -0.2778, 1]]"
B00VY49G7Y,[-0.3597],[4],"[[fit, pain, take, change, batterymicrosd, swap]]","[[fit pain take change batterymicrosd swap, -0.3597, 4]]"
B00W1GRQI0,[0.0],[4],[[encant]],"[[encant, 0.0, 4]]"
B00W2BMJHW,[0.0],[3],"[[cause, iphone, heatbr, need, ventilation, hole]]","[[cause iphone heatbr need ventilation hole, 0.0, 3]]"
B00W96WXDA,"[0.8442, 0.0307]","[5, 1]","[[kid, everyone, play, thanks], [phone, case, super, cute, crack, liquid, spill, hand, week, impress]]","[[kid everyone play thanks, 0.8442, 5], [phone case super cute crack liquid spill hand week impress, 0.0307, 1]]"
B00WG8XC7W,[0.6249],[4],"[[work, great]]","[[work great, 0.6249, 4]]"
B00WHLR0VM,[-0.5023],[3],"[[daughter, love, color, week, color, start, chip, month, line, miss, portion, chip, miss, color]]","[[daughter love color week color start chip month line miss portion chip miss color, -0.5023, 3]]"
B00WKTCLVA,[0.0],[1],"[[doesnt, stick, phone, screen]]","[[doesnt stick phone screen, 0.0, 1]]"
B00WNPWE1I,[0.5413],[5],"[[enjoy, case, need, look, buy, case, edit, look, phone]]","[[enjoy case need look buy case edit look phone, 0.5413, 5]]"
B00WPN7RUQ,[-0.191],[3],"[[charm, work, phone, owner, ive, get, almosttoddler, age, baby, test, month, phone, u, damage, crack, case, corner]]","[[charm work phone owner ive get almosttoddler age baby test month phone u damage crack case corner, -0.191, 3]]"
B00WU342WW,[0.1779],[4],"[[device, beware, restart, problem, im, run, man, program, time, expect]]","[[device beware restart problem im run man program time expect, 0.1779, 4]]"
B00WXJT7MS,[0.8126],[5],"[[super, cute, grip, feel, way]]","[[super cute grip feel way, 0.8126, 5]]"
B00X9TM6KQ,[0.6486],[4],"[[decent, phone, case, phone, br, simple, put, everything, function, case, doesnt, obstruct, button, waybr, color, grey, male, user]]","[[decent phone case phone br simple put everything function case doesnt obstruct button waybr color grey male user, 0.6486, 4]]"
B00XJX9KJM,[0.3612],[5],"[[expect, speedy, delivery, thank]]","[[expect speedy delivery thank, 0.3612, 5]]"
B00XQ46WZO,"[0.128, 0.9435]","[2, 5]","[[order, headphone, get, expect, stander, ship, headphone, work, packaging, secure, come, thank, note, write, hand, recommend, everyone], [work, fine, day, start, give, problem]]","[[order headphone get expect stander ship headphone work packaging secure come thank note write hand recommend everyone, 0.128, 2], [work fine day start give problem, 0.9435, 5]]"
B00XV9TKK8,"[0.7717, -0.2474, 0.9606, -0.4373, 0.5423, 0.8548, 0.4404, 0.967, 0.8326, 0.6249, 0.0, 0.8503]","[4, 1, 5, 1, 5, 5, 5, 4, 5, 5, 5, 4]","[[didnt, drop, phone, water, boat, glad, case, think, safe], [time, use, go, swimming, seal, fail, seal, thought, ipod, ruin, return, item, disappoint, loss, ipod, shoddy, productbr, br, side, note, swimming, case, joke, strap, arm, try, swim, resistance, end, tuck, pack, swimsuit, beginning, review, warns, wouldnt, purchase, swim, anyway, seal, well, purchase, mp, player, design, water], [work, great], [item, describe], [swimmer, beachgoers, catch, rain, sweaty, buck, cant, beat, leakage, say, secure, phone, use, phone, fit, otterbox, product, take, phone, otterboxi, realize, phone, mean, take, video, picture, underwater, awesome, mention, picture, come, look, theyre, take, kind, plastic, filter, phone, wasnt, bag, protect, investment], [idea, keep, water], [product, use, water, slide, swim, pool, work, good, keep, phone, dry, tight, iphone], [case, everything, advertise, larger, thought, way, protect, phone, boat], [get, phone, phone, buy, bag, use, iphone, week, trip, vallarta, go, swim, stand, ocean, notice, bag, leak, water, clasp, secure, back, phone, couple, month, im, sure, lose, picture, video, hundred, voice, recorder, idea, product, mark, water, resistant, wouldnt, upset, wouldnt, take, wouldnt, buy, cant, recommend, product, anyone], [get, write, review, feel, item, awesome, product, think, go, work, get, do, swim, water, cruise, greece, hold, iphone, money, id, got, inside, picture, come, recommendation, wish, spot, slide, cash, n, idea, keep, slide, camera, view, great, product], [work, order, iphone, take, hikecanoesnorkelling, trip, wasnt, disappoint, didnt, abuse, hold, trip, good, picture, water, mind, touch, dont, work, water, need, use, button], [take, week, water, raft, trip, wilderness, area, take, photo, video, fear, damage, pricey, smartphone, get, use, condition, uphold, recommend]]","[[didnt drop phone water boat glad case think safe, 0.7717, 4], [time use go swimming seal fail seal thought ipod ruin return item disappoint loss ipod shoddy productbr br side note swimming case joke strap arm try swim resistance end tuck pack swimsuit beginning review warns wouldnt purchase swim anyway seal well purchase mp player design water, -0.2474, 1], [work great, 0.9606, 5], [item describe, -0.4373, 1], [swimmer beachgoers catch rain sweaty buck cant beat leakage say secure phone use phone fit otterbox product take phone otterboxi realize phone mean take video picture underwater awesome mention picture come look theyre take kind plastic filter phone wasnt bag protect investment, 0.5423, 5], [idea keep water, 0.8548, 5], [product use water slide swim pool work good keep phone dry tight iphone, 0.4404, 5], [case everything advertise larger thought way protect phone boat, 0.967, 4], [get phone phone buy bag use iphone week trip vallarta go swim stand ocean notice bag leak water clasp secure back phone couple month im sure lose picture video hundred voice recorder idea product mark water resistant wouldnt upset wouldnt take wouldnt buy cant recommend product anyone, 0.8326, 5], [get write review feel item awesome product think go work get do swim water cruise greece hold iphone money id got inside picture come recommendation wish spot slide cash n idea keep slide camera view great product, 0.6249, 5], [work order iphone take hikecanoesnorkelling trip wasnt disappoint didnt abuse hold trip good picture water mind touch dont work water need use button, 0.0, 5], [take week water raft trip wilderness area take photo video fear damage pricey smartphone get use condition uphold recommend, 0.8503, 4]]"
B00XWNM8Q6,[0.8555],[5],"[[buy, daughter, phone, case, protect, phone]]","[[buy daughter phone case protect phone, 0.8555, 5]]"
B00XZFIBDK,[0.9806],[5],"[[awesome, super, heavy, duty, hard, plastic, shell, nd, layer, rubber, type, material, super, heavy, duty, super, cute, didnt, realize, format, change, outer, shell, keep, inner, color, get, combo, price, price, arrive, super, quick, buy, add, color, combo, choice]]","[[awesome super heavy duty hard plastic shell nd layer rubber type material super heavy duty super cute didnt realize format change outer shell keep inner color get combo price price arrive super quick buy add color combo choice, 0.9806, 5]]"
B00XZG4VSS,[0.9569],[4],"[[wasnt, difficult, install, wiring, color, plug, wire, radio, sound, crank, tends, distort, amp, help, install, open, need, wire, radio, wire, speaker, plug, back, bass, help, system, money, im, go, look, adapter, plug, make, hook, amp]]","[[wasnt difficult install wiring color plug wire radio sound crank tends distort amp help install open need wire radio wire speaker plug back bass help system money im go look adapter plug make hook amp, 0.9569, 4]]"
B00XZWF3E8,[0.2732],[5],"[[arrive, time, work]]","[[arrive time work, 0.2732, 5]]"
B00Y1KRR1K,[0.6369],[5],"[[order, bought, teal, love, look, feel, case, ]]","[[order bought teal love look feel case , 0.6369, 5]]"
B00Y9TXR2G,[0.2263],[3],"[[nice, buy, isnt, color, shown, picture, light, blue, mint, come, use]]","[[nice buy isnt color shown picture light blue mint come use, 0.2263, 3]]"
B00YI41SIC,[0.6815],[4],"[[paint, scratch, kinda]]","[[paint scratch kinda, 0.6815, 4]]"
B00YL6EUGE,[0.8263],[5],"[[edit, amazon, zendure, sent, replacement, unit, opportunity, initiate, return, replacement, unit, appear, work, advertise, energy, level, display, helpful, battery, appear, advertise, amount, juice, please, product, point, change, rating, star, review, purchase, nd, gen, pro, act, backup, power, supply, ipad, use, ipad, run, wingx, flying, reassure, know, lose, power, plane, backup, power, supply, backup, power, supply, product, youre, luck, product, work, email, customer, support, yield, response, hundred, item, purchase, amazon, review, feel, buyer, aware, premium, product, sell, premium, pricepoint, provide, value, receive, unit, charge, use, ipad, charger, recommend, packaging, pro, display, read, attempt, charge, wife, sony, z, compact, manage, charge, battery, minutes, die, flashing, unit, look, feel, sturdy, experience, work, email, customer, service, premium, product, sell, premium, pricepoint, go, unanswered, product, earns, poopy, rat]]","[[edit amazon zendure sent replacement unit opportunity initiate return replacement unit appear work advertise energy level display helpful battery appear advertise amount juice please product point change rating star review purchase nd gen pro act backup power supply ipad use ipad run wingx flying reassure know lose power plane backup power supply backup power supply product youre luck product work email customer support yield response hundred item purchase amazon review feel buyer aware premium product sell premium pricepoint provide value receive unit charge use ipad charger recommend packaging pro display read attempt charge wife sony z compact manage charge battery minutes die flashing unit look feel sturdy experience work email customer service premium product sell premium pricepoint go unanswered product earns poopy rat, 0.8263, 5]]"
B00YU9FN6S,[0.1139],[2],"[[port, fit, screen, touch, performance]]","[[port fit screen touch performance, 0.1139, 2]]"
B00YXFE9ZA,[0.6249],[5],[[quality]],"[[quality, 0.6249, 5]]"
B00Z5VVXC8,"[0.3045, -0.2411]","[3, 1]","[[product, work, expect, keep, break, im, sure, cheap, month, cheap, havent, send], [didnt, read, review, time, work, deal, return]]","[[product work expect keep break im sure cheap month cheap havent send, 0.3045, 3], [didnt read review time work deal return, -0.2411, 1]]"
B00ZAIM92E,"[0.6369, 0.1406]","[5, 5]","[[case, work, ship, took, weeks], [work]]","[[case work ship took weeks, 0.6369, 5], [work, 0.1406, 5]]"
B00ZBGVBOC,"[-0.4215, 0.0, 0.0, 0.2023, -0.4215]","[1, 5, 1, 4, 1]","[[work, advertise], [claim], [work, fine, get, base, car, charger, keep, eye], [car, plug, broke, week, use], [take, week, start, phone, end, send, cord, ill, see, fluke, otherwise, look, send]]","[[work advertise, -0.4215, 1], [claim, 0.0, 5], [work fine get base car charger keep eye, 0.0, 1], [car plug broke week use, 0.2023, 4], [take week start phone end send cord ill see fluke otherwise look send, -0.4215, 1]]"
B00ZEGVDJW,[-0.9152],[3],"[[pen, light, lazer, portion, product, work, seem, replace, ink, run, look, doesnt, seem, lasting, item, light, feature, start, die, run]]","[[pen light lazer portion product work seem replace ink run look doesnt seem lasting item light feature start die run, -0.9152, 3]]"
B00ZJ5CELO,[0.4404],[5],"[[verry, good]]","[[verry good, 0.4404, 5]]"
B00ZJ8OJDC,"[0.5118, 0.6369, 0.9599, 0.6249]","[5, 5, 5, 5]","[[phone, case, ], [nice, holster, doesnt, require, bulky, case, phone, edge, snap, place, feel, phone, hand, case, leave, side, phone, unprotected, get, film, cover, prevent, scratch, rider, want, protection, case, offer, clip, anchor, phone, tends, dig, side, sit, right, belt, problem, shirt, tuck, inbr, phone, enters, exit, holster, top, put, leave, hand, phone, finger, spread, finger, phone, leave, thumb, release, clip, leave, upward, phone, motion], [ship, product], [fit, edge, gift, mother, love, shortage, case, edge, look, fancy, keep, recommend, buying, screen, protector, case, leave, phone, there, protection]]","[[phone case , 0.5118, 5], [nice holster doesnt require bulky case phone edge snap place feel phone hand case leave side phone unprotected get film cover prevent scratch rider want protection case offer clip anchor phone tends dig side sit right belt problem shirt tuck inbr phone enters exit holster top put leave hand phone finger spread finger phone leave thumb release clip leave upward phone motion, 0.6369, 5], [ship product, 0.9599, 5], [fit edge gift mother love shortage case edge look fancy keep recommend buying screen protector case leave phone there protection, 0.6249, 5]]"
B00ZP5CNKA,[0.8714],[4],"[[case, money, complaint, slick, side, try, pick, believe, offer, protection, fit, quality, case, good]]","[[case money complaint slick side try pick believe offer protection fit quality case good, 0.8714, 4]]"
B00ZR3IG5Q,[0.0],[1],"[[way, bulky, heavy, touchscreen, doesnt, respond, claim]]","[[way bulky heavy touchscreen doesnt respond claim, 0.0, 1]]"
B010L3TAWO,[0.5719],[5],"[[fine, apply, couple, minute]]","[[fine apply couple minute, 0.5719, 5]]"
B010TGYVD6,"[0.2263, 0.5563]","[5, 5]","[[enjoy, experience, product, purchase], [havent, use, device, charge, ipad, blackberry, android, phone, time, pain, fit, item, power, strip, appear, make, usb, port, nice, tight, fit]]","[[enjoy experience product purchase, 0.2263, 5], [havent use device charge ipad blackberry android phone time pain fit item power strip appear make usb port nice tight fit, 0.5563, 5]]"
B0119IEK9I,[0.4404],[2],"[[look, online, order]]","[[look online order, 0.4404, 2]]"
B011H3P65C,[0.9813],[5],"[[cover, excellent, quality, service, receive, faster, expect, greatbut, quality, product, please, product, price, follow, customer, life, thank]]","[[cover excellent quality service receive faster expect greatbut quality product please product price follow customer life thank, 0.9813, 5]]"
B011HIIFCI,[0.7964],[5],"[[advertise, love, look, doesnt, add, weight, look, well, skin]]","[[advertise love look doesnt add weight look well skin, 0.7964, 5]]"
B01269D9PU,"[0.1027, 0.8442]","[3, 5]","[[fit, note, suppose, product], [okno, display, charger, port, protectionhard, beat, otterbox, defender]]","[[fit note suppose product, 0.1027, 3], [okno display charger port protectionhard beat otterbox defender, 0.8442, 5]]"
B013D1P1QA,[0.2905],[5],"[[case, doesnt, fit, glass, screen, protector, tho]]","[[case doesnt fit glass screen protector tho, 0.2905, 5]]"
B013H12J8O,[0.5435],[1],"[[item, wasnt, use, expect, top, get, material, im, inform, use, case, scratch]]","[[item wasnt use expect top get material im inform use case scratch, 0.5435, 1]]"
B01424ZCUM,"[0.9042, 0.9595]","[5, 5]","[[dont, know, purchase, lightning, cable, came, buy, apple, pop, buy, emergency, one, gas, station, bright, pink, last, daysand, everything, betweenbr, br, go, lot, lightning, cable, need, lot, lightning, cable, bedside, kitchen, sync, couple, car, officebr, br, anyway, point, isnt, lightning, cablesbr, br, interest, netsun, done, inside, chip, bust, thing, look, know, look, price, decide, nice, middle, road, direct, apple, gasstation, cheapiesbr, br, sidebyside, compare, seem, hold, ones, difference, find, couple, inch, shorter, standard, apple, version, anything, concern, see, picture, apple, version, longer, length, difference, shownbr, br, cable, come, report, thing, take, beating, lightning, cable, let, hold, upbr, br, supply, sample, test, evaluation, review, promise, exchange, sample, state, provide, review, fair, honest], [cord, lightning, cord, get, ipod, fit, port, doesnt, loose, point, work, charge, ipod, husband, iphone, guarantee, nice, touch, cord, apple, im, happy, productbr, br, receive, discountsample, exchange, unbiased, review]]","[[dont know purchase lightning cable came buy apple pop buy emergency one gas station bright pink last daysand everything betweenbr br go lot lightning cable need lot lightning cable bedside kitchen sync couple car officebr br anyway point isnt lightning cablesbr br interest netsun done inside chip bust thing look know look price decide nice middle road direct apple gasstation cheapiesbr br sidebyside compare seem hold ones difference find couple inch shorter standard apple version anything concern see picture apple version longer length difference shownbr br cable come report thing take beating lightning cable let hold upbr br supply sample test evaluation review promise exchange sample state provide review fair honest, 0.9042, 5], [cord lightning cord get ipod fit port doesnt loose point work charge ipod husband iphone guarantee nice touch cord apple im happy productbr br receive discountsample exchange unbiased review, 0.9595, 5]]"
