B00009UHRE,[0.0],[5],"[[perform, expect]]","[[perform expect, 0.0, 5]]"
B00U1TTKC4,"[-0.2924, 0.3384, 0.1655, -0.1901, 0.1655]","[3, 5, 3, 3, 3]","[[difficult, get, screen, juuust, keep, week, remove, try, outcome], [protects, scratch, corner, peel, follow, instruction], [work], [fit, fitbit, protects, start, come, couple, week, order, one], [fitbit, month, sure, want, keep, corner, peel]]","[[difficult get screen juuust keep week remove try outcome, -0.2924, 3], [protects scratch corner peel follow instruction, 0.3384, 5], [work, 0.1655, 3], [fit fitbit protects start come couple week order one, -0.1901, 3], [fitbit month sure want keep corner peel, 0.1655, 3]]"
B00U8KSILK,[0.3612],[5],"[[excellent, phone, stop, use, note]]","[[excellent phone stop use note, 0.3612, 5]]"
B00UCZGS0O,[0.0],[5],"[[describe, scratch, phone, lcd, stone, particle, cover]]","[[describe scratch phone lcd stone particle cover, 0.0, 5]]"
B00UJY5JKS,"[0.8126, 0.9042]","[5, 5]","[[want, great, instal, tell, screen, instal, product, messy, liquid, solution], [adhere, install, awesome]]","[[want great instal tell screen instal product messy liquid solution, 0.8126, 5], [adhere install awesome, 0.9042, 5]]"
B00URV5QOC,"[0.4588, 0.8414]","[4, 5]","[[cover, describedno, surprise, placement, tab, thank, product], [product, purchase, drop, time, include, concert, screen, didnt, break, tamper, glass]]","[[cover describedno surprise placement tab thank product, 0.4588, 4], [product purchase drop time include concert screen didnt break tamper glass, 0.8414, 5]]"
B00UY4TIK0,[0.3612],[5],"[[quick, seamless, activation, everything, promise]]","[[quick seamless activation everything promise, 0.3612, 5]]"
B00V6Y7G1A,[0.905],[5],"[[fit, obscure, pixel, edge, screen, make, feel, moment, bump, scrape, something, havent, problem, interact, screen]]","[[fit obscure pixel edge screen make feel moment bump scrape something havent problem interact screen, 0.905, 5]]"
B00VDVJ6QO,[0.2944],[5],"[[power, bear, work, fine, recharges, phone, test, come, drop, battery, case, mophie, protect, phone, year, drop, time, tell]]","[[power bear work fine recharges phone test come drop battery case mophie protect phone year drop time tell, 0.2944, 5]]"
B00VEJBKJQ,[0.9134],[5],"[[product, install, iphone, call, quality, good, recommend]]","[[product install iphone call quality good recommend, 0.9134, 5]]"
B00VHFBT2U,[-0.25],[1],"[[clip, break, mail, delivery, use, case, work]]","[[clip break mail delivery use case work, -0.25, 1]]"
B00VJVRQ4W,[-0.1779],[3],"[[deceive, description, return, didnt, read, description, doh, look, picture, review, base, functionality, durability, suggest, item, rename, say, iphone, mention, description]]","[[deceive description return didnt read description doh look picture review base functionality durability suggest item rename say iphone mention description, -0.1779, 3]]"
B00VPYTOS4,[0.6249],[5],"[[amp, money]]","[[amp money, 0.6249, 5]]"
B00VSYJS5U,[-0.5982],[1],"[[gold, yall, exaggerate, color, glossiness, gold, call, pale, cream, color, instead, image, mislead]]","[[gold yall exaggerate color glossiness gold call pale cream color instead image mislead, -0.5982, 1]]"
B00VT7UTKY,[0.9348],[5],"[[quality, isnt, absolute, color, month, cant, bring, change, change, themy]]","[[quality isnt absolute color month cant bring change change themy, 0.9348, 5]]"
B00VU3XKR6,[0.6249],[5],"[[everything, great]]","[[everything great, 0.6249, 5]]"
B00VY2YMAW,[0.5719],[5],"[[fit, perfect, receive, complement]]","[[fit perfect receive complement, 0.5719, 5]]"
B00VYPV6NK,[-0.5667],[1],"[[tree, version, case, fit, right, corner, phone, hang, frame, fell, knee, today, case, using, phone, speaker, corner, screen, shatter, matter, try, fit, corner, phone, case, fit, screen, dissatisfy, case, interfere, charger, include, samsung, chargerbr, br, use, case, love, better, case]]","[[tree version case fit right corner phone hang frame fell knee today case using phone speaker corner screen shatter matter try fit corner phone case fit screen dissatisfy case interfere charger include samsung chargerbr br use case love better case, -0.5667, 1]]"
B00W968QZO,[0.7717],[2],"[[order, tab, fit]]","[[order tab fit, 0.7717, 2]]"
B00WBGIDZA,[-0.1027],[1],[[nah]],"[[nah, -0.1027, 1]]"
B00WE1RWA4,"[-0.2335, 0.7121, 0.9913]","[5, 5, 5]","[[use, work, wire, allow, talk, hand, cord, longer, run, treadmill, ride, bike, fear, head, set, remove, head, short, cord], [headphone, price, buy, price, sonys, wear, dont, cancel, noise, half, think, look, nicer, thought, white, one, give, problem], [thing, awesome, budget, headphone, hand, downbr, br, girlfriend, get, found, sat, sister, try, side, side, pair, beat, dre, say, couldnt, tell, differencebr, grant, audio, expert, tell, bit, soundbr, br, comfort, go, never, pair, headphone, cushion, awesome, ear, marshmallowsbr, create, seal, sound, buy, nyc, look, block, subway, noise, get, job, donebr, br, look, nice]]","[[use work wire allow talk hand cord longer run treadmill ride bike fear head set remove head short cord, -0.2335, 5], [headphone price buy price sonys wear dont cancel noise half think look nicer thought white one give problem, 0.7121, 5], [thing awesome budget headphone hand downbr br girlfriend get found sat sister try side side pair beat dre say couldnt tell differencebr grant audio expert tell bit soundbr br comfort go never pair headphone cushion awesome ear marshmallowsbr create seal sound buy nyc look block subway noise get job donebr br look nice, 0.9913, 5]]"
B00WKEAU4U,[0.7964],[5],"[[take, time, item, need, quality, use, month, convenience]]","[[take time item need quality use month convenience, 0.7964, 5]]"
B00WLLQU8M,[0.6249],[5],"[[shipment, product, great]]","[[shipment product great, 0.6249, 5]]"
B00WMCI056,[0.7964],[5],"[[monitor, ur, money, dji]]","[[monitor ur money dji, 0.7964, 5]]"
B00WS48ZDK,[0.9393],[5],"[[amaze, product, fit, phone, color, instead, white, great, sent, order, case, hold, drop, toddler, recommend, product]]","[[amaze product fit phone color instead white great sent order case hold drop toddler recommend product, 0.9393, 5]]"
B00X5DU4AA,[0.6369],[5],[[case]],"[[case, 0.6369, 5]]"
B00X5R102W,[-0.5574],[1],"[[use, week, threw]]","[[use week threw, -0.5574, 1]]"
B00XBJUHYG,[0.9237],[1],"[[receive, product, hoping, go, mount, set, fit, need, part, wrap, phone, cushion, wont, hurt, phone, use, day, spring, pop, longer, hold, phone, sent, product]]","[[receive product hoping go mount set fit need part wrap phone cushion wont hurt phone use day spring pop longer hold phone sent product, 0.9237, 1]]"
B00XITV7SE,"[0.5574, 0.9272]","[5, 4]","[[describe, case, give, charge, ive, use, battery, recharge, case, phone, charging, case, go, make, phone, bulky, stress, going, syncing, computer, case, work, expect, alsobr, br, thing, case, couldnt, notice, time, purchase, design, snap, frame, youre, familiar, design, know, drop, phone, frame, pop, phone, case, case, good, job, protect, phone, left, scuff, frame, come, loose, didnt, pop, case, raise, screen, give, protection, dont, think, raise, otterbox, prevent, screen, crack, drop, face, im, phone, putting, phone, face, least, doesnt, concern, mebr, br, reason, buy, case, sync, straight, case, quick, charge, lot, review, case, case, stop, charge, phone, connect, require, charge, use, case, couple, month, issue, case, phone, charge, describedbr, br, id, recommend, phone, anyone, phone, doesnt, mind, half, pound, weight, add]]","[[describe case give charge ive use battery recharge case phone charging case go make phone bulky stress going syncing computer case work expect alsobr br thing case couldnt notice time purchase design snap frame youre familiar design know drop phone frame pop phone case case good job protect phone left scuff frame come loose didnt pop case raise screen give protection dont think raise otterbox prevent screen crack drop face im phone putting phone face least doesnt concern mebr br reason buy case sync straight case quick charge lot review case case stop charge phone connect require charge use case couple month issue case phone charge describedbr br id recommend phone anyone phone doesnt mind half pound weight add, 0.5574, 5], [, 0.9272, 4]]"
B00XOF10KW,[0.4404],[5],"[[expect, thanks, quick, delivery]]","[[expect thanks quick delivery, 0.4404, 5]]"
B00XTKND9S,[0.4257],[4],"[[get, case, crack, volume, button, put, case, fit, see, fracture, disappoint, case, cool, blend, aluminum, bamboo, sleek, modern, design]]","[[get case crack volume button put case fit see fracture disappoint case cool blend aluminum bamboo sleek modern design, 0.4257, 4]]"
B00Y14WM7K,[0.8215],[5],"[[receive, case, surprise, quality, case, happy, fit, card, pocket, construct]]","[[receive case surprise quality case happy fit card pocket construct, 0.8215, 5]]"
B00Y1I305O,[0.0],[2],"[[come, mail, scratch]]","[[come mail scratch, 0.0, 2]]"
B00Y2L1XOA,[0.9294],[5],"[[get, pink, rilakkuma, casebr, perfect, come, time, fit, phone, pure, cuteness]]","[[get pink rilakkuma casebr perfect come time fit phone pure cuteness, 0.9294, 5]]"
B00Y7WVPOC,"[0.789, 0.4588]","[1, 3]","[[dont, waste, money, suppose, come, temper, glass, cover, come, part, came, waaaay, cut, mm, apple, watch, didnt, cover, portion, watch, face, hate, people, sell, stuff, description, isnt, true, item, amazon, dont, waste, earn, money, buck, waste, buck], [think, screen]]","[[dont waste money suppose come temper glass cover come part came waaaay cut mm apple watch didnt cover portion watch face hate people sell stuff description isnt true item amazon dont waste earn money buck waste buck, 0.789, 1], [think screen, 0.4588, 3]]"
B00Y81DBP8,[0.6516],[4],"[[sleep, side, sleeper, complaint, roll, speaker, crackle, cord, im, sure, im]]","[[sleep side sleeper complaint roll speaker crackle cord im sure im, 0.6516, 4]]"
B00YGKK9EW,[0.5994],[5],"[[sturdy, case]]","[[sturdy case, 0.5994, 5]]"
B00YJ5P3FE,[0.2023],[1],"[[galaxy, tab, short, side]]","[[galaxy tab short side, 0.2023, 1]]"
B00YOVGLEU,[0.2263],[1],"[[need, band, apple, watch, come, gold, stainless, steel, chain, decide, get, come, mail, setup, weeks, band, walk, day, side, band, come, undone, part, clip, wrist, broke, everything, fine, happen, product, make]]","[[need band apple watch come gold stainless steel chain decide get come mail setup weeks band walk day side band come undone part clip wrist broke everything fine happen product make, 0.2263, 1]]"
B00ZAIO8X2,[0.6249],[5],"[[charger, work, use]]","[[charger work use, 0.6249, 5]]"
B00ZKKPDKM,[0.4754],[5],[[nice]],"[[nice, 0.4754, 5]]"
B00ZOQFXM0,"[0.6115, 0.8422]","[4, 3]","[[fit, good, arm, way, iphone, life, prob, fit], [happy, find, band, fit, otter, box]]","[[fit good arm way iphone life prob fit, 0.6115, 4], [happy find band fit otter box, 0.8422, 3]]"
B00ZU56SVA,[-0.7569],[1],"[[disappoint, receive, ipad, air, case, receive, case, tablet, want, money, wait, ten, day, disappoint]]","[[disappoint receive ipad air case receive case tablet want money wait ten day disappoint, -0.7569, 1]]"
B01075ILIU,[0.7759],[5],"[[ship, happy, purchase, doesnt, scratch]]","[[ship happy purchase doesnt scratch, 0.7759, 5]]"
B010GIVYT6,[0.836],[5],"[[phone, perfect, love]]","[[phone perfect love, 0.836, 5]]"
B010LVZRE6,[-0.5836],[3],"[[base, reviewer, expect, dock, charging, light, model, receive, contain, light, brand, front, photo, show, fault, seller, appear, receive, model, charge, dock, way, minus, charge, minus, styling, make, stand, charging, dock, rate, threestar, purchase]]","[[base reviewer expect dock charging light model receive contain light brand front photo show fault seller appear receive model charge dock way minus charge minus styling make stand charging dock rate threestar purchase, -0.5836, 3]]"
B010NCKTQO,[0.6249],[5],"[[ship, case]]","[[ship case, 0.6249, 5]]"
B010TQ8R9A,"[0.2964, 0.1189, 0.4927, 0.4019, 0.7906]","[5, 5, 4, 4, 5]","[[pr], [star, cause, went, louder], [problem, work, come, headset, instruction, replacement, earbuds], [doesnt, get, tangle, perfect], [need, use, great, range]]","[[pr, 0.2964, 5], [star cause went louder, 0.1189, 5], [problem work come headset instruction replacement earbuds, 0.4927, 4], [doesnt get tangle perfect, 0.4019, 4], [need use great range, 0.7906, 5]]"
B010TZBY3M,"[-0.3182, 0.9294]","[1, 5]","[[awesome, sound, bluetooth, headset, help, party, hear, youre, noisy, environment, drive, way, let, know, need, tobr, recharge, talk, time, leave, turn], [creator, jawbone, abandon, older, product, updater, essential, functionality, set, longer, work, productbr, older, updater, program, work, need, info, jawbone, serverbr, product, leave, pasture, creator, bone, bluetooth]]","[[awesome sound bluetooth headset help party hear youre noisy environment drive way let know need tobr recharge talk time leave turn, -0.3182, 1], [creator jawbone abandon older product updater essential functionality set longer work productbr older updater program work need info jawbone serverbr product leave pasture creator bone bluetooth, 0.9294, 5]]"
B010UXNGGG,[0.743],[5],"[[case, close, hold, everything, color, picture]]","[[case close hold everything color picture, 0.743, 5]]"
B010VFZJD6,"[0.0993, 0.6249]","[5, 5]","[[mod], [mvp, pro, good, battery, observe, ive, buy, battery, kit, amazon, time, seller, come, sub, g, tank, buy, seller, option, tank, retuned, item, perfect, tank, read, coil, ohm, pay, attention, easy, use, press, button, time, turn, manual, online, buy, use, follow, coil, online, see, voltage, handle, charge, device, car, cheap, cable, go, charge, cause, protection, quality, charge]]","[[mod, 0.0993, 5], [mvp pro good battery observe ive buy battery kit amazon time seller come sub g tank buy seller option tank retuned item perfect tank read coil ohm pay attention easy use press button time turn manual online buy use follow coil online see voltage handle charge device car cheap cable go charge cause protection quality charge, 0.6249, 5]]"
B010W4EHT8,[0.0814],[3],"[[look, nice, fit, phone, make, sick]]","[[look nice fit phone make sick, 0.0814, 3]]"
B0113MV340,"[0.7152, -0.5442, -0.2263, 0.9459]","[5, 1, 4, 5]","[[need, cable, house, office, upgrading, iphone, ipad, bought, pack, iphone, charger, try, work, use, charge, work, surprise, order, deliver, day, estimate, datei, love, cable, recommend, work, caliber, connection], [quality, lightning, cable, get, price, br, br, buy, want, longer, cable, trouble, cable, recognize, apple, devicesbr, br, work, recommend], [buy, august, working, order], [order, pack, cable, try, cable, air, use, apple, charge, brick, give, message, charging, cable, work, iphone, need, ipads, claim, excellent, customer, service, provide, contact, information, problem, online, order, waste, company, product, perform, advertise, im, go, way, post, office, stand, line, pay, postage, fee, wait, refund, worth, time, effort, okay, win, money, worthless, cable]]","[[need cable house office upgrading iphone ipad bought pack iphone charger try work use charge work surprise order deliver day estimate datei love cable recommend work caliber connection, 0.7152, 5], [quality lightning cable get price br br buy want longer cable trouble cable recognize apple devicesbr br work recommend, -0.5442, 1], [buy august working order, -0.2263, 4], [order pack cable try cable air use apple charge brick give message charging cable work iphone need ipads claim excellent customer service provide contact information problem online order waste company product perform advertise im go way post office stand line pay postage fee wait refund worth time effort okay win money worthless cable, 0.9459, 5]]"
B011677N9G,"[0.5994, 0.9203, 0.8957]","[5, 4, 4]","[[fit, promise, make, difficulty, press, button, edge, screen, protector], [receive, screen, protector, make, color, gold, match, phone, gold, case, installation, simple, didnt, issue, clean, screen, add, protector, nice, simple, process, seem, bubbling, edge, roll, didnt, issue, touchscreen, doesnt, respond, part, phone, issue, protection, fingerprint, show, show, screen, take, cloth, wipeeasy, simple, case, edge, doesnt, screen, protector, bit, fit, cover, screen], [excellent, color, match, install, gripe, miss, finger, press, excellent, clarity]]","[[fit promise make difficulty press button edge screen protector, 0.5994, 5], [receive screen protector make color gold match phone gold case installation simple didnt issue clean screen add protector nice simple process seem bubbling edge roll didnt issue touchscreen doesnt respond part phone issue protection fingerprint show show screen take cloth wipeeasy simple case edge doesnt screen protector bit fit cover screen, 0.9203, 4], [excellent color match install gripe miss finger press excellent clarity, 0.8957, 4]]"
B011R5O6YC,[0.624],[5],"[[l, cool]]","[[l cool, 0.624, 5]]"
B0132CUZ1G,[0.1506],[2],"[[buy, red, case, note, fit, snug, black, red, loose, end, phone, wouldnt, recommend, product, inconsistent, fit, phone]]","[[buy red case note fit snug black red loose end phone wouldnt recommend product inconsistent fit phone, 0.1506, 2]]"
B013C6V5WA,[0.0],[1],"[[screen, protector, sticky, cant, use, volume, power, button]]","[[screen protector sticky cant use volume power button, 0.0, 1]]"
B013KBPD1Q,[0.2838],[3],"[[didnt, come, wrist, strap, come, stylist, need, wrist, strap, stylist]]","[[didnt come wrist strap come stylist need wrist strap stylist, 0.2838, 3]]"
B013XBIR2A,[0.9875],[5],"[[shopper, amazon, leave, review, review, none, order, case, werent, level, phone, case, fit, nice, phone, soft, leather, feel, magnet, keep, place, wallet, make, remove, want, use, phone, pic, etc, bulk, wallet, look, case, mosta, wallet, allow, phone, remove, need, card, holder, slot, snap, info, isnt, using, checking, phone, find, case, card, slot, design, way, prevent, card, scratch, screen, thing, change, case, make, strap, hold, entire, case, snap, havent, issue, magnet, feel, secure, snap, recommend, case, anyone, samsung, galaxy, edge]]","[[shopper amazon leave review review none order case werent level phone case fit nice phone soft leather feel magnet keep place wallet make remove want use phone pic etc bulk wallet look case mosta wallet allow phone remove need card holder slot snap info isnt using checking phone find case card slot design way prevent card scratch screen thing change case make strap hold entire case snap havent issue magnet feel secure snap recommend case anyone samsung galaxy edge, 0.9875, 5]]"
