B000O52ZY0,[0.4404],[5],"[[well, speaker, stock, tahoe]]","[[well speaker stock tahoe, 0.4404, 5]]"
B00XNJBLWQ,"[-0.5256, 0.4215, 0.871, -0.4019, 0.0, -0.6549, 0.8462, 0.1027, 0.5267, 0.2023]","[1, 5, 4, 1, 1, 1, 4, 3, 4, 5]","[[keep, fall, purchase, use, month, cant, stick, window, dont, fall, price, make, month, waste, money], [returec], [nice], [wasnt, expect, pricebr, worth, pricebr, recommend], [fine], [perfect, windshield, doesnt, stick, dashboard, dashboard], [poor, quality, stick, dashboard], [dashboardwindshield, holder, work, order, got, try, stick, windshield, dashboard, minute, manufacturer, provide, email, address, let, know, problem, respond, say, replace, get, replacement, work, windshield, minute], [recieve, product, expect, work, fine, look, air, vent, mount], [way, design, work, holder, arm, griphold, phone, arent, wide, grip, less, need, phone, cradle, size, arm, wide, phone, rock, mount, downward, stay, phone, one, use, mount, motion, ie, home, office, etc, think, thats, way, design, star, customer, service]]","[[keep fall purchase use month cant stick window dont fall price make month waste money, -0.5256, 1], [returec, 0.4215, 5], [nice, 0.871, 4], [wasnt expect pricebr worth pricebr recommend, -0.4019, 1], [fine, 0.0, 1], [perfect windshield doesnt stick dashboard dashboard, -0.6549, 1], [poor quality stick dashboard, 0.8462, 4], [dashboardwindshield holder work order got try stick windshield dashboard minute manufacturer provide email address let know problem respond say replace get replacement work windshield minute, 0.1027, 3], [recieve product expect work fine look air vent mount, 0.5267, 4], [way design work holder arm griphold phone arent wide grip less need phone cradle size arm wide phone rock mount downward stay phone one use mount motion ie home office etc think thats way design star customer service, 0.2023, 5]]"
B00XTSCZ0I,[0.886],[5],"[[buy, son, love, fit, phone]]","[[buy son love fit phone, 0.886, 5]]"
B00YE3KTD2,[0.6369],[5],"[[look, folio, style]]","[[look folio style, 0.6369, 5]]"
B00YGLBKZS,[0.5994],[5],[[love]],"[[love, 0.5994, 5]]"
B00YJJ0I2I,"[-0.5264, 0.9638]","[1, 4]","[[buy, case, mom, keep, drop, phone, get, case, way, describe, hasnt, drop, phone, hold, say, feel, hand, bc, vibrant, color, easy, spot, forgets, set, product, recommend, others], [happy, cause, think, case, cover]]","[[buy case mom keep drop phone get case way describe hasnt drop phone hold say feel hand bc vibrant color easy spot forgets set product recommend others, -0.5264, 1], [happy cause think case cover, 0.9638, 4]]"
B00YKNS4BK,"[0.6249, 0.2732, 0.5719, 0.7023, 0.5719, 0.0]","[5, 5, 5, 5, 5, 5]","[[perfect, wife, life], [excellent, product], [thing, anyone, owns, fitbit, charge, lose, fitbit, clasp, come, undone, use, havent, think, fitbit, come, unclasp, fall, fun, change, color, stick, color, match, fitbit, dont, need, fitbit, charge], [work], [look], [product, fast, ship]]","[[perfect wife life, 0.6249, 5], [excellent product, 0.2732, 5], [thing anyone owns fitbit charge lose fitbit clasp come undone use havent think fitbit come unclasp fall fun change color stick color match fitbit dont need fitbit charge, 0.5719, 5], [work, 0.7023, 5], [look, 0.5719, 5], [product fast ship, 0.0, 5]]"
B00YO3G1T8,[0.8462],[1],"[[case, okay, good, olloclip, lense, isnt, good]]","[[case okay good olloclip lense isnt good, 0.8462, 1]]"
B00YOKKU3O,"[0.0, 0.7964, 0.7964]","[1, 1, 5]","[[fit, phone, squeeze, volume, bottom, turn, ringer, medium, volume, power, bottom, case, fit, tight, phone], [accurate, description, fit, buy], [shiny, case, easy]]","[[fit phone squeeze volume bottom turn ringer medium volume power bottom case fit tight phone, 0.0, 1], [accurate description fit buy, 0.7964, 1], [shiny case easy, 0.7964, 5]]"
B00YOVM8CO,[-0.3182],[1],"[[product, cause, loss]]","[[product cause loss, -0.3182, 1]]"
B00YWEWVMU,"[0.6249, 0.9001]","[5, 5]","[[fit, droid, turbo, great, super, cute], [color, look, fit, turbo, nylon]]","[[fit droid turbo great super cute, 0.6249, 5], [color look fit turbo nylon, 0.9001, 5]]"
B00ZPBIGAK,[0.5256],[5],"[[impress, quality, service, receive, schedule, date]]","[[impress quality service receive schedule date, 0.5256, 5]]"
B00ZUDCU7I,"[0.836, 0.6249]","[5, 5]","[[awesome, hold, lot, card, cell, holder, brilliant, use, everyday, dont, lug, wallet, everyone, see, want], [son, case, protect, cell, ]]","[[awesome hold lot card cell holder brilliant use everyday dont lug wallet everyone see want, 0.836, 5], [son case protect cell , 0.6249, 5]]"
B00ZZA9OZW,[0.3182],[5],"[[cant, beat, quality, cable, price]]","[[cant beat quality cable price, 0.3182, 5]]"
B010AF6NSM,[0.5621],[4],"[[case, nice, standard, plastic, grip, phone, struggle, detach, case, phone, case, way, recommend, case]]","[[case nice standard plastic grip phone struggle detach case phone case way recommend case, 0.5621, 4]]"
B010LPR3AS,[0.5719],[5],[[perfect]],"[[perfect, 0.5719, 5]]"
B010MWHZS0,[-0.7938],[1],"[[case, doesnt, turn, volume, level, bottom, button, work, get, turn, taking, apart, put, time, change, take, button, function, work, put, rubber, part, case, problem, show, face, quality, product]]","[[case doesnt turn volume level bottom button work get turn taking apart put time change take button function work put rubber part case problem show face quality product, -0.7938, 1]]"
B01163RO2Q,[0.1272],[1],"[[start, voice, garble, understand, wont, buy]]","[[start voice garble understand wont buy, 0.1272, 1]]"
B0117RD8NU,[-0.0571],[1],"[[headphone, cant, get, ear, try, attachment, come, buy, pair, lose, hope, find, one, buy, cheap, pair, hold]]","[[headphone cant get ear try attachment come buy pair lose hope find one buy cheap pair hold, -0.0571, 1]]"
B011CV9G3C,"[0.7717, 0.296, 0.2023, -0.6007, 0.8225]","[5, 5, 1, 1, 5]","[[ok], [idea, feature, usability, device, mine, didnt, work, box, return], [wear, periods, time, work, distance, phone, yay], [work, intendedbr, love, feel, greatbr, thank], [didnt, broke, day, use]]","[[ok, 0.7717, 5], [idea feature usability device mine didnt work box return, 0.296, 5], [wear periods time work distance phone yay, 0.2023, 1], [work intendedbr love feel greatbr thank, -0.6007, 1], [didnt broke day use, 0.8225, 5]]"
B011DF8JUS,[0.6249],[4],[[product]],"[[product, 0.6249, 4]]"
B011EXNAS0,[0.4404],[4],"[[quick, shipping, good, quality]]","[[quick shipping good quality, 0.4404, 4]]"
B011PXL8WY,[0.6249],[5],[[product]],"[[product, 0.6249, 5]]"
B011S90B6E,[-0.9071],[1],"[[work, xbox, controller, broke, day, review, people, post, thought, right, worth, time, money, get, put, star, rate, star, dont, let, star, fool, plan, get, game, controller, headset]]","[[work xbox controller broke day review people post thought right worth time money get put star rate star dont let star fool plan get game controller headset, -0.9071, 1]]"
B011TNJFNO,[0.8122],[5],"[[love, case, make, phone, feel, protect]]","[[love case make phone feel protect, 0.8122, 5]]"
B0123RJP6C,[0.2767],[1],"[[hour, use, remove, battery, dump, app, thing, annoy, wouldnt, stay, connect, minute, wouldnt, shut, beep, chirping, pocket, canary, didnt, hope, device, base, cost, wasnt, disappoint, worth, shot, wish, read, app, review]]","[[hour use remove battery dump app thing annoy wouldnt stay connect minute wouldnt shut beep chirping pocket canary didnt hope device base cost wasnt disappoint worth shot wish read app review, 0.2767, 1]]"
B0124RXSXW,"[0.0, 0.7002]","[5, 1]","[[apple, cord], [ripoff, charge, light, charge, plug, stop, second, claim, waste, money, doesnt, deserve, star]]","[[apple cord, 0.0, 5], [ripoff charge light charge plug stop second claim waste money doesnt deserve star, 0.7002, 1]]"
B0126ZHM2K,"[0.6369, 0.5267, 0.7523]","[5, 2, 1]","[[dont, waste, money, buy, item, january, plastic, beginning, wear, credit, card, fall, slot, purchase, august, think, buy, year, purchase, quality, purchase, magnet, weak, cant, hold, latch, credit, card, throw, waste, money, dont, read, earlier, review, think, product], [need], [quality, material, less, order, case, get, iphone, case, product, ill, keep, case, use, sometime]]","[[dont waste money buy item january plastic beginning wear credit card fall slot purchase august think buy year purchase quality purchase magnet weak cant hold latch credit card throw waste money dont read earlier review think product, 0.6369, 5], [need, 0.5267, 2], [quality material less order case get iphone case product ill keep case use sometime, 0.7523, 1]]"
B0129C3HJC,[0.7391],[3],"[[awesome, price, issue, screen, cover, sleep, part, stick, need, lol]]","[[awesome price issue screen cover sleep part stick need lol, 0.7391, 3]]"
B012NR0WUK,[0.4936],[1],"[[fitbad, phone, wobble, insidebr, ok, glossy, print, nothing, specialbr, waste, money, timebr, br, bin, minute, onbr, br, keep, lookingbr, give, half, star]]","[[fitbad phone wobble insidebr ok glossy print nothing specialbr waste money timebr br bin minute onbr br keep lookingbr give half star, 0.4936, 1]]"
B012SYFJFQ,[0.6124],[3],"[[look, use, case, exception, open, bottom, micro, usb, porton, make, open, waterproof, cover, resolve, issue, cut, make, open, swing, arm, allows, phone, stand, snap, place, phone, case, leave, catch, stick, scotch, tape, resolve, problem, redesign, need, do, case]]","[[look use case exception open bottom micro usb porton make open waterproof cover resolve issue cut make open swing arm allows phone stand snap place phone case leave catch stick scotch tape resolve problem redesign need do case, 0.6124, 3]]"
B012VADC2E,[0.9011],[3],"[[review, look, see, phone, say, skin, please, product, image, show, company, logo, receive, none, come, packaging, label, print, company, name, type, phone, buy, pleson, screen, cover, think, look, great, star, design, look, quality, company, logo, package, company, make, knock]]","[[review look see phone say skin please product image show company logo receive none come packaging label print company name type phone buy pleson screen cover think look great star design look quality company logo package company make knock, 0.9011, 3]]"
B013BG91LS,[-0.7407],[1],"[[mute, button, doesnt, work, matter, time, try, install, case, onoff, state, line, toggle, switch, mute, button, touch, screen, sensitivity, horrid, count, number, time, retype, word, keystroke, arent, register, please, dont, say, screen, wasnt, clean, removing, dirt, smudge, oil, etc]]","[[mute button doesnt work matter time try install case onoff state line toggle switch mute button touch screen sensitivity horrid count number time retype word keystroke arent register please dont say screen wasnt clean removing dirt smudge oil etc, -0.7407, 1]]"
B013J556FQ,[0.2255],[2],"[[case, arrive, expect, case, sleek, bulky, rubberize, part, stiff, make, press, phone, button]]","[[case arrive expect case sleek bulky rubberize part stiff make press phone button, 0.2255, 2]]"
