B0007WRQVC,[0.0],[5],"[[describe, work]]","[[describe work, 0.0, 5]]"
B00WFTEXPW,[0.2748],[4],"[[expect, seem, get, charge, leave, overnight, give, friend, need]]","[[expect seem get charge leave overnight give friend need, 0.2748, 4]]"
B00WONZ3L2,[0.8718],[2],"[[case, done, good, job, protect, phone, find, dirt, particle, get, screen, protector, take, twice, week, work, landscape, construction, case, isnt, work, phone, work, truck, pocket, leave, lay, look, case]]","[[case done good job protect phone find dirt particle get screen protector take twice week work landscape construction case isnt work phone work truck pocket leave lay look case, 0.8718, 2]]"
B00WPBVYRK,[0.8442],[4],"[[screen, cover, complaint, doesnt, go, way, edge, phone, dont, know, smaller, fit, phone, case, otter, box, phone, there, gab, screen, protector, case, protector, there, quit, bit, dirt, collect, edge]]","[[screen cover complaint doesnt go way edge phone dont know smaller fit phone case otter box phone there gab screen protector case protector there quit bit dirt collect edge, 0.8442, 4]]"
B00WPCNG2K,"[0.6597, 0.9184]","[5, 5]","[[phone, mount, work, expect, problem, use, case, lg, g, put, metal, plate, inside, case, work, magnet, havent, use, adhesive, circle, thing, im, keep, case, phone, stay, place, go, pothole, etc], [work, magnet]]","[[phone mount work expect problem use case lg g put metal plate inside case work magnet havent use adhesive circle thing im keep case phone stay place go pothole etc, 0.6597, 5], [work magnet, 0.9184, 5]]"
B00WS3YT2C,[-0.712],[2],"[[poor, poor, quality, stain, size, usd, smallersized, currency, use]]","[[poor poor quality stain size usd smallersized currency use, -0.712, 2]]"
B00WWQK6VS,[0.6249],[5],"[[fit, great]]","[[fit great, 0.6249, 5]]"
B00X58OXC0,[0.101],[2],"[[cheap, material, corner, rip, torn, week, case, get, pay]]","[[cheap material corner rip torn week case get pay, 0.101, 2]]"
B00X6N0MO2,"[0.8819, 0.765]","[5, 5]","[[fit, great, look, great, gripfeel, smooth, material, arrive, day, recommend, phone, hope, get, type, phone, case, get, job, done], [fit]]","[[fit great look great gripfeel smooth material arrive day recommend phone hope get type phone case get job done, 0.8819, 5], [fit, 0.765, 5]]"
B00X7963WK,[0.0],[5],[[look]],"[[look, 0.0, 5]]"
B00XJK4R2A,[0.5859],[5],"[[protection, feel, bulky, outer, part, case, rigid, doesnt, feel, cheap, plasticy, soft, satin, kind, surface]]","[[protection feel bulky outer part case rigid doesnt feel cheap plasticy soft satin kind surface, 0.5859, 5]]"
B00XNWCNQ6,[0.4927],[3],"[[plug, ring, blue, pink, seem, work]]","[[plug ring blue pink seem work, 0.4927, 3]]"
B00XVP4EEE,"[0.0, 0.0, -0.2411, 0.9314, 0.8797, 0.4404, 0.0, 0.8821, 0.6705, 0.5873]","[1, 5, 5, 5, 5, 5, 5, 5, 5, 2]","[[product, month, cable, spring, keep, cord, phone, go, cord, fall, phone], [cable, expect, ft, length], [thing, awesome, dont, kink, tangle, reach, want], [buy, replace, shorter, came, phone, become, loose, start, make, poor, connection, month, fall, phone, pullbr, br, iseeker, cable, become, unsecure, week, month, stop, transfer, data, computer, charge, try, unused, cable, seem, start, connect, transfer, charge, fine, guess, end, replacement, continue, use, presentlybr, br, conclude, well, came, phoneother, longer, admit, use, phone, attach, connect, disconnect, cable, time, day, charge, transferring, cut, transfer, present, charge, nowbr, br, guess, issue, design, microusb, connector, company, anything, connector, admit, manufacturer, try, make, quality, maybe, anything, microusb, connectorbr, br, give, star, stop, transfer, data, month], [use, time, havent, issue, wrapping], [work, advertise, order, need], [excellent, micro, usb, cable, coil, stow, recommend], [thanks], [cord, cord, cord, build, length, ft, man, look, good, im, sell, pack, price, nice, marker, micro, usb, cable, hesitate, get, think, pick, different, length], [cable, work, feel, premium, sure, say]]","[[product month cable spring keep cord phone go cord fall phone, 0.0, 1], [cable expect ft length, 0.0, 5], [thing awesome dont kink tangle reach want, -0.2411, 5], [buy replace shorter came phone become loose start make poor connection month fall phone pullbr br iseeker cable become unsecure week month stop transfer data computer charge try unused cable seem start connect transfer charge fine guess end replacement continue use presentlybr br conclude well came phoneother longer admit use phone attach connect disconnect cable time day charge transferring cut transfer present charge nowbr br guess issue design microusb connector company anything connector admit manufacturer try make quality maybe anything microusb connectorbr br give star stop transfer data month, 0.9314, 5], [use time havent issue wrapping, 0.8797, 5], [work advertise order need, 0.4404, 5], [excellent micro usb cable coil stow recommend, 0.0, 5], [thanks, 0.8821, 5], [cord cord cord build length ft man look good im sell pack price nice marker micro usb cable hesitate get think pick different length, 0.6705, 5], [cable work feel premium sure say, 0.5873, 2]]"
B00XZ35C66,[-0.2755],[1],"[[galaxy, fit]]","[[galaxy fit, -0.2755, 1]]"
B00Y239UG6,[-0.4201],[3],"[[slot, watch, band, cover, make, difficult, change, band, put]]","[[slot watch band cover make difficult change band put, -0.4201, 3]]"
B00Y6ZYC0O,[0.4215],[1],"[[case, satisfy]]","[[case satisfy, 0.4215, 1]]"
B00YKNE5FE,"[0.8722, 0.872, 0.8519, 0.4767]","[5, 3, 5, 5]","[[package, suppose, band, contain, ring, damagedand, getwow, refund, part, cost, product, thank, work, fitbit, band], [work, great, love, color], [fitbit, charge, keep, band, fasten, matter, sleep, zumba, stay, fasten, color], [offer, sense, protection, fitbit, dont, worry, fall, color, spark, happiness, otherwise, dull, black, fitbit]]","[[package suppose band contain ring damagedand getwow refund part cost product thank work fitbit band, 0.8722, 5], [work great love color, 0.872, 3], [fitbit charge keep band fasten matter sleep zumba stay fasten color, 0.8519, 5], [offer sense protection fitbit dont worry fall color spark happiness otherwise dull black fitbit, 0.4767, 5]]"
B00YWY52J4,[0.7096],[3],"[[super, cute, reason, get, quality, guess, get, pay, chain, break, get, package, bit, glue, surface, pull, create]]","[[super cute reason get quality guess get pay chain break get package bit glue surface pull create, 0.7096, 3]]"
B00YXRCA04,[0.4404],[5],"[[get, earphone, thanks]]","[[get earphone thanks, 0.4404, 5]]"
B00Z06JTYC,[0.8963],[5],"[[purchase, use, travel, week, take, bulky, charger, trip, plug, charge, problem, plug, everything, ready, go, morning, android, phone, phone, android, tablet, fit, bit, pad, plan, use, house, space, saver, buy, couldnt, miss, wall, quick, check, leave, hotel]]","[[purchase use travel week take bulky charger trip plug charge problem plug everything ready go morning android phone phone android tablet fit bit pad plan use house space saver buy couldnt miss wall quick check leave hotel, 0.8963, 5]]"
B00Z9A88GO,"[0.9403, 0.7897, 0.977, 0.9641, 0.9672]","[5, 1, 5, 5, 5]","[[excite, order, try, yesterday, minutes, work, fine, sound, try, use, today, nothing, work, charge, hr, half, turn, light, anything, come, hot, burn, finger, pick, go], [black, favorite, color, thats, buy, headphone, enjoy, headphone, use, headphone, workout, help, lot, fix, working, ipad, iphone, worry, battery, life, good, battery, life, yes, describe, battery, life, hour, headphone, use], [black, choice, buy, headphone, excite, get, black, headphone, buy, amazon, use, super, quality, headphone, nice, feature, sound, system, soundnever, cut, listen, fit, ear, life, well, headphone, happy, get, headphone], [sound, quality, good, noise, cancel, system, work, perfect, battery, life, describe, description, workout, everyday, even, support, sweat, wire, smooth, feel, use, headphone, bluetooth, work, fine, distance, fifth, price, buy, range, say, bluetooth, headphone, headphone], [bluetooth, headset, work, get, perfect, fit, maximum, sound, quality, bluetooth, pair, iphone]]","[[excite order try yesterday minutes work fine sound try use today nothing work charge hr half turn light anything come hot burn finger pick go, 0.9403, 5], [black favorite color thats buy headphone enjoy headphone use headphone workout help lot fix working ipad iphone worry battery life good battery life yes describe battery life hour headphone use, 0.7897, 1], [black choice buy headphone excite get black headphone buy amazon use super quality headphone nice feature sound system soundnever cut listen fit ear life well headphone happy get headphone, 0.977, 5], [sound quality good noise cancel system work perfect battery life describe description workout everyday even support sweat wire smooth feel use headphone bluetooth work fine distance fifth price buy range say bluetooth headphone headphone, 0.9641, 5], [bluetooth headset work get perfect fit maximum sound quality bluetooth pair iphone, 0.9672, 5]]"
B00ZCEAHC0,[0.1761],[3],"[[phone, case, crack, case, carry, purse, carry, pocket, drop, colorful, part, case, crack, chip]]","[[phone case crack case carry purse carry pocket drop colorful part case crack chip, 0.1761, 3]]"
B00ZCJCO4O,[0.0],[1],"[[product, work, want, connect, bose, iii, ipod, touch, get]]","[[product work want connect bose iii ipod touch get, 0.0, 1]]"
B00ZJ5WF9K,[-0.4767],[1],"[[screen, arrive, home, break]]","[[screen arrive home break, -0.4767, 1]]"
B0101U9URC,[0.7351],[5],[[casefits]],"[[casefits, 0.7351, 5]]"
B010DLLDV0,"[0.3182, 0.0]","[1, 1]","[[doesnt, charge, cheap], [connects, disconnect]]","[[doesnt charge cheap, 0.3182, 1], [connects disconnect, 0.0, 1]]"
B010GX64QY,[0.0],[5],[[]],"[[, 0.0, 5]]"
B010NCY7B2,[0.296],[1],"[[band, weighs, time, watch, skagen, make, band, apple, watch, close, perfect, product]]","[[band weighs time watch skagen make band apple watch close perfect product, 0.296, 1]]"
B010QNHFQ2,"[0.8622, 0.765]","[5, 4]","[[look, watch], [quality, fit, take, way, get, ship, china]]","[[look watch, 0.8622, 5], [quality fit take way get ship china, 0.765, 4]]"
B0113L8KVK,[0.6801],[5],"[[nice, look, picture]]","[[nice look picture, 0.6801, 5]]"
B0115B39OQ,[-0.296],[3],"[[want, case, note, protect, phone, smooth, glass, finish, damage, drop, case, come, time, fit, nice, case, grip, slippery, feel, hold, glass, body]]","[[want case note protect phone smooth glass finish damage drop case come time fit nice case grip slippery feel hold glass body, -0.296, 3]]"
B0118M8PMS,[0.672],[5],"[[excellent, product, fast, ship, buy, hesitation]]","[[excellent product fast ship buy hesitation, 0.672, 5]]"
B0119HE4I6,[0.3612],[5],"[[cover, people, leave, see, im, look]]","[[cover people leave see im look, 0.3612, 5]]"
B011K6GDW6,"[-0.741, 0.0]","[4, 5]","[[seem, rugged, own, week, havent, issue], [hold, fine, zxr, im, phone, fall, dont, leave, highway, rid, think, gone, mph, im, freak, get, reason, ill, try, find, something, test, phone]]","[[seem rugged own week havent issue, -0.741, 4], [hold fine zxr im phone fall dont leave highway rid think gone mph im freak get reason ill try find something test phone, 0.0, 5]]"
B011KNCAJE,[-0.3412],[3],"[[stand, good]]","[[stand good, -0.3412, 3]]"
B012H5WUDA,[0.807],[5],"[[sound, use, office, great, buy, money]]","[[sound use office great buy money, 0.807, 5]]"
