9714414997,[0.0],[5],"[[stream, netflixhulu, medium, phone]]","[[stream netflixhulu medium phone, 0.0, 5]]"
B00YSM2DYC,"[0.6012, 0.4019, 0.836, 0.5994, 0.705, 0.4215, 0.6369, 0.5859, 0.9019, -0.341, 0.7814, 0.765, 0.8481, 0.6183, 0.1901, 0.5574, 0.5423]","[3, 5, 5, 5, 4, 4, 5, 5, 5, 3, 4, 5, 5, 5, 5, 5, 5]","[[case, want, otterbox], [case, describe, add, durability, bulk, exceed, expectation, fit, function, quality, price], [look, alternative, otter, box, go, item, ship, come, package, make, job, defender, case, buy], [issue, product, didnt, realize, cover, glass, try, figure, case, insert, phone, tore, plastic, cover, issue, casesotherwise, phone, case], [case, money, come, screen, protector, good, side, protection, draw, air, pocket, phone, case], [fit, great, work, expect, work, built, protection, phone], [everything, case, size, build, screen, holster, sturdy, make, phone, want, isnt, profile, model], [perfect, case, look, performs, well, drop, phone, couple, time, nothing, happen, screen, protector, work, bit, dust, get, nothing, otterbox, case, price], [excellent, cover, case], [phone, come, stick, glass, screen, protector, att, store, instal, want, protection, order, supcase, protector, supcase, push, screen, form, bubble, glass, screen, protector, think, remove, screen, protector, supcase, alleviate, situation, go, bubble, break, protector, andor, use, design, im, sure, supcase, wont, take, didnt, try, make, case, cover, side, screen, protector, give, star, issue, screen, protection, dont, feedback, couldnt, keep, couldnt, read, phone], [case, galaxy, owner, buy], [amaze, case, look, yet, grippablebr, br, price], [satisfy, order], [awesome, case, im, love, durability, give, knock, phone, holder, isnt, swivel, term, protect, phone, otterbox, half, price], [install, rugged, make, belt, clip, havent, drop, phone, case, take], [son, love], [protection, rugged, satisfy, clip, hold, phone, broke, day, difficult, put, offer, excellent, protection, phone]]","[[case want otterbox, 0.6012, 3], [case describe add durability bulk exceed expectation fit function quality price, 0.4019, 5], [look alternative otter box go item ship come package make job defender case buy, 0.836, 5], [issue product didnt realize cover glass try figure case insert phone tore plastic cover issue casesotherwise phone case, 0.5994, 5], [case money come screen protector good side protection draw air pocket phone case, 0.705, 4], [fit great work expect work built protection phone, 0.4215, 4], [everything case size build screen holster sturdy make phone want isnt profile model, 0.6369, 5], [perfect case look performs well drop phone couple time nothing happen screen protector work bit dust get nothing otterbox case price, 0.5859, 5], [excellent cover case, 0.9019, 5], [phone come stick glass screen protector att store instal want protection order supcase protector supcase push screen form bubble glass screen protector think remove screen protector supcase alleviate situation go bubble break protector andor use design im sure supcase wont take didnt try make case cover side screen protector give star issue screen protection dont feedback couldnt keep couldnt read phone, -0.341, 3], [case galaxy owner buy, 0.7814, 4], [amaze case look yet grippablebr br price, 0.765, 5], [satisfy order, 0.8481, 5], [awesome case im love durability give knock phone holder isnt swivel term protect phone otterbox half price, 0.6183, 5], [install rugged make belt clip havent drop phone case take, 0.1901, 5], [son love, 0.5574, 5], [protection rugged satisfy clip hold phone broke day difficult put offer excellent protection phone, 0.5423, 5]]"
B00Z0B04E6,[0.2023],[5],"[[order, size, need, plus, nancy, shop, nice, resent, size, need, nice, case]]","[[order size need plus nancy shop nice resent size need nice case, 0.2023, 5]]"
B00Z8EANQ4,"[0.4215, 0.0]","[4, 3]","[[case, sticky, pick, kind, dust], [nice, price]]","[[case sticky pick kind dust, 0.4215, 4], [nice price, 0.0, 3]]"
B00ZP2ZOK4,[0.8476],[4],"[[nice, case, problem, hole, charger, go, sometimes, come, case, make]]","[[nice case problem hole charger go sometimes come case make, 0.8476, 4]]"
B00ZZ0JE52,[0.7579],[5],"[[item, meet, expectation, value, price]]","[[item meet expectation value price, 0.7579, 5]]"
B0105GSM80,[0.8625],[5],"[[flawless, deliverybr, make, sleekbr, way, snap, placebr, order]]","[[flawless deliverybr make sleekbr way snap placebr order, 0.8625, 5]]"
B0107VB40G,[-0.296],[1],"[[case, couple, day, fade, get, worn]]","[[case couple day fade get worn, -0.296, 1]]"
B010MQJRU0,"[0.4754, 0.7906, 0.0]","[5, 5, 5]","[[case, describe, slim], [nice, quality, quick, delivery], [product, install, add, lot, bulk, phone]]","[[case describe slim, 0.4754, 5], [nice quality quick delivery, 0.7906, 5], [product install add lot bulk phone, 0.0, 5]]"
B010RSGKYE,[0.5574],[3],"[[ok, cutout, side, seem, hinder, use, button]]","[[ok cutout side seem hinder use button, 0.5574, 3]]"
B0118JCV3U,"[0.4404, 0.6249]","[5, 5]","[[nd, time, order], [price, quality, ]]","[[nd time order, 0.4404, 5], [price quality , 0.6249, 5]]"
B011QLL5DC,[0.765],[4],"[[fit, great]]","[[fit great, 0.765, 4]]"
B011TTG6K8,[-0.34],[2],"[[leaf, real, button, mess]]","[[leaf real button mess, -0.34, 2]]"
B012K6JFRU,[0.3818],[4],"[[fit, phone, assume, front, screen, protector]]","[[fit phone assume front screen protector, 0.3818, 4]]"
B012TZA8VY,[0.3252],[1],"[[dont, waste, money, case, cheap, quality, fit, edge]]","[[dont waste money case cheap quality fit edge, 0.3252, 1]]"
B012V0QZPU,[0.765],[4],"[[case, sturdy, fit, kickstand, use, make, phone, lay]]","[[case sturdy fit kickstand use make phone lay, 0.765, 4]]"
B0135Z9U16,[0.8662],[5],"[[lens, amaze, use, easy, carry, lens, holder, doesnt, good, grip, phoneiphone, slip, move, try, secure, lens, doesnt, help, iphone, thin, edge, curvedmaybe, phone, bit, thicker, think, better, grip, give, star, lens, work]]","[[lens amaze use easy carry lens holder doesnt good grip phoneiphone slip move try secure lens doesnt help iphone thin edge curvedmaybe phone bit thicker think better grip give star lens work, 0.8662, 5]]"
B01360G2AC,"[0.3743, -0.8339]","[2, 1]","[[quality, case, day, try, charge, happen, cheap, product, didnt, worth, disappoint], [seems, sturdy, case, test, waterproof, look, problem, screen, cover, plastic, dot, pattern, assume, transmit, touch, plastic, doesnt, fit, bubble, area, place, touch, recognize, space, bar, area, thats, supper, annoy, press, super, recognize, dot, inside, youre, direct, sunlight, grid, overlay, everything, plastic, dull, effect, screen, everything, look, dingy, inside, screen, cause, rainbow, effect, youd, see, street, rain, want, protect, phone, cost, case, reduction, screen, resolution, texting, ability]]","[[quality case day try charge happen cheap product didnt worth disappoint, 0.3743, 2], [seems sturdy case test waterproof look problem screen cover plastic dot pattern assume transmit touch plastic doesnt fit bubble area place touch recognize space bar area thats supper annoy press super recognize dot inside youre direct sunlight grid overlay everything plastic dull effect screen everything look dingy inside screen cause rainbow effect youd see street rain want protect phone cost case reduction screen resolution texting ability, -0.8339, 1]]"
B013CKEN5M,[-0.9118],[4],"[[price, quite, color, taste, dress, shirt, sleeve, worn, loose, extra, link, provide, wrist, isnt, didnt, take, link, wear, men, disappoint]]","[[price quite color taste dress shirt sleeve worn loose extra link provide wrist isnt didnt take link wear men disappoint, -0.9118, 4]]"
