1059656000,[0.0],[5],"[[describe, work, flawlesslythanks]]","[[describe work flawlesslythanks, 0.0, 5]]"
B00VMPVQDC,"[0.8777, 0.846, -0.2263, 0.0, 0.6369, -0.8692, 0.2144, -0.2144, -0.102, 0.0, -0.2263, -0.8074, -0.6705, -0.0276, -0.7322, 0.1419, 0.9633, -0.836, -0.4588, 0.631, -0.836, 0.2023, 0.7184, 0.9436, 0.9361, -0.3479, 0.0, 0.9795, 0.296, 0.8342, 0.9874, 0.25, 0.8805, 0.8912, 0.9299, 0.6705, 0.0, 0.6249, 0.9921, 0.296, -0.2755, -0.4019, 0.6249, -0.4754, 0.8519, 0.7351, 0.2732, 0.0593, -0.4854, -0.2507, -0.6209, -0.0516, -0.4127, -0.2263, -0.7137]","[3, 1, 1, 1, 5, 2, 1, 3, 1, 1, 1, 1, 1, 1, 1, 3, 2, 1, 1, 3, 1, 4, 2, 5, 5, 1, 2, 3, 4, 5, 4, 1, 4, 1, 5, 5, 4, 5, 4, 3, 1, 1, 5, 1, 5, 2, 4, 1, 1, 4, 1, 1, 2, 1, 1]","[[work, wont, sync, return, get, chance], [daughter, wear, band, day, start, get, allergic, reaction, take, see, doctor, metal, part, band, start, get, corrode, turn, green, daughter, sweat, work, main, purpose, fitness, tracker, track, work, out, go, sweat, dont, know, use, material, know, go, returning, band, recommend, people, buy, seem, deal, isnt, better, spending, buck, buy, quality, band, go, send, doctor], [tracker, work, havent, problem, husband, step, calorie, burn, buy, gift], [cheap, product, consider, price, tracker, go, impress, keep, mind, smart, watch, ride, motorcycle, seem, think, im, rid, bicycle, decide, try, product, see, cheap, hope, track, well, track, isnt, smartwatchs, purpose, track, step, doesnt, job, itbr, br, wear, smartwatch, decide, try, wear, ankle, fit, ankle, keep, smart, watch, tracker, leave, wrist, feel, bit, say, le, dominant, hand, wear, watch, left, comfortablebr, br, im, rid, motorcycle, dont, move, hand, handlebars, tracker, register, presume, vibration, step, count, day, ride, motorcycle, isnt, good, tracker, use, dont, want, spend, money, something, find, reacts, way, think, day, track, step, day, dont, feel, nice, cost, itembr, br, battery, life, great, sit, longer, period, time, im, work, home, charge, im, work, work, greatbr, br, phone, doesnt, register, im, try, sync, say, find, band, put, phone, airplane, mode, turn, find, band, click, sync, thatbr, br, thing, note, sure, make, clasp, rub, skin, proper, metal, wouldnt, wake, morning, space, dot, wrist, morning, im, sure, rub, day, move, sleep, day, doesnt, opportunity, make, mark, get, concern, type, chemical, absorb, skin, day, day, wear, itbr, br, story, ride, motorcycle, product, doesnt, work, dont, think, try], [die, week, disconnect, charger, dead, return], [confuse, use, step, sit, desk, majority, day, say, reach, step], [day, bought, day, sync], [worth, pedometer, sleep, tracker, please, change, button, position, sleep, turn, try, put, button, bu, side], [update, review, figure, sync, love, want, sync, tap, sync, moto, g, band, bam, simple], [unit, work, fine, stop, work, month, start, use, accord, amazon, return, policy, cant, return], [love, feature, work, quit, work, didnt, week, know, cheap, expect, work, couple, month, invest, one, time, wore, clasp, day, ball, inside, rub, raw, spot, wrist], [get, correct], [work], [work, great, use, track, sleep, app, work, die, month], [ok], [guess, shouldnt, complain, tracker, accurate, undercounts, step, half], [hat, stop, work, charge, turn, garbage, complete, waste, money], [save, money, work, doesnt, work, fitness, pal, phone, number, step, dont, transfer, end, apps, want, app, everything, get, fitbit, zip, money, worth], [bit, last, longer, day, battery, issue, love, function, thats, stop, work, day, saw, number, figure, hay, amazing, problem, everything, fb, fraction, cost, allit, work, side, note, accurate, track, make, sure, wear, nondominant, hand, week, result, skew, didnt], [doesnt, sync, iphone, bluetooth, doesnt, come, accurate, step, im, disappoint, product, want, return], [work, damn, week, waste, money, dont, buy, buy, fitbit], [starter, fit, bit, device, want, see, youd, spend, buck, pro, comfy, screen, tell, time, step, walk, calorie, burn, distance, complete, goal, clean, care, buy, keep, info, phone, app, get, access, month, keep, track, sleep, con, time, sync, app, phone, wont, sync, button, screen, hit, lot, turn, sleep, mode, display, read, sunlight, app, close, lot, andor, freeze], [wouldnt, recommend], [sync, phone, im, reset, time, band, waste, case, want, track, live, get, fit, bit], [bluetooth, stop, work, week, use], [item, stop, work, day, reset, reset, delete, app, reset, charge, blah, blah, wont, syn, correct, time, anymore, count, step, wont, sync, iphone, excite, something, cheap, get, pay], [ok], [wouldnt, clip, charge, sent, work, fine], [nd, time, charge, didnt, hold, charge, minutes, charge, lost, time, wouldnt, sync, app, thank, goodness, wont, pay, shipping, get, repair, worth, wont, buy], [device, price, simple, clock, sleep, monitor, pedometer, pair, device, battery, life, get, job, done], [stop, charge, nd, time, charge, dont, buy], [work, price, button, changing, settingsother, happy, purchasebr], [fitbit, love], [love, set, watch, video, help, understand, better, want, cheap, version, fit, bit, get, class, perfect, screen, get, mark, far], [didnt, something, fancy, want, something, track, step, basis, see, result, wrist, log, app, see, price, perfect, wrap, wear, day], [unit, wife, fit, wrist, comfortable, day], [hate, thing, waste, money, track, time, connect, app, sync, everything, think, gonna, get, pay, month, sike], [purchase], [dont, waste, time, money, tracker, work, week, time, ask, replace, item, work, week, waste, time, sync, use, app, try, get, money, conclusion, waste, time, money, front, work, week, malo, malo, pierdan, tiempo, y, dinero, solo, funciono, semanas, entre, mayo, y, agosto, lo, cambie, una, vez, y, lo, remplazaron, el, segundo, lo, mismo], [try, tracker, disappoint, accuracy, decide, try, option, want, something, display, silent, alarm, sleep, track, addition, standard, pedometerdistance, function, didnt, want, charge, night, play, volleyball, look, band, track, movement, band, doesnt, advertise, feature, seem, step, strap, anklebr, br, prosbr, month, use, band, ankle, track, step, garmin, gps, watch, phone, display, bright, easy, use, tell, everything, want, see, tell, im, go, sleep, day, find, dont, trouble, remember, alarm, smart, wake, feature, set, wake, time, period, band, sens, youre, sleep, work, advertise, day, last, day, charge, computer, hour, brilliant, feature, charge, im, work, least, want, track, movement, app, read, price, band, cant, beat, offer, feature, expensive, brand, fraction, pricebr, br, consbr, con, ive, find, outweigh, simplicity, use, price, band, tracker, fit, wrist, wrist, screen, gap, side, wrist, find, band, syncing, app, somehow, manage, trigger, awake, button, sleep, occasion, screen, make, scratch, month, use, wonder, hold, entire, year, give, price, im, accept, design, flaw, band, market, doesnt, recognize, yoga, pilates, time, band, sleep, mode, wont, show, time, single, feature, annoy, mebr, br, band, outperforms, band, ive, try, cost, spend, tracker, simple, pedometer, form, factor, true, difference, companion, app, accuracy, company, recognize, fact, take, approach, market, look, see, product], [work, week, stop, work, thing, work, point, wait, money], [work, great], [disappoint, get, pair, galaxy, get, sync, download, track, databr, time, app, crash, useless, try, return, cheap, waist, money], [stop, work, day, use, return, receive, money], [inaccurate, app, awful], [crappy, product, die, week, purchase, didnt, bother, return], [tracker, quit, work, month], [buy, year, always, ask, fitbit, didnt, know, work, doesnt, matter, shake, get, step, ran, house, time, step, app, suck, freeze, crash, time, find, friend, child, feel, mom, youre, adult, look, track, exercise, step, dont, recommend, spend, quality, product], [cheap, version, fitbit, everything, fit, weird, wrist, im, use, time, get, sync, time, love, brightness, great, kind, see, sun, believe, track, sleep, step, buy, fitbit], [product, month, work, get, sync, phone, bluetooth, divice, ive, try, reset, turning, recharge, work, min, connect, phone, go, went, app, try, sync, say, reading, measurement, stop, pedometer, work, suck, cant, store, information, phone], [receive, expect], [tracker, test, swing, arm, push, cart, walk, count, step, sleep, tracker, work, galaxy], [dont, know, receive, product, disappoint, purchase, order, nd, generation, pivotal, live, tracker, hop, defect, st, generation, fix, love, year, subscription, conceptbr, br, reaction, receive, bit, iffy, find, wristband, digital, display, surface, lengthwise, wrist, filthy, smoker, drive, notice, step, count, keep, increase, smoker, motion, switch, tracker, arm, step, count, increase, drive, taking, drive, issue, couldnt, remember, yo, put, reference, sleep, tracker, aware, tracker, require, switch, sleep, mode, didnt, realize, issue, activity, tracker, go, auto, sleep, modebr, br, nail, coffin, receive, charge, issue, instruct, hour, day, wear, tracker, battery, need, recharge, instruction, say, day, charge, leave, tracker, charge, hourand, power, tracker, end, request, refund, schedule, ups, pick, day, receive, return, shipping, label, refund, credit, account, up, pick, package, impress, process], [device, make, effort, walk, step, day, start], [buy, receive, week, stop, synching, turn, piece, crap, buy, fitbit]]","[[work wont sync return get chance, 0.8777, 3], [daughter wear band day start get allergic reaction take see doctor metal part band start get corrode turn green daughter sweat work main purpose fitness tracker track work out go sweat dont know use material know go returning band recommend people buy seem deal isnt better spending buck buy quality band go send doctor, 0.846, 1], [tracker work havent problem husband step calorie burn buy gift, -0.2263, 1], [cheap product consider price tracker go impress keep mind smart watch ride motorcycle seem think im rid bicycle decide try product see cheap hope track well track isnt smartwatchs purpose track step doesnt job itbr br wear smartwatch decide try wear ankle fit ankle keep smart watch tracker leave wrist feel bit say le dominant hand wear watch left comfortablebr br im rid motorcycle dont move hand handlebars tracker register presume vibration step count day ride motorcycle isnt good tracker use dont want spend money something find reacts way think day track step day dont feel nice cost itembr br battery life great sit longer period time im work home charge im work work greatbr br phone doesnt register im try sync say find band put phone airplane mode turn find band click sync thatbr br thing note sure make clasp rub skin proper metal wouldnt wake morning space dot wrist morning im sure rub day move sleep day doesnt opportunity make mark get concern type chemical absorb skin day day wear itbr br story ride motorcycle product doesnt work dont think try, 0.0, 1], [die week disconnect charger dead return, 0.6369, 5], [confuse use step sit desk majority day say reach step, -0.8692, 2], [day bought day sync, 0.2144, 1], [worth pedometer sleep tracker please change button position sleep turn try put button bu side, -0.2144, 3], [update review figure sync love want sync tap sync moto g band bam simple, -0.102, 1], [unit work fine stop work month start use accord amazon return policy cant return, 0.0, 1], [love feature work quit work didnt week know cheap expect work couple month invest one time wore clasp day ball inside rub raw spot wrist, -0.2263, 1], [get correct, -0.8074, 1], [work, -0.6705, 1], [work great use track sleep app work die month, -0.0276, 1], [ok, -0.7322, 1], [guess shouldnt complain tracker accurate undercounts step half, 0.1419, 3], [hat stop work charge turn garbage complete waste money, 0.9633, 2], [save money work doesnt work fitness pal phone number step dont transfer end apps want app everything get fitbit zip money worth, -0.836, 1], [bit last longer day battery issue love function thats stop work day saw number figure hay amazing problem everything fb fraction cost allit work side note accurate track make sure wear nondominant hand week result skew didnt, -0.4588, 1], [doesnt sync iphone bluetooth doesnt come accurate step im disappoint product want return, 0.631, 3], [work damn week waste money dont buy buy fitbit, -0.836, 1], [starter fit bit device want see youd spend buck pro comfy screen tell time step walk calorie burn distance complete goal clean care buy keep info phone app get access month keep track sleep con time sync app phone wont sync button screen hit lot turn sleep mode display read sunlight app close lot andor freeze, 0.2023, 4], [wouldnt recommend, 0.7184, 2], [sync phone im reset time band waste case want track live get fit bit, 0.9436, 5], [bluetooth stop work week use, 0.9361, 5], [item stop work day reset reset delete app reset charge blah blah wont syn correct time anymore count step wont sync iphone excite something cheap get pay, -0.3479, 1], [ok, 0.0, 2], [wouldnt clip charge sent work fine, 0.9795, 3], [nd time charge didnt hold charge minutes charge lost time wouldnt sync app thank goodness wont pay shipping get repair worth wont buy, 0.296, 4], [device price simple clock sleep monitor pedometer pair device battery life get job done, 0.8342, 5], [stop charge nd time charge dont buy, 0.9874, 4], [work price button changing settingsother happy purchasebr, 0.25, 1], [fitbit love, 0.8805, 4], [love set watch video help understand better want cheap version fit bit get class perfect screen get mark far, 0.8912, 1], [didnt something fancy want something track step basis see result wrist log app see price perfect wrap wear day, 0.9299, 5], [unit wife fit wrist comfortable day, 0.6705, 5], [hate thing waste money track time connect app sync everything think gonna get pay month sike, 0.0, 4], [purchase, 0.6249, 5], [dont waste time money tracker work week time ask replace item work week waste time sync use app try get money conclusion waste time money front work week malo malo pierdan tiempo y dinero solo funciono semanas entre mayo y agosto lo cambie una vez y lo remplazaron el segundo lo mismo, 0.9921, 4], [try tracker disappoint accuracy decide try option want something display silent alarm sleep track addition standard pedometerdistance function didnt want charge night play volleyball look band track movement band doesnt advertise feature seem step strap anklebr br prosbr month use band ankle track step garmin gps watch phone display bright easy use tell everything want see tell im go sleep day find dont trouble remember alarm smart wake feature set wake time period band sens youre sleep work advertise day last day charge computer hour brilliant feature charge im work least want track movement app read price band cant beat offer feature expensive brand fraction pricebr br consbr con ive find outweigh simplicity use price band tracker fit wrist wrist screen gap side wrist find band syncing app somehow manage trigger awake button sleep occasion screen make scratch month use wonder hold entire year give price im accept design flaw band market doesnt recognize yoga pilates time band sleep mode wont show time single feature annoy mebr br band outperforms band ive try cost spend tracker simple pedometer form factor true difference companion app accuracy company recognize fact take approach market look see product, 0.296, 3], [work week stop work thing work point wait money, -0.2755, 1], [work great, -0.4019, 1], [disappoint get pair galaxy get sync download track databr time app crash useless try return cheap waist money, 0.6249, 5], [stop work day use return receive money, -0.4754, 1], [inaccurate app awful, 0.8519, 5], [crappy product die week purchase didnt bother return, 0.7351, 2], [tracker quit work month, 0.2732, 4], [buy year always ask fitbit didnt know work doesnt matter shake get step ran house time step app suck freeze crash time find friend child feel mom youre adult look track exercise step dont recommend spend quality product, 0.0593, 1], [cheap version fitbit everything fit weird wrist im use time get sync time love brightness great kind see sun believe track sleep step buy fitbit, -0.4854, 1], [product month work get sync phone bluetooth divice ive try reset turning recharge work min connect phone go went app try sync say reading measurement stop pedometer work suck cant store information phone, -0.2507, 4], [receive expect, -0.6209, 1], [tracker test swing arm push cart walk count step sleep tracker work galaxy, -0.0516, 1], [dont know receive product disappoint purchase order nd generation pivotal live tracker hop defect st generation fix love year subscription conceptbr br reaction receive bit iffy find wristband digital display surface lengthwise wrist filthy smoker drive notice step count keep increase smoker motion switch tracker arm step count increase drive taking drive issue couldnt remember yo put reference sleep tracker aware tracker require switch sleep mode didnt realize issue activity tracker go auto sleep modebr br nail coffin receive charge issue instruct hour day wear tracker battery need recharge instruction say day charge leave tracker charge hourand power tracker end request refund schedule ups pick day receive return shipping label refund credit account up pick package impress process, -0.4127, 2], [device make effort walk step day start, -0.2263, 1], [buy receive week stop synching turn piece crap buy fitbit, -0.7137, 1]]"
B00VR5VDFS,[-0.6428],[5],"[[amaze, hold, samsung, note, phone, problem, dash, day, sun, windshield, come, loose, havent, problem, hold, gel, suction, cup]]","[[amaze hold samsung note phone problem dash day sun windshield come loose havent problem hold gel suction cup, -0.6428, 5]]"
B00VRC6U2C,"[0.4939, 0.9477, 0.6705, 0.6249]","[3, 5, 4, 5]","[[seems, work, fine, android, tablet, phone, pair, fine, usb, bt, enable, win, pc, thats, lt, nothing, work, return, refund], [get, price, star, connect, pair, use, fn, c, turn, pair, device, ask, enter, number, connect, connect, stay, issue, disconnect, press, enter, connectbr, br, great, mouse, connection, alsobr, lithium, battery, great, dont, buy, alkaline, batteriesbr, br, buy, android, device], [product, get, job, done, came, detail, instruction, figure, operate, wasnt, simple, touchpadclicking, use, improve, navigate, page, irritate]]","[[seems work fine android tablet phone pair fine usb bt enable win pc thats lt nothing work return refund, 0.4939, 3], [get price star connect pair use fn c turn pair device ask enter number connect connect stay issue disconnect press enter connectbr br great mouse connection alsobr lithium battery great dont buy alkaline batteriesbr br buy android device, 0.9477, 5], [product get job done came detail instruction figure operate wasnt simple touchpadclicking use improve navigate page irritate, 0.6705, 4], [, 0.6249, 5]]"
B00VTDNW7K,"[-0.4549, -0.6124, 0.6249]","[1, 1, 5]","[[use, phone, different, sound, replace, phone, att, use, case, problem, case], [case, cover, speaker, bottom, phone, hear, take, case, waste, money]]","[[use phone different sound replace phone att use case problem case, -0.4549, 1], [case cover speaker bottom phone hear take case waste money, -0.6124, 1], [, 0.6249, 5]]"
B00W2UE2V4,"[0.9631, 0.0814]","[5, 1]","[[case, break], [amaze, love, get, case, feel, phone, protect, order, come, buy]]","[[case break, 0.9631, 5], [amaze love get case feel phone protect order come buy, 0.0814, 1]]"
B00W2VAH9O,"[0.144, -0.5302]","[5, 1]","[[micro, usb, port, broke, push, case, week, stop, charge, seller, defense, pursue, refund, want, deal, hassle, send], [live, yes, make, phone, bit, bulkier, heavier, worth, run, charge]]","[[micro usb port broke push case week stop charge seller defense pursue refund want deal hassle send, 0.144, 5], [live yes make phone bit bulkier heavier worth run charge, -0.5302, 1]]"
B00W7DDQA4,[0.0],[4],"[[rubber, handle, part, slide, button, align, slip, cover, work]]","[[rubber handle part slide button align slip cover work, 0.0, 4]]"
B00W8DMNB6,[0.7717],[4],"[[case, fit, phone]]","[[case fit phone, 0.7717, 4]]"
B00WA6VNHG,"[-0.3421, 0.296]","[1, 5]","[[ok], [broke, day, follow, instruction, everything, inside, snap, adjust, fit, phone, recommend, request, replacement, refund]]","[[ok, -0.3421, 1], [broke day follow instruction everything inside snap adjust fit phone recommend request replacement refund, 0.296, 5]]"
B00WHEXKMM,"[-0.6537, 0.0285, 0.4404, 0.5434, 0.9458, 0.0, 0.0, 0.0, 0.1245, 0.0, 0.4927, 0.7096, 0.9852, 0.2023]","[4, 3, 4, 4, 4, 2, 1, 1, 4, 5, 4, 5, 4, 5]","[[product, fast, ship], [leak, fry, brand, iphone], [case, work, underwater, test, say, work, case, part, open, close, charge, phone, broke, week, put, phone, longer, think, hey, need, fix, part, make, sent, case, job], [story, buy, case, husband, iphone, survive, drop, river, ft, deep, phone, submerge, minute, scuba, diver, find, phone, play, radio, station, phone, moisture, issue, shock, survive, swear, product, recommend, anyone, look, legit, water, case], [arrive, time, describe], [come, lifetime, warranty, broke, day, day, return, time, find, way, return, amazon, wildtek, disappoint, company, post, review, wildtek, contact, honor, warranty, appreciate, effort, make, wildtek, recommend, company, user], [case, work, fine, phone], [echo, charger, flap, stay, shut], [inside, headphone, jack, water, seal, rip, time, plug], [buy, iphone, nuud, case, base, recommendation, verizon, saleswoman, waste, money, understand, say, say, sound, underwater, order, wildtec, replacement, wow, compare, nuud, wildteck, steal, easy, install, everyone, understand, im, say, concern, apple, lightning, charging, tight, fit, thru, case, port, dont, mind, trim, shaving, aftermarket, cable, connector, order, fit, case, happy, customer, thanks, wildtek], [buy, case, awesome, review, protect, iphone, suppose, irritate, using, difficult, annoy, pound, phone, order, end, phone, call, take, case, time, reposition, see, put, husband, put, case, make, sure, fit, work, im, go, use, anymore, find, different, case, disappoint, bc, price], [case, purpose, intend, hold, water, protects, fall, etcbr, br, use, cant, type, button, press, width, rubber, grip, make, press, button, drop, phone, avoid, case, handle, itbr, br, ill, keep, home, go, festival, vacation, shouldnt, phone, type, anyways], [phone, fit, case, rat, star, try, test, underwater, protection, recommend, use, wrist, wrap, case, phone, hand, feel, slippery, take, getting, use, work, awesome, look, great, feel, nice, shiny, coat, came, time, please]]","[[product fast ship, -0.6537, 4], [leak fry brand iphone, 0.0285, 3], [case work underwater test say work case part open close charge phone broke week put phone longer think hey need fix part make sent case job, 0.4404, 4], [story buy case husband iphone survive drop river ft deep phone submerge minute scuba diver find phone play radio station phone moisture issue shock survive swear product recommend anyone look legit water case, 0.5434, 4], [arrive time describe, 0.9458, 4], [come lifetime warranty broke day day return time find way return amazon wildtek disappoint company post review wildtek contact honor warranty appreciate effort make wildtek recommend company user, 0.0, 2], [case work fine phone, 0.0, 1], [echo charger flap stay shut, 0.0, 1], [inside headphone jack water seal rip time plug, 0.1245, 4], [buy iphone nuud case base recommendation verizon saleswoman waste money understand say say sound underwater order wildtec replacement wow compare nuud wildteck steal easy install everyone understand im say concern apple lightning charging tight fit thru case port dont mind trim shaving aftermarket cable connector order fit case happy customer thanks wildtek, 0.0, 5], [buy case awesome review protect iphone suppose irritate using difficult annoy pound phone order end phone call take case time reposition see put husband put case make sure fit work im go use anymore find different case disappoint bc price, 0.4927, 4], [case purpose intend hold water protects fall etcbr br use cant type button press width rubber grip make press button drop phone avoid case handle itbr br ill keep home go festival vacation shouldnt phone type anyways, 0.7096, 5], [phone fit case rat star try test underwater protection recommend use wrist wrap case phone hand feel slippery take getting use work awesome look great feel nice shiny coat came time please, 0.9852, 4], [, 0.2023, 5]]"
B00WSKIJP8,"[0.9313, 0.4404]","[5, 3]","[[super, sturdy, ton, case], [product, price, take, forever, get, product]]","[[super sturdy ton case, 0.9313, 5], [product price take forever get product, 0.4404, 3]]"
B00WTCNJUU,"[0.0, 0.9197]","[2, 4]","[[case, case, buy, phone, think, corner, case, wrap, phone, stop, midway, case, fit, perfect, case, holster, dont, worry, phone, slip, plug, hole, block, size, opening, button]]","[[case case buy phone think corner case wrap phone stop midway case fit perfect case holster dont worry phone slip plug hole block size opening button, 0.0, 2], [, 0.9197, 4]]"
B00X2539YE,"[0.6557, 0.9744]","[5, 5]","[[thing, ive, buy, cheap, get, friend, super, easy, put, offer, protection, recommend, buy, anything, happens, mine], [fit, bodyguard, brand]]","[[thing ive buy cheap get friend super easy put offer protection recommend buy anything happens mine, 0.6557, 5], [fit bodyguard brand, 0.9744, 5]]"
B00X67E2JO,[0.959],[5],"[[buy, gift, person, search, otterbox, galaxy, encase, iphone, wasnt, familiar, name, arrive, love, didnt, clip, case, phone, case, work, perfect, repeat, customer, encase, think, product]]","[[buy gift person search otterbox galaxy encase iphone wasnt familiar name arrive love didnt clip case phone case work perfect repeat customer encase think product, 0.959, 5]]"
B00X6GWV8O,[0.34],[5],"[[get, pay, nice, matte, screen, cover]]","[[get pay nice matte screen cover, 0.34, 5]]"
B00XIH87F2,[0.6249],[5],[[product]],"[[product, 0.6249, 5]]"
B00XM92RZ2,[0.7906],[5],"[[band, run, stay, position, easy, access, phone, need]]","[[band run stay position easy access phone need, 0.7906, 5]]"
B00XMWYRCA,"[0.7906, 0.4617, 0.0, 0.6249]","[5, 4, 5, 4]","[[product, advertise, hope, work], [work, great, ipad], [sound, clear], [get, job, do]]","[[product advertise hope work, 0.7906, 5], [work great ipad, 0.4617, 4], [sound clear, 0.0, 5], [get job do, 0.6249, 4]]"
B00XNLJZOA,[0.2732],[5],"[[work, promise, didnt, need, buy, phone, pay, battery]]","[[work promise didnt need buy phone pay battery, 0.2732, 5]]"
B00XQAY7WI,[0.7814],[3],"[[stock, av, antenna, uvhp, performs, well, antenna, fit, bill, want, antenna]]","[[stock av antenna uvhp performs well antenna fit bill want antenna, 0.7814, 3]]"
B00XVZVMR6,[-0.6136],[1],"[[arrive, damage, bow, wouldnt, recommend]]","[[arrive damage bow wouldnt recommend, -0.6136, 1]]"
B00XWQTXG6,"[0.3612, -0.2023, 0.8265, 0.4304, 0.8344, 0.0, 0.8126]","[5, 4, 5, 5, 5, 5, 4]","[[follow, direction, bubble, areand, particles, protector, look, nice, feel, issue, touch, response], [describe, love, design, recommend], [im, use, spending, glass, screen, protector, phone, manufacturer, limit, time, ton, choice, say, amaze, glass, protector, far, feel, apply], [take, skinomi, construction, home, coat, phone, display, bottom, glass, dust, storm, tell, quality, product], [lay, flatter, lg, g, bubble, g], [happy, screen, protector, fit, come, crack, buy, screen, protector, package], [recommend, glass, protector, g, get, g]]","[[follow direction bubble areand particles protector look nice feel issue touch response, 0.3612, 5], [describe love design recommend, -0.2023, 4], [im use spending glass screen protector phone manufacturer limit time ton choice say amaze glass protector far feel apply, 0.8265, 5], [take skinomi construction home coat phone display bottom glass dust storm tell quality product, 0.4304, 5], [lay flatter lg g bubble g, 0.8344, 5], [happy screen protector fit come crack buy screen protector package, 0.0, 5], [recommend glass protector g get g, 0.8126, 4]]"
B00XZD4S5W,[0.0],[4],"[[bit, dark, get, job, done]]","[[bit dark get job done, 0.0, 4]]"
B00Y3ER6XS,[0.2837],[4],"[[meet, expectation, weight, use, case, power, volume, button, case, exact, opposite, case, get, way, access, give, star, come, screen, guard, nontheless, im, satisfy]]","[[meet expectation weight use case power volume button case exact opposite case get way access give star come screen guard nontheless im satisfy, 0.2837, 4]]"
B00Y6GAMCK,[0.7684],[3],"[[receive, product, size, iphone, came, iphone, protector, doesnt, cover, entire, bezel, display, put, make, display, make, sure, dust, get]]","[[receive product size iphone came iphone protector doesnt cover entire bezel display put make display make sure dust get, 0.7684, 3]]"
B00YEBI86O,[0.9325],[5],"[[sleek, use, charge, watch, work, charger, apple, provide, use, look, anywhere, stand]]","[[sleek use charge watch work charger apple provide use look anywhere stand, 0.9325, 5]]"
B00YMNLS98,[0.9099],[4],"[[construct, problem, people, hear, think, know, go, make, adjustment, case, see, help, price, people, say, thats, think]]","[[construct problem people hear think know go make adjustment case see help price people say thats think, 0.9099, 4]]"
B00YPT4O7W,"[-0.1306, -0.1027]","[1, 3]","[[buy, phone, case, clip, clip, wont, phone], [case, hard, get, charge, cover, charge, phone]]","[[buy phone case clip clip wont phone, -0.1306, 1], [case hard get charge cover charge phone, -0.1027, 3]]"
B00YTX7RGO,[0.9682],[3],"[[bluetooth, gadget, fm, station, others, depend, location, work, feel, drop, call, receipt, come, call, second, call, drop, restart, pair, process, lucky, restart, wish, make, well, quality, price, pay, product, work, price]]","[[bluetooth gadget fm station others depend location work feel drop call receipt come call second call drop restart pair process lucky restart wish make well quality price pay product work price, 0.9682, 3]]"
B00Z83Q292,[0.5943],[3],"[[look, nice, wood, panel, stick, thats, application, main, concern, agree, reviewer, space, provide, charge, doesnt, play, nice, non, apple, cable, cut, bit, make, fit, well, solution, way, larger, cable, work]]","[[look nice wood panel stick thats application main concern agree reviewer space provide charge doesnt play nice non apple cable cut bit make fit well solution way larger cable work, 0.5943, 3]]"
B00Z8S1OOU,"[0.74, 0.3612]","[5, 4]","[[buy, eshine, week], [get, item, open, package, everything, promise, get, home, remove, phone, cover, take, shatter, lens, replace, putting, clean, lens, installation, notice, camera, picture, fuzzy, resign, get, phone, discover, day, clear, clearer, factory, lens, trap, moisture, need, night, install, great, product]]","[[buy eshine week, 0.74, 5], [get item open package everything promise get home remove phone cover take shatter lens replace putting clean lens installation notice camera picture fuzzy resign get phone discover day clear clearer factory lens trap moisture need night install great product, 0.3612, 4]]"
B00ZYKYB2Y,[0.907],[3],"[[case, phone, clip, broke, week, enjoy, phone, clip, kind, work, nice, ship, thanks]]","[[case phone clip broke week enjoy phone clip kind work nice ship thanks, 0.907, 3]]"
B01009NQGK,"[0.5574, -0.4795, 0.5994, -0.757, 0.8856]","[5, 2, 1, 1, 3]","[[want, work, case, type, protection, case, phone, pointless, ruin, try, get, work, work, case, return, ship], [magnet, pull, microusb, brand, idea, connector], [magnet, nice, connection, piece, cover, outside, bezel, piece, way, separate, yank, microusb, come, device, wear, charge, port, lead, device, charge], [adapter, combine, couple, wireless, charge, station, mean, house, micro, usb, plug, device, cant, charge, buy, get, adapter, buy, couple, adapter], [need, way, year, mom, charge, phone, glass, micro, usb, plug, challenge, challenge, plug, x, micro, usb, plug, plug, way, easier, foolproof, attach, try, see, micro, usb, port, plug, surprise, mechanism, wonder, hold, phone, plug, secure, plug, fall, secure, weight, plug, pull, phone, update, connects, always, charge, wire, connector, say, something, quality, build, indication, poor, build, quality, case, cable, slide, longer, position, attach, phone, side, indicator, connection, know, phone, charge, always, ive, resort, buyingtrying, connector, mean, waste, money]]","[[want work case type protection case phone pointless ruin try get work work case return ship, 0.5574, 5], [magnet pull microusb brand idea connector, -0.4795, 2], [magnet nice connection piece cover outside bezel piece way separate yank microusb come device wear charge port lead device charge, 0.5994, 1], [adapter combine couple wireless charge station mean house micro usb plug device cant charge buy get adapter buy couple adapter, -0.757, 1], [need way year mom charge phone glass micro usb plug challenge challenge plug x micro usb plug plug way easier foolproof attach try see micro usb port plug surprise mechanism wonder hold phone plug secure plug fall secure weight plug pull phone update connects always charge wire connector say something quality build indication poor build quality case cable slide longer position attach phone side indicator connection know phone charge always ive resort buyingtrying connector mean waste money, 0.8856, 3]]"
