B0002BEX8W,"[0.0, 0.5719]","[1, 5]","[[perfect, alpine, ilx, install, chevy, avalanche], [ueless, mei, buick, lesaber]]","[[perfect alpine ilx install chevy avalanche, 0.0, 1], [ueless mei buick lesaber, 0.5719, 5]]"
B00P7XU5XM,[0.4215],[5],[[product]],"[[product, 0.4215, 5]]"
B00PAUBEJG,[-0.25],[3],"[[dolphin, get, stuck]]","[[dolphin get stuck, -0.25, 3]]"
B00PG2E3F0,"[0.4404, -0.3189, 0.2732]","[5, 2, 3]","[[buy, work, state], [work], [please, product, curl, edge, get, pay]]","[[buy work state, 0.4404, 5], [work, -0.3189, 2], [please product curl edge get pay, 0.2732, 3]]"
B00PI5WDWU,[0.2484],[5],"[[light, bulk, add, phone]]","[[light bulk add phone, 0.2484, 5]]"
B00PJXF5BC,[0.3724],[4],"[[work, expect, child, break, ipod]]","[[work expect child break ipod, 0.3724, 4]]"
B00PY02JSM,[0.6722],[5],"[[arent, lot, htc, e, option, nice, case, folio, case, phone, made, well, material, soft, plasticy, camera, work, issue, case, want, take, phone, case, choice, mine, stay, case, fit, nice, snug]]","[[arent lot htc e option nice case folio case phone made well material soft plasticy camera work issue case want take phone case choice mine stay case fit nice snug, 0.6722, 5]]"
B00Q2GTR6E,[0.7932],[3],"[[kind, bulky, awesome, design]]","[[kind bulky awesome design, 0.7932, 3]]"
B00Q4LOLRW,[-0.296],[4],"[[issue, expect]]","[[issue expect, -0.296, 4]]"
B00QMUDA9K,"[0.8855, 0.7485]","[5, 5]","[[phone, samsung, slam, dunk, get, g, tmobile, dont, unlock, phone, go, problem, like, phone, feature, youre, ok, get, g, work, seem, get, lte, service, wasnt, unlock, phone, unique, buy, get, speed, g], [work, simple, mobile, good, thanks]]","[[phone samsung slam dunk get g tmobile dont unlock phone go problem like phone feature youre ok get g work seem get lte service wasnt unlock phone unique buy get speed g, 0.8855, 5], [work simple mobile good thanks, 0.7485, 5]]"
B00QU9TLSM,[0.7139],[5],"[[case, bulky, love, kickstand, make, use, handsfree, great, buy, price]]","[[case bulky love kickstand make use handsfree great buy price, 0.7139, 5]]"
B00QYR85FU,[0.9021],[5],"[[thank, love, case, pretty]]","[[thank love case pretty, 0.9021, 5]]"
B00R2BAPDW,[0.8387],[5],"[[look, holding, thing, keep, come, thing, price, thanks, everything]]","[[look holding thing keep come thing price thanks everything, 0.8387, 5]]"
B00R2LHGGG,"[-0.4215, -0.7506]","[1, 2]","[[work, month, die, waste, money], [charging, week, cable, broke]]","[[work month die waste money, -0.4215, 1], [charging week cable broke, -0.7506, 2]]"
B00R4UDMRM,[-0.2755],[1],"[[fit, phone, case]]","[[fit phone case, -0.2755, 1]]"
B00R5Q6GDC,[-0.4118],[2],"[[start, day, kickstand, broke, cant, return, day, deadline]]","[[start day kickstand broke cant return day deadline, -0.4118, 2]]"
B00RKXRIQE,[0.7964],[5],"[[caseit, sturdy, overall, good, quality]]","[[caseit sturdy overall good quality, 0.7964, 5]]"
B00RMVC63O,[0.4588],[5],"[[worry, stone, dragonfly, fall, non]]","[[worry stone dragonfly fall non, 0.4588, 5]]"
B00RV7TR4K,[0.0],[3],[[work]],"[[work, 0.0, 3]]"
B00S0DZ8JC,[0.2023],[3],"[[work, fine]]","[[work fine, 0.2023, 3]]"
B00S0GSLUM,[0.6249],[2],[[awesome]],"[[awesome, 0.6249, 2]]"
B00S2MBK8E,"[0.8586, 0.34]","[5, 1]","[[nice, phone, case, color, design, describe, look, fashion, fit, iphone, weight, recommend], [decent, case, price, color, bleed, turn, smear, shade, gold, cool, want]]","[[nice phone case color design describe look fashion fit iphone weight recommend, 0.8586, 5], [decent case price color bleed turn smear shade gold cool want, 0.34, 1]]"
B00S8ILWKS,[-0.3801],[2],"[[enjoy, need, remove, reinsert, power, point, time, want, charge, phone]]","[[enjoy need remove reinsert power point time want charge phone, -0.3801, 2]]"
B00S8N7XDI,[0.7906],[5],"[[appearancebr, true, color, advertisementbr, fit, iphone]]","[[appearancebr true color advertisementbr fit iphone, 0.7906, 5]]"
B00S8YU5AA,[0.34],[2],"[[everybody, brag, item, get, today, lunch, time, pm, pair, phone, charge, work, im, send, need, weekend, reason, buy, ggrrrr]]","[[everybody brag item get today lunch time pm pair phone charge work im send need weekend reason buy ggrrrr, 0.34, 2]]"
B00SD112KK,[0.0],[5],[[represent]],"[[represent, 0.0, 5]]"
B00SH2600M,[0.6369],[4],[[case]],"[[case, 0.6369, 4]]"
B00SINUEWA,"[0.9196, 0.3182, 0.0, 0.7845, 0.802, 0.023, 0.7269, 0.7902, 0.5719]","[5, 3, 5, 5, 5, 4, 5, 5, 5]","[[item, arrive, attempt, delivery, usps, lose, package, item, describe, unlike, others, tint, proper, cutout, port, switch, speaker, overall, purchase, unhappy, usps, seller, fault], [nice, case, fit, make, mini, hold], [fit, perfect], [cover, mini, attach, remove, see, fall, drop], [apple, ipad, mini, case, receive, perfect, usage, make, handling, slippery, ipad, easier, use, ipad, monitor, dji, phantom, drone, fact, cover, transparent, offer, tactile, grip, make, ideal, use], [simple, protective], [excellent, case, enjoy, marvin, sikes], [ship, quality, product, terrific, price], [fit, make, rubbery, silicone, ipad]]","[[item arrive attempt delivery usps lose package item describe unlike others tint proper cutout port switch speaker overall purchase unhappy usps seller fault, 0.9196, 5], [nice case fit make mini hold, 0.3182, 3], [fit perfect, 0.0, 5], [cover mini attach remove see fall drop, 0.7845, 5], [apple ipad mini case receive perfect usage make handling slippery ipad easier use ipad monitor dji phantom drone fact cover transparent offer tactile grip make ideal use, 0.802, 5], [simple protective, 0.023, 4], [excellent case enjoy marvin sikes, 0.7269, 5], [ship quality product terrific price, 0.7902, 5], [fit make rubbery silicone ipad, 0.5719, 5]]"
B00SM44CIC,[0.4588],[1],"[[return, policy, quality, need, improvement]]","[[return policy quality need improvement, 0.4588, 1]]"
B00SM4GDIO,[0.6249],[5],[[product]],"[[product, 0.6249, 5]]"
B00SMFJ7UY,[0.7003],[5],"[[case, change]]","[[case change, 0.7003, 5]]"
B00SOV6P9W,[0.9278],[5],"[[fit, pretty, protects, phone]]","[[fit pretty protects phone, 0.9278, 5]]"
B00SRQXP2O,[-0.5719],[1],"[[hate, casei, think, hook, belt]]","[[hate casei think hook belt, -0.5719, 1]]"
B00SUZ1VCI,"[0.6369, 0.8421, 0.6249, 0.7579, 0.9241, 0.8018, -0.6369, 0.9299, 0.8126, 0.9503, 0.5598]","[5, 4, 5, 5, 5, 4, 5, 5, 5, 5, 5]","[[work, great], [work, month, charge, bonus, night, stop, work, plug, phone, say, charge, charge, night, app, run, pandora, phone, die, morning, dont, apps, run, phone, charge, morning, warranty, product, ship, work], [side, high, quality, connector, feel, tangle, design, seem, downside, tangle, design, mean, cable, arent, requires, space, average, foot, cable, recommend, anyone, look, usb], [cable, see, use, phone, tablet, charge, faster], [nice, nice, material, connector, build, cheap, charge, phone, cable, htc, cable, come, w, phonesbr, br, look, grade, packaging, legit, cheap, genricbr, br, month, warranty, hand], [cord, nice, sturdy, cord, receive, stop, work, month, customer, service, receive, take, care, cord, week, cord, anker, work, money], [awesome, build, quality, cant, see, break, time, broke, head, cord, connector, chord, feel, piece, bread, rope, extra, money, buy], [charging, look, nice, excitedtried, plug, connector, get, hotphone, chargei, change, rating, star, try, connector, get, charge, speed, expect, fast, impress, seller, call, hour, leave, voice, mail, assist, resolve, problem, buy, seller, delay, love, nylon, construction, ], [quality, describe, fitting, micro, usb, port, weight, cord, length, material, make], [detail, customer, service, serch, send, excelent, customer, service, way, nice], [cord, tank, use, van, everything, get, shove, cord, let, know, stand, abuse, son]]","[[work great, 0.6369, 5], [work month charge bonus night stop work plug phone say charge charge night app run pandora phone die morning dont apps run phone charge morning warranty product ship work, 0.8421, 4], [side high quality connector feel tangle design seem downside tangle design mean cable arent requires space average foot cable recommend anyone look usb, 0.6249, 5], [cable see use phone tablet charge faster, 0.7579, 5], [nice nice material connector build cheap charge phone cable htc cable come w phonesbr br look grade packaging legit cheap genricbr br month warranty hand, 0.9241, 5], [cord nice sturdy cord receive stop work month customer service receive take care cord week cord anker work money, 0.8018, 4], [awesome build quality cant see break time broke head cord connector chord feel piece bread rope extra money buy, -0.6369, 5], [charging look nice excitedtried plug connector get hotphone chargei change rating star try connector get charge speed expect fast impress seller call hour leave voice mail assist resolve problem buy seller delay love nylon construction , 0.9299, 5], [quality describe fitting micro usb port weight cord length material make, 0.8126, 5], [detail customer service serch send excelent customer service way nice, 0.9503, 5], [cord tank use van everything get shove cord let know stand abuse son, 0.5598, 5]]"
B00SZHC8H8,[0.8519],[3],"[[buy, case, daughter, phone, love, fit, snug, like]]","[[buy case daughter phone love fit snug like, 0.8519, 3]]"
B00T2ZCT8U,[-0.6381],[1],"[[last, week, stop, work, reason, recommend, buy]]","[[last week stop work reason recommend buy, -0.6381, 1]]"
B00TCP3UBA,[0.6908],[5],"[[love, case, didnt, end, keep, phone, fit, heck, time, get, case, phone]]","[[love case didnt end keep phone fit heck time get case phone, 0.6908, 5]]"
B00TDD0Z5A,[-0.0649],[4],"[[daughter, like, thing, super, fond, ipod, seem, case, isnt, let, vent]]","[[daughter like thing super fond ipod seem case isnt let vent, -0.0649, 4]]"
B00TDGQMH2,[0.3612],[5],[[thank]],"[[thank, 0.3612, 5]]"
B00U0A4CM2,[-0.6708],[1],"[[disappoint, make, product, soft, silicon, shell, fit]]","[[disappoint make product soft silicon shell fit, -0.6708, 1]]"
B00U9CW9PI,[0.9246],[5],"[[design, fit, phone, look, feel]]","[[design fit phone look feel, 0.9246, 5]]"
B00UGK0Y00,"[0.9466, 0.0, 0.4404, 0.9371, 0.4404, 0.6369, 0.0, 0.8555, 0.6369, 0.4404, 0.9099, 0.0, 0.0, 0.0, 0.7906, 0.9132, 0.4404]","[5, 2, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 1, 3, 5, 5, 4]","[[dont, know, transportation, get, product, bent, screen, protector, wont, lay, corner], [buy, samsung, installation, instruction, simple, hinge, make, installation, screen, transparent, doesnt, show, fingerprint, use, case, cover, front, phone, reason, contact, company, receive, outstanding, customer, service], [perfect, buy, screen, protecter, target, bc, didnt, wanna, wait, order, amazon, boy, mistake, come, time, put, thing, put, protecter, bubble, use, card, include, press, peasy, buying], [coverage], [product], [order, grey, came, gold, didnt, realize, screen, cover, phone, open, nice, look], [fit], [case], [apply, instruction], [go, bubble, front, centimeter, side], [describe], [need], [product, deliver, install, crystal, clear, isnt, protector], [galaxy, edge, model, stick, round, edge, edge, model, lift, side], [look], [screen, protector, great, deal, come, hinge, help, put, move, get, set, recommend, anyone, easy, come, everything, need]]","[[dont know transportation get product bent screen protector wont lay corner, 0.9466, 5], [buy samsung installation instruction simple hinge make installation screen transparent doesnt show fingerprint use case cover front phone reason contact company receive outstanding customer service, 0.0, 2], [perfect buy screen protecter target bc didnt wanna wait order amazon boy mistake come time put thing put protecter bubble use card include press peasy buying, 0.4404, 5], [coverage, 0.9371, 5], [product, 0.4404, 4], [order grey came gold didnt realize screen cover phone open nice look, 0.6369, 5], [fit, 0.0, 5], [case, 0.8555, 5], [apply instruction, 0.6369, 5], [go bubble front centimeter side, 0.4404, 5], [describe, 0.9099, 5], [need, 0.0, 5], [product deliver install crystal clear isnt protector, 0.0, 1], [galaxy edge model stick round edge edge model lift side, 0.0, 3], [look, 0.7906, 5], [screen protector great deal come hinge help put move get set recommend anyone easy come everything need, 0.9132, 5], [, 0.4404, 4]]"
B00UM34538,[0.5719],[5],[[perfect]],"[[perfect, 0.5719, 5]]"
B00UMVBOZW,[0.734],[1],"[[shinybutits, glassit, break]]","[[shinybutits glassit break, 0.734, 1]]"
B00UO837QM,"[0.9347, 0.4927]","[5, 4]","[[case, material, put, take, side, button, phone, case, great, purchase], [case, purchase, son, he, please]]","[[case material put take side button phone case great purchase, 0.9347, 5], [case purchase son he please, 0.4927, 4]]"
B00UWZT69Y,[0.5719],[2],"[[fail, couple, weeksbr, use, hop]]","[[fail couple weeksbr use hop, 0.5719, 2]]"
B00UY2SZSI,"[-0.7976, 0.0]","[1, 1]","[[attempt, get, part], [advertise, work, internet, connection, help, cell, phone, signal, internet, service, home, device, phone, worthless, house, total, waste, money, wasnt, find, someone, figure, didnt, work, week, purchase, stuck]]","[[attempt get part, -0.7976, 1], [advertise work internet connection help cell phone signal internet service home device phone worthless house total waste money wasnt find someone figure didnt work week purchase stuck, 0.0, 1]]"
B00UYX2Y0M,[-0.4939],[1],"[[case, crack, take, case, order, caller, hear, screen, cover, screen, phone, waste, purchase]]","[[case crack take case order caller hear screen cover screen phone waste purchase, -0.4939, 1]]"
B00V44OZ6G,"[0.9042, 0.9517, 0.8674, 0.6249, 0.8519, 0.6249, 0.0428, 0.6249, 0.7964, 0.7351, 0.7533]","[5, 5, 5, 5, 5, 5, 4, 5, 5, 1, 5]","[[excellent, case, galaxy, edge, device, fitment, exact, issue, button, alignment, observe, case, corner, raise, device, surface, entire, phone, case, flush, surface, see, picture, examplebr, plus, case, edge, lip, case, thin, provide, space, edge, corner, screen, tap, screen, anymore, cause, undesired, input, include, picture, wireless, charge, pad, case, wireless, charge, allinall, product, purchase], [fit, edge, recommend, product], [fit, wife, galaxy, edge, look], [protection, phone], [product], [fit, phone, button, work, make, phone, feel, protect, keep, protect, side, case, front, leave, space, surface, phone, love, show, color, phone, thats, want], [want, say, trianium, case, case, gotteni, drop, phone, time, havent, get, crack, scratch, thanks, trianium], [keep, stick, make, phone, look, spotty, love, refund, return, product, advise, purchase, youre, perfectionist], [case, price], [wow, amaze, guy, better, edge, look, screen, protector, plz, dont, waste, time, buy, thanks, lot, product], [slim, ok, fit, greatest, protection, work]]","[[excellent case galaxy edge device fitment exact issue button alignment observe case corner raise device surface entire phone case flush surface see picture examplebr plus case edge lip case thin provide space edge corner screen tap screen anymore cause undesired input include picture wireless charge pad case wireless charge allinall product purchase, 0.9042, 5], [fit edge recommend product, 0.9517, 5], [fit wife galaxy edge look, 0.8674, 5], [protection phone, 0.6249, 5], [product, 0.8519, 5], [fit phone button work make phone feel protect keep protect side case front leave space surface phone love show color phone thats want, 0.6249, 5], [want say trianium case case gotteni drop phone time havent get crack scratch thanks trianium, 0.0428, 4], [keep stick make phone look spotty love refund return product advise purchase youre perfectionist, 0.6249, 5], [case price, 0.7964, 5], [wow amaze guy better edge look screen protector plz dont waste time buy thanks lot product, 0.7351, 1], [slim ok fit greatest protection work, 0.7533, 5]]"
B00V4KTCDG,"[0.6249, -0.6597]","[5, 1]","[[broke, week, crap, dont, buy], [buy, shorter, longer, give, us]]","[[broke week crap dont buy, 0.6249, 5], [buy shorter longer give us, -0.6597, 1]]"
B00VF81XXY,[-0.1027],[2],"[[rubber, part, case, pry, phone, corner, force, remove, piece, reset, rubber, mold, im, use, galaxy, core, prime]]","[[rubber part case pry phone corner force remove piece reset rubber mold im use galaxy core prime, -0.1027, 2]]"
B00VJR2EV6,[0.0258],[1],"[[fit, great, look, problem, hinge, piece, theyre, material, exists, planet, theyre, phone, hasnt, drop, case, use, replacement, hinge, one, fall, apart, wellbr, br, avoid, spend, money, well]]","[[fit great look problem hinge piece theyre material exists planet theyre phone hasnt drop case use replacement hinge one fall apart wellbr br avoid spend money well, 0.0258, 1]]"
B00VKSPUWY,[0.9413],[5],"[[cellphone, cubasuper, super, super, nice, feature, design]]","[[cellphone cubasuper super super nice feature design, 0.9413, 5]]"
B00VLW7N4C,[0.8683],[2],"[[wish, protect, bit, leaf, bottom, phone, flush, front, phone, look, nothing, protect, phone, drop, thread, come, back, seem, hop]]","[[wish protect bit leaf bottom phone flush front phone look nothing protect phone drop thread come back seem hop, 0.8683, 2]]"
B00VQXTRW2,[0.0],[1],[[buy]],"[[buy, 0.0, 1]]"
B00W0RSC7E,"[-0.6361, 0.0]","[1, 5]","[[disappoint, device, flimsy, maintain, charge, period, time], [purchase, grandchildren]]","[[disappoint device flimsy maintain charge period time, -0.6361, 1], [purchase grandchildren, 0.0, 5]]"
B00W75BL1S,[0.0],[3],"[[use, swap, meet, parking, lot, reception, choppy, slow, response]]","[[use swap meet parking lot reception choppy slow response, 0.0, 3]]"
B00W8J7ULS,[-0.1406],[3],"[[screen, protector, lot, dirt, gather, edge, screen, end]]","[[screen protector lot dirt gather edge screen end, -0.1406, 3]]"
B00WE1RWCC,"[0.0724, 0.3321, 0.7471, 0.9441, 0.0772, 0.9942, 0.8402, 0.8832, 0.0, 0.4404, 0.9758, 0.6249, -0.25, 0.9268, 0.9737]","[4, 2, 3, 3, 1, 5, 1, 5, 3, 3, 5, 4, 2, 5, 4]","[[work, week, speaker, stop, work, want, money], [product, amaze, comfort, clear, sound, quality], [sound, quality, snug, ear, duration, use], [noise, isolate], [pleasant, surprise, buy, son, school, quality, look, great, son, love, buy, price], [transcribe, live, headphone, build, volume, control, excite, find, disappoint, discover, line, volume, level, order, get, sound, side, turn, volume, midway, sound, come, leave, side, happy, work, bummer], [work, lot, cushion, ear, downside, sweat, find, sweat, use, comfort, work, people, im, call, hear, fine, cord], [sound, quality, bass, noise, cancellation, excellent, make, fall, love, iphone, control, panelbr, br, reason, headphone, quit, month, fact, didnt, bang, anythingbr, br, buy, cheap, crap, make, country, put, quantity, quality], [didnt, block, sound, hop, sound, quality, good], [work, noise, loud, hear, transcription, type, headset, pressure, cause, head, ache, period, use, prefer, kind, hang, ear, noise, cancel, issue, people, try, lot, head, set, set, recommend], [sound, quality, fine, price, volume, control, imprecise, cord, wire, break, week, use], [disappoint, packaging, come, cardboard, box, wrap, sheet, wrap, nothing, protect, headphone, knock, yet, come, awesome, conditionbr, br, cushion, super, using, day, period, time, pad, pillow, dont, squish, ear, earsbr, br, block, amount, background, noise, sound, great, way, test, headphone, rhapsody, sound, headphonesbr, br, cant, get, sound, price, lowbr, br, look, great, sound, perfect, feel, amaze, nice, sturdy, product, recommend], [nice, product, good, value, price, use, lot, phone, call, get, feedback, sound], [thse, nice, headphone, base, bit, otherwise, sound, great, price, recommend, friend]]","[[work week speaker stop work want money, 0.0724, 4], [product amaze comfort clear sound quality, 0.3321, 2], [sound quality snug ear duration use, 0.7471, 3], [noise isolate, 0.9441, 3], [pleasant surprise buy son school quality look great son love buy price, 0.0772, 1], [transcribe live headphone build volume control excite find disappoint discover line volume level order get sound side turn volume midway sound come leave side happy work bummer, 0.9942, 5], [work lot cushion ear downside sweat find sweat use comfort work people im call hear fine cord, 0.8402, 1], [sound quality bass noise cancellation excellent make fall love iphone control panelbr br reason headphone quit month fact didnt bang anythingbr br buy cheap crap make country put quantity quality, 0.8832, 5], [didnt block sound hop sound quality good, 0.0, 3], [work noise loud hear transcription type headset pressure cause head ache period use prefer kind hang ear noise cancel issue people try lot head set set recommend, 0.4404, 3], [sound quality fine price volume control imprecise cord wire break week use, 0.9758, 5], [disappoint packaging come cardboard box wrap sheet wrap nothing protect headphone knock yet come awesome conditionbr br cushion super using day period time pad pillow dont squish ear earsbr br block amount background noise sound great way test headphone rhapsody sound headphonesbr br cant get sound price lowbr br look great sound perfect feel amaze nice sturdy product recommend, 0.6249, 4], [nice product good value price use lot phone call get feedback sound, -0.25, 2], [thse nice headphone base bit otherwise sound great price recommend friend, 0.9268, 5], [, 0.9737, 4]]"
B00WG0WXF2,"[0.0, 0.8634]","[1, 5]","[[fit, stay, fit], [use, turn, let, battery, drain, turn, light, charge, try, charger, nothing, change]]","[[fit stay fit, 0.0, 1], [use turn let battery drain turn light charge try charger nothing change, 0.8634, 5]]"
B00WJWC4RE,"[0.93, -0.2242, 0.0, 0.9524]","[4, 1, 1, 4]","[[support, weight, mini, photo, show, product, lie, hold, smart, phone, arm, weak, bend, melt, clay], [glad, purchase, product, work, ipad, mini, wish, accommodate, mini, regular, ipad, case, wish, maintain, position, want, dropping, purchase, price], [hold, ipad, air], [look, price, work, hop, issue, bring, bit, buy, pricebr, br, prosbr, sturdy, table, clamp, adjustablebr, taper, neck, stay, bend, surprisebr, tablephone, clamp, think, spring, load, grip, know, wont, go, wherebr, clamp, open, slit, side, allow, u, plug, charger, head, phone, use, landscapebr, br, consbr, sag, bit, galaxy, tab, smaller, tablet, put, lean, bit, watch, bed, need, bend, compensate, nothing, terriblebr, clamp, openingsbc, smaller, tablet, speaker, plug, block, need, charge, tablet, vice, versabr, br, good, buy, price]]","[[support weight mini photo show product lie hold smart phone arm weak bend melt clay, 0.93, 4], [glad purchase product work ipad mini wish accommodate mini regular ipad case wish maintain position want dropping purchase price, -0.2242, 1], [hold ipad air, 0.0, 1], [look price work hop issue bring bit buy pricebr br prosbr sturdy table clamp adjustablebr taper neck stay bend surprisebr tablephone clamp think spring load grip know wont go wherebr clamp open slit side allow u plug charger head phone use landscapebr br consbr sag bit galaxy tab smaller tablet put lean bit watch bed need bend compensate nothing terriblebr clamp openingsbc smaller tablet speaker plug block need charge tablet vice versabr br good buy price, 0.9524, 4]]"
B00WOOXE1W,[0.1506],[2],"[[reason, give, star, cover, order, galaxy, fit, waste, money]]","[[reason give star cover order galaxy fit waste money, 0.1506, 2]]"
B00WS1O9L0,"[0.1135, -0.4767, 0.4404]","[2, 1, 5]","[[work, expect, thanks], [charge, station, work, macbook, get, stuck, stuck, pull, charging, station, crack, side, split, considering, week, disappoint, tap, duct, tape, consider, pay, buy, reason, didnt, leave, star, break, work], [break]]","[[work expect thanks, 0.1135, 2], [charge station work macbook get stuck stuck pull charging station crack side split considering week disappoint tap duct tape consider pay buy reason didnt leave star break work, -0.4767, 1], [break, 0.4404, 5]]"
B00WS2850A,[0.5428],[1],"[[wish, case, make, well, layer, work, husband, get, case, different, phone, color, problem, phone, keep, pop, case, corner, side, reason, wouldnt, stay, put, think, case, plastic, vs, alt, siliconegel, base, cover, love, idea, kick, stand, cool, look, always, top, priority, mean, whats, use, add, feature, car, doesnt, drive]]","[[wish case make well layer work husband get case different phone color problem phone keep pop case corner side reason wouldnt stay put think case plastic vs alt siliconegel base cover love idea kick stand cool look always top priority mean whats use add feature car doesnt drive, 0.5428, 1]]"
B00WUAEJ50,"[0.486, -0.6801, 0.5994, -0.8173]","[2, 1, 1, 1]","[[quality, brought, part, get, cell, repair, expert, work, week, touch, screen, stop, respond, cost, buck, replace, screen], [product, come, part, work, line, run, stop, install, dont, get, recommend, waste, money, give, star, tell, star, review, arent, read, dont, want, anyone, disappoint], [half, screen, work, br, worst, disappoint], [week, screen, separate, bum]]","[[quality brought part get cell repair expert work week touch screen stop respond cost buck replace screen, 0.486, 2], [product come part work line run stop install dont get recommend waste money give star tell star review arent read dont want anyone disappoint, -0.6801, 1], [half screen work br worst disappoint, 0.5994, 1], [week screen separate bum, -0.8173, 1]]"
B00WWGQ0WW,[0.0],[1],"[[fell, apart, week]]","[[fell apart week, 0.0, 1]]"
B00WXHZ2C4,[0.9099],[5],"[[case, fit, leon, le, picture, install]]","[[case fit leon le picture install, 0.9099, 5]]"
B00X32O6DY,[0.7351],[5],"[[nice, case, kind]]","[[nice case kind, 0.7351, 5]]"
B00X494RJY,[0.9525],[5],"[[car, player, everything, work, come, china, brand, attach, quality, sound, expectation, thank, trust, buyer, excellent, price]]","[[car player everything work come china brand attach quality sound expectation thank trust buyer excellent price, 0.9525, 5]]"
B00X80Y7Z8,[0.5859],[1],"[[product, work, week, stop, work, guess, get, pay, save, money]]","[[product work week stop work guess get pay save money, 0.5859, 1]]"
B00XEFM9YS,[0.0],[5],"[[handy, use, lot, thing, include, headset, stand]]","[[handy use lot thing include headset stand, 0.0, 5]]"
B00XIATRD0,[0.4588],[5],[[case]],"[[case, 0.4588, 5]]"
B00XMZ9O5M,[0.6486],[5],"[[cover, nice, touch, pocket, hold, money, creditgift, card]]","[[cover nice touch pocket hold money creditgift card, 0.6486, 5]]"
B00XP8OC94,"[0.6249, 0.4404]","[5, 5]","[[awesome], [product]]","[[awesome, 0.6249, 5], [product, 0.4404, 5]]"
B00XU8VO36,"[0.2023, 0.7579, 0.7003, 0.7351, -0.6527]","[3, 5, 5, 1, 1]","[[receive, cable, circuit, pulling, maximum, current, wall, catch, fire, plug, phone, second, make, computer, oscillate, connect, disconnect, make, im, throw, cable, fear, dont, buy], [value], [work, week, stop, work, threw, today, week, receive, work, see, month, warranty, guarantee, delivery, date, guarantee, work, dont, see, anything, product, page], [work, fine, iffy, depend, usb, outlet, work, get, product], [work, wife, love, color]]","[[receive cable circuit pulling maximum current wall catch fire plug phone second make computer oscillate connect disconnect make im throw cable fear dont buy, 0.2023, 3], [value, 0.7579, 5], [work week stop work threw today week receive work see month warranty guarantee delivery date guarantee work dont see anything product page, 0.7003, 5], [work fine iffy depend usb outlet work get product, 0.7351, 1], [work wife love color, -0.6527, 1]]"
B00XXR2VFO,[0.5994],[4],[[love]],"[[love, 0.5994, 4]]"
B00XZQ3PMG,[0.5719],[5],[[excellent]],"[[excellent, 0.5719, 5]]"
B00Y3ESIHG,[0.6369],[5],"[[lg, leon, premium, phone, leather, pouch, carry, case, belt, clip, holster, love, order]]","[[lg leon premium phone leather pouch carry case belt clip holster love order, 0.6369, 5]]"
B00Y5ASZ3U,[-0.1974],[4],"[[make, hold, phone, texting, feel, drop, phone]]","[[make hold phone texting feel drop phone, -0.1974, 4]]"
B00Y5P9FX4,[-0.2755],[1],"[[fit, ipad, waist, money]]","[[fit ipad waist money, -0.2755, 1]]"
B00YEY0ZYO,[0.8561],[5],"[[love, case, bulky, protects, phone, clumsiness, case, fit, phone, right, delivery, product, prompt, issue, quality]]","[[love case bulky protects phone clumsiness case fit phone right delivery product prompt issue quality, 0.8561, 5]]"
B00YHMIEFU,"[-0.652, 0.6369]","[2, 5]","[[recommeded, lock, stable, unlocks, fix, back, cover, align], [order, love]]","[[recommeded lock stable unlocks fix back cover align, -0.652, 2], [order love, 0.6369, 5]]"
B00YNQIHT8,[0.8625],[2],"[[kind, fair, value, find, well, quality, price, buy]]","[[kind fair value find well quality price buy, 0.8625, 2]]"
B00YPAOKNY,[0.9361],[5],"[[phone, week, problem, joke, phone, experience, easy, figure, dont, use, apps, lasting, day, charge, difference, apps, phone, quality, excellent, picture, phone, g, everything, want, order, teenager, day, test, post, month, nd, review, month, phone, work, purchase, screen, broken, cant, replace, phone, shop]]","[[phone week problem joke phone experience easy figure dont use apps lasting day charge difference apps phone quality excellent picture phone g everything want order teenager day test post month nd review month phone work purchase screen broken cant replace phone shop, 0.9361, 5]]"
B00YQ96U50,[-0.6369],[1],"[[mute, button, broke]]","[[mute button broke, -0.6369, 1]]"
B00YWSMXM4,"[0.8093, 0.6705]","[5, 5]","[[excellent, product, bargain, compare, flatiron], [wife, love, help, keep, counter, save, space, place, item, worry, get, burn]]","[[excellent product bargain compare flatiron, 0.8093, 5], [wife love help keep counter save space place item worry get burn, 0.6705, 5]]"
B00ZDQT9ZS,[0.8883],[5],"[[excellent, case, make, install, recommend]]","[[excellent case make install recommend, 0.8883, 5]]"
B00ZE8JLVC,[0.8312],[4],"[[buy, year, mom, phone, love, bright, color, make, find, whats, price]]","[[buy year mom phone love bright color make find whats price, 0.8312, 4]]"
B00ZI7NXYU,[-0.3226],[3],"[[work, okay, didnt, way, keep, blow, cold, air, cellphone, trip, ac, phone, ice, cube, use, wireless, charger, metal, plate, block, charge]]","[[work okay didnt way keep blow cold air cellphone trip ac phone ice cube use wireless charger metal plate block charge, -0.3226, 3]]"
