B0007XPK2I,[0.6249],[5],"[[sound, great]]","[[sound great, 0.6249, 5]]"
B00UV70YVC,"[0.9022, -0.2732, -0.7964, -0.3269]","[2, 3, 5, 2]","[[take, connect, setup, work, android, phone, tablet, intend, work, alongside, d, reality, headset, lot, trouble, worth, give, shot, cardboard, apps, get, navigation, scheme, joystick, isnt, mouse, pad, analog, button, get, confuse, hold, v, phone, portrait, landscape, hope, else, make, mistake, use, android, phone], [quality], [want, use, vr, apps, course, use, navigation, key, button, launch, app, problem, lollipop, nit, manufacturer, fault], [item, move, select, apps, android, phone, work, select, item, vr, apps, look, select, item, click, x, button, select, something, tapping, item, screen, work, dont, buy, product, think, select, item, vr, apps, google, cardboard, button, make, cardboard, work, item, hope, help, know, fact, sunnypeak, work, move, phone, vr, apps]]","[[take connect setup work android phone tablet intend work alongside d reality headset lot trouble worth give shot cardboard apps get navigation scheme joystick isnt mouse pad analog button get confuse hold v phone portrait landscape hope else make mistake use android phone, 0.9022, 2], [quality, -0.2732, 3], [want use vr apps course use navigation key button launch app problem lollipop nit manufacturer fault, -0.7964, 5], [item move select apps android phone work select item vr apps look select item click x button select something tapping item screen work dont buy product think select item vr apps google cardboard button make cardboard work item hope help know fact sunnypeak work move phone vr apps, -0.3269, 2]]"
B00UXZ5BSI,"[-0.5233, 0.6249, 0.374]","[1, 5, 2]","[[length, need], [love, purchase, durable, plenty, mfi, certify, assume, problem, charge, couple, month, everything, great, start, get, dread, message, know, one, say, accessory, support, keep, plug, hoping, itll, charge, wake, frustrate], [yeah, break, suck]]","[[length need, -0.5233, 1], [love purchase durable plenty mfi certify assume problem charge couple month everything great start get dread message know one say accessory support keep plug hoping itll charge wake frustrate, 0.6249, 5], [yeah break suck, 0.374, 2]]"
B00V5HGXNA,[0.0],[1],"[[sent, gotten, email, hennessyparedesrocketmailcom, ]]","[[sent gotten email hennessyparedesrocketmailcom , 0.0, 1]]"
B00VAUKOVO,[-0.4215],[1],"[[broke, month, use]]","[[broke month use, -0.4215, 1]]"
B00VBRY1GK,[0.9265],[4],"[[case, fit, use, notice, card, bit, difficult, pull, expose, bit, seem, sound, alert, go, wise, please, item]]","[[case fit use notice card bit difficult pull expose bit seem sound alert go wise please item, 0.9265, 4]]"
B00VC01KY2,[0.7906],[5],"[[product, price]]","[[product price, 0.7906, 5]]"
B00VDXTX5G,[0.6369],[5],"[[case, nd, household, buy]]","[[case nd household buy, 0.6369, 5]]"
B00VFHJEWM,[0.2263],[5],"[[browse, phone, go, bed, cord, bed, ft, outlet, leave, phone, outlet, ft, let, charge, nightbr, br, longer, buy, baby, theyre, sturdy, feel, put, gnaw]]","[[browse phone go bed cord bed ft outlet leave phone outlet ft let charge nightbr br longer buy baby theyre sturdy feel put gnaw, 0.2263, 5]]"
B00VJ3X6VM,[0.0],[5],[[job]],"[[job, 0.0, 5]]"
B00VQ8RJLS,[0.7311],[4],"[[unit, try, feature, connect, phone, pair, bt, work, thing, slight, delay, tap, screen, function, happen, thing, occur, turn, mine, come, download, httpwwwjensenmobilecommobilemultimediaskuvx, cheer]]","[[unit try feature connect phone pair bt work thing slight delay tap screen function happen thing occur turn mine come download httpwwwjensenmobilecommobilemultimediaskuvx cheer, 0.7311, 4]]"
B00VQOHK7U,"[0.6808, 0.8481, 0.6249]","[5, 5, 5]","[[amaze, quality, galaxy, note, fit, case, run, day, frustrate, take, case, time, want, put, phone, arm, band, dont, anymore], [fit, great, use, day, great, price, product], [work, great]]","[[amaze quality galaxy note fit case run day frustrate take case time want put phone arm band dont anymore, 0.6808, 5], [fit great use day great price product, 0.8481, 5], [work great, 0.6249, 5]]"
B00VRGRMFM,[0.7717],[4],"[[nice, phonei, buy, use, travel, usi, love, itgood, smartphone, price]]","[[nice phonei buy use travel usi love itgood smartphone price, 0.7717, 4]]"
B00VWJI9Q0,[0.7783],[5],"[[case, want, bulky, put, phone, pocket, want, protection, im, sure, work, case, look, phone]]","[[case want bulky put phone pocket want protection im sure work case look phone, 0.7783, 5]]"
B00VYDWC9E,"[0.9584, 0.9832]","[5, 4]","[[awesome, phone, spywaremalware, come, preloaded, dont, mind, root, phone, go, developer, mode, great, phone, price, phone, compete, zenphone, ii, plus, unlock, phone, phone, sweet, everybody, ask, got, bright, yellow, g, work, tmobile, unite, state, hear, g, work, att], [research, lot, phone, purchase, im, sure, people, phone, china, taiwan, india, country, sell, store, do, research, read, phone, truebr, br, prosbr, lightweightbr, unique, color, get, bright, hate, yellow, phone, cutebr, phone, wide, watching, video, play, game, thing, holdbr, camera, quality, price, frontal, rear, camerabr, great, screen, resolutionbr, good, speedbr, ton, space, average, user, con, associate, thisbr, decent, amount, ram, cheap, smart, phone, gb, ram, br, cute, ringtone, enjoy, thatbr, lead, light, notification, convenient, imobr, cwm, recovery, modebr, br, consbr, option, move, space, sd, card, device, swill, elaboratebr, bloatware, preinstalled, appsbr, lag, go, get, fix, bloatware, issuebr, app, store, contact, suck, download, appbr, app, drawer, problem, use, phone, thoughbr, download, manager, download, toobr, g, lte, phone, running, g, lte, network, say, run, g, network, g, upgrade, form, g, thoughbr, br, im, sure, phone, issue, dont, device, option, force, apps, card, change, set, preinstall, apps, storage, store, storage, frustration, utilize, space, thatthis, phone, come, purchase, gb, sd, card, find, way, fix, issue, root, phone, im, soooo, geek, fair, share, research, learn, bricking, phone, happen, get, phone, issue, option, deal, limit, amount, space, wait, lenovo, release, update, fix, bug, root, phone, root, phone, follow, step, find, youtube, channel, rootjunkies]]","[[awesome phone spywaremalware come preloaded dont mind root phone go developer mode great phone price phone compete zenphone ii plus unlock phone phone sweet everybody ask got bright yellow g work tmobile unite state hear g work att, 0.9584, 5], [research lot phone purchase im sure people phone china taiwan india country sell store do research read phone truebr br prosbr lightweightbr unique color get bright hate yellow phone cutebr phone wide watching video play game thing holdbr camera quality price frontal rear camerabr great screen resolutionbr good speedbr ton space average user con associate thisbr decent amount ram cheap smart phone gb ram br cute ringtone enjoy thatbr lead light notification convenient imobr cwm recovery modebr br consbr option move space sd card device swill elaboratebr bloatware preinstalled appsbr lag go get fix bloatware issuebr app store contact suck download appbr app drawer problem use phone thoughbr download manager download toobr g lte phone running g lte network say run g network g upgrade form g thoughbr br im sure phone issue dont device option force apps card change set preinstall apps storage store storage frustration utilize space thatthis phone come purchase gb sd card find way fix issue root phone im soooo geek fair share research learn bricking phone happen get phone issue option deal limit amount space wait lenovo release update fix bug root phone root phone follow step find youtube channel rootjunkies, 0.9832, 4]]"
B00W1VC32O,"[0.1779, 0.7717]","[5, 1]","[[nice, charge], [last, week, wont, charge, phone, anymore, love, length, wish, prong, phone, insert, better, quality, toss, trash, waste, time]]","[[nice charge, 0.1779, 5], [last week wont charge phone anymore love length wish prong phone insert better quality toss trash waste time, 0.7717, 1]]"
B00W65VTV6,"[0.9153, 0.4404, 0.6369, 0.7316]","[4, 4, 5, 5]","[[buy, boyfriend, lose, kinda, suck, anyways, love], [case, fit, perfect, red, match, red, stuff, feel, sturdy, job, let, take, advantage, edge], [case, nice, look, fewl, thing, keep, star, slip, coat, bottom, prevent, phone, slide, smooth, surface]]","[[buy boyfriend lose kinda suck anyways love, 0.9153, 4], [case fit perfect red match red stuff feel sturdy job let take advantage edge, 0.4404, 4], [case nice look fewl thing keep star slip coat bottom prevent phone slide smooth surface, 0.6369, 5], [, 0.7316, 5]]"
B00W661MOO,"[0.8519, 0.8979, 0.8957, 0.7193, 0.7962, 0.8863, 0.8481, 0.8248, 0.0, 0.6325, 0.7012, -0.3291, 0.4019, 0.765, 0.8126, 0.4793, -0.7041]","[5, 5, 3, 3, 5, 5, 5, 5, 2, 3, 5, 3, 3, 5, 5, 4, 1]","[[hold, phone, usb, port, gps, run, umph, keep, phone, charge, slows, discharge, use, charger, concern, hold, phone, job], [arrive, time, promise, love, product, hold, phone, charge, navigate, direction], [work, hop, use, convenient], [awesome, product, awesome, service, alpatronix, come, usb, mini, usb, charger, cord], [fit, cigarette, thingy, fine, rig, prop, rip, face, console, prop, bounce, made, difficult, usebr, clip, hold, phone, lg, g, fit, case, work, wallet, case, lot, drive, clip, portion, come, mount, ball, joint, system, hold, nut, tighten, time, time, solve, thatbr, love, charger, port, lighter, port, mount, buy, charge, send, harm, phone, accord, say, phone, love, couple, modification], [perfect, gift, mom], [power, port, take, effort, get, socket, good, thing, phone, clip, drive, uber, touch, phone, stay, issue, usb, plug, good, passenger, need, charge, phone, solid, construction, goose, neck, sturdy], [look, something, hold, phone, car, allow, look, mapsdirections, control, music, item, regret, front, star, usb, charger, work, car, honda, insighti, didnt, care, feature, anyway, nice, work], [productbr, hold, phone, place, slip, anythingbr, recommend], [glad, purchase, nice, need, follow, direction, see, phone, phone, charge, time], [torn, amount, star, give, product, order, iphone, afraid, tad, product, connection, plug, console, drive, phone, make, way, lay, center, console, spin, set, continue, get, result, say, product, dont, think, good, weight], [need, base, cant, plug, phone, buy, u], [iphone, plus, take, case, doesnt, work, wallet, case, get, plastic, case, battery, case, heavy, doesnt, fit, lighter, jack, wiggle, bit, take, turn, thing, fly, leave, distract, drive, fit, jack, better, well, cadillac, ct, coupe, jack, shift, car, betterbr, br, star, quality, work, car], [work, great, iphone, get, im, try, type, leave, phone, stand, product, work, perfect], [buy, product, last, week, die, piece, crap, youll, buybr, br, update, post, review, company, contact, send, mount, mail, havent, chance, install, town, see, last, week], [work, ok, time, time, loses, contact, move, wont, get, rid, wouldnt, buy], [hold, cell, phone, car, dock, job, plug, portion, work, power, port, try, car]]","[[hold phone usb port gps run umph keep phone charge slows discharge use charger concern hold phone job, 0.8519, 5], [arrive time promise love product hold phone charge navigate direction, 0.8979, 5], [work hop use convenient, 0.8957, 3], [awesome product awesome service alpatronix come usb mini usb charger cord, 0.7193, 3], [fit cigarette thingy fine rig prop rip face console prop bounce made difficult usebr clip hold phone lg g fit case work wallet case lot drive clip portion come mount ball joint system hold nut tighten time time solve thatbr love charger port lighter port mount buy charge send harm phone accord say phone love couple modification, 0.7962, 5], [perfect gift mom, 0.8863, 5], [power port take effort get socket good thing phone clip drive uber touch phone stay issue usb plug good passenger need charge phone solid construction goose neck sturdy, 0.8481, 5], [look something hold phone car allow look mapsdirections control music item regret front star usb charger work car honda insighti didnt care feature anyway nice work, 0.8248, 5], [productbr hold phone place slip anythingbr recommend, 0.0, 2], [glad purchase nice need follow direction see phone phone charge time, 0.6325, 3], [torn amount star give product order iphone afraid tad product connection plug console drive phone make way lay center console spin set continue get result say product dont think good weight, 0.7012, 5], [need base cant plug phone buy u, -0.3291, 3], [iphone plus take case doesnt work wallet case get plastic case battery case heavy doesnt fit lighter jack wiggle bit take turn thing fly leave distract drive fit jack better well cadillac ct coupe jack shift car betterbr br star quality work car, 0.4019, 3], [work great iphone get im try type leave phone stand product work perfect, 0.765, 5], [buy product last week die piece crap youll buybr br update post review company contact send mount mail havent chance install town see last week, 0.8126, 5], [work ok time time loses contact move wont get rid wouldnt buy, 0.4793, 4], [hold cell phone car dock job plug portion work power port try car, -0.7041, 1]]"
B00WF91GNE,"[0.5777, 0.8211, -0.2732, 0.836]","[5, 5, 5, 5]","[[replace, come, tool], [perfect, fit, function, part, cant, say, seller, part, seem, legit, port, position, recess, charge, use, speaker, work, say, thank, save, n], [work, intend, part, match, description, drop, replacement], [excellent, work, usb, charge, headphone, socket, work, expect]]","[[replace come tool, 0.5777, 5], [perfect fit function part cant say seller part seem legit port position recess charge use speaker work say thank save n, 0.8211, 5], [work intend part match description drop replacement, -0.2732, 5], [excellent work usb charge headphone socket work expect, 0.836, 5]]"
B00WFWZMHC,"[0.8739, 0.0, -0.296, 0.8655, 0.207, 0.0]","[4, 1, 5, 5, 4, 5]","[[junk, freezer, bag], [work, water, park, lazy, river, slide, etc, get, damp, inside, wetdamp, hand, get, money, end, day, condensation, sure, put, phone, item, make, sure, hand, putting, thing, take, item, use, know, go], [look], [use, belize, rafting, swim, river, leak], [excellent, product, worry, test, go, jet, ski, husband, tip, minute, water, get, check, money, key, id, credit, card, smart, phone, inside, drop, water, get, everything, dry, happier, purchasebr, br, key, make, seal, close, disappoint], [velcro, last, second, attempt, unfasten, velcro, glue, release, bag, thing, bag, zip, lock, velcro, isnt, need, anyway, strap, bluetooth, speaker, phone, id, credit, card, issue]]","[[junk freezer bag, 0.8739, 4], [work water park lazy river slide etc get damp inside wetdamp hand get money end day condensation sure put phone item make sure hand putting thing take item use know go, 0.0, 1], [look, -0.296, 5], [use belize rafting swim river leak, 0.8655, 5], [excellent product worry test go jet ski husband tip minute water get check money key id credit card smart phone inside drop water get everything dry happier purchasebr br key make seal close disappoint, 0.207, 4], [velcro last second attempt unfasten velcro glue release bag thing bag zip lock velcro isnt need anyway strap bluetooth speaker phone id credit card issue, 0.0, 5]]"
B00WLJBAFM,[0.7346],[5],[[quality]],"[[quality, 0.7346, 5]]"
B00WO1NRDA,[0.9153],[5],"[[work, perfect]]","[[work perfect, 0.9153, 5]]"
B00WSI64DY,"[0.0, 0.9643, 0.8072, 0.6866, 0.8885, 0.5719, 0.4404]","[4, 5, 5, 5, 5, 5, 1]","[[pop, easy], [didnt, pop, id, ], [try, need, something, protect, side, perfect], [jetech, look, slick, watch, put, purchase, look, way, nicer], [love, product, hit, watch, get, scratch, case, prevent, damage, think, great, price, product, recommend, everyone, super, company], [lost, houseexcellent, product, great, price, lose, pop], [excellent]]","[[pop easy, 0.0, 4], [didnt pop id , 0.9643, 5], [try need something protect side perfect, 0.8072, 5], [jetech look slick watch put purchase look way nicer, 0.6866, 5], [love product hit watch get scratch case prevent damage think great price product recommend everyone super company, 0.8885, 5], [lost houseexcellent product great price lose pop, 0.5719, 5], [excellent, 0.4404, 1]]"
B00WTBY4Z0,[-0.3724],[4],"[[son, phone, wasnt, perfect, fit, itll, pas]]","[[son phone wasnt perfect fit itll pas, -0.3724, 4]]"
B00WUSJES4,[0.7964],[5],[[thanks]],"[[thanks, 0.7964, 5]]"
B00X2HJJCS,[0.6369],[5],"[[case, drop, iphone, anything]]","[[case drop iphone anything, 0.6369, 5]]"
B00X5SP0HC,[-0.9492],[4],"[[work, cell, phone, replace, cord, come, work, samsung, galaxy, charger, issue, use, phone, dead, keep, charge, phone, charge, day, issuebr, br, update, time, get, charge, contract, customer, support, say, use, charger, come, phone, charger, week, purchase, speed, charge, cord, give, try, doesnt, work, buy, different, charger, keep, everyone, inform]]","[[work cell phone replace cord come work samsung galaxy charger issue use phone dead keep charge phone charge day issuebr br update time get charge contract customer support say use charger come phone charger week purchase speed charge cord give try doesnt work buy different charger keep everyone inform, -0.9492, 4]]"
B00X97QISE,"[0.765, 0.7496, 0.5719]","[5, 5, 5]","[[excellent], [lcd, fix, good], [screen, work, install, went, plan, redo, time, proximity, sensor, war, speaker, thing, get, thank, product]]","[[excellent, 0.765, 5], [lcd fix good, 0.7496, 5], [screen work install went plan redo time proximity sensor war speaker thing get thank product, 0.5719, 5]]"
B00XBJG4MK,"[0.2878, 0.6594]","[1, 3]","[[dont, buy, seek, brand, doesnt, hold, ear, exercise, spend, something, worth], [time, get, minute, jog, think, work, charge, seem, get, charging, night, rubber, piece, fit, inside, area, help, hold, bud, place, work, fine, round, piece, white, rubber, ear, holder, fit, rub, ear, area, doesnt, feel, pulling, ear, bud, become, fitting, inside, ear, try, ear, bud, provide, relief, issue, think, price]]","[[dont buy seek brand doesnt hold ear exercise spend something worth, 0.2878, 1], [time get minute jog think work charge seem get charging night rubber piece fit inside area help hold bud place work fine round piece white rubber ear holder fit rub ear area doesnt feel pulling ear bud become fitting inside ear try ear bud provide relief issue think price, 0.6594, 3]]"
B00XO0L5NE,[0.0],[5],[[excelente]],"[[excelente, 0.0, 5]]"
B00XVLXVRY,"[0.796, -0.7482, 0.4404, -0.5216, 0.0, 0.765]","[5, 1, 5, 3, 5, 5]","[[screen, protector, technique, use, protector, magnificent, im, please], [install], [quality, air, bubble, glue, screen, protector, matter, clean, get, worse, dont, waste, minne, money], [install, deal, give, wear, stick, icarez, device], [cheap, quality, quick, shipping], [shouldve, temper, glass]]","[[screen protector technique use protector magnificent im please, 0.796, 5], [install, -0.7482, 1], [quality air bubble glue screen protector matter clean get worse dont waste minne money, 0.4404, 5], [install deal give wear stick icarez device, -0.5216, 3], [cheap quality quick shipping, 0.0, 5], [shouldve temper glass, 0.765, 5]]"
B00Y1Z05XW,[-0.7543],[5],"[[work, great, dont, use, holder, car, dash, mine, ruin, spot, suck]]","[[work great dont use holder car dash mine ruin spot suck, -0.7543, 5]]"
B00Y7M7F28,[-0.1027],[2],"[[fit, feel, problem, fall, apart, corner, break, monthhavent, drop]]","[[fit feel problem fall apart corner break monthhavent drop, -0.1027, 2]]"
B00YA8KPC6,[0.4404],[4],"[[charge, cell, phone, battery, good]]","[[charge cell phone battery good, 0.4404, 4]]"
B00YACF130,[0.4434],[4],"[[device, performs, call, audio, crystal, clear, aware, cause, factor, device, cell, phone, signal, strength, multifunction, button, problem, prefer, button, function]]","[[device performs call audio crystal clear aware cause factor device cell phone signal strength multifunction button problem prefer button function, 0.4434, 4]]"
B00YBJ1LPE,[0.5719],[5],"[[excellent, battery]]","[[excellent battery, 0.5719, 5]]"
B00YIMBH9Y,"[0.7469, 0.973, 0.5927]","[5, 5, 5]","[[case, look, replace, wallet, hate, carry, line, work, case, trick, carry, credit, card, id, cash, phone, reward, card, etc, replace, apps, phone, convenient, love, strap, keep, close, seems, case, make, phone, thicker, place, call, hold, use, bt, headset, speakerphone, issue, make, call, case], [bulky], [review, black, wallet, case, asus, zenfone, jd, techbr, br, appearance, br, protection, br, quality, br, recommend, absolutelybr, thickness, add, thick, phonebr, value, br, br, wallet, material, appear, quality, leather, excellent, stitch, job, leather, front, feel, thick, give, confidence, phone, fine, drop, back, cover, bottom, edge, provide, protection, leather, lip, cushion, drop, end, casebr, br, black, plastic, receiver, inside, case, insert, phone, feel, loose, danger, phone, pop, removereinsert, phone, havent, triedbr, br, white, glue, show, bottom, edge, receiver, case, glue, problem, mar, appearance, black, case, issue, ive, case, front, flap, get, way, case, open, im, go, try, pinch, front, cover, fold, note, crease, center, fold, receiver, glue, right, half, leather, body, give, curve, phone, help, fit, phone, bodybr, br, case, space, card, windowed, pocket, id, window, plastic, surface, cause, screen, protector, lift, use, screen, protectorbr, br, thoughtsbr, come, cheap, straphandle, look, break, wont, use, itbr, case, wake, screen, open, official, asus, case]]","[[case look replace wallet hate carry line work case trick carry credit card id cash phone reward card etc replace apps phone convenient love strap keep close seems case make phone thicker place call hold use bt headset speakerphone issue make call case, 0.7469, 5], [bulky, 0.973, 5], [review black wallet case asus zenfone jd techbr br appearance br protection br quality br recommend absolutelybr thickness add thick phonebr value br br wallet material appear quality leather excellent stitch job leather front feel thick give confidence phone fine drop back cover bottom edge provide protection leather lip cushion drop end casebr br black plastic receiver inside case insert phone feel loose danger phone pop removereinsert phone havent triedbr br white glue show bottom edge receiver case glue problem mar appearance black case issue ive case front flap get way case open im go try pinch front cover fold note crease center fold receiver glue right half leather body give curve phone help fit phone bodybr br case space card windowed pocket id window plastic surface cause screen protector lift use screen protectorbr br thoughtsbr come cheap straphandle look break wont use itbr case wake screen open official asus case, 0.5927, 5]]"
B00YJLOPWU,[0.8625],[5],"[[product, deliverey, excellent, case, excellent, fit, day, complaint, thanks, service]]","[[product deliverey excellent case excellent fit day complaint thanks service, 0.8625, 5]]"
B00YRZ2W82,[0.3612],[5],"[[delivery, everything, promise]]","[[delivery everything promise, 0.3612, 5]]"
B00YUZI4JA,[0.8442],[5],"[[use, perfect, fit]]","[[use perfect fit, 0.8442, 5]]"
B00Z09RYZ0,[0.7964],[5],[[quality]],"[[quality, 0.7964, 5]]"
B00ZD6O3AO,[0.1027],[4],"[[work, good, serf, purposeit, difficult, line]]","[[work good serf purposeit difficult line, 0.1027, 4]]"
B00ZEB8KCA,[-0.3263],[2],"[[week, work, week, keep, disconnect, phone, disconnect, phone, minute, connect, use, watch, smart, claim]]","[[week work week keep disconnect phone disconnect phone minute connect use watch smart claim, -0.3263, 2]]"
B00ZJ5PMK4,"[0.6369, 0.3612, 0.6369, 0.6369, 0.9371]","[5, 5, 5, 5, 5]","[[purple], [otter], [awesome, case, love, protection, built, screen, cover, use, nothing, otterbox, phone, time, time, drop, thing], [im, happy, fit, phone, great, color, protects, phone, keep, otter, box, phone]]","[[purple, 0.6369, 5], [otter, 0.3612, 5], [awesome case love protection built screen cover use nothing otterbox phone time time drop thing, 0.6369, 5], [im happy fit phone great color protects phone keep otter box phone, 0.6369, 5], [, 0.9371, 5]]"
B00ZWOAKUY,[0.0],[2],"[[cheap, rubbery, material, doesnt, lock, click, shut, door, lay, case, flap]]","[[cheap rubbery material doesnt lock click shut door lay case flap, 0.0, 2]]"
B0108LF09Q,[0.0],[5],"[[match, eom]]","[[match eom, 0.0, 5]]"
B010EVJEF6,"[0.9866, 0.8204]","[5, 5]","[[deal, fun, color, case, fit, apple, watch, sport, make, watch, exciting, band, want, lot, option, play, thats, get, value], [fit, look, watch, look, sporty]]","[[deal fun color case fit apple watch sport make watch exciting band want lot option play thats get value, 0.9866, 5], [fit look watch look sporty, 0.8204, 5]]"
B010FGRZ2O,[0.4404],[4],"[[case, fast, shipping]]","[[case fast shipping, 0.4404, 4]]"
B010N8RGTG,[0.0],[5],"[[lightweight, buy, bulk, phone, buy, againm]]","[[lightweight buy bulk phone buy againm, 0.0, 5]]"
B010UGMP24,[0.8316],[4],"[[phone, case, serve, wallet, drawback, talk, phone, flip, credit, card, holder, cover, speaker, result, reduce, volume, person, speak, phone]]","[[phone case serve wallet drawback talk phone flip credit card holder cover speaker result reduce volume person speak phone, 0.8316, 4]]"
B010WTYOA0,[-0.2924],[1],"[[doesnt, protect, phone]]","[[doesnt protect phone, -0.2924, 1]]"
B0113Y0ZME,[0.7849],[1],"[[work, get, wet, thing, inside, thank, goodness, phone, get, damage]]","[[work get wet thing inside thank goodness phone get damage, 0.7849, 1]]"
B011HCJA0K,"[0.9896, 0.6688, 0.878, 0.827]","[3, 4, 5, 5]","[[instal, instruct, spread, show, area, prep, pad, come, useless, screen, responds, hardness, protector, prevent, pocket, snag, area, attach, screen, protector, go, install, package], [buy, nice, packaging, instruction, card, know, deal, seller, quality, material, inside, cause, halo, effect, thats, expect, d, glass, nexus, quality, get, temper, glass, screen, protector, competitor, sell, jist, ], [foremost, admit, super, taking, care, cell, phone, year, want, got, nexus, project, fi, intend, device, say, case, screen, protector, key, screen, protector, crystal, clear, fact, make, easiest, instal, align, try, feat, reviewer, scratch, resistance, put, phone, situation, scratch, seems, ever, use, spigen, issue, fit, cutout, perfect, size, shape, phone, feature, speaker, sensor, etc, make, seal, mean, edge, curve, mm, entire, periphery, stuck, screen, deal, assume, im, sure, dust, build, area, time, cause, problem, aesthetic, wont, look, good, junk, act, sandpaper, time, start, cause, cloudy, look, edge, screen, thousand, scratch, issue, upload, picture, get, chance, take, week, edit, perform, protection, aspect, suspect, amount, dust, gathering, edge, screen, protector, stick, gather, sticking, side, make, fuzz, border, screen, protector, give, star, bother, people, look, something, soon], [screen, protector, fit, nexus, otterbox, version, instruction, explain, difference, curve, glass, nexus, go, way, edge, installation, issue, chance, align, second, time, flatten, worry, sheet, peel, package, envelope, keep, glass, clean, look, peeling, phone, side, protector, backup, future, replacement]]","[[instal instruct spread show area prep pad come useless screen responds hardness protector prevent pocket snag area attach screen protector go install package, 0.9896, 3], [buy nice packaging instruction card know deal seller quality material inside cause halo effect thats expect d glass nexus quality get temper glass screen protector competitor sell jist , 0.6688, 4], [foremost admit super taking care cell phone year want got nexus project fi intend device say case screen protector key screen protector crystal clear fact make easiest instal align try feat reviewer scratch resistance put phone situation scratch seems ever use spigen issue fit cutout perfect size shape phone feature speaker sensor etc make seal mean edge curve mm entire periphery stuck screen deal assume im sure dust build area time cause problem aesthetic wont look good junk act sandpaper time start cause cloudy look edge screen thousand scratch issue upload picture get chance take week edit perform protection aspect suspect amount dust gathering edge screen protector stick gather sticking side make fuzz border screen protector give star bother people look something soon, 0.878, 5], [screen protector fit nexus otterbox version instruction explain difference curve glass nexus go way edge installation issue chance align second time flatten worry sheet peel package envelope keep glass clean look peeling phone side protector backup future replacement, 0.827, 5]]"
B011IR7IN0,[0.3612],[4],"[[get, look, picture, think, week, image, gonna, peel]]","[[get look picture think week image gonna peel, 0.3612, 4]]"
B011NORSHO,"[0.0, 0.765]","[2, 4]","[[cant], [price, purple, color]]","[[cant, 0.0, 2], [price purple color, 0.765, 4]]"
B0126JW6X6,[0.8519],[4],"[[look, phone, cloth, screen, protector, stylus]]","[[look phone cloth screen protector stylus, 0.8519, 4]]"
B012CXYPVM,[0.9354],[5],"[[color, look, lot, brighter, picture, look, fit, love]]","[[color look lot brighter picture look fit love, 0.9354, 5]]"
B012N2NCE8,"[0.6249, 0.3431]","[5, 3]","[[case], [note, go, screen, however, end, dont, border, particle, able, stick, thats, disappoint]]","[[case, 0.6249, 5], [note go screen however end dont border particle able stick thats disappoint, 0.3431, 3]]"
