1060747871,[0.7906],[5],"[[product, use, fit, pocket]]","[[product use fit pocket, 0.7906, 5]]"
B00SG0DW4W,"[0.9079, -0.5994, 0.51, 0.6369]","[5, 3, 5, 5]","[[mobile, phone, mount, vehicle, own, move, vehicle, vent, mount, use, oppose, dash, mount, phone, keep, cool, vent, phone, place, viewing, angle, use, map, travel, magnet, stick, phone, troublesome, phone, mount, side, phone, take, move, magnet, phone, replace, twoway, tape, kit, ill, use, twosided, tape, mount, simple, mount, system, overdue], [instal, truck, wife, love], [car, mount, market, hold, iphone, need, middle], [work, disc, fail, month]]","[[mobile phone mount vehicle own move vehicle vent mount use oppose dash mount phone keep cool vent phone place viewing angle use map travel magnet stick phone troublesome phone mount side phone take move magnet phone replace twoway tape kit ill use twosided tape mount simple mount system overdue, 0.9079, 5], [instal truck wife love, -0.5994, 3], [car mount market hold iphone need middle, 0.51, 5], [work disc fail month, 0.6369, 5]]"
B00SMGTDZ2,[0.9633],[5],"[[case, hot, pink, beautiful, color, great, customer, service, receive, recommend, friend]]","[[case hot pink beautiful color great customer service receive recommend friend, 0.9633, 5]]"
B00SOJ6OKO,[0.7579],[5],"[[get, super, order, got, august, nd, sister, adores]]","[[get super order got august nd sister adores, 0.7579, 5]]"
B00SRJF5TM,[0.0],[1],[[work]],"[[work, 0.0, 1]]"
B00SUY0NCI,"[0.6249, 0.6486, 0.9865, 0.7713, 0.4588, 0.875, 0.9581, 0.7615, 0.8074, -0.2732, 0.4927, 0.5563, 0.4404, 0.4939, 0.7003, 0.6369, 0.6243, 0.6369]","[4, 5, 4, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5]","[[charge, electronics, reason, micro, usb, cable, charge, galaxy, others, find, device], [feel, quality, work, galaxy, guess, time, tell], [wade, go, collection, cable], [performer, love], [tangle, size, couldnt, ask, anything], [cable, buy], [make, nylon, usb, charge, yet, month], [appears, highquality, chargingtransfer, cable, everything, smooth, solid, fit, port, buy, replace, cat, chew, lightning, storm, awhile, think, there, chance, resist, treatment, survive, whoever, design, packaging, quite, welcome, look, nice, jewelry, inside, customer, service, info, find, problem], [work, design, buy], [work, expect, look, however], [others, search, charge, tablet, top, speed, find, charge, speed, addition, seems, build], [thing, awesome, handle, heat, charge, phone, manufacturer, cord, phone, cost, hundred, dollar, cord, garbage, regret, didnt, buy, longer, cord], [nylon, tread, phone, charge], [quality], [havent, test, product, test, random, usbac, plug, work, im, go, use, charge, anker, come, take, ship, please, thing, delivery, prompt, arrive, sunday, shipping, packaging, standard, yellow, envelope, box, cable, come, usb, tell, go, quality, judging, box, usb, cable, looking, red, nylon, braid, look, nice, find, car, superb, build, quality, feel, sturdy, premium, fit, note, edge, boost, rating, star, come, carry, charge, amperage], [love, cloth, style, forgot, hotel, room, get, thats, love, product, use, time], [buy, cord, look, feel, nice, plug, im, week, wasnt, handle, act, short, dissatisfy, product, hope, time, thing, cuz, know, go]]","[[charge electronics reason micro usb cable charge galaxy others find device, 0.6249, 4], [feel quality work galaxy guess time tell, 0.6486, 5], [wade go collection cable, 0.9865, 4], [performer love, 0.7713, 5], [tangle size couldnt ask anything, 0.4588, 5], [cable buy, 0.875, 5], [make nylon usb charge yet month, 0.9581, 5], [appears highquality chargingtransfer cable everything smooth solid fit port buy replace cat chew lightning storm awhile think there chance resist treatment survive whoever design packaging quite welcome look nice jewelry inside customer service info find problem, 0.7615, 5], [work design buy, 0.8074, 1], [work expect look however, -0.2732, 5], [others search charge tablet top speed find charge speed addition seems build, 0.4927, 5], [thing awesome handle heat charge phone manufacturer cord phone cost hundred dollar cord garbage regret didnt buy longer cord, 0.5563, 5], [nylon tread phone charge, 0.4404, 5], [quality, 0.4939, 5], [havent test product test random usbac plug work im go use charge anker come take ship please thing delivery prompt arrive sunday shipping packaging standard yellow envelope box cable come usb tell go quality judging box usb cable looking red nylon braid look nice find car superb build quality feel sturdy premium fit note edge boost rating star come carry charge amperage, 0.7003, 5], [love cloth style forgot hotel room get thats love product use time, 0.6369, 5], [buy cord look feel nice plug im week wasnt handle act short dissatisfy product hope time thing cuz know go, 0.6243, 5], [, 0.6369, 5]]"
B00SWEWPMW,[-0.3818],[5],"[[doesnt, work, car, kia, forte, sister, law, car, ford, focus, work, husband, truck, colorado]]","[[doesnt work car kia forte sister law car ford focus work husband truck colorado, -0.3818, 5]]"
B00T06LHI4,"[-0.296, 0.3716]","[2, 5]","[[screen, protector, purchase, samsung, galaxy, drop, phone, protector, crack, phone, screen, purchase, away], [suppose, stupid, consumer, think, edge, rewriting, description, order]]","[[screen protector purchase samsung galaxy drop phone protector crack phone screen purchase away, -0.296, 2], [suppose stupid consumer think edge rewriting description order, 0.3716, 5]]"
B00T2DGMVW,[-0.2924],[1],"[[protect, phone]]","[[protect phone, -0.2924, 1]]"
B00TDC0WJA,"[0.1027, 0.5859, -0.2755, 0.802, -0.5423, 0.4678, 0.6249, 0.5719, -0.4606, 0.6361]","[5, 4, 1, 5, 1, 4, 5, 5, 1, 5]","[[charge, good, charge, get, slight, buzz, phone], [device, shock, cheap, price, charge, minor, complaint, cord, car, charger], [work, great, charge, love], [month, take, stop, work, read, star, review, guess, know, well, button, end, depress, wont, come, longer, work, issue, course, work, get, return, date, dissappointed], [charge, fast, car, charger, cord], [cord, swap, wall, charger, bonus, handy, plug, back, seat, passenger, quick, work, note, lg, g, fine, recommend], [use, month, stop, work, recommend], [quality, include, yet, rugged, nice, connector, stay, place, product, work], [charge, galaxy, charger, come, phone], [work, iphone, dont, know, say, iphone, product, namedescription, doesnt, fit]]","[[charge good charge get slight buzz phone, 0.1027, 5], [device shock cheap price charge minor complaint cord car charger, 0.5859, 4], [work great charge love, -0.2755, 1], [month take stop work read star review guess know well button end depress wont come longer work issue course work get return date dissappointed, 0.802, 5], [charge fast car charger cord, -0.5423, 1], [cord swap wall charger bonus handy plug back seat passenger quick work note lg g fine recommend, 0.4678, 4], [use month stop work recommend, 0.6249, 5], [quality include yet rugged nice connector stay place product work, 0.5719, 5], [charge galaxy charger come phone, -0.4606, 1], [work iphone dont know say iphone product namedescription doesnt fit, 0.6361, 5]]"
B00THXO9AS,[0.9001],[5],"[[case, super, cute, silverwhite, iphone, boot, ]]","[[case super cute silverwhite iphone boot , 0.9001, 5]]"
B00U3MJDFS,[0.4927],[5],"[[order, incorrect, product, allow, return, find, correct, product, please]]","[[order incorrect product allow return find correct product please, 0.4927, 5]]"
B00U73GIDS,[0.6249],[4],[[deal]],"[[deal, 0.6249, 4]]"
B00U7C5BKK,"[-0.4939, 0.0]","[1, 1]","[[cheap, china, garbage], [screw, broke, radio, time, put, send, repair, pass]]","[[cheap china garbage, -0.4939, 1], [screw broke radio time put send repair pass, 0.0, 1]]"
B00UBM1SL2,"[0.3612, -0.1289, -0.5984, -0.5859, 0.7845, 0.7579, 0.4404, -0.2263, 0.7036, 0.296, 0.4588, 0.8553, 0.0, 0.6369, 0.8612, 0.7361]","[5, 5, 1, 2, 5, 5, 5, 1, 5, 5, 5, 5, 1, 5, 5, 4]","[[pricey, make], [product, see, review], [stop, work], [issue, beyond, amazon, warranty, period, post, review, anker, read, contact, resolve, customer, service, couple, day, replacement, working, fine, thank, anker], [work, far, love, extra, length, let, see, hold, time], [length, sturdier, product], [broke, month, email, anker, sent, brand, question, ask, day, conversation, love, anker, stick], [anker, product, nice, design, color], [oh, yeah], [charge], [look, charge, iphone, work, laptop, usb, outlet, usb, wall, charger, try, wall, charger, see, one, work, didnt, kinda, annoy, doesnt, work, usb, outlet, update, anker, contact, review, sent, replacement, nd, work, fine, laptop, detect, cable, bump, star], [work, fine, apple, product, date, braid, nice, connector, easy, grasp], [disappoint, tip, broke, end, charger, month, please, send], [wks, stop, charge, iphone, reason, purchase, braid, cord, think, rugged, straight, cord, break, easliy, expose, wiring, cover, cord, lighten, end, wire, loose, connection, evidence, fact, move, phone, begin, charge, slightest, movement, result, longer, recognize, phonebr, br, purchase, ft, anker, braid, time, function], [nylon, braid, feel, versus, snotty, wire, cable, appear, wellmade], [year, use, wire, work]]","[[pricey make, 0.3612, 5], [product see review, -0.1289, 5], [stop work, -0.5984, 1], [issue beyond amazon warranty period post review anker read contact resolve customer service couple day replacement working fine thank anker, -0.5859, 2], [work far love extra length let see hold time, 0.7845, 5], [length sturdier product, 0.7579, 5], [broke month email anker sent brand question ask day conversation love anker stick, 0.4404, 5], [anker product nice design color, -0.2263, 1], [oh yeah, 0.7036, 5], [charge, 0.296, 5], [look charge iphone work laptop usb outlet usb wall charger try wall charger see one work didnt kinda annoy doesnt work usb outlet update anker contact review sent replacement nd work fine laptop detect cable bump star, 0.4588, 5], [work fine apple product date braid nice connector easy grasp, 0.8553, 5], [disappoint tip broke end charger month please send, 0.0, 1], [wks stop charge iphone reason purchase braid cord think rugged straight cord break easliy expose wiring cover cord lighten end wire loose connection evidence fact move phone begin charge slightest movement result longer recognize phonebr br purchase ft anker braid time function, 0.6369, 5], [nylon braid feel versus snotty wire cable appear wellmade, 0.8612, 5], [year use wire work, 0.7361, 4]]"
B00UDTSFGO,"[0.0, 0.0, 0.0, 0.7906, 0.4588, 0.3612]","[5, 5, 5, 5, 5, 4]","[[rubber, make, time, get, phone, case, money], [], [grate], [product, thanks], [come, post]]","[[rubber make time get phone case money, 0.0, 5], [, 0.0, 5], [grate, 0.0, 5], [product thanks, 0.7906, 5], [come post, 0.4588, 5], [, 0.3612, 4]]"
B00UEGDDAY,"[0.4404, 0.3612, 0.2401, 0.7878, 0.9239, 0.0516]","[5, 4, 4, 4, 5, 5]","[[use, simple, set], [compact, good, job, get, star, bluetooth, device, guess, pair, mode, cause, frustration, get, headphone, pair, try, set, headphone], [work, describe, worry, lag, problem, bigger, deal, need, figure, hook, audio, tv, usb, power, manner, take, decide, use], [purchase, transmitter, love, impression, good, try, tv, happy, see, lag, voice, picture, watch, tv, pair, bluetooth, speaker, buy, year, china, think, lag, think, cheap, bluetooth, speaker, support, aptx, latency, seem, support, say, notice, lag, voice, video, picture, great, job, brightech, want, add, video, review], [work, say, thing, decrease, volume, speaker], [plug, macbook, air, setup, set, beat, wireless, studio, headphone, minutes, sound, lag, movie, play, itunes, vlc, player, super, happy, level, plug, tv, power, usb, connect, supply, rl, aux, cable, thing, remember, pair, beat, headphone, sound, lag, purchase, upcoming, flight, im, buy, live, room, bedroom]]","[[use simple set, 0.4404, 5], [compact good job get star bluetooth device guess pair mode cause frustration get headphone pair try set headphone, 0.3612, 4], [work describe worry lag problem bigger deal need figure hook audio tv usb power manner take decide use, 0.2401, 4], [purchase transmitter love impression good try tv happy see lag voice picture watch tv pair bluetooth speaker buy year china think lag think cheap bluetooth speaker support aptx latency seem support say notice lag voice video picture great job brightech want add video review, 0.7878, 4], [work say thing decrease volume speaker, 0.9239, 5], [plug macbook air setup set beat wireless studio headphone minutes sound lag movie play itunes vlc player super happy level plug tv power usb connect supply rl aux cable thing remember pair beat headphone sound lag purchase upcoming flight im buy live room bedroom, 0.0516, 5]]"
B00UMDOHRC,[0.984],[5],"[[case, g, yeah, kickstand, cheap, work, fine, problem, solve, case, find, convince, change, leather, waste, time, fit, bulk, swap, battery, recommend]]","[[case g yeah kickstand cheap work fine problem solve case find convince change leather waste time fit bulk swap battery recommend, 0.984, 5]]"
B00UMVBLPA,[-0.1779],[5],"[[order, size, end, give, bf, l]]","[[order size end give bf l, -0.1779, 5]]"
B00UT4W5AK,[-0.4215],[2],"[[work, month, cord, start, pop, nylon, broke]]","[[work month cord start pop nylon broke, -0.4215, 2]]"
B00UWDC9HM,"[0.4404, 0.8856, 0.0]","[5, 5, 2]","[[recognize, zero, lemon, cable, use, charger], [work, device, plug, outlet, nice, quality, item], [product, fast, service, recharge, phone, time]]","[[recognize zero lemon cable use charger, 0.4404, 5], [work device plug outlet nice quality item, 0.8856, 5], [product fast service recharge phone time, 0.0, 2]]"
B00UWIK9EM,[0.0258],[2],"[[put, daughter, kindle, bent, make, lap, plug, cell, phone, give, ding, connect, connect, lg, loose, connection, make]]","[[put daughter kindle bent make lap plug cell phone give ding connect connect lg loose connection make, 0.0258, 2]]"
B00UWZM7GI,"[-0.4215, 0.6249]","[1, 3]","[[case, break, week, wast, money], [nobody, hear, talk, phone, case]]","[[case break week wast money, -0.4215, 1], [nobody hear talk phone case, 0.6249, 3]]"
B00V04C37I,[0.6249],[1],"[[look, case, carbon, fiber, give, phone, executive, style, look, thing, hate, case, reason, wont, use, buy, mess, phone, connection, case, coverage, service, bar, take, case, get, lte, coverage, bar, case, nice, look, atbut, thats, buy, youre, try, use, phone, case]]","[[look case carbon fiber give phone executive style look thing hate case reason wont use buy mess phone connection case coverage service bar take case get lte coverage bar case nice look atbut thats buy youre try use phone case, 0.6249, 1]]"
B00V33RCTU,"[0.3612, 0.6249]","[5, 5]","[[charging, speed], [list, come, handy]]","[[charging speed, 0.3612, 5], [list come handy, 0.6249, 5]]"
B00V7UN5YU,[0.6249],[5],[[gadget]],"[[gadget, 0.6249, 5]]"
B00V989GAM,[0.6124],[3],"[[pocket, poket]]","[[pocket poket, 0.6124, 3]]"
B00VBK383Y,[-0.6808],[1],"[[get, defective, po, market, crapbr, theone, receive, stay, connect, micro, usb, plugand, problem, charge]]","[[get defective po market crapbr theone receive stay connect micro usb plugand problem charge, -0.6808, 1]]"
B00VDVW9YK,"[-0.1027, -0.1063, -0.4964, 0.3252, 0.0]","[3, 2, 3, 1, 3]","[[work, charging, phone], [happy, unit, pug, unit, charge, phone, unit, charge, phone, ], [waste, money, product, battery, charger, get, charge, usb, port, finicky], [wont, charge, level, ], [keep, charge, doesnt, charge, say, battery, phone]]","[[work charging phone, -0.1027, 3], [happy unit pug unit charge phone unit charge phone , -0.1063, 2], [waste money product battery charger get charge usb port finicky, -0.4964, 3], [wont charge level , 0.3252, 1], [keep charge doesnt charge say battery phone, 0.0, 3]]"
B00VJRN8D4,[0.6369],[5],[[case]],"[[case, 0.6369, 5]]"
B00VKQW6G4,[0.6597],[5],"[[fit, buy]]","[[fit buy, 0.6597, 5]]"
B00VN6ECD6,"[0.9459, 0.7351, -0.4215]","[5, 4, 1]","[[excellent, case, note, case, nice, grip, silver, look, cover, case, break, case], [case, sock, mom, broke, nail, try], [woah, shipment, super, fast, love, case, note, feel, glass, slip, hand, anymore, feel, fine, pocket, case, put, card]]","[[excellent case note case nice grip silver look cover case break case, 0.9459, 5], [case sock mom broke nail try, 0.7351, 4], [woah shipment super fast love case note feel glass slip hand anymore feel fine pocket case put card, -0.4215, 1]]"
B00VR1U6YQ,"[0.0, 0.2484]","[1, 5]","[[week, instal, repair, shop, screen, white, spot, appear, peeling, side, screen], [pay, extra, make, buy]]","[[week instal repair shop screen white spot appear peeling side screen, 0.0, 1], [pay extra make buy, 0.2484, 5]]"
B00VSRZ9BO,[0.7783],[4],"[[wussy, need, wish, protect, whole, phone, phone, case]]","[[wussy need wish protect whole phone phone case, 0.7783, 4]]"
B00VSYJFY4,[0.5719],[5],[[perfect]],"[[perfect, 0.5719, 5]]"
B00VYEH1XA,[0.9726],[5],"[[secure, phone, rotate, position, remove, hand, look, phone, protect, handsome, surface, case, stable, jiggle, holster, love, design, workmanship]]","[[secure phone rotate position remove hand look phone protect handsome surface case stable jiggle holster love design workmanship, 0.9726, 5]]"
B00W6Y3HX0,[0.0],[1],"[[item, crack, arrival]]","[[item crack arrival, 0.0, 1]]"
B00WCXE3O2,[0.0534],[1],"[[case, way, cant, access, volume, sleep, button, top, ear, arent, attach, fell, hand, case, phone]]","[[case way cant access volume sleep button top ear arent attach fell hand case phone, 0.0534, 1]]"
B00WSFG6IA,"[0.6369, 0.9022]","[5, 5]","[[super, cute]]","[[super cute, 0.6369, 5], [, 0.9022, 5]]"
B00WUJLGSE,"[0.431, 0.177, 0.8481]","[3, 3, 5]","[[work, add, weight, phone], [couldnt, live, reviewbr, br, bit, heavy, compare, paperlight, phone, hey, battery, heaviest, part, phone, add, batterybr, br, love, texture, case, doesnt, scratch, feel]]","[[work add weight phone, 0.431, 3], [couldnt live reviewbr br bit heavy compare paperlight phone hey battery heaviest part phone add batterybr br love texture case doesnt scratch feel, 0.177, 3], [, 0.8481, 5]]"
B00X3KZ46Y,[0.1716],[4],"[[phone, case, feature, ample, sleeve, pocket, fill, snap, keep, wallet, fold, close, miss, feature, galaxy, note, smart, flip, case, forget, longer, feature, dont, carry, wallet, phone, case, work, make, get, card, access, door, forget, take, wallet, product, price, appreciate, slimmer, version, current, feature]]","[[phone case feature ample sleeve pocket fill snap keep wallet fold close miss feature galaxy note smart flip case forget longer feature dont carry wallet phone case work make get card access door forget take wallet product price appreciate slimmer version current feature, 0.1716, 4]]"
B00X59FYQS,[0.6369],[5],"[[work, charge, cell, phone, ]]","[[work charge cell phone , 0.6369, 5]]"
B00X5K415M,[-0.4215],[1],"[[day, use, product, broke]]","[[day use product broke, -0.4215, 1]]"
B00X5YR12S,[0.7579],[5],"[[cool, cartoon, casemy, son, love]]","[[cool cartoon casemy son love, 0.7579, 5]]"
B00XAYTZ4K,[0.296],[4],[[ok]],"[[ok, 0.296, 4]]"
B00XCLEVTU,[0.6249],[5],[[comfortablre]],"[[comfortablre, 0.6249, 5]]"
B00XHRIXAM,"[0.0, 0.8743, 0.0, -0.8564, -0.2263]","[1, 2, 1, 1, 2]","[[arent, nothing, charger, inch, give, issue, inch, isnt, sudden, chord, broke, part, connects, phone, want, ten, inch], [ft, working, couple, week, work, star, rating], [buy, iphone, cable, get, pack, none, work, phone, recognize, problem, cord, drain, phone, battery, lose, battery, plug, phone, min], [charger, work], [none, cable, receive, work, iphone, certify, advertise]]","[[arent nothing charger inch give issue inch isnt sudden chord broke part connects phone want ten inch, 0.0, 1], [ft working couple week work star rating, 0.8743, 2], [buy iphone cable get pack none work phone recognize problem cord drain phone battery lose battery plug phone min, 0.0, 1], [charger work, -0.8564, 1], [none cable receive work iphone certify advertise, -0.2263, 2]]"
B00XSAEU64,"[0.296, -0.2057]","[5, 2]","[[doesnt, work, vr, glass], [ok]]","[[doesnt work vr glass, 0.296, 5], [ok, -0.2057, 2]]"
B00XV599ZS,[0.2263],[3],"[[ship, case, okay]]","[[ship case okay, 0.2263, 3]]"
B00XXNRDS8,[0.3612],[1],"[[doest, fit, watch, beware]]","[[doest fit watch beware, 0.3612, 1]]"
B00XZGLYAG,[0.4215],[5],"[[case, feel, ill, stick, brand, time]]","[[case feel ill stick brand time, 0.4215, 5]]"
B00Y131JTI,[0.8316],[5],"[[amaze, fit, seems, sturdy, get, leather, picture, card, holder, purchase, d, print, look, phone, case, see]]","[[amaze fit seems sturdy get leather picture card holder purchase d print look phone case see, 0.8316, 5]]"
B00Y29CAF8,"[0.8008, 0.5994]","[5, 5]","[[compliment, case, love, display, spicy, personality], [love, case, fit, arrive, time]]","[[compliment case love display spicy personality, 0.8008, 5], [love case fit arrive time, 0.5994, 5]]"
B00Y3FC5LA,[0.8834],[5],"[[awesome, look]]","[[awesome look, 0.8834, 5]]"
B00YCCOAMQ,"[0.9475, -0.5023, -0.9455]","[5, 1, 2]","[[item, less, week, use, time, speaker, blewloved, work, disappoint, broke, id, last, longer, find, product, doesnt, get, replace], [nice, stop, work, charge, cycle, take, charge], [asinbyccoamq, newest, version, tronfy, iwork, mini, longest, battery, life, minimal, shelter, wireless, bluetooth, v, ear, headset, earbudheadphone, earpiece, earphone, support, stream, musicvideoaudio, iphone, plussc, bluetooth, device, apple, andriod, smartphonecoffeebr, br, work, expect, chose, earpiece, insert, feel, forget, didnt, need, add, behindtheear, holder, lightweight, get, fit, isnt, go, sound, great, piece]]","[[item less week use time speaker blewloved work disappoint broke id last longer find product doesnt get replace, 0.9475, 5], [nice stop work charge cycle take charge, -0.5023, 1], [asinbyccoamq newest version tronfy iwork mini longest battery life minimal shelter wireless bluetooth v ear headset earbudheadphone earpiece earphone support stream musicvideoaudio iphone plussc bluetooth device apple andriod smartphonecoffeebr br work expect chose earpiece insert feel forget didnt need add behindtheear holder lightweight get fit isnt go sound great piece, -0.9455, 2]]"
B00YDGJQFC,"[0.5994, 0.807]","[5, 5]","[[nice, colour], [love]]","[[nice colour, 0.5994, 5], [love, 0.807, 5]]"
B00YDJ247Q,[0.8555],[5],"[[get, case, day, absolutley, case, fit]]","[[get case day absolutley case fit, 0.8555, 5]]"
B00YK05K60,[0.8519],[5],"[[case, color, protection]]","[[case color protection, 0.8519, 5]]"
B00YM6Y6L2,[0.3716],[5],"[[case, frame, sort, narrow, screen, width]]","[[case frame sort narrow screen width, 0.3716, 5]]"
B00YVVE7YO,"[-0.7425, 0.7743]","[1, 4]","[[use, phone, prepay, company, fact, youre, go, verizon, worthless, disappoint], [phone, wasnt, unlock, mark, scratch, back, side, come, verizon, crappy, bloatware, came, usb, cable, device, battery, inside, phone, happy, buy, phone]]","[[use phone prepay company fact youre go verizon worthless disappoint, -0.7425, 1], [phone wasnt unlock mark scratch back side come verizon crappy bloatware came usb cable device battery inside phone happy buy phone, 0.7743, 4]]"
B00Z2LGMIG,"[0.886, 0.8754, 0.9698, -0.6249, 0.7057]","[5, 5, 5, 4, 5]","[[speaker, month, use, make, everyday, speaker, sound, quality, decent, size, price, recommend, others], [work, noisy, environment, use, speaker, confidence, hear, music, distortion, love, last, work, hour, shift, dont, worry, speaker, isnt, go, run, juice, use, issue, past, device, speaker, outlast, phone], [speaker, nice, design, let, sound, size, price, max, volume, louder, expect, sound, clean, crisp, bluetooth, range, perfect, beach, shower, home], [unreal, quality, havent, problem, speaker, super, easy, use, self, explanatory, ton, battery, life, louder, expect, buy, absolute, steal], [receive, take, charge, ship, send, return, label, defective, complaint, speaker, state, title, paperwork, come, say, isnt]]","[[speaker month use make everyday speaker sound quality decent size price recommend others, 0.886, 5], [work noisy environment use speaker confidence hear music distortion love last work hour shift dont worry speaker isnt go run juice use issue past device speaker outlast phone, 0.8754, 5], [speaker nice design let sound size price max volume louder expect sound clean crisp bluetooth range perfect beach shower home, 0.9698, 5], [unreal quality havent problem speaker super easy use self explanatory ton battery life louder expect buy absolute steal, -0.6249, 4], [receive take charge ship send return label defective complaint speaker state title paperwork come say isnt, 0.7057, 5]]"
B00ZBG5HSI,[0.7964],[5],[[thanks]],"[[thanks, 0.7964, 5]]"
B00ZBT7NRI,[0.6249],[4],"[[work, great]]","[[work great, 0.6249, 4]]"
B00ZOY4L4I,[0.09],[4],"[[product, great, order, recieved, charge, dont, think, order, anything, line]]","[[product great order recieved charge dont think order anything line, 0.09, 4]]"
B00ZTDS3EI,"[0.0, 0.8885]","[5, 5]","[[excellent, solution, alternative, apple, didnt, come, beginning, comprehension, buy, size, band, watch, end, extend, length, band, half, inch, flip, side, giant, person, wear, apple, watch, buy, leather, band], [fact, wear, band, watch]]","[[excellent solution alternative apple didnt come beginning comprehension buy size band watch end extend length band half inch flip side giant person wear apple watch buy leather band, 0.0, 5], [fact wear band watch, 0.8885, 5]]"
B010FIL0QY,[0.886],[5],"[[phone, case, lot, compliment, month, sohow, hold, determine]]","[[phone case lot compliment month sohow hold determine, 0.886, 5]]"
B010KF2P84,[0.1779],[4],"[[air, bubble, installation]]","[[air bubble installation, 0.1779, 4]]"
B010SC5TB4,"[0.4215, 0.0, 0.7606]","[5, 5, 4]","[[nice], [factory], [werent, sure, replace, piece, instruction, package, look, youtube, video, replace, camera, cover, easilybr, penny, ask, buy, worth]]","[[nice, 0.4215, 5], [factory, 0.0, 5], [werent sure replace piece instruction package look youtube video replace camera cover easilybr penny ask buy worth, 0.7606, 4]]"
B0116IA0X6,[-0.765],[1],"[[type, factory, fault, purchase, phone]]","[[type factory fault purchase phone, -0.765, 1]]"
B011DFE4ZW,[0.9325],[5],"[[theyre, great, ensure, fitbit, stay, color, compliment, band, splash, color]]","[[theyre great ensure fitbit stay color compliment band splash color, 0.9325, 5]]"
B011FRQVWW,"[0.9016, 0.6697]","[5, 5]","[[love, memory, casper, black, cat, live, year], [fun, ]]","[[love memory casper black cat live year, 0.9016, 5], [fun , 0.6697, 5]]"
B011IRCAP6,[0.8357],[5],"[[like, made, material]]","[[like made material, 0.8357, 5]]"
B011U5SMP8,[-0.7096],[1],"[[product, poor, quality, misalign, circuitry, prevent, use, battery, unit, deliver, make, worthless]]","[[product poor quality misalign circuitry prevent use battery unit deliver make worthless, -0.7096, 1]]"
B012A98ABO,[-0.2755],[1],"[[doesnt, fit]]","[[doesnt fit, -0.2755, 1]]"
B012DYAXAM,[0.4215],[3],"[[nice, pay]]","[[nice pay, 0.4215, 3]]"
B012S5SMM2,[0.6369],[5],[[band]],"[[band, 0.6369, 5]]"
B013CIX6DE,"[0.2484, 0.7506, 0.6249, 0.6369, 0.9395, 0.7506, 0.7308, -0.4585, 0.9624, 0.9081, 0.5256, -0.1298, 0.7264, 0.9745, 0.8555]","[4, 5, 5, 5, 4, 5, 5, 2, 5, 5, 5, 5, 5, 5, 5]","[[quality, product, please, order, company, doubt], [im, please, product, get, thanks, lot], [case, didnt, want, black, color, werent, stock, need, fast, arrive, well, expect, phone, protect, feel, secure, carry, thanks, awesome, product], [case, day, slide, pocket, layer, protects, drop, kick, stand, addition, mine, close, play, feel], [clip, come, time, use, happy], [product, miss, screen, cover], [sturdy, case, cool, stand, clip, case, downer, case, thick, wireless, charger, work], [fit, material], [rubber, portion, seem, backing, seem, bit, flimsy, holster, nice, felt, inlay, phone, screen, sits, seem, deal, price], [get, case, impress, compare, brand], [sleek, case, fit, phone, access, port], [mom, love, casewill, buy], [case, money, sturdy, thick, defender]]","[[quality product please order company doubt, 0.2484, 4], [im please product get thanks lot, 0.7506, 5], [case didnt want black color werent stock need fast arrive well expect phone protect feel secure carry thanks awesome product, 0.6249, 5], [case day slide pocket layer protects drop kick stand addition mine close play feel, 0.6369, 5], [clip come time use happy, 0.9395, 4], [product miss screen cover, 0.7506, 5], [sturdy case cool stand clip case downer case thick wireless charger work, 0.7308, 5], [fit material, -0.4585, 2], [rubber portion seem backing seem bit flimsy holster nice felt inlay phone screen sits seem deal price, 0.9624, 5], [get case impress compare brand, 0.9081, 5], [sleek case fit phone access port, 0.5256, 5], [mom love casewill buy, -0.1298, 5], [case money sturdy thick defender, 0.7264, 5], [, 0.9745, 5], [, 0.8555, 5]]"
B013D6LIJE,"[0.8519, 0.7629, 0.6249]","[5, 5, 5]","[[ship, product, fit], [awesome, product, service], [fit, note, edge, glove, use, go, gym, need, throw, phone, bag, extend, period, time]]","[[ship product fit, 0.8519, 5], [awesome product service, 0.7629, 5], [fit note edge glove use go gym need throw phone bag extend period time, 0.6249, 5]]"
B013JEC3YY,[0.7717],[5],"[[come, way, suppose, look]]","[[come way suppose look, 0.7717, 5]]"
B013KWZU4K,"[0.9571, 0.91, 0.0]","[5, 4, 5]","[[arrive, promise, love, great, case, shatter, glass, work, apply], [case, glass, work, glass, protector, phone, drop, rock], [return, need]]","[[arrive promise love great case shatter glass work apply, 0.9571, 5], [case glass work glass protector phone drop rock, 0.91, 4], [return need, 0.0, 5]]"
B013LIG1OG,[0.6249],[5],"[[work, hop, thank]]","[[work hop thank, 0.6249, 5]]"
B016JA9MKS,[0.9751],[4],"[[start, caseguru, case, way, add, credit, card, holder, phone, case, format, card, tuck, protect, think, harder, people, realize, card, nice, case, case, fit, edge, feature, phone, look, fit, edge, something, watch, case, nowbr, br, note, receive, product, exchange, honest, review]]","[[start caseguru case way add credit card holder phone case format card tuck protect think harder people realize card nice case case fit edge feature phone look fit edge something watch case nowbr br note receive product exchange honest review, 0.9751, 4]]"
