B00012O6QQ,[0.0],[5],"[[price, cant, beat, look, manufacture, stereo, update, software, feature]]","[[price cant beat look manufacture stereo update software feature, 0.0, 5]]"
B00SOCLZQY,[0.0364],[3],"[[beat, case, phone, thats, fit, stylus, come, cheap, screen, cover, good, either, ask, refund, id, spent]]","[[beat case phone thats fit stylus come cheap screen cover good either ask refund id spent, 0.0364, 3]]"
B00SSTE4WU,[0.3612],[4],"[[fit, thicher]]","[[fit thicher, 0.3612, 4]]"
B00STSL7PC,"[0.4854, 0.8803]","[2, 5]","[[color, feel, case, like, everything, get, case, right, phone, size, problem, repurchase, case, gift, family, friend], [look, good, wood, part, top, camera, get, brokenbr, week, use]]","[[color feel case like everything get case right phone size problem repurchase case gift family friend, 0.4854, 2], [look good wood part top camera get brokenbr week use, 0.8803, 5]]"
B00SWZZM6M,[0.0],[5],"[[look, year]]","[[look year, 0.0, 5]]"
B00SYHGH1M,"[0.8294, 0.8998, 0.6344]","[5, 5, 5]","[[phone, mount, phone, secure, case, easy, slip, tilt, swivel], [work, tight], [work, great, install, position, phone, need, road, work, type, ride, tighten, couple, rid, requires, allen, wrench, second, hubby, like, buy, bike]]","[[phone mount phone secure case easy slip tilt swivel, 0.8294, 5], [work tight, 0.8998, 5], [work great install position phone need road work type ride tighten couple rid requires allen wrench second hubby like buy bike, 0.6344, 5]]"
B00T0PQMWG,[0.8271],[5],"[[worth, penny, thing, make, well, color, choice]]","[[worth penny thing make well color choice, 0.8271, 5]]"
B00TEFF3Q8,"[0.4019, 0.9023]","[2, 5]","[[phone, stay, black, hang, phone, person, end, hear], [think, great, product, listing, accurate, issue, get, bang, mark, case, drop, concrete, work, thank]]","[[phone stay black hang phone person end hear, 0.4019, 2], [think great product listing accurate issue get bang mark case drop concrete work thank, 0.9023, 5]]"
B00TP0S6OS,[0.0],[1],"[[fell, apart, month, use, say, lifetime, warranty, return, item]]","[[fell apart month use say lifetime warranty return item, 0.0, 1]]"
B00TQ5EGBE,[0.6369],[5],[[product]],"[[product, 0.6369, 5]]"
B00TVIOLAW,[0.6249],[5],[[product]],"[[product, 0.6249, 5]]"
B00U0A485I,[-0.5267],[1],"[[week, break, drop, twice, carpet, fall, apart]]","[[week break drop twice carpet fall apart, -0.5267, 1]]"
B00U2V5O94,[-0.7146],[1],"[[dissatisfy, broke, w, week]]","[[dissatisfy broke w week, -0.7146, 1]]"
B00U3LJ7ZU,[0.6808],[5],"[[yes, good, dont, know, people, buy, one, everything, take, part, use, plastic]]","[[yes good dont know people buy one everything take part use plastic, 0.6808, 5]]"
B00U7DFCM6,[-0.2064],[1],"[[like, case, get, month, case, bottom, corner, crack, broke, phone, slip, bottom, wouldnt, recommend, product]]","[[like case get month case bottom corner crack broke phone slip bottom wouldnt recommend product, -0.2064, 1]]"
B00UA7LNFO,"[0.7178, 0.4927]","[5, 5]","[[case, price, satisfy]]","[[case price satisfy, 0.7178, 5], [, 0.4927, 5]]"
B00UCA6ZE8,[0.4767],[5],"[[use, time, charge, android, phone, describe, mophies, love, everyone]]","[[use time charge android phone describe mophies love everyone, 0.4767, 5]]"
B00UGTFEFQ,[0.4462],[5],"[[felt, version, fit, cricket, wireless, lg, risio, snap, look, something, clunky, cover, model, lg, work, fit, snug, go, felt, sure, leather, version, work, get, phone, pinch, bottom, slide]]","[[felt version fit cricket wireless lg risio snap look something clunky cover model lg work fit snug go felt sure leather version work get phone pinch bottom slide, 0.4462, 5]]"
B00UGY9QF0,[0.299],[2],"[[im, question, star, review, want, alas, problem, persists, others, okay, review, list, compliance, issue, device, range, great, cant, place, phone, pocket, break, im, car, place, stationary, fine, defeat, purpose, wireless, range, wise, foot, disconnect, phone, attach, armband, movement, sway, arm, walk, break, use, call, feature, sound, person, hollowbr, br, pro, come, back, order, time, state, connects, lag, video, sound, listen, music, decent, dont, move]]","[[im question star review want alas problem persists others okay review list compliance issue device range great cant place phone pocket break im car place stationary fine defeat purpose wireless range wise foot disconnect phone attach armband movement sway arm walk break use call feature sound person hollowbr br pro come back order time state connects lag video sound listen music decent dont move, 0.299, 2]]"
B00UHT44I8,[0.8519],[5],"[[work, ]]","[[work , 0.8519, 5]]"
B00UJ297FI,[0.9412],[5],"[[super, make, looking, fit, perfect, side, magnet, make, pocket]]","[[super make looking fit perfect side magnet make pocket, 0.9412, 5]]"
B00UKO0FQK,"[0.915, 0.6115, -0.0772, 0.6486, 0.7525]","[4, 5, 3, 4, 4]","[[nice, texture, tight, fit, remove], [love, case, beginning, elegant, thin, protects, phone, slip, piece, cover, lock, button, top, side, phone, broke, less, month, whole, case, become, useless, button, product, break, less, month, use, give, im, light, user, doesnt, deserve, star, edit, edit, review, change, star, rating, star, rating, fact, contact, seller, great, customer, service, offer, refund, replacement, choose, replacement, give, try, got, day, contact, seller, stress, testing, replacement, case, see, button, break, customer, service], [power, button, thing, broke, month, ok, case, temporary], [case, isnt, bulky, let, enjoy, sleek, design, phone, feel, safe, sturdy, part, case, slide, place, phone, remove, great, reason, give, star, market, charger, open, lightning, charge, port, accommodate, market, usb, charger, apple, brand, size, one], [im, happy, case]]","[[nice texture tight fit remove, 0.915, 4], [love case beginning elegant thin protects phone slip piece cover lock button top side phone broke less month whole case become useless button product break less month use give im light user doesnt deserve star edit edit review change star rating star rating fact contact seller great customer service offer refund replacement choose replacement give try got day contact seller stress testing replacement case see button break customer service, 0.6115, 5], [power button thing broke month ok case temporary, -0.0772, 3], [case isnt bulky let enjoy sleek design phone feel safe sturdy part case slide place phone remove great reason give star market charger open lightning charge port accommodate market usb charger apple brand size one, 0.6486, 4], [im happy case, 0.7525, 4]]"
B00UMNJPWO,[0.6249],[5],"[[work, great]]","[[work great, 0.6249, 5]]"
B00UWUZK4Y,[0.3612],[4],"[[sorry, phone, nice]]","[[sorry phone nice, 0.3612, 4]]"
B00UWZT6DU,[-0.34],[1],"[[cord, work, week, phone, ipad, act, crazy, threw]]","[[cord work week phone ipad act crazy threw, -0.34, 1]]"
B00V0B9P40,[-0.1406],[4],"[[case, bit, work, zipper, thats, use, boat, water, hold, gopro, couple, accessory, cut, foam, make, room, remote, work]]","[[case bit work zipper thats use boat water hold gopro couple accessory cut foam make room remote work, -0.1406, 4]]"
B00V3W3WLS,"[0.969, 0.5994, 0.3612, 0.872]","[5, 5, 5, 5]","[[armband, smart, phone, buy, quit, forget, put, bag, car, bag, super, part, understand, spot, mark, dont, key, fit, spot, love, get, day, start, week], [everything, promise, deliver, surepost, ups, look, use, run], [itbr, work, say, wouldbr, recommend, friend], [nice, product, work, ship]]","[[armband smart phone buy quit forget put bag car bag super part understand spot mark dont key fit spot love get day start week, 0.969, 5], [everything promise deliver surepost ups look use run, 0.5994, 5], [itbr work say wouldbr recommend friend, 0.3612, 5], [nice product work ship, 0.872, 5]]"
B00V57LMCC,[-0.5994],[1],"[[look, toy, thick, cubiclooking, radio, doa, get, motorola]]","[[look toy thick cubiclooking radio doa get motorola, -0.5994, 1]]"
B00VFZN8O4,[-0.7096],[1],"[[order, product, description, include, car, vw, jetta, need, open, package, happy, see, everything, look, butwhen, open, remote, compartment, battery, area, diameter, battery, factory, remote, screw, include, secure, circuit, boardeven, stand, offs, hold, use, part, piece, secure, board, front, button, fell, work, button, fall, lose, day, panic, button, stiff, board, secure, button, alarm, list, amazon, look, none, work, people, order, post, review, dont, work, part, sell, title, review]]","[[order product description include car vw jetta need open package happy see everything look butwhen open remote compartment battery area diameter battery factory remote screw include secure circuit boardeven stand offs hold use part piece secure board front button fell work button fall lose day panic button stiff board secure button alarm list amazon look none work people order post review dont work part sell title review, -0.7096, 1]]"
B00VNBRNKA,[0.4678],[4],"[[product, operate, expect, size, light, weight, terrific, love, lighten, part, unit, cord, plug, phone, short, flimsy, im, concern, im, go, get, there, option, plug, cease, function, charger, br, ill, post, update, review, item, month, larger, heavier, last, year, constant, use]]","[[product operate expect size light weight terrific love lighten part unit cord plug phone short flimsy im concern im go get there option plug cease function charger br ill post update review item month larger heavier last year constant use, 0.4678, 4]]"
B00VSGRCGK,"[0.5574, 0.9299, 0.7176]","[5, 4, 5]","[[worth, amount, pay, drop, phone, twice, survive, scratch, thank, good, product], [case, great, grip], [way, rap, phone, feel, hand, kickstand, wonderful, thing]]","[[worth amount pay drop phone twice survive scratch thank good product, 0.5574, 5], [case great grip, 0.9299, 4], [way rap phone feel hand kickstand wonderful thing, 0.7176, 5]]"
B00VVAFZS0,[0.8122],[5],"[[iphone, case, people, love, see]]","[[iphone case people love see, 0.8122, 5]]"
B00VWRIDIG,[0.5719],[5],"[[excellent, aaa]]","[[excellent aaa, 0.5719, 5]]"
B00W1D9GWW,"[0.4927, 0.6697, 0.0, 0.0, 0.8553]","[5, 4, 2, 2, 5]","[[battery, charge, samsung, tab, work], [product, expect, shipping], [love, quality, battery, charge, whole, day, recharge, phone, ipod], [seems, work, use, price, power, storage, continue, buy, know], [get, lemonit, hold, change, day, try, charge, elivebuy, battery, pack, go, pas, lead, light, im, plan, return, item]]","[[battery charge samsung tab work, 0.4927, 5], [product expect shipping, 0.6697, 4], [love quality battery charge whole day recharge phone ipod, 0.0, 2], [seems work use price power storage continue buy know, 0.0, 2], [get lemonit hold change day try charge elivebuy battery pack go pas lead light im plan return item, 0.8553, 5]]"
B00W51KURA,[0.6124],[3],"[[bride, see, picture, post, block, part, bottom, apple, case, picture, feel, sticker, fianc, like, expect]]","[[bride see picture post block part bottom apple case picture feel sticker fianc like expect, 0.6124, 3]]"
B00W6H9RAE,[0.6115],[5],"[[happy, product, delivery]]","[[happy product delivery, 0.6115, 5]]"
B00W7S0UGW,[-0.6306],[3],"[[performance, frustrate, use, poor, response, touch, screen, look, get, past, problem, return]]","[[performance frustrate use poor response touch screen look get past problem return, -0.6306, 3]]"
B00W8WMTGG,[-0.09],[2],"[[glitter, loos, color, look, wash]]","[[glitter loos color look wash, -0.09, 2]]"
B00WA7YGEC,"[-0.0286, 0.836]","[1, 5]","[[work, perfect], [iphones, charge, start, say, accessory, support, stop, charging]]","[[work perfect, -0.0286, 1], [iphones charge start say accessory support stop charging, 0.836, 5]]"
B00WC27HSC,[-0.4585],[1],[[recondition]],"[[recondition, -0.4585, 1]]"
B00WS30RAU,[0.5785],[3],"[[construction, case, rock, solid, put, fit, phone, negative, add, weight, phone, keep, develop, front, screen, phone, impact, performance, phone, anyway, constant, eyesore, fix, open, case, wipe, screen, hour, back]]","[[construction case rock solid put fit phone negative add weight phone keep develop front screen phone impact performance phone anyway constant eyesore fix open case wipe screen hour back, 0.5785, 3]]"
B00WVX3MN6,[0.1901],[5],"[[thank, describe, design, rub, quick, ship]]","[[thank describe design rub quick ship, 0.1901, 5]]"
B00WXHYWZM,[0.8555],[5],"[[fit, phone, seem, provide, protection]]","[[fit phone seem provide protection, 0.8555, 5]]"
B00X0OP2O2,[0.8519],[5],"[[order, seller, time]]","[[order seller time, 0.8519, 5]]"
B00X23OSHI,[0.0],[4],"[[okkinda, cheap, expect, ]]","[[okkinda cheap expect , 0.0, 4]]"
B00X5B0QRS,[0.8126],[5],"[[perfect, wife, love]]","[[perfect wife love, 0.8126, 5]]"
B00X5JERZ2,[0.0],[5],[[case]],"[[case, 0.0, 5]]"
B00XA2II8G,"[0.6249, 0.6369]","[5, 5]","[[price, quality, delivery]]","[[price quality delivery, 0.6249, 5], [, 0.6369, 5]]"
B00XHOSLRA,"[0.2635, 0.6124, -0.2755, 0.5095, 0.9231]","[5, 5, 1, 5, 5]","[[fit, glove, awesome, love, get], [im, glad, find, price], [work, thank], [appreciate, purchase, port, cover, arrive, frustrate, manufacturer, doesnt, fix, problem, eliminate, need, replacement, part, life, phone], [fit]]","[[fit glove awesome love get, 0.2635, 5], [im glad find price, 0.6124, 5], [work thank, -0.2755, 1], [appreciate purchase port cover arrive frustrate manufacturer doesnt fix problem eliminate need replacement part life phone, 0.5095, 5], [fit, 0.9231, 5]]"
B00XIBU9SG,"[0.4927, 0.0, 0.9217]","[5, 5, 5]","[[excelente], [awesome, expect, bit, smaller, note, anyway, thanks, guy, business, owner, appreciate, guysbr, deesm, texas]]","[[excelente, 0.4927, 5], [awesome expect bit smaller note anyway thanks guy business owner appreciate guysbr deesm texas, 0.0, 5], [, 0.9217, 5]]"
B00XM3RSIE,[-0.0762],[3],"[[get, scratch, close, come, screw]]","[[get scratch close come screw, -0.0762, 3]]"
B00XN2RWY4,"[0.9136, 0.6249]","[5, 5]","[[super, clear, perfect, fit], [work, great]]","[[super clear perfect fit, 0.9136, 5], [work great, 0.6249, 5]]"
B00XONVW0W,"[0.875, 0.899, 0.1779, 0.7351, 0.3071, 0.7003]","[5, 4, 1, 5, 5, 1]","[[fit, great, night], [cover, design, get, watch, repair, month, receive, gouge, face, wait, replacement, order, cover, help, protect, watch, week, use, trouble, pop, base, scratch, pick, job, watch, perfect, condition, get, condensation, buildup, cover, watch, humid, remove, clean, plan, purchase, scratch, get, point, distraction], [cant, tell, watch, pricy, protects, watch, watch, face, show, employee, apple, store, amaze, couldnt, tell, take], [pop], [avoid, scratch, wash, hand, moisture, get, case, becomes, unresponsive, trash, went], [fell, lose, couple, day, buy, well, buy]]","[[fit great night, 0.875, 5], [cover design get watch repair month receive gouge face wait replacement order cover help protect watch week use trouble pop base scratch pick job watch perfect condition get condensation buildup cover watch humid remove clean plan purchase scratch get point distraction, 0.899, 4], [cant tell watch pricy protects watch watch face show employee apple store amaze couldnt tell take, 0.1779, 1], [pop, 0.7351, 5], [avoid scratch wash hand moisture get case becomes unresponsive trash went, 0.3071, 5], [fell lose couple day buy well buy, 0.7003, 1]]"
B00XQR9QBI,[-0.2755],[4],"[[get, card, pocket, didnt, take, card, ribbon, hang, way, use, card, ribbon]]","[[get card pocket didnt take card ribbon hang way use card ribbon, -0.2755, 4]]"
B00Y4G0722,[-0.4767],[1],"[[disappoint, dont, buy, case]]","[[disappoint dont buy case, -0.4767, 1]]"
B00YC4GXLU,"[0.8318, 0.9253]","[3, 5]","[[star, come, color, button, get, remote, great, product, wish, get, color, order], [isnt, exact, product, buy, remote, shutter, love, remote, didnt, work, company, send, replacement, work, cant, wait, use, vacation]]","[[star come color button get remote great product wish get color order, 0.8318, 3], [isnt exact product buy remote shutter love remote didnt work company send replacement work cant wait use vacation, 0.9253, 5]]"
B00YEN18BE,"[0.6249, 0.3716, 0.624, 0.7906, 0.9324, 0.8316]","[5, 3, 5, 5, 5, 5]","[[work, great], [recommend, product, connects, set, awesome, product, bluetooth, music], [tooth, transmitter, work, better, others, try], [work, great, cant, get, work, person, hear, phone, call], [awesome, price, excellent, packaging, expect], [advertise, cost, surprise, please, purchase]]","[[work great, 0.6249, 5], [recommend product connects set awesome product bluetooth music, 0.3716, 3], [tooth transmitter work better others try, 0.624, 5], [work great cant get work person hear phone call, 0.7906, 5], [awesome price excellent packaging expect, 0.9324, 5], [advertise cost surprise please purchase, 0.8316, 5]]"
B00YKL42IG,[0.5537],[3],"[[buck, bit, ambient, noise, car, suggest, get, earbuds]]","[[buck bit ambient noise car suggest get earbuds, 0.5537, 3]]"
B00YM24G6G,[0.4927],[5],[[product]],"[[product, 0.4927, 5]]"
B00YOFN3JW,[0.9349],[5],"[[case, work, perfect, dont, use, seperate, cord, charge, case, phonebr, think, use, case, phone, stay, charge, turn, case, dont, know, see, differencebr, yes, battery, casebr, dont, know, protect, phone, drop, thats, insurance, phone]]","[[case work perfect dont use seperate cord charge case phonebr think use case phone stay charge turn case dont know see differencebr yes battery casebr dont know protect phone drop thats insurance phone, 0.9349, 5]]"
B00YU2ZKPE,[0.5002],[1],"[[read, review, didnt, order, case, regret, case, super, cute, need, br, doesnt, fit, side, button, power, onoff, volume, take, exacto, knife, pair, scissors, cut, cover, button, work, fine, wont, look, nice, machine, madebr, br, b, case, rubbery, plastic, work, prevent, scratch, wont, bump, drop, cute]]","[[read review didnt order case regret case super cute need br doesnt fit side button power onoff volume take exacto knife pair scissors cut cover button work fine wont look nice machine madebr br b case rubbery plastic work prevent scratch wont bump drop cute, 0.5002, 1]]"
B00YVF7Z3U,[0.4754],[5],"[[satisfy, look, quality]]","[[satisfy look quality, 0.4754, 5]]"
B00YWA3YYI,"[0.8555, 0.8416]","[5, 5]","[[service, case, fix, good, phone, dont, problem, replace, exchanging, item, dont], [buy, money, come, screen, protection, film, love, ]]","[[service case fix good phone dont problem replace exchanging item dont, 0.8555, 5], [buy money come screen protection film love , 0.8416, 5]]"
B00YX2I4MC,[0.5719],[5],"[[quality, stylish, case, excellent, price]]","[[quality stylish case excellent price, 0.5719, 5]]"
B00ZG1MM6S,[0.0772],[5],"[[make, carry, everything, want, place]]","[[make carry everything want place, 0.0772, 5]]"
B00ZI8KH9I,[0.8225],[5],"[[perfect, id, credit, card, room, cash, secure, cell, phone]]","[[perfect id credit card room cash secure cell phone, 0.8225, 5]]"
B00ZRVB08I,[0.6369],[5],[[product]],"[[product, 0.6369, 5]]"
B00ZTUWZUY,"[0.9062, 0.4588]","[5, 5]","[[fit, case, make, look, thanks, love, color, tone], [bulky]]","[[fit case make look thanks love color tone, 0.9062, 5], [bulky, 0.4588, 5]]"
B00ZVI6JOC,[0.8176],[3],"[[case, nice, button, super, bubble, galore, screen, protector, werent, super, annoy, star, get, pay, guess]]","[[case nice button super bubble galore screen protector werent super annoy star get pay guess, 0.8176, 3]]"
B00ZZ0K8Y8,[0.8429],[5],"[[owl, owl, design, cute]]","[[owl owl design cute, 0.8429, 5]]"
B010FBJ0JK,"[-0.8934, 0.6227]","[1, 5]","[[size, husband, say, galaxy, need, return, pack, slip, invoice, return, label], [item, design, material, look, sturdy, shortcoming, star, edge, hide, phone, edge, cant, see, negate, purpose, phone, picture, look, edge, thus, buy, phone, fall, put, stand, slight, touch, phone, stand, stand, revise, give, star, couple, thing, seller, issue, refund, say, mine, defective, ask, change, rating, change, rating, star, case, quality, feel, make, case, material, show, edge, protect, phone, thanks]]","[[size husband say galaxy need return pack slip invoice return label, -0.8934, 1], [item design material look sturdy shortcoming star edge hide phone edge cant see negate purpose phone picture look edge thus buy phone fall put stand slight touch phone stand stand revise give star couple thing seller issue refund say mine defective ask change rating change rating star case quality feel make case material show edge protect phone thanks, 0.6227, 5]]"
B010JE6G8Q,"[0.9732, 0.5106]","[5, 5]","[[buy, year, daughter, love, sync, iphone, daughter, like, remote, shutter, button, handle, remotes, lose, selfies, take, time], [thank, product, meet, expectation, simpleeasy, use, put, recommend, others, work, product, service, thanks]]","[[buy year daughter love sync iphone daughter like remote shutter button handle remotes lose selfies take time, 0.9732, 5], [thank product meet expectation simpleeasy use put recommend others work product service thanks, 0.5106, 5]]"
B010N2BF5I,[0.0],[1],"[[rubber, soft, didnt, expect]]","[[rubber soft didnt expect, 0.0, 1]]"
B010O0O6M8,"[0.7964, 0.6369, 0.992]","[4, 4, 5]","[[work, bit, set, try, get, instruction], [test, answer, phonehang, phone, button, thing, money, spend, plan, use, listen, music, phonemp, player, car, radio, say, make, sure, device, bluetooth, enable, iphones, ipod, touch, smart, phonesdevices, dobr, br, install, plug, cigarette, lighter, turn, set, fm, station, want, music, play, tune, radio, say, station, device, youre, go, play, music, fm, transmitter, turn, bluetooth, select, bc, list, devicesbr, br, sound, complicate, understanding, enable, pairing, bluetooth, device, device, come, instruction, bookletbr, br, quality, go, bit, song, play, try, fm, frequency, issue, beat, listen, radio, area, cassettes, doubtbr, br, switch, song, use, side, button, usb, port, br, product, well, try, youre, pay, doubt, youll, disappoint, use, time, get, truck], [product, add, functionality, bluetooth, enable, car, downside, loud, voice, inform, bluetooth, connect, see, phone, voice, super, loud, stereo]]","[[work bit set try get instruction, 0.7964, 4], [test answer phonehang phone button thing money spend plan use listen music phonemp player car radio say make sure device bluetooth enable iphones ipod touch smart phonesdevices dobr br install plug cigarette lighter turn set fm station want music play tune radio say station device youre go play music fm transmitter turn bluetooth select bc list devicesbr br sound complicate understanding enable pairing bluetooth device device come instruction bookletbr br quality go bit song play try fm frequency issue beat listen radio area cassettes doubtbr br switch song use side button usb port br product well try youre pay doubt youll disappoint use time get truck, 0.6369, 4], [product add functionality bluetooth enable car downside loud voice inform bluetooth connect see phone voice super loud stereo, 0.992, 5]]"
B010QNHRKG,[0.0],[5],"[[watch, band, turn, head, get, lot, question, coworkers, etcbr, reallyred, leather, think, versus, call, red, watch, band, listing]]","[[watch band turn head get lot question coworkers etcbr reallyred leather think versus call red watch band listing, 0.0, 5]]"
B010R0PI8G,"[-0.4215, 0.8316, 0.7089, 0.4019, -0.8767, 0.0]","[1, 5, 5, 1, 1, 1]","[[perfect, caselooks, nobody, tell, case, buy], [crack, get, doesnt, cover, part, glass, get], [case, break, st, time, drop], [case, cover, side, front, include, screen, protector, item, state, coverage, side], [coverage, side, mean, way, stop, mean, course, meal, mean, finger, way, coverage, mean, imply, company, way, coverage, mean, side, thanks, mislead, know, side, need, clarify, misprint, case], [fit, add, bonus, glass, skin, provide]]","[[perfect caselooks nobody tell case buy, -0.4215, 1], [crack get doesnt cover part glass get, 0.8316, 5], [case break st time drop, 0.7089, 5], [case cover side front include screen protector item state coverage side, 0.4019, 1], [coverage side mean way stop mean course meal mean finger way coverage mean imply company way coverage mean side thanks mislead know side need clarify misprint case, -0.8767, 1], [fit add bonus glass skin provide, 0.0, 1]]"
B010XBNDYK,[0.9626],[5],"[[order, case, fall, boy, favorite, band, come, mail, sooner, expect, delivery, date, say, plus, didnt, problem, put, case, phone, samsung, galaxy, problem, put, case, stay, mean, sorta, get, quality, recommend]]","[[order case fall boy favorite band come mail sooner expect delivery date say plus didnt problem put case phone samsung galaxy problem put case stay mean sorta get quality recommend, 0.9626, 5]]"
B01177GFA8,[0.0],[5],"[[complain, come, case, fix, phone, glove]]","[[complain come case fix phone glove, 0.0, 5]]"
B0118NKG9W,"[0.6124, 0.6908]","[4, 5]","[[quality, fit, garmin], [nice, case, inch, garmin, fit, case, accessory]]","[[quality fit garmin, 0.6124, 4], [nice case inch garmin fit case accessory, 0.6908, 5]]"
B011ANFIJI,[0.4404],[4],"[[delivery, time, considering, pay, expedite, delivery, product, good, quality]]","[[delivery time considering pay expedite delivery product good quality, 0.4404, 4]]"
B011NFKLRC,[-0.3726],[1],"[[doesnt, phone, size, star, rating, sure, l, star, submit, review]]","[[doesnt phone size star rating sure l star submit review, -0.3726, 1]]"
B011NXGMUE,[0.5719],[5],[[excellent]],"[[excellent, 0.5719, 5]]"
B0124S51SG,[0.9373],[5],"[[selfie, stick, samsung, galaxy, w, heavy, case, take, case, put, selfie, stick, allow, leave, case, phone, use, ease, find, selfie, stick, take, case, phone, use, heavy, selfie, stick, spin, connect, bluetooth, phone, issue, savvy, son, love, use, selfie, stick, ask, use, recommend, product, anyone, look, quality, bluetooth, selfie, stick, phone, case, phone]]","[[selfie stick samsung galaxy w heavy case take case put selfie stick allow leave case phone use ease find selfie stick take case phone use heavy selfie stick spin connect bluetooth phone issue savvy son love use selfie stick ask use recommend product anyone look quality bluetooth selfie stick phone case phone, 0.9373, 5]]"
B013JKJF5I,[0.9544],[5],"[[case, indeed, product, want, somethinf, back, kinda, checker, type, style, add, grip, case, hold, look, neat, case, include, kick, stand, clicky, snap, case, recommend, coruse]]","[[case indeed product want somethinf back kinda checker type style add grip case hold look neat case include kick stand clicky snap case recommend coruse, 0.9544, 5]]"
B01415QHYW,[0.8702],[2],"[[screen, protector, screeblack, fit, side, narrow, side, size, feel, edge, protector, press, home, button, protector, feel, greatpretty, heavy, duty, plastic, glossy, plexiglascomes, protector, wet, dry, wipe, clean, screen, installationcomes, instructionsand, stickerbr, give, star, iphone, ]]","[[screen protector screeblack fit side narrow side size feel edge protector press home button protector feel greatpretty heavy duty plastic glossy plexiglascomes protector wet dry wipe clean screen installationcomes instructionsand stickerbr give star iphone , 0.8702, 2]]"
