1059359189,"[0.0382, 0.6249]","[1, 5]","[[break, item], [work, great]]","[[break item, 0.0382, 1], [work great, 0.6249, 5]]"
B00UARD6RM,[0.8568],[5],"[[hug, phone, lay, face, worrying, scratch]]","[[hug phone lay face worrying scratch, 0.8568, 5]]"
B00UJGSREQ,[-0.2363],[5],"[[drop, phone, time, problem, damage, case]]","[[drop phone time problem damage case, -0.2363, 5]]"
B00UJIC2MM,[-0.128],[3],"[[kind, cool, case, price, front, wheel, ringer, vibrate, button, broke, day]]","[[kind cool case price front wheel ringer vibrate button broke day, -0.128, 3]]"
B00UPS4XXM,"[0.0, 0.8867]","[1, 5]","[[get, try, charge, wont, take, chargebr, try, br, need, get, money], [slick, powerpak, work, drop, jacket, pocket, go, nice]]","[[get try charge wont take chargebr try br need get money, 0.0, 1], [slick powerpak work drop jacket pocket go nice, 0.8867, 5]]"
B00UV7IKZY,"[-0.5647, 0.7709]","[1, 1]","[[item, stop, work, day, idea, poor, execution], [length, cord, apple, charge, piece, starting, freyunravel, good, buy]]","[[item stop work day idea poor execution, -0.5647, 1], [length cord apple charge piece starting freyunravel good buy, 0.7709, 1]]"
B00UW2516Y,[0.0],[5],"[[work, expect]]","[[work expect, 0.0, 5]]"
B00UXPEINM,[-0.3544],[4],"[[install, seem, blueish, hue]]","[[install seem blueish hue, -0.3544, 4]]"
B00UYNPSA0,"[-0.3612, 0.3818, -0.4168]","[3, 1, 2]","[[color, look, get, rubber, part, slit, couldnt, put, phone], [difficult, put], [case, worth, cost, pad, corner, recommend, case]]","[[color look get rubber part slit couldnt put phone, -0.3612, 3], [difficult put, 0.3818, 1], [case worth cost pad corner recommend case, -0.4168, 2]]"
B00V3GAPQO,[0.0],[2],"[[buy, reviewer, say, work, seek, doesnt, work, mine]]","[[buy reviewer say work seek doesnt work mine, 0.0, 2]]"
B00V7JQCQE,[0.9504],[5],"[[buy, case, like, phone, x, fine, scar, isnt, bulky, protector, type, case, work, drop, break, review, ]]","[[buy case like phone x fine scar isnt bulky protector type case work drop break review , 0.9504, 5]]"
B00VAHAKHU,[0.6369],[5],"[[boxer, wear, outing, adjusts, month, year, oldbr, br, hour, film, adventure, stitch, velcro, start, come, undone, fix, resew]]","[[boxer wear outing adjusts month year oldbr br hour film adventure stitch velcro start come undone fix resew, 0.6369, 5]]"
B00VMEYUNQ,[0.6019],[1],"[[order, case, think, came, water, test, keep, water, part, realize, water, get, case, put, phone, case, fine, go, press, power, button, press, couldnt, turn, phone, someone, try, fix, take, seal, fix, make, water, thing, notice, air, bubble, phone, bother, expect, silent, button, work, didnt, want, put, phone, silent, take, case, case, okay, investment, wasnt, greatest, case, wasnt, whole, lot, money, worth]]","[[order case think came water test keep water part realize water get case put phone case fine go press power button press couldnt turn phone someone try fix take seal fix make water thing notice air bubble phone bother expect silent button work didnt want put phone silent take case case okay investment wasnt greatest case wasnt whole lot money worth, 0.6019, 1]]"
B00W0KELSA,"[0.7684, 0.9231]","[4, 5]","[[time, work, others, price, buy, month], [product, great, price, response, question]]","[[time work others price buy month, 0.7684, 4], [product great price response question, 0.9231, 5]]"
B00W0PVEUS,"[0.6249, 0.8481]","[4, 5]","[[case], [fit, thank]]","[[case, 0.6249, 4], [fit thank, 0.8481, 5]]"
B00W0T89Z2,[0.0],[1],"[[design, look, use, case]]","[[design look use case, 0.0, 1]]"
B00WAPOTQY,[0.3612],[3],"[[whole, lot, getting, say, screen, protector, suck, case]]","[[whole lot getting say screen protector suck case, 0.3612, 3]]"
B00WM93M9S,"[0.598, 0.0]","[4, 4]","[[charge, price, thing, charging, block, bulky, take, least, slot, extension, cord, perfect], [advertise]]","[[charge price thing charging block bulky take least slot extension cord perfect, 0.598, 4], [advertise, 0.0, 4]]"
B00WO1QJ6C,[0.4404],[5],"[[im, please, purchase]]","[[im please purchase, 0.4404, 5]]"
B00WTAL2II,[0.4404],[5],[[case]],"[[case, 0.4404, 5]]"
B00WTQEX9M,[0.5719],[5],[[love]],"[[love, 0.5719, 5]]"
B00WUOQ8IC,[-0.4678],[3],"[[case, size, samsung, mega, return]]","[[case size samsung mega return, -0.4678, 3]]"
B00WV9XD16,[0.7906],[5],"[[case, sturdy, nice, design, ive, drop, phone, time, case, minor, scratch, none, phone, buy, case, company]]","[[case sturdy nice design ive drop phone time case minor scratch none phone buy case company, 0.7906, 5]]"
B00WZZ181S,"[0.0, 0.8883, 0.9493, 0.796, 0.6249]","[1, 3, 3, 5, 5]","[[phone, fell, screen, craked], [awesome], [product, description, need, edit, premium, screen, protector, im, give, star, case, part, rubber, piece, go, middle, phone, piece, stylus, pen, nice, toobr, br, think, get, screen, protector, httpgooglgdjkbr, br, review, help], [perfect, snug, fit, exceed, expectation, buy, confidence], [yes, awesome, case, protects, phone]]","[[phone fell screen craked, 0.0, 1], [awesome, 0.8883, 3], [product description need edit premium screen protector im give star case part rubber piece go middle phone piece stylus pen nice toobr br think get screen protector httpgooglgdjkbr br review help, 0.9493, 3], [perfect snug fit exceed expectation buy confidence, 0.796, 5], [yes awesome case protects phone, 0.6249, 5]]"
B00X2457D6,[0.0],[2],"[[get, prepare, wait, time]]","[[get prepare wait time, 0.0, 2]]"
B00X5JBQMO,"[0.4497, 0.0, 0.4404, -0.4404, 0.34]","[3, 4, 5, 1, 2]","[[cord, nice, charge, time, cant, get, start, charge, mess, lot], [quality, charge, amp], [look, great, fit, tight, week, fall, device, charge, loose, stop, work], [break], [work, theyre]]","[[cord nice charge time cant get start charge mess lot, 0.4497, 3], [quality charge amp, 0.0, 4], [look great fit tight week fall device charge loose stop work, 0.4404, 5], [break, -0.4404, 1], [work theyre, 0.34, 2]]"
B00X6HNQJG,[0.2732],[5],"[[beast, screen, protector]]","[[beast screen protector, 0.2732, 5]]"
B00X6LE85S,"[0.6115, 0.0, 0.8574, -0.466, 0.91, 0.6597]","[5, 5, 5, 1, 5, 5]","[[buy, moto, user], [better, leather, band, come, watch, underside, get, mark, im, go, price], [thick, wouldnt, fit, inside, side, buy, brand, fit], [qualitybr, fast, delivery, service], [fit, give, watch, sporty, look], [replace, leather, band, strap, happy]]","[[buy moto user, 0.6115, 5], [better leather band come watch underside get mark im go price, 0.0, 5], [thick wouldnt fit inside side buy brand fit, 0.8574, 5], [qualitybr fast delivery service, -0.466, 1], [fit give watch sporty look, 0.91, 5], [replace leather band strap happy, 0.6597, 5]]"
B00X71GQ2A,[0.0258],[4],"[[problem, piece, assist, hold, stand, come, save, phone, plenty, time, dropping]]","[[problem piece assist hold stand come save phone plenty time dropping, 0.0258, 4]]"
B00XENFWUI,[0.3384],[5],[[work]],"[[work, 0.3384, 5]]"
B00XKE8XE8,"[0.9274, 0.6369, 0.8875, 0.9196, -0.5023]","[5, 4, 5, 4, 3]","[[work, great, fit, plug, charge, slow, buy, use, day, problem], [work, neck, fit, car, lightercharger, locate, floor, level], [product, fair, price, met, expectation], [work, great, thing, notice, radio, station, power, signal, device, drive, everything, work, fine, notice, radio, station, signal, start, overpower, device, become, change, channel, radio, receiver, alpatronix, device, use, inverse, square, rule, device, radiate, power, everything, change, channel, drive, distance, come, radio, station, band, device, happy, buy], [description, online, precise, upgrade, phone, need, fm, transmitter, drive, vehicle, audio, jack, option, sturdy, bumpiest, road, began, swing, fall, slight, white, noise, use, make, simple, adjustment, bass, radiobr, thing, improve, see, fm, station, adapter, number, bright, light, thing, recommend, product]]","[[work great fit plug charge slow buy use day problem, 0.9274, 5], [work neck fit car lightercharger locate floor level, 0.6369, 4], [product fair price met expectation, 0.8875, 5], [work great thing notice radio station power signal device drive everything work fine notice radio station signal start overpower device become change channel radio receiver alpatronix device use inverse square rule device radiate power everything change channel drive distance come radio station band device happy buy, 0.9196, 4], [description online precise upgrade phone need fm transmitter drive vehicle audio jack option sturdy bumpiest road began swing fall slight white noise use make simple adjustment bass radiobr thing improve see fm station adapter number bright light thing recommend product, -0.5023, 3]]"
B00XSNGN70,"[-0.1688, 0.786, 0.8889]","[2, 4, 4]","[[get, case, color, glitter, picture, shown, buy, glitter, however, case, make, cheap, dont, expect, longer, month, doesnt, protect, top, bottom, phone, side, fit], [cheap, case, daughter, didnt, pay, buck], [love, case, star, glitter, float, star, get, stuck, deal, things, get, phone, get, star, stuck, side, case, shown, picture, otherwise, love, super, cute]]","[[get case color glitter picture shown buy glitter however case make cheap dont expect longer month doesnt protect top bottom phone side fit, -0.1688, 2], [cheap case daughter didnt pay buck, 0.786, 4], [love case star glitter float star get stuck deal things get phone get star stuck side case shown picture otherwise love super cute, 0.8889, 4]]"
B00XVAAK0G,[0.8998],[5],"[[ship, pull, package, use, immediatelybr, br, happy, purchase, recommend]]","[[ship pull package use immediatelybr br happy purchase recommend, 0.8998, 5]]"
B00Y5RSZF6,[0.974],[5],"[[im, ordering, online, take, chance, receive, phone, case, day, lever, doubt, ill, use, belt, clip, case, pin, fun, use, im, color, case, recommend]]","[[im ordering online take chance receive phone case day lever doubt ill use belt clip case pin fun use im color case recommend, 0.974, 5]]"
B00YC0Q3UU,"[0.0, -0.1761]","[5, 5]","[[light], [charge, iphone, time, unit, make, carry, computer, bag]]","[[light, 0.0, 5], [charge iphone time unit make carry computer bag, -0.1761, 5]]"
B00YE1N058,"[0.7964, -0.3412]","[4, 1]","[[amazon, quick, delivery, thebr, phone, cover, look, screen, satisfy, thebr, quality, cant, wait, use, thanks, amazon], [quality]]","[[amazon quick delivery thebr phone cover look screen satisfy thebr quality cant wait use thanks amazon, 0.7964, 4], [quality, -0.3412, 1]]"
B00YOBAGP0,"[0.6249, 0.8957]","[5, 5]","[[product], [case, great, size, fit, pocket]]","[[product, 0.6249, 5], [case great size fit pocket, 0.8957, 5]]"
B00YTFD4VY,[-0.2755],[2],"[[think, printing, doesnt, pop, image, provide]]","[[think printing doesnt pop image provide, -0.2755, 2]]"
B00YYOSRG2,[0.6369],[5],"[[give, case, birthday, present, love]]","[[give case birthday present love, 0.6369, 5]]"
B00ZDSAGBM,[-0.7269],[1],"[[yellow, ribbon, position, letter, pitch, background, turn, purple, sort, air, bubble, make, worse, seem, do, home, printer, didnt, quality, picture, shown, awful]]","[[yellow ribbon position letter pitch background turn purple sort air bubble make worse seem do home printer didnt quality picture shown awful, -0.7269, 1]]"
B00ZDTYAQ8,[0.8481],[5],"[[promise, shipping, love, recommend]]","[[promise shipping love recommend, 0.8481, 5]]"
B00ZQMPKTI,[0.9631],[5],"[[wouldnt, call, sound, block, headphone, theyre, product, price, thing, theyre, block, sound, quality, well, anticipate, feel, product, mention]]","[[wouldnt call sound block headphone theyre product price thing theyre block sound quality well anticipate feel product mention, 0.9631, 5]]"
B00ZWL9HJM,[0.8735],[5],"[[quality, install, cell, phone, screw, driver, put, great, product, wait, get]]","[[quality install cell phone screw driver put great product wait get, 0.8735, 5]]"
B00ZZ3R0AU,[0.7783],[5],"[[case, money, buy]]","[[case money buy, 0.7783, 5]]"
B0100VRQ28,[0.802],[5],"[[come, expect, love, case]]","[[come expect love case, 0.802, 5]]"
B0105FORTE,[0.7058],[3],"[[material, make, silicone, material, problem, plug, charger, doesnt, connect, fall, phone, touch, move]]","[[material make silicone material problem plug charger doesnt connect fall phone touch move, 0.7058, 3]]"
B01090JQ8C,[0.8922],[5],"[[adapt, phone, love, well, name, brand, phone]]","[[adapt phone love well name brand phone, 0.8922, 5]]"
B010FE855M,[0.6448],[4],"[[fit, case, come, screen, protector, mini, stylus, include, arrive, br, update, month, get, stain, streak, black, product, lighter, color, dont, look, nice]]","[[fit case come screen protector mini stylus include arrive br update month get stain streak black product lighter color dont look nice, 0.6448, 4]]"
B011IUHGPC,"[0.7717, 0.9324, 0.7476, -0.7311]","[5, 5, 4, 4]","[[product, great, experience, company, care, customer, service, keep, thank], [pro, decent, quality, material, phone, sits, nice, secure, silicone, con, magnet, bit, weak, side, doesnt, satisfy, snap, hold, case, bit, slimmer, compare, note, wallet, case, width, note, slimmer, ill, use, something, bit, slimmer, quality, update, year, hold, strength, magnet, hasnt, change, condition, overall, case, fold, stand, work, say, go, change, ill, continue, use, something, break], [fit, note, craftsmanship, case, part, case, incipio, belkin, name, brand], [prosbr, fit, samsung, note, nicelybr, fit, cc, card, sizebr, order, look, goodbr, br, consbr, cut, pocket, american, currency, bill, bill, frumpy, fold, bill, halfbr, make, fake, leatherbr, everything, stitch, phone, holder, plastic, glue, case, glue, case, rush, answer, phonebr, think, way, case, answer, phone, press, green, button, phone, hold, phone, phone, half, way, flap, fold, case, side, inward, phone, flap, limit, inconvenience, inconvenience, make, drop, phone, mistakebr, br, beside, thing, keep, case, see, get, use, change, month, sobr, br, sell, value]]","[[product great experience company care customer service keep thank, 0.7717, 5], [pro decent quality material phone sits nice secure silicone con magnet bit weak side doesnt satisfy snap hold case bit slimmer compare note wallet case width note slimmer ill use something bit slimmer quality update year hold strength magnet hasnt change condition overall case fold stand work say go change ill continue use something break, 0.9324, 5], [fit note craftsmanship case part case incipio belkin name brand, 0.7476, 4], [prosbr fit samsung note nicelybr fit cc card sizebr order look goodbr br consbr cut pocket american currency bill bill frumpy fold bill halfbr make fake leatherbr everything stitch phone holder plastic glue case glue case rush answer phonebr think way case answer phone press green button phone hold phone phone half way flap fold case side inward phone flap limit inconvenience inconvenience make drop phone mistakebr br beside thing keep case see get use change month sobr br sell value, -0.7311, 4]]"
B011NUEQQ4,[0.2732],[4],"[[work, real, longer, standard, battery, come, phone]]","[[work real longer standard battery come phone, 0.2732, 4]]"
B011R0VG36,[0.5719],[5],"[[quality, item, receive, item, week, day]]","[[quality item receive item week day, 0.5719, 5]]"
B01264X1NA,[0.5106],[5],"[[quality, read, case, use, need, bottom, case, need, remove, quality, craftsmanship, heavy, sturdy]]","[[quality read case use need bottom case need remove quality craftsmanship heavy sturdy, 0.5106, 5]]"
B012A2OQLE,[0.9169],[5],"[[case, teen, drop, phone, lot, iphone, look, price, shipping, excellent]]","[[case teen drop phone lot iphone look price shipping excellent, 0.9169, 5]]"
B012CYVZYQ,[-0.3412],[1],"[[case, good, picture]]","[[case good picture, -0.3412, 1]]"
B012IUJ9WE,[-0.7098],[1],"[[didnt, fit, phone, quality]]","[[didnt fit phone quality, -0.7098, 1]]"
B012JUYT3M,[-0.0644],[4],"[[awesome, case, come, day, expect, biggie]]","[[awesome case come day expect biggie, -0.0644, 4]]"
B012NOZJV0,[0.9115],[4],"[[update, own, time, upgrade, star, star, quality, great, issue, look, brand, star, send, send, wouldbr, br, ok, think, product, ok, feel, bother, product, change, design, go, round, product, receive, shown, read, review, look, image, band, seem, version, closer, apple, band, clasp, infinity, design, receive, gap, watch, band, clasp, material, ok, feel, edge, brush, stainless, look, clasp, attach, apple, watch, isnt, brush, nice, see, difference, easy, watch, get, think, work, give, star, product, consistent, picture, people, post, suggestion, discontinue, product, number, start, purchaser, confuse, product]]","[[update own time upgrade star star quality great issue look brand star send send wouldbr br ok think product ok feel bother product change design go round product receive shown read review look image band seem version closer apple band clasp infinity design receive gap watch band clasp material ok feel edge brush stainless look clasp attach apple watch isnt brush nice see difference easy watch get think work give star product consistent picture people post suggestion discontinue product number start purchaser confuse product, 0.9115, 4]]"
B012P5MVTU,"[-0.8157, -0.7915, 0.6124]","[1, 1, 1]","[[wowbiggest, fail, ive, see, awhile, charge, phone, case, design, flaw, case, look, feel, greatbut, border, thought, people, post, wrongbut, charger, come, note, room, lock, charge, port, buy, please, take, item, website, amazon], [useless, case, opinion, charge, port, wont, fit, youd, take, bumper, case, fit, put, isnt, get, frustrate, excite, find, case], [ok, case, look, feel, hand, honest, crap, reason, say, hole, headphone, jack, charge, port, charger, samsung, one, go, use, wireless, charge, guess, ok, wich, want, option, hook, fast, charger, hook, headphone, go, case, thats, dumb, ask, ghostek, refund, buy]]","[[wowbiggest fail ive see awhile charge phone case design flaw case look feel greatbut border thought people post wrongbut charger come note room lock charge port buy please take item website amazon, -0.8157, 1], [useless case opinion charge port wont fit youd take bumper case fit put isnt get frustrate excite find case, -0.7915, 1], [ok case look feel hand honest crap reason say hole headphone jack charge port charger samsung one go use wireless charge guess ok wich want option hook fast charger hook headphone go case thats dumb ask ghostek refund buy, 0.6124, 1]]"
B0132MWJFG,[0.8591],[4],"[[design, make, feel, safe, case, fall, throwback, kickstand, wish, center, tends, fall, balance, thats, star]]","[[design make feel safe case fall throwback kickstand wish center tends fall balance thats star, 0.8591, 4]]"
B0136BEKTQ,[0.802],[5],"[[sooooo, cute]]","[[sooooo cute, 0.802, 5]]"
B013AWE3U2,[0.8805],[5],"[[case, fit, perfect, design, protect, phone, side, unprotected, buy, temper, glass, screen, protector, everything, good, ]]","[[case fit perfect design protect phone side unprotected buy temper glass screen protector everything good , 0.8805, 5]]"
